Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Solo,Int,Sk,College/Univ,,-9999
2,38,LAC,Forrest Lamp,G,23,2021,0,0,1,8,8,26,0,0,0,0,0,0,0,0,0,0,0,,,,Western Kentucky,College Stats,LampFo00
2,39,NYJ,Marcus Maye,S,24,2024,0,0,5,29,21,92,0,0,0,0,0,0,0,0,0,0,0,307,9,4.5,Florida,College Stats,MayeMa00
2,40,CAR,Curtis Samuel,WR,21,2024,0,0,5,29,17,105,0,0,0,0,0,126,729,7,348,3636,23,7,,,Ohio St.,College Stats,SamuCu00
2,41,MIN,Dalvin Cook,RB,22,2024,0,4,5,52,51,90,0,0,0,0,0,1357,6227,47,237,1882,5,2,,,Florida St.,College Stats,CookDa01
2,42,NOR,Marcus Williams,S,20,2024,0,0,8,32,24,108,0,0,0,0,0,0,0,0,0,0,0,344,20,1.0,Utah,College Stats,WillMa06
2,43,PHI,Sidney Jones,CB,21,2023,0,0,2,12,5,60,0,0,0,0,0,0,0,0,0,0,0,115,4,,Washington,College Stats,JoneSi00
2,44,LAR,Gerald Everett,TE,23,2024,0,0,3,22,10,124,0,0,0,0,0,12,61,1,292,2869,19,1,,,South Alabama,College Stats,EverGe00
2,45,CHI,Adam Shaheen,TE,22,2021,0,0,1,4,2,55,0,0,0,0,0,0,0,0,50,509,7,1,,,Ashland,,ShahAd00
2,46,IND,Quincy Wilson,CB,21,2022,0,0,0,4,4,33,0,0,0,0,0,0,0,0,0,0,0,49,2,,Florida,College Stats,WilsQu01
2,47,BAL,Tyus Bowser,OLB,22,2024,0,0,1,21,18,98,0,0,0,0,0,0,0,0,0,0,0,99,4,19.5,Houston,College Stats,BowsTy00
2,48,CIN,Joe Mixon,RB,21,2024,0,2,6,56,49,111,0,1,0,0,0,1816,7428,60,319,2448,14,1,,,Oklahoma,College Stats,MixoJo00
2,49,WAS,Ryan Anderson,OLB,23,2022,0,0,0,6,6,57,0,0,0,0,0,0,0,0,0,0,0,56,,6.0,Alabama,College Stats,AndeRy00
2,50,TAM,Justin Evans,S,22,2023,0,0,2,10,8,43,0,0,0,0,0,0,0,0,0,0,0,119,4,,Texas A&M,College Stats,EvanJu00
2,51,DEN,DeMarcus Walker,DE,22,2024,0,0,2,24,6,100,0,0,0,0,0,0,0,0,0,0,0,117,,26.5,Florida St.,College Stats,WalkDe03
2,52,CLE,DeShone Kizer,QB,21,2018,0,0,1,6,5,18,275,518,3081,11,24,82,458,5,0,0,0,,,,Notre Dame,College Stats,KizeDe00
2,53,DET,Teez Tabor,CB,21,2023,0,0,0,5,3,39,0,0,0,0,0,0,0,0,0,0,0,47,,,Florida,College Stats,TaboTe00
2,54,MIA,Raekwon McMillan,LB,21,2024,0,0,2,15,9,72,0,0,0,0,0,0,0,0,0,0,0,172,,1.0,Ohio St.,College Stats,McMiRa02
2,55,NYG,Dalvin Tomlinson,DT,23,2024,0,0,8,46,23,125,0,0,0,0,0,0,0,0,0,0,0,168,,19.0,Alabama,College Stats,TomlDa00
2,56,OAK,Obi Melifonwu,S,23,2018,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,9,,,Connecticut,College Stats,MeliOb00
2,57,HOU,Zach Cunningham,LB,22,2024,0,0,5,36,29,102,0,0,0,0,0,0,0,0,0,0,0,448,1,6.5,Vanderbilt,College Stats,CunnZa00
2,58,SEA,Ethan Pocic,C,22,2024,0,0,4,30,19,101,0,0,0,0,0,0,0,0,0,0,0,,,,LSU,College Stats,PociEt00
2,59,KAN,Tanoh Kpassagnon,DE,23,2024,0,0,2,21,14,104,0,0,0,0,0,0,0,0,0,0,0,94,,16.5,Villanova,,KpasTa00
2,60,DAL,Chidobe Awuzie,CB,22,2024,0,0,5,27,14,94,0,0,0,0,0,0,0,0,0,0,0,290,7,,Colorado,College Stats,AwuzCh00
2,61,GNB,Josh Jones,S,22,2022,0,0,1,11,5,70,0,0,0,0,0,0,0,0,0,0,0,193,2,3.0,North Carolina St.,College Stats,JoneJo06
2,62,PIT,JuJu Smith-Schuster,WR,20,2024,0,1,4,41,30,104,0,0,0,0,0,4,22,1,448,5279,32,2,,,USC,College Stats,SmitJu00
2,63,BUF,Dion Dawkins,G,23,2024,0,4,8,66,66,128,0,0,0,0,0,0,0,0,2,8,2,2,,,Temple,College Stats,DawkDi00
2,64,CAR,Taylor Moton,G,23,2024,0,0,7,43,43,129,0,0,0,0,0,0,0,0,0,0,0,2,,,Western Michigan,College Stats,MotoTa00
3,65,CLE,Larry Ogunjobi,DT,23,2024,0,0,7,44,20,124,0,0,0,0,0,0,0,0,0,0,0,199,,27.5,Charlotte,College Stats,OgunLa00
3,66,SFO,Ahkello Witherspoon,CB,22,2024,0,0,3,21,12,90,0,0,0,0,0,0,0,0,0,0,0,198,12,,Colorado,College Stats,WithAh00
3,67,NOR,Alvin Kamara,RB,22,2024,0,5,6,76,76,115,1,1,13,0,0,1543,6779,60,573,4762,25,,,,Tennessee,College Stats,KamaAl00
3,68,JAX,Dawuane Smoot,DE,22,2024,0,0,0,17,15,110,0,0,0,0,0,0,0,0,0,0,0,106,,25.0,Illinois,College Stats,SmooDa00
3,69,LAR,Cooper Kupp,WR,24,2024,1,1,6,60,60,104,0,4,0,0,0,26,139,1,634,7776,57,3,,,Eastern Washington,,KuppCo00
