Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,AVG
61,Amon-Ra St. Brown,DET,6,WR25,58,68,75,53,,63.5
62,Clyde Edwards-Helaire,NO,14,RB24,60,67,59,70,,64
63,Antonio Gibson,NE,10,RB25,84,56,58,61,,64.8
64,Jerry Jeudy,CLE,9,WR26,50,51,79,83,,65.8
65,T.J. Hockenson,MIN,7,TE7,67,64,56,76,,65.8
66,Gabe Davis,,,WR27,61,75,77,56,,67.3
67,A.J. Dillon,PHI,7,RB26,97,63,68,43,,67.8
68,Amari Cooper,,,WR28,70,59,64,78,,67.8
69,Dallas Goedert,PHI,7,TE8,79,71,52,80,,70.5
70,Tom Brady,,,QB8,64,74,66,84,,72
71,Adam Thielen,CAR,13,WR29,73,70,78,72,,73.3
72,Darnell Mooney,ATL,14,WR30,63,73,100,58,,73.5
73,JuJu Smith-Schuster,KC,8,WR31,65,69,88,75,,74.3
74,Russell Wilson,NYG,9,QB9,77,72,74,87,,77.5
75,Michael Thomas ,,,WR32,71,66,109,74,,80
76,Aaron Rodgers,,,QB10,68,90,61,102,,80.3
77,Dak Prescott,DAL,9,QB11,75,91,72,90,,82
78,Devin Singletary,NYG,9,RB27,66,89,102,73,,82.5
79,Hunter Renfrow,CAR,13,WR33,72,82,84,95,,83.3
80,DeAndre Hopkins,BAL,10,WR34,98,77,73,85,,83.3
81,Dameon Pierce,HU,6 O,RB28,78,96,121,39,,83.5
82,Damien Harris,,,RB29,89,79,81,86,,83.8
83,Miles Sanders,DAL,9,RB30,76,78,103,81,,84.5
84,Kareem Hunt,KC,8,RB31,81,80,101,79,,85.3
85,Cordarrelle Patterson,PIT,9,RB32,92,81,93,77,,85.8
86,Tony Pollard,TEN,6,RB33,95,84,94,71,,86
87,Chase Edmonds,,,RB34,94,87,111,55,,86.8
88,Rashaad Penny ,,,RB35,106,95,82,65,,87
89,Rashod Bateman,BAL,10,WR35,83,76,113,82,,88.5
90,Zach Ertz,WAS,14,TE9,86,83,85,101,,88.8
91,Dawson Knox,BUF,7,TE10,101,85,71,103,,90
92,Elijah Moore,BUF,7,WR36,91,92,89,88,,90
93,DeVonta Smith,PHI,7,WR37,85,86,98,92,,90.3
94,Buffalo Bills,DST,7,DST1,80,94,65,129,,92
95,Matthew Stafford,LAR,7,QB12,87,100,76,105,,92
96,Tyler Lockett,TEN,6,WR38,90,99,83,114,,96.5
97,Brandon Aiyuk,SF,9,WR39,103,98,97,94,,98
98,Drake London,ATL,14,WR40,96,88,110,100,,98.5
99,Rhamondre Stevenson,NE,10,RB36,93,101,138,68,,100
100,Christian Kirk,HOU,6,WR41,82,105,125,89,,100.3
101,Trey Lance,LAC,8,QB13,104,107,86,109,,101.5
102,Robert Woods,PIT,9,WR42,110,110,99,93,,103
103,Allen Lazard,NYJ,10,WR43,99,93,135,91,,104.5
104,Justin Tucker,,,K1,88,132,62,140,,105.5
105,Melvin Gordon,III,,RB37,117,109,107,97,,107.5
106,Pat Freiermuth,PIT,9,TE11,108,104,114,108,,108.5
107,Chris Olave,NO,14,WR44,109,102,126,106,,110.8
108,Tampa Bay Buccaneers,DST,11,DST2,107,112,96,134,,112.3
109,Derek Carr,,,QB14,114,115,112,112,,113.3
110,Kenneth Walker III,SEA,11,RB38,132,97,137,98,,116
111,Chase Claypool,,,WR45,111,114,118,122,,116.3
112,James Robinson,,,RB39,122,123,124,99,,117
113,Michael Carter,ARI,13,RB40,124,119,115,110,,117
114,San Francisco 49ers,DST,9,DST3,121,121,91,142,,118.8
115,Kadarius Toney,,,WR46,112,117,128,119,,119
116,James Cook,BUF,7,RB41,128,103,153,96,,120
117,Cole Kmet,CHI,14,TE12,115,116,143,113,,121.8
118,Indianapolis Colts,DST,14,DST4,136,147,67,144,,123.5
119,Kirk Cousins,ATL,14,QB15,125,130,131,115,,125.3
120,George Pickens,DAL,9,WR47,146,111,147,107,,127.8
121,Los Angeles Rams,DST,7,DST5,161,106,87,162,,129
122,Harrison Butker,KC,8,K2,116,134,95,171,,129
123,Evan McPherson,CIN,10,K3,102,133,127,154,,129
124,Mike Gesicki,CIN,10,TE13,129,113,122,152,,129
125,Hunter Henry,NE,10,TE14,118,141,136,126,,130.3
126,Treylon Burks,TEN,6,WR48,143,108,159,117,,131.8
127,Daniel Carlson,LV,6,K4,127,135,119,148,,132.3
128,Darrell Henderson Jr.,,,RB42,156,126,144,104,,132.5
129,Tyler Bass,BUF,7,K5,144,138,90,159,,132.8
130,Alexander Mattison,MIA,11,RB43,154,124,142,120,,135
131,New Orleans Saints,DST,14,DST6,105,144,123,169,,135.3
132,Matt Gay,WAS,14,K6,113,136,134,160,,135.8
133,Tyler Boyd,,,WR49,126,128,166,131,,137.8
134,Garrett Wilson,NYJ,10,WR50,120,120,157,155,,138
135,Dallas Cowboys,DST,9,DST7,130,139,108,178,,138.8
136,Michael Gallup,WAS,14,WR51,140,143,149,125,,139.3
137,Nyheim Hines,,,RB44,131,127,188,116,,140.5
138,Tua Tagovailoa,MIA,11,QB16,135,149,141,137,,140.5
139,Green Bay Packers,DST,14,DST8,100,146,130,194,,142.5
140,Skyy Moore,KC,8,WR52,137,122,185,127,,142.8
141,Julio Jones,,,WR53,160,118,154,143,,143.8
142,Raheem Mostert,LV,6,RB45,134,182,145,118,,144.8
143,Russell Gage Jr.,SF,9,WR54,139,165,133,145,,145.5
144,Kenneth Gainwell,PIT,9,RB46,170,142,164,111,,146.8
145,DJ Chark Jr.,,,WR55,145,170,140,135,,147.5
146,Justin Fields,NYJ,10,QB17,149,158,146,139,,148
147,Los Angeles Chargers,DST,8,DST9,150,129,120,196,,148.8
148,Marquez Valdes-Scantling,SEA,11,WR56,123,137,172,163,,148.8
149,Matt Prater,,,K7,157,145,116,186,,151
150,Brian Robinson Jr.,WAS,14,RB47,165,156,158,136,,153.8
151,Trevor Lawrence,JAC,11,QB18,142,168,169,141,,155
152,Tyler Higbee,LAR,7,TE15,152,148,129,192,,155.3
153,Jarvis Landry ,,,WR57,148,140,195,146,,157.3
154,Baltimore Ravens,DST,10,DST10,119,125,171,224,,159.8
155,DeVante Parker,,,WR58,167,150,163,166,,161.5
156,David Njoku,CLE,9,TE16,155,155,181,156,,161.8
157,Jakobi Meyers,LV,6,WR59,133,172,206,138,,162.3
158,Noah Fant,SEA,11,TE17,153,191,160,153,,164.3
159,J.D. McKissic ,,,RB48,163,171,204,123,,165.3
160,New England Patriots,DST,10,DST11,181,181,105,197,,166
161,Jameis Winston,NYG,9,QB19,166,164,186,149,,166.3
162,Younghoe Koo,ATL,14,K8,179,152,80,255,,166.5
163,Mecole Hardman Jr.,GB,14,WR60,182,186,139,168,,168.8
164,Denver Broncos,DST,9,DST12,184,157,165,170,,169
165,Miami Dolphins,DST,11,DST13,158,220,104,195,,169.3
166,Albert Okwuegbunam Jr.,IND,14,TE18,190,131,184,172,,169.3
167,Jamaal Williams,,,RB49,168,177,205,130,,170
168,Nick Folk,,,K9,141,166,132,249,,172
169,Matt Ryan,,,QB20,171,187,170,161,,172.3
170,Brandon McManus,GB,14,K10,138,151,192,214,,173.8
171,Jahan Dotson,PHI,7,WR61,151,160,241,147,,174.8
172,Pittsburgh Steelers,DST,9,DST14,147,176,148,228,,174.8
173,Irv Smith Jr.,HOU,6,TE19,162,169,240,132,,175.8
174,Romeo Doubs,GB,14,WR62,180,154,213,158,,176.3
175,Isaiah McKenzie,,,WR63,200,173,175,157,,176.3
176,Robert Tonyan,KC,8,TE20,201,179,180,151,,177.8
177,Ryan Succop,,,K11,194,199,106,217,,179
178,Mark Ingram II ,,,RB50,203,159,174,180,,179
179,Khalil Herbert,IND,14,RB51,176,162,254,133,,181.3
180,Ryan Tannehill ,,,QB21,175,215,168,183,,185.3
181,Tyler Allgeier,ATL,14,RB52,185,167,265,128,,186.3
182,Rondale Moore,MIN,7,WR64,202,161,217,165,,186.3
183,Mac Jones,SF,9,QB22,173,185,167,227,,188
184,Gerald Everett,,,TE21,217,194,161,185,,189.3
185,Rachaad White,TB,11,RB53,219,163,266,124,,193
186,Evan Engram,DEN,9,TE22,191,217,177,190,,193.8
187,Deshaun Watson,CLE,9,QB23,196,195,155,232,,194.5
188,Baker Mayfield,TB,11,QB24,174,202,193,212,,195.3
189,Philadelphia Eagles,DST,7,DST15,172,200,179,238,,197.3
190,Cleveland Browns,DST,9,DST16,188,201,199,204,,198
191,Zamir White,LV,6,RB54,225,178,252,150,,201.3
192,Robbie Gould,,,K12,189,184,173,259,,201.3
193,Odell Beckham Jr.,,,WR65,212,192,216,188,,202
194,Joshua Palmer,BUF,7,WR66,164,204,260,181,,202.3
195,Isiah Pacheco,KC,8,RB55,197,175,162,,,178
196,Hayden Hurst,,,TE23,186,214,225,199,,206
197,Kansas City Chiefs,DST,8,DST17,206,,151,193,,183.3
198,Robbie Chosen,,,WR67,169,218,246,201,,208.5
199,Austin Hooper,NE,10,TE24,199,206,220,211,,209
200,Jalen Tolbert,DAL,9,WR68,208,190,243,200,,210.3
201,Kenny Golladay,,,WR69,183,193,229,237,,210.5
202,Christian Watson,GB,14,WR70,,174,202,189,,188.3
203,Marvin Jones Jr.,,,WR71,159,229,245,216,,212.3
204,Wil Lutz,DEN,9,K13,215,203,210,221,,212.3
205,Ronald Jones,II,,RB56,,198,156,219,,191
206,Nico Collins,HU,6 O,WR72,209,205,268,173,,213.8
207,Daniel Jones,IND,14,QB25,187,235,231,202,,213.8
208,Rodrigo Blankenship,,,K14,213,180,214,251,,214.5
209,Jared Goff,DET,6,QB26,207,234,234,184,,214.8
210,Chuba Hubbard,CAR,13,RB57,,188,182,209,,193
211,Taysom Hill,NO,14,TE25,205,207,201,253,,216.5
212,Greg Joseph,SF,9,K15,178,,200,208,,195.3
213,Sammy Watkins,,,WR73,226,183,224,235,,217
214,Isaiah Spiller,,,RB58,,153,270,176,,199.7
215,Cincinnati Bengals,DST,10,DST18,195,221,189,277,,220.5
216,Kenyan Drake,,,RB59,227,228,251,179,,221.3
217,Chris Boswell,PIT,9,K16,198,,150,260,,202.7
218,Jameson Williams,DET,6,WR74,,189,221,198,,202.7
219,Kenny Pickett,CLE,9,QB27,211,210,209,271,,225.3
220,Mason Crosby,,,K17,224,,117,,,170.5
221,Carson Wentz,,,QB28,177,,226,222,,208.3
222,Logan Thomas,,,TE26,,244,190,191,,208.3
223,Alec Pierce,IND,14,WR75,,196,264,174,,211.3
224,Jerick McKinnon,,,RB60,,224,196,229,,216.3
225,Van Jefferson,TEN,6,WR76,,233,152,267,,217.3
226,Jake Elliott,PHI,7,K18,214,,198,242,,218
227,Marlon Mack,,,RB61,,197,178,,,187.5
228,D'Onta Foreman,,,RB62,,211,271,175,,219
229,Marcus Mariota,WAS,14,QB29,223,230,255,234,,235.5
230,Isaiah Likely,BAL,10,TE27,221,,232,210,,221
231,Darrel Williams,,,RB63,,219,,164,,191.5
232,Tennessee Titans,DST,6,DST19,,222,183,261,,222
233,Minnesota Vikings,DST,7,DST20,222,,203,247,,224
234,Wan'Dale Robinson,NYG,9,WR77,,208,279,187,,224.7
235,Zach Wilson,MIA,11,QB30,218,238,236,264,,239
236,K.J. Osborn,WAS,14,WR78,,209,258,213,,226.7
237,Myles Gaskin ,,,RB64,,,194,206,,200
238,Washington Commanders,DST,14,DST21,193,,239,263,,231.7
239,Cade York,,,K19,204,,248,250,,234
240,Rex Burkhead,,,RB65,216,,269,218,,234.3
241,Corey Davis,,,WR79,,,187,236,,211.5
242,Tyrion Davis-Price,TEN,6,RB66,,216,,207,,211.5
243,Parris Campbell,DAL,9,WR80,,242,,182,,212
244,A.J. Green,,,WR81,,213,211,,,212
245,Graham Gano,NYG,9,K20,192,,237,,,214.5
246,Kyle Rudolph,,,TE28,210,223,280,,,237.7
247,Dustin Hopkins,CLE,9,K21,,,219,215,,217
248,Cameron Brate,,,TE29,,239,212,269,,240
249,Jeff Wilson Jr.,,,RB67,,,,167,,167
250,Randall Cobb,,,WR82,,227,222,,,224.5
251,Eno Benjamin,,,RB68,,225,,225,,225
252,Dontrell Hilliard ,,,RB69,,226,,226,,226
253,Mitchell Trubisky,BUF,7,QB31,220,,247,266,,244.3
254,Mike Davis,,,RB70,,,,177,,177
255,KJ Hamler,BUF,7,WR83,,212,,246,,229
256,Arizona Cardinals,DST,13,DST22,,,191,276,,233.5
257,Kendrick Bourne,NE,10,WR84,,,227,243,,235
258,Randy Bullock,,,K22,,,197,,,197
259,Sony Michel,,,RB71,,240,,240,,240
260,Donovan Peoples-Jones,NO,14,WR85,,236,263,262,,253.7
261,Ameer Abdullah,,,RB72,,,282,203,,242.5
262,Matt Breida,,,RB73,,,,205,,205
263,David Bell,CLE,9,WR86,,241,,245,,243
264,Las Vegas Raiders,DST,6,DST23,,,207,,,207
265,Jason Sanders,MIA,11,K23,,,218,270,,244
266,Austin Seibert,,,K24,,,208,,,208
267,Gus Edwards,,,RB74,,237,,257,,247
268,Chicago Bears,DST,14,DST24,,,223,272,,247.5
269,C.J. Uzomah,,,TE30,,,215,,,215
270,Samaje Perine,CIN,10,RB75,,231,,268,,249.5
271,Davis Mills,HOU,6,QB32,,,267,233,,250
272,Jordan Mason,MIN,7,RB76,,,,220,,220
273,Hassan Haskins,LAC,8,RB77,,245,,256,,250.5
274,Carolina Panthers,DST,13,DST25,,,228,274,,251
275,Brevin Jordan,HOU,6,TE31,,,,223,,223
276,Jamison Crowder,,,WR87,,246,261,,,253.5
277,Curtis Samuel,BUF,7,WR88,,243,274,273,,263.3
278,Cairo Santos,CHI,14,K25,,,230,,,230
279,Ke'Shawn Vaughn,,,RB78,,,,230,,230
280,Damien Williams,,,RB79,,,,231,,231
281,Zack Moss,CIN,10,RB80,,,235,278,,256.5
282,Jimmy Garoppolo,LAR,7,QB33,,,233,,,233
283,Brett Maher,,,K26,,,238,,,238
284,Boston Scott,,,RB81,,,285,239,,262
285,D'Ernest Johnson,,,RB82,,,292,241,,266.5
286,Jason Myers,SEA,11,K27,,,244,,,244
287,Joshua Kelley,,,RB83,,,,244,,244
288,DeAndre Torrey,,,RB84,,247,,,,247
289,Mo Alie-Cox,IND,14,TE32,,,,248,,248
290,Jake Powell,,,TE33,,248,,,,248
291,Anthony Johnson,,,DT1,,249,,,,249
292,Tyler Conklin,LAC,8,TE34,,,250,,,250
293,Collin Hill,,,QB34,,250,,,,250
294,Chad Muma,JAC,11,LB1,,251,,,,251
295,Ben Johnson,,,OT1,,252,,,,252
296,Braxton Berrios,HOU,6,WR89,,,,252,,252
297,Kyle Juszczyk,SF,9,RB85,,,253,,,253
298,Austin Walter,,,RB86,,253,,,,253
299,Zay Jones,ARI,13,WR90,,,,254,,254
300,Kayvon Thibodeaux,NYG,9,DE1,,254,,,,254
301,Karan Higdon,,,RB87,,255,,,,255
302,Marquez Callaway,,,WR91,,,257,279,,268
303,Seattle Seahawks,DST,11,DST26,,,256,,,256
304,Jordan Johnson,,,RB88,,256,,,,256
305,Stephen Baggett,,,TE35,,257,,,,257
306,Alex Barnes,,,RB89,,258,,,,258
307,Jaylen Warren,PIT,9,RB90,,,,258,,258
308,Detroit Lions,DST,6,DST27,,,259,,,259
309,Zach Olstad,,,RB91,,259,,,,259
310,Temarrick Hemingway,,,TE36,,260,,,,260
311,Jerome Washington,,,TE37,,261,,,,261
312,New York Giants,DST,9,DST28,,,262,,,262
313,Stephon Robinson Jr.,,,WR92,,262,,,,262
314,Nick Bawden,,,RB92,,263,,,,263
315,Michael Jacobson,NO,14,TE38,,264,,,,264
316,Jamel Johnson,,,WR93,,265,,,,265
317,Sterling Shepard,TB,11,WR94,,,298,265,,281.5
318,Brandon Barnes,,,TE39,,266,,,,266
319,Drew Anderson,,,QB35,,267,,,,267
320,Zach Conque,,,QB36,,268,,,,268
321,Bobby Wagner,WAS,14,LB2,,269,,,,269
322,Kendrick Rogers,,,WR95,,270,,,,270
323,Taywan Taylor,,,WR96,,271,,,,271
324,New York Jets,DST,10,DST29,,,272,,,272
325,Kyle Lewis,,,WR97,,272,,,,272
326,Ryan Davis,,,DE2,,273,,,,273
327,Jonnu Smith,MIA,11,TE40,,,273,,,273
328,Papi White,,,WR98,,274,,,,274
329,Laviska Shenault Jr.,BUF,7,WR99,,,,275,,275
330,Houston Texans,DST,6,DST30,,,276,,,276
331,Krishawn Hogan,,,WR100,,276,,,,276
332,Brogan Roback,,,QB37,,277,,,,277
333,Cedrick Wilson Jr.,NO,14,WR101,,,278,,,278
334,Cole Hunt,,,TE41,,278,,,,278
335,David Watford,,,WR102,,279,,,,279
336,Chris Evans,,,RB93,,,,280,,280
337,Zaire Mitchell-Paden,BAL,10,TE42,,280,,,,280
338,Brandon Bolden,,,RB94,,,281,,,281
339,Josh Smith,,,WR103,,281,,,,281
340,Nelson Agholor,,,WR104,,,283,,,283
341,Foster Moreau,NO,14,TE43,,,284,,,284
342,Quez Watkins,ARI,13,WR105,,,287,,,287
343,J.J. Taylor,HOU,6,RB95,,,288,,,288
344,Byron Pringle,,,WR106,,,289,,,289
345,Jacksonville Jaguars,DST,11,DST31,,,290,,,290
346,Drew Lock,SEA,11,QB38,,,291,,,291
347,Jauan Jennings,SF,9,WR107,,,293,,,293
348,DeeJay Dallas,ARI,13,RB96,,,294,,,294
349,Ka'imi Fairbairn,HOU,6,K28,,,295,,,295
350,Trey Sermon,PIT,9,RB97,,,296,,,296
351,Malik Willis,GB,14,QB39,,,297,,,297
352,Joey Slye,TEN,6,K29,,,299,,,299
353,O.J. Howard,,,TE44,,,300,,,300
