Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,AVG
1,Christian McCaffrey,SF,6,RB1,1,1,1,1,,1
2,Dalvin Cook,,,RB2,2,2,2,2,,2
3,Alvin Kamara,NO,6,RB3,3,3,4,3,,3
4,Derrick Henry,BAL,8,RB4,4,4,3,4,,4
5,Ezekiel Elliott,,,RB5,8,5,8,5,,5.8
6,Davante Adams,LAR,11,WR1,5,10,10,6,,6.6
7,Travis Kelce,KC,12,TE1,7,12,5,9,,8.4
8,Aaron Jones Sr.,MIN,7,RB6,10,11,7,11,,9.4
9,Saquon Barkley,PHI,14,RB7,6,7,9,10,,9.6
10,Austin Ekeler,WAS,9,RB8,13,13,6,8,,10.4
11,Jonathan Taylor,IND,14,RB9,11,9,12,7,,10.4
12,Nick Chubb,,,RB10,12,6,11,12,,10.4
13,Tyreek Hill,MIA,14,WR2,9,8,13,13,,10.6
14,Stefon Diggs,NE,14,WR3,14,15,14,14,,14
15,Najee Harris,LAC,7,RB11,15,16,16,16,,15.6
16,DeAndre Hopkins,BAL,8,WR4,17,17,17,19,,17.2
17,Antonio Gibson,NE,14,RB12,16,21,20,15,,17.6
18,Patrick Mahomes II,KC,12,QB1,19,14,15,21,,18.2
19,Calvin Ridley,TEN,13,WR5,20,19,18,18,,18.4
20,DK Metcalf,PIT,7,WR6,18,18,19,20,,18.8
21,Joe Mixon,HOU,10,RB13,24,20,25,17,,20.8
22,Darren Waller,,,TE2,21,26,22,22,,22.4
23,Justin Jefferson,MIN,7,WR7,23,23,23,23,,23.4
24,A.J. Brown,PHI,14,WR8,22,22,21,25,,23.8
25,Clyde Edwards-Helaire,NO,6,RB14,26,25,26,24,,24.2
26,George Kittle,SF,6,TE3,25,24,24,32,,26.8
27,Keenan Allen,,,WR9,28,27,29,30,,27.4
28,Terry McLaurin,WAS,9,WR10,27,29,32,27,,29.6
29,Josh Allen,BUF,7,QB2,29,28,27,33,,30
30,David Montgomery,DET,9,RB15,34,35,31,26,,30.2
31,Allen Robinson,II,,WR11,32,31,28,34,,32
32,Chris Carson ,,,RB16,37,34,36,31,,32.4
33,CeeDee Lamb,DAL,7,WR12,30,40,33,28,,32.8
34,James Robinson ,,,RB17,31,37,56,29,,33.4
35,Mike Evans,TB,9,WR13,33,32,37,40,,35.4
36,Josh Jacobs,GB,13,RB18,40,30,42,36,,36.4
37,D'Andre Swift,CHI,10,RB19,44,33,38,35,,36.8
38,Miles Sanders,DAL,7,RB20,35,39,48,38,,38.2
39,Robert Woods,PIT,7,WR14,36,47,39,37,,38.4
40,Kyler Murray,ARI,12,QB3,39,36,35,44,,40.2
41,Amari Cooper,,,WR15,38,42,41,42,,41.2
42,Chris Godwin,TB,9,WR16,46,44,40,41,,42.4
43,Lamar Jackson,BAL,8,QB4,43,43,34,50,,44.8
44,Cooper Kupp,SEA,9,WR17,47,46,53,43,,46
45,Julio Jones,,,WR18,49,41,30,56,,46.2
46,Kyle Pitts,ATL,6,TE4,50,38,46,49,,47
47,Tyler Lockett,TEN,13,WR19,42,52,51,47,,49.2
48,Myles Gaskin,,,RB21,61,56,59,46,,49.8
49,Mark Andrews,BAL,8,TE5,45,48,44,53,,50.6
50,Adam Thielen,CAR,13,WR20,41,51,54,61,,50.6
51,Diontae Johnson,CLE,13,WR21,53,60,49,54,,51.8
52,DJ Moore,CHI,10,WR22,54,50,61,51,,53.4
53,Aaron Rodgers,,,QB5,48,57,43,64,,54.4
54,Russell Wilson,NYG,10,QB6,55,49,47,65,,55.6
55,Dak Prescott,DAL,7,QB7,51,59,45,58,,56
56,Mike Davis,,,RB22,67,64,52,45,,56.8
57,Kareem Hunt,KC,12,RB23,58,53,58,59,,57.2
58,T.J. Hockenson,MIN,7,TE6,57,55,55,60,,58.2
59,Darrell Henderson Jr.,,,RB24,75,45,70,52,,60
60,Javonte Williams,DAL,7,RB25,63,62,84,48,,60.6
61,Brandon Aiyuk,SF,6,WR23,59,61,64,62,,60.8
62,Chase Edmonds,,,RB26,56,70,83,55,,62
63,Justin Herbert,LAC,7,QB8,62,54,50,67,,62.2
64,Tee Higgins,CIN,10,WR24,60,66,77,66,,64.8
65,Gus Edwards ,,,RB27,52,68,99,39,,65.2
66,Odell Beckham Jr.,,,WR25,65,65,66,75,,67.8
67,Raheem Mostert,LV,8,RB28,79,72,85,63,,68.8
68,Chase Claypool,,,WR26,71,71,63,70,,69.2
69,JuJu Smith-Schuster,KC,12,WR27,68,69,73,71,,70.8
70,Tom Brady,,,QB9,64,75,57,78,,71.8
71,Damien Harris,,,RB29,76,88,113,57,,72
72,Jerry Jeudy,CLE,13,WR28,69,76,82,74,,72.4
73,Ja'Marr Chase,CIN,10,WR29,78,58,81,86,,74.4
74,Kenny Golladay,,,WR30,72,67,79,73,,74.8
75,DeVonta Smith,PHI,14,WR31,81,73,78,76,,77
76,Robbie Chosen,,,WR32,70,80,88,77,,77.4
77,Michael Thomas ,,,WR33,89,63,80,91,,79.2
78,Courtland Sutton,DEN,11,WR34,73,81,96,69,,79.6
79,Melvin Gordon,III,,RB30,103,77,87,79,,79.6
80,Logan Thomas ,,,TE7,66,103,94,80,,81.2
81,Noah Fant,SEA,9,TE8,80,74,90,89,,84.2
82,Leonard Fournette,,,RB31,87,78,92,87,,86.4
83,Trey Sermon,PIT,7,RB32,120,82,118,68,,87.2
84,Deebo Samuel Sr.,WAS,9,WR35,92,84,128,81,,88
85,Matthew Stafford,LAR,11,QB10,93,89,69,88,,88.2
86,Robert Tonyan,KC,12,TE9,88,93,76,90,,88.4
