Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,AVG
1,David Johnson,,,RB1,1,,,,,1
2,Le'Veon Bell,,,RB2,2,,,,,2
3,Antonio Brown,,,WR1,3,,,,,3
4,Julio Jones,,,WR2,4,,,,,4
5,Odell Beckham Jr.,,,WR3,5,,,,,5.2
6,LeSean McCoy,,,RB3,6,,,,,6.4
7,Mike Evans,TB,1,WR4,9,,,,,7
8,A.J. Green,,,WR5,10,,,,,8.6
9,Devonta Freeman,,,RB4,8,,,,,9.4
10,Melvin Gordon,III,,RB5,11,,,,,9.6
11,Jordy Nelson,,,WR6,7,,,,,10.4
12,Michael Thomas,,,WR7,12,,,,,12
13,Jordan Howard,,,RB6,13,,,,,14.4
14,DeMarco Murray,,,RB7,14,,,,,14.4
15,Jay Ajayi,,,RB8,15,,,,,15
16,Ezekiel Elliott,,,RB9,21,,,,,15.4
17,Amari Cooper,,,WR8,19,,,,,18
18,Todd Gurley,II,,RB10,18,,,,,18.6
19,Brandin Cooks,NO,5,WR9,16,,,,,19.8
20,Rob Gronkowski,,,TE1,17,,,,,19.8
21,Dez Bryant,,,WR10,24,,,,,20.2
22,Aaron Rodgers,,,QB1,20,,,,,22.8
23,Doug Baldwin,,,WR11,23,,,,,22.8
24,Leonard Fournette,,,RB11,26,,,,,24.8
25,T.Y. Hilton,,,WR12,25,,,,,26.2
26,Christian McCaffrey,SF,11,RB12,30,,,,,27.2
27,DeAndre Hopkins,BAL,10,WR13,29,,,,,28.2
28,Demaryius Thomas,,,WR14,32,,,,,30.2
29,Lamar Miller,,,RB13,27,,,,,30.6
30,Tom Brady,,,QB2,22,,,,,30.8
31,Keenan Allen,,,WR15,40,,,,,32.6
32,Terrelle Pryor Sr.,,,WR16,31,,,,,33.4
33,Isaiah Crowell,,,RB14,36,,,,,33.8
34,Dalvin Cook,,,RB15,42,,,,,34.2
35,Marshawn Lynch,,,RB16,28,,,,,35.8
36,Travis Kelce,KC,10,TE2,41,,,,,36
37,Alshon Jeffery,,,WR17,35,,,,,37
38,Kareem Hunt,KC,10,RB17,33,,,,,38.2
39,Michael Crabtree,,,WR18,37,,,,,41
40,Carlos Hyde,,,RB18,38,,,,,41.4
41,Davante Adams,LAR,8,WR19,48,,,,,41.6
42,Ty Montgomery,II,,RB19,45,,,,,42
43,Drew Brees,,,QB3,34,,,,,42.8
44,Joe Mixon,HOU,7,RB20,57,,,,,43.8
45,Golden Tate,,,WR20,47,,,,,46.4
46,Allen Robinson,II,,WR21,60,,,,,47.2
47,Larry Fitzgerald,,,WR22,44,,,,,47.8
48,Greg Olsen,,,TE3,43,,,,,48
49,Tyreek Hill,MIA,1,WR23,54,,,,,50.4
50,Jordan Reed,,,TE4,46,,,,,50.6
51,Kelvin Benjamin,,,WR24,49,,,,,51.2
52,Martavis Bryant,,,WR25,58,,,,,51.2
53,Jarvis Landry,,,WR26,52,,,,,52.8
54,Mark Ingram,II,,RB21,55,,,,,55.6
55,Matt Ryan,,,QB4,39,,,,,56
56,Stefon Diggs,NE,9,WR27,67,,,,,56.8
57,Jimmy Graham,,,TE5,53,,,,,58
58,Bilal Powell,,,RB22,56,,,,,58.8
59,Sammy Watkins,,,WR28,63,,,,,59
60,Emmanuel Sanders,,,WR29,50,,,,,60
61,C.J. Anderson,,,RB23,69,,,,,60.8
62,DeVante Parker,,,WR30,71,,,,,61.4
63,Russell Wilson,NYG,8,QB5,51,,,,,63.8
64,Jamison Crowder,,,WR31,59,,,,,63.8
65,Ameer Abdullah,,,RB24,75,,,,,64
66,Brandon Marshall,,,WR32,68,,,,,67
67,Danny Woodhead,,,RB25,65,,,,,67.8
68,Pierre Garcon,,,WR33,70,,,,,70
69,Tevin Coleman,,,RB26,90,,,,,71.2
70,Kyle Rudolph,,,TE6,72,,,,,74.2
71,Adrian Peterson,,,RB27,62,,,,,75.4
72,Doug Martin,,,RB28,97,,,,,76
73,Mike Gillislee,,,RB29,77,,,,,77.8
74,Delanie Walker,,,TE7,66,,,,,78.4
75,Zach Ertz,WAS,5,TE8,82,,,,,78.4
76,Tyler Eifert,,,TE9,95,,,,,78.8
77,Frank Gore,,,RB30,64,,,,,80.8
78,Jameis Winston,NYG,8,QB6,89,,,,,81.4
79,Theo Riddick,,,RB31,81,,,,,82.8
80,Robert Kelley,,,RB32,78,,,,,83.6
81,Kirk Cousins,ATL,5,QB7,74,,,,,84.4
82,Paul Perkins,,,RB33,88,,,,,84.6
83,Jeremy Maclin,,,WR34,86,,,,,84.6
84,Willie Snead,IV,,WR35,119,,,,,84.8
85,Marcus Mariota,WAS,5,QB8,92,,,,,84.8
86,Derek Carr,,,QB9,76,,,,,85.2
87,Cam Newton,,,QB10,61,,,,,86.8
88,DeSean Jackson,,,WR36,80,,,,,87.2
89,Martellus Bennett,,,TE10,85,,,,,89.8
90,Derrick Henry,BAL,10,RB34,130,,,,,90
91,Eric Decker,,,WR37,87,,,,,90.4
92,Randall Cobb,,,WR38,94,,,,,90.6
93,Duke Johnson Jr.,,,RB35,104,,,,,92.8
94,Tyrell Williams,,,WR39,112,,,,,93
95,Terrance West,,,RB36,84,,,,,95.4
96,Andrew Luck,,,QB11,110,,,,,99.6
97,Adam Thielen,CAR,11,WR40,108,,,,,100.8
98,Eddie Lacy,,,RB37,91,,,,,101.6
99,LeGarrette Blount,,,RB38,106,,,,,102.6
100,Darren McFadden,,,RB39,93,,,,,103
101,Chris Hogan,,,WR41,99,,,,,103.6
102,Ben Roethlisberger,,,QB12,102,,,,,104
103,Hunter Henry,NE,9,TE11,120,,,,,106.2
104,James White,,,RB40,118,,,,,107.8
105,Corey Coleman,,,WR42,132,,,,,109
106,Dak Prescott,DAL,6,QB13,73,,,,,109.8
107,Matthew Stafford,LAR,8,QB14,98,,,,,113.6
108,Thomas Rawls,,,RB41,124,,,,,114.2
109,Marvin Jones Jr.,,,WR43,137,,,,,117.2
110,Jonathan Stewart,,,RB42,113,,,,,117.6
111,Rishard Matthews,,,WR44,121,,,,,119.6
