Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Andre Johnson,TEN,2,2,100.00%,14,2,3.00%,2,2,100.00%,14,2,6.70%,All Andre Johnson red zone receiving plays
Charles Johnson,MIN,2,2,100.00%,8,0,2.70%,0,0,,0,0,0.00%,All Charles Johnson red zone receiving plays
T.J. Jones,DET,2,0,0.00%,0,0,2.40%,0,0,,0,0,0.00%,All T.J. Jones red zone receiving plays
Robert Kelley,WAS,2,2,100.00%,-1,1,2.70%,2,2,100.00%,-1,1,5.40%,All Robert Kelley red zone receiving plays
Ben Koyack,JAX,2,2,100.00%,17,1,3.00%,0,0,,0,0,0.00%,All Ben Koyack red zone receiving plays
Dion Lewis,NWE,2,1,50.00%,0,0,2.80%,1,1,100.00%,0,0,2.60%,All Dion Lewis red zone receiving plays
Christine Michael,SEA,2,2,100.00%,11,1,2.90%,2,2,100.00%,11,1,6.50%,All Christine Michael red zone receiving plays
Joshua Perkins,ATL,2,1,50.00%,8,0,2.20%,1,0,0.00%,0,0,2.00%,All Joshua Perkins red zone receiving plays
John Phillips,2TM,2,1,50.00%,1,1,,2,1,50.00%,1,1,,All John Phillips red zone receiving plays
Walt Powell,BUF,2,2,100.00%,6,0,4.10%,1,1,100.00%,5,0,5.00%,All Walt Powell red zone receiving plays
C.J. Prosise,SEA,2,2,100.00%,18,0,2.90%,0,0,,0,0,0.00%,All C.J. Prosise red zone receiving plays
Jacquizz Rodgers,TAM,2,2,100.00%,12,0,3.00%,0,0,,0,0,0.00%,All Jacquizz Rodgers red zone receiving plays
Austin Seferian-Jenkins,NYJ,2,0,0.00%,0,0,2.90%,1,0,0.00%,0,0,3.40%,All Austin Seferian-Jenkins red zone receiving plays
Cecil Shorts,TAM,2,0,0.00%,0,0,3.00%,1,0,0.00%,0,0,3.70%,All Cecil Shorts red zone receiving plays
James Starks,GNB,2,2,100.00%,9,1,2.00%,0,0,,0,0,0.00%,All James Starks red zone receiving plays
Ross Travis,KAN,2,0,0.00%,0,0,2.60%,1,0,0.00%,0,0,3.00%,All Ross Travis red zone receiving plays
Shane Vereen,NYG,2,2,100.00%,12,0,3.30%,0,0,,0,0,0.00%,All Shane Vereen red zone receiving plays
Joe Webb,CAR,2,0,0.00%,0,0,3.00%,0,0,,0,0,0.00%,All Joe Webb red zone receiving plays
Markus Wheaton,PIT,2,1,50.00%,6,0,3.10%,0,0,,0,0,0.00%,All Markus Wheaton red zone receiving plays
DeAngelo Williams,PIT,2,2,100.00%,15,2,3.10%,1,1,100.00%,4,1,3.40%,All DeAngelo Williams red zone receiving plays
Nick Williams,ATL,2,2,100.00%,20,0,2.20%,0,0,,0,0,0.00%,All Nick Williams red zone receiving plays
Marquess Wilson,CHI,2,1,50.00%,8,1,2.80%,1,1,100.00%,8,1,2.90%,All Marquess Wilson red zone receiving plays
Danny Woodhead,SDG,2,1,50.00%,4,1,2.30%,2,1,50.00%,4,1,5.70%,All Danny Woodhead red zone receiving plays
Jarius Wright,MIN,2,1,50.00%,1,1,2.70%,1,1,100.00%,1,1,3.10%,All Jarius Wright red zone receiving plays
Ameer Abdullah,DET,1,1,100.00%,11,1,1.20%,0,0,,0,0,0.00%,All Ameer Abdullah red zone receiving plays
Jerell Adams,NYG,1,1,100.00%,10,1,1.70%,1,1,100.00%,10,1,3.80%,All Jerell Adams red zone receiving plays
Javorius Allen,BAL,1,1,100.00%,7,0,1.40%,0,0,,0,0,0.00%,All Javorius Allen red zone receiving plays
Matt Barkley,CHI,1,1,100.00%,2,1,1.40%,1,1,100.00%,2,1,2.90%,All Matt Barkley red zone receiving plays
Kenjon Barner,PHI,1,1,100.00%,5,0,1.20%,0,0,,0,0,0.00%,All Kenjon Barner red zone receiving plays
Arrelious Benn,JAX,1,0,0.00%,0,0,1.50%,0,0,,0,0,0.00%,All Arrelious Benn red zone receiving plays
Nick Boyle,BAL,1,1,100.00%,5,0,1.40%,1,1,100.00%,5,0,3.60%,All Nick Boyle red zone receiving plays
Isaiah Burse,SDG,1,0,0.00%,0,0,1.10%,0,0,,0,0,0.00%,All Isaiah Burse red zone receiving plays
Reggie Bush,BUF,1,0,0.00%,0,0,2.00%,1,0,0.00%,0,0,5.00%,All Reggie Bush red zone receiving plays
Jeremy Butler,SDG,1,1,100.00%,5,0,1.10%,0,0,,0,0,0.00%,All Jeremy Butler red zone receiving plays
Jordan Cameron,MIA,1,1,100.00%,12,1,2.00%,0,0,,0,0,0.00%,All Jordan Cameron red zone receiving plays
Ka'Deem Carey,CHI,1,1,100.00%,3,0,1.40%,0,0,,0,0,0.00%,All Ka'Deem Carey red zone receiving plays
Jamaal Charles,KAN,1,1,100.00%,-2,0,1.30%,1,1,100.00%,-2,0,3.00%,All Jamaal Charles red zone receiving plays
Alex Collins,SEA,1,1,100.00%,4,0,1.40%,0,0,,0,0,0.00%,All Alex Collins red zone receiving plays
Cody Core,CIN,1,1,100.00%,10,0,1.60%,0,0,,0,0,0.00%,All Cody Core red zone receiving plays
Alan Cross,TAM,1,1,100.00%,3,1,1.50%,1,1,100.00%,3,1,3.70%,All Alan Cross red zone receiving plays
Geremy Davis,SDG,1,0,0.00%,0,0,1.10%,1,0,0.00%,0,0,2.90%,All Geremy Davis red zone receiving plays
Knile Davis,KAN,1,0,0.00%,0,0,1.30%,0,0,,0,0,0.00%,All Knile Davis red zone receiving plays
Patrick DiMarco,ATL,1,1,100.00%,1,1,1.10%,1,1,100.00%,1,1,2.00%,All Patrick DiMarco red zone receiving plays
Kenyan Drake,MIA,1,1,100.00%,3,0,2.00%,0,0,,0,0,0.00%,All Kenyan Drake red zone receiving plays
Andre Ellington,ARI,1,0,0.00%,0,0,1.30%,0,0,,0,0,0.00%,All Andre Ellington red zone receiving plays
Alex Erickson,CIN,1,1,100.00%,7,0,1.60%,1,1,100.00%,7,0,3.30%,All Alex Erickson red zone receiving plays
