Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
6.9,Will Mallory,IND,,,,0,1.7,0,1.5,0,0,2,,,1.7,,0,0,,
188.8,Mark Andrews,BLT,3.4,9.1,0,0,9.5,15.6,20.1,14.6,4.6,18.8,4.2,15.6,18.9,,10.4,13.8,14.8,15.4
73.2,Ja'Tavion Sanders,CAR,1.4,2.8,0,3.6,4.3,9.9,12.1,1.7,12.7,8.8,,7.9,,0,0,0,1.5,6.5
113.6,Chigoziem Okonkwo,TEN,9.5,4.6,3.5,1.5,,3.6,9,3.4,6.8,2.4,3.9,14,5.7,3.8,13.9,17.1,10.9,0
1.7,Geoff Swaim,CLV,,,0,0,0,0,0,1.7,0,,0,,,,,,,
17.8,Brevyn Spann-Ford,DAL,0,0,0,0,4,0,,0,0,0,8.2,4.4,0,0,1.2,0,0,0
0,Thomas Odukoya,TEN,,,,,,,,,,,,,,,0,,,
9.7,Tip Reiman,ARZ,0,0,0,0,1.5,0,1.1,0,0,0,,0,1.9,2.4,2.8,0,0,0
8.2,Ben Sims,GB,0,0,0,0,0,5.8,1.2,0,0,,0,0,0,1.2,0,0,0,0
11.5,Luke Musgrave,GB,0,1.6,1.3,4.3,,,,,,,,,,,,0,1.4,2.9
18.7,Luke Farrell,JAX,0,3.3,1.1,0,3.7,0,0,0,1.5,3.6,1.3,,0,0,0,2.8,0,1.4
65.8,Josh Oliver,MIN,4.7,0,0,9,0,,1.5,11,16.8,9.2,6.4,,,3.6,0,0,0,3.6
3,Jack Stoll,MIA,,,0,1.4,,0,0,1.6,0,0,,,,,,0,0,
105.5,Taysom Hill,NO,4.6,2.9,,14.4,,,,6.1,16,7,44.8,,9.7,,,,,
0,Stephen Sullivan,CAR,,,,,,,,,,,,,0,,,,,
1.2,John FitzPatrick,GB,,,,,,,,0,0,,0,1.2,,0,0,0,0,0
25.9,Andrew Ogletree,IND,0,2.2,0,8.5,1.5,4.4,0,0,0,1.2,1.8,0,3.2,,0,0,0,3.1
119.9,Tyler Conklin,NYJ,1.6,2,14.3,5.7,11.5,3,10.7,13.2,0.7,1.8,1.7,,7.2,6.3,,10.9,19.7,9.6
118.2,Dalton Schultz,HST,4.6,4.1,3.1,6.4,7.4,6.7,3.8,9.2,5.1,9.6,8.3,4,17.1,,3.3,15.5,4.1,5.9
0,Teagan Quitoriano,HST,,,,,,0,0,0,0,0,0,0,,,,,,
142.6,Cade Otton,TB,1.5,-0.4,11.7,11.2,7.4,9.5,18,29.1,21.7,8.5,,4,6,10,4.4,,,
0,Jack Westover,NE,,,,,,,,,,,,0,,,,,,0
197.4,Travis Kelce,KC,6.4,1.6,7,15.9,16,,5.7,25,24,20.4,2.8,12.2,13.8,9.5,6.7,8,22.4,
32.2,Kylen Granson,IND,0,1.9,5,0,0,0,0,1.4,3.2,3.5,1.4,0,0,,7.7,0,6.4,1.7
58.4,Tommy Tremble,CAR,,5.3,5.9,0,1.7,,,3.3,,,,1.5,12.7,7.3,3.5,6.2,0,11
12,Chris Manhertz,NYG,0,0,0,0,0,0,0,0,7.2,0,,0,0,0,0,0,2.2,2.6
0,Nick Muse,MIN,0,,,,,,,,,,,0,0,,,,,
13,Hunter Long,LA,0,0,0,0,3.6,,1.5,2.8,1.4,0,0,0,0,0,3.7,0,0,0
16.4,John Bates,WAS,0,1.5,0,1.9,0,0,0,3,0,0,3.7,2.3,0,,1.6,0,2.4,0
35.8,Erick All,CIN,0,7.2,6.2,6.8,3,3,0,5.2,4.4,,,,,,,,,
1.7,Jared Wiley,KC,0,1.7,0,0,0,,0,0,,,,,,,,,,
0,Brady Russell,SEA,0,0,0,0,0,0,,0,0,,,,,0,,,,
2.9,Eric Tomlinson,LAC,0,0,0,0,,0,1.7,0,1.2,,,,,,0,,,
172.3,Pat Freiermuth,PIT,6.7,7.9,7.3,16.7,11.2,3.6,7.1,3.9,,10.7,3.4,9.9,18.8,13.8,11.2,4.6,13,22.5
