Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
0,Feleipe Franks,ATL,,,0,0,0,,0,0,0,,,,0,,0,0,,
6.5,Chase Daniel,LAC,,0,,,,,,,,0,,,,,,,1.1,5.4
110.3,Brock Purdy,SF,,,,,-0.1,,1.7,,,,0.3,,15.3,21.7,16.5,17,18.1,19.8
169.2,Ryan Tannehill,TEN,19.3,2.9,19.8,14.4,11.5,,5.9,,,19.4,20,12.5,13,18.8,11.7,,,
133.4,Baker Mayfield,LA,19,13.3,10.7,9.9,7.6,,,,14.2,,7,,,14.2,7.5,17.4,6.1,6.5
0.8,Brandon Allen,CIN,,,,,,,,,0.8,,,,,,,,,
26.3,Malik Willis,TEN,,1.8,,,,,0,2.4,7.2,-0.4,,,1.4,,1.6,12.3,,
59.6,Joe Flacco,NYJ,15.4,28.9,9.4,,,,,,,,,,,0,,,,6
305.6,Kirk Cousins,MIN,19.1,11.8,18.3,13.9,21.2,14.5,,25.5,17.4,17.5,4.2,22.9,11.8,25,32.4,24.2,12.9,13
178.3,Matt Ryan,IND,18.3,4.8,17.3,20.8,8.1,27.2,11.9,,,22.7,8.6,13.2,14.1,,11.3,,,
294,Justin Herbert,LAC,23.3,24.5,15.6,21.1,14.4,9.4,20.9,,13.1,13,19.9,26.8,17.9,19.5,10.7,8.5,16.7,18.7
9,Chris Streveler,NYJ,,,,,,,,,,,,,,,,9,,
15.8,Jeff Driskel,HST,0.5,1,,,,,,,,,,,,9.1,1.1,1.8,1.1,1.2
12.3,Tyrod Taylor,NYG,,,,2.4,,,,,,,,,,9.9,,,0,
233.1,Derek Carr,LV,16.8,19,20.8,11.5,17.9,,13.5,2.9,18.4,17.9,20.3,22.8,17,4.6,20.2,9.4,,
-0.9,Tim Boyle,CHI,,,,,,,,,,,,,,,,,,-0.9
62.6,Mike White,NYJ,,,,,,,,,,,,24.8,19.5,10.7,,,7.6,
11.2,Trevor Siemian,CHI,,,,,,,,0.2,,,,11,,,,,,
132,Taylor Heinicke,WAS,,,,,,,15.4,23.1,14.7,8.4,7.8,12.4,19.6,,17.3,13.2,,
