Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
11.8,Kyle Rudolph,TB,,,2.2,,0,,1.8,0,0,,,,0,,,0,0,7.8
188.5,Mark Andrews,BLT,10.2,25.7,28.9,3.5,22.9,23.6,0.4,6.3,,,12.3,9,9.4,3.7,6.1,7.5,19,
95.2,Chigoziem Okonkwo,TEN,1.7,0,0,12.8,0,,0,1.3,5.8,5.1,4.1,6.5,10.8,16.5,10,2,5.4,13.2
3.1,Sean McKeon,DAL,,,0,,,2,0,0,,1.1,0,0,0,0,0,0,0,0
0,Garrett Griffin,DET,,,,,,,,,,,,,,,,0,,
23.8,Geoff Swaim,TEN,4.9,0,10.9,0,1.5,,0,0,0,0,1.3,0,1.4,0,0,0.9,1.4,1.5
9.7,Tyler Kroft,SF,1.9,0,,,,,,1.6,,0,0,,2.4,0,3.8,0,0,0
8,Luke Farrell,JAX,0,0,0,,0,2.1,0,0,2.5,0,,0,1.3,0,0,0,0,2.1
40.9,Josh Oliver,BLT,0,0,8.8,0,0,4.1,0,1.4,2.9,,1.2,17.6,0,0,3.3,1.6,0,0
23.3,Jack Stoll,PHI,0,0,1.4,0,0,3.1,,0,2.3,2.1,1.7,0,7.1,4,1.6,0,0,0
128.2,Taysom Hill,NO,15.3,1.4,,8.1,29.2,3.9,8.2,8.2,0.6,0.1,7,3,12.5,,3,11.6,12.6,3.5
6.6,Stephen Sullivan,CAR,,2.3,0,0,,0,0,4.3,,0,0,0,,0,0,0,0,0
14,Armani Rogers,WAS,3.3,0,0,0,0,0,5.8,2.3,2.4,0,,,,,,,,0.2
6.6,Tyler Davis,GB,1.3,0,4.6,0,0.7,0,0,0,0,0,0,0,0,,0,0,0,0
0,Cethan Carter,MIA,0,,,,,,,,,,,,,,,,,
131.5,Tyler Conklin,NYJ,11.6,10,16.4,8.2,0,2.7,6.2,25.9,1.7,,3.5,8,2.9,7.8,1.9,7.4,14,3.3
144.7,Dalton Schultz,DAL,13.2,3.8,,0,0,,9.9,13.4,,17.4,5.2,19.1,5.3,14.7,3.5,7.3,24.6,7.3
30.3,Teagan Quitoriano,HST,,,,,,,,,7.2,0,0,4,0,0,7.8,0,,11.3
93.1,Cade Otton,TB,0,1.4,,5.9,10.3,4.3,10.4,3.5,17.8,6.5,,0,14.8,6.8,3,3.2,3.7,1.5
316.3,Travis Kelce,KC,26.1,10.1,15.9,24.2,33.5,19.2,15.8,,20.6,20.1,35.5,15.7,9.6,11.1,20.5,17.3,11.3,9.8
17.2,Tre' McKitty,LAC,5.4,0,0,1.4,0,0,0,,0,5.1,0,0,1.8,1.5,0,2,0,0
5.5,Kendall Blanton,LA,,,3.8,1.7,0,0,,,,,,,,,,,,
61.2,Kylen Granson,IND,5.2,3.4,2.7,10.2,2.6,7.8,1.6,4.1,0,9.7,2.6,,5.9,,5.4,,,
10,Blake Bell,KC,,,,,,,,,,,,,,,,0,8.7,1.3
54.4,Tommy Tremble,CAR,1.1,0,1.7,6.4,0,0,9.9,3.7,9.1,0,0,1.2,,0,4,3.8,12.3,1.2
10.2,Chris Manhertz,JAX,0,0,0,1,3.5,0,0,0.9,1.7,0,,0,0,3.1,0,0,0,0
6.6,Ryan Griffin,CHI,0,2.8,,,1.1,0,1.5,0,0,0,0,0,0,,0,1.2,0,0
