Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
380.3,Josh Allen,BUF,33.2,9.8,30.9,9.3,14.6,24.4,21,20.8,21.1,20.2,25,,21.7,51.9,41.3,12.2,23,0
178.5,Anthony Richardson,IND,27.1,12.9,7.1,5.2,,,10.8,14.5,,,30.1,13,21.2,,15.5,21.2,,
65,Andy Dalton,CAR,0,,24.6,16.7,4.7,16.9,2,,,,,,,,,,,
322,Bo Nix,DEN,13,10.3,19.3,6.7,23.1,21.7,14.1,29.8,11.5,16.1,28.8,19.4,14.2,,16.5,21,22.9,33.5
330.1,Jalen Hurts,PHI,20.4,24.8,13.9,18.3,,21.9,22.8,35.1,29.9,32.7,18.7,15.1,17.6,24.2,30.1,4.5,,
45.8,Marcus Mariota,WAS,,,,,0.1,,19.6,,,,,,,,,,,26
78.3,Spencer Rattler,NO,,,,,,14.4,10.3,6.2,,,,,,,9.4,7.9,15.3,14.7
67.7,Tyler Huntley,MIA,,,,13.8,7.5,,9.5,,,,,,,,,,24.2,12.8
101.5,Aidan O'Connell,LV,,,7.3,,2.8,12.1,2.1,,,,,,21.6,9.8,,11.5,17.6,16.9
126.5,Dak Prescott,DAL,11.5,14.9,29.9,16.7,20.4,5.2,,15.6,12.3,,,,,,,,,
264.5,Caleb Williams,CHI,5.2,9.4,21.3,11.5,23.6,29.6,,9.9,9.2,6.3,16.2,24.9,26.1,16.1,11.9,24.8,7.6,10.9
13.7,Trey Lance,DAL,,,,,,,,,,1.5,,-0.3,,,,,0.1,12.4
442.4,Lamar Jackson,BLT,27.1,17.4,26,25.6,35.4,19.9,36.4,24.2,23.6,30.9,15.9,22.6,25.4,,38.1,21.5,29.4,23
141.9,Will Levis,TEN,10.7,14.5,17.6,0.5,,8.3,,,,19.1,16.6,19.1,16.2,7,0.6,,,11.8
28.8,Tanner McKee,PHI,,,,,,,,,,,,,,,,,10,18.9
46.2,Jacoby Brissett,NE,8,10.6,3.9,10,7.4,,,6.4,,,,,0,,,,-0.1,
1.3,Nick Mullens,MIN,,,0,,1,,,,,,,0.6,,-0.2,,,,
21.2,Joe Milton III,NE,,,,,,,,,,,,,,,,,,21.2
195.1,Drake Maye,NE,,,2.1,,,23.5,20.8,11.5,19.7,12.8,21,14.5,18.4,,18.5,20.4,11.9,0
26.1,Kenny Pickett,PHI,,,,,,,0,,,0.3,,-0.2,,,,10,16,
112.3,Gardner Minshew,LV,13.8,13.9,13,5,9.7,,3.4,17,5,,19,12.7,,,,,,
122.1,Justin Fields,PIT,11.9,11.4,19.4,34,15.9,23.7,,,,,1.7,2.6,0.7,,0.8,,,
-0.3,Tyson Bagent,CHI,,,,,-0.4,-0.3,,,,,,,,0.2,0.2,,,
