Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
26,Hassan Haskins,TEN,0,4.7,0,,0,,1.5,0,1.7,0,0,0,,,3.5,3.7,7.3,3.6
8.3,Julius Chestnut,TEN,,,,,,,,,,,,,1.3,2.8,0,,4.2,
4.7,Giovani Bernard,TB,,,,,,,,,,,,,,,,,,4.7
70,JaMycal Hasty,JAX,0,,0,4.2,0.6,11.7,0.6,4,2.1,1.3,,20.5,0,1.3,2.5,3.1,17.6,0.5
71.4,Rex Burkhead,HST,12,2.9,7,14.9,4.8,,6.9,1.2,2.5,5,0,1.5,,1.2,3.7,2.7,4,1.1
181.7,David Montgomery,CHI,8,15.6,1.1,,18.2,9,12.2,10.5,5.4,5.4,21.1,14.3,16.7,,24.1,12.4,5.6,2.1
3.8,Michael Burton,KC,0,1.8,0.2,0,0,0,0,,1.9,-0.1,0,,0,0,0,0,0,0
53.8,J.D. McKissic,WAS,5.8,13.3,10,8.6,8.7,2,0.4,5,,,,,,,,,,
145.3,Cam Akers,LA,0,8.2,12.1,1.3,3.3,,,,0.3,2.2,6.1,3.7,19,11.3,13,34.7,14.3,15.8
202.2,James Conner,ARZ,16.5,7.1,8.7,10.7,7.3,,,,11.4,23.6,13.4,23,,23.4,18.1,25,14,
5.2,Jonathan Ward,TEN,,,,,,,,,,,,,,,,,4,1.2
81.2,J.K. Dobbins,BLT,,,6,22.3,4.4,1.5,,,,,,,,18,13.8,5.9,9.3,
2,Keith Smith,ATL,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0
87.9,Kenneth Gainwell,PHI,11.2,2.8,0.6,8.7,2,2.5,,2.1,12.8,2.2,0,11.6,8.3,1,3.4,9.8,3.7,5.2
44,Javonte Williams,DEN,21.8,9.5,9,3.7,,,,,,,,,,,,,,
14.2,Salvon Ahmed,MIA,,,,,,,,0.2,,1.1,,,,0.1,10.3,,1.8,0.7
0,Alex Armah,WAS,,,,,,,0,,0,,,,,,,,,
4.2,Mike Davis,BLT,1.1,0.4,0,0,0.3,0,,,1.7,,0.7,,,,,,,
34.4,Malik Davis,DAL,,,,,,,,6.1,,3.8,5.5,,8.9,,,0,8.2,1.9
0,Cameron Sutton,PIT,,,,,,,,,,,,,0,,,,,
52.2,Rashaad Penny,SEA,8.7,1.5,7.9,28.7,5.4,,,,,,,,,,,,,
30.5,Kyren Williams,LA,,,,,,,,,,6.9,5.4,9,0.9,3.9,0.7,3.1,0.6,
112.7,Brian Robinson,WAS,,,,,2.2,12,10.6,2,5.8,14.6,5.7,20.5,13.1,,11.7,5.8,8.7,
16.2,Ronald Jones,KC,,,,,,,,,,,,4.4,0,,0.6,0.4,0.3,10.5
251.2,Rhamondre Stevenson,NE,4.7,6.1,20.1,12.9,19.5,25.1,23.8,21.3,16,,14.2,20.2,13.8,3.1,24.8,5.3,7.1,13.2
7.3,Spencer Brown,CAR,,,,,,,,2.7,4.6,,,,,,,,,
69.4,Nyheim Hines,BUF,11.4,7.7,8,2.3,1.8,,9.3,12.9,0,1.9,-0.8,0.3,2.8,1.7,8,2.1,,0
162.5,Jeff Wilson Jr.,MIA,5,12.3,13.6,13.4,20.2,2.5,5.4,5.5,16.2,22.3,,12.2,0.3,2.6,,11,10.6,9.4
128.9,D'Onta Foreman,CAR,0.5,0.9,0,0.2,0.2,1.9,16.5,29.8,4.1,19,2.4,11.3,,8.5,0.9,22.5,3.5,6.7
107.7,James Cook,BUF,0.2,5.3,8,0,9.1,0.8,,8.6,5.3,2.2,8.6,3.8,16.5,2.5,11.9,17.8,,7.1
117.1,Breece Hall,NYJ,12.1,13,15.2,15.8,27.7,20.1,13.2,,,,,,,,,,,
