Rank,Player,Team,Bye,POS,ESPN,Sleeper,NFL,RTSports,FFC,AVG
1,Christian McCaffrey,SF,11,RB1,1,,,1,,1
2,Saquon Barkley,PHI,9,RB2,2,,,2,,2
3,Ezekiel Elliott,,,RB3,3,,,3,,3
4,Dalvin Cook,,,RB4,4,,,4,,4.8
5,Michael Thomas,,,WR1,6,,,6,,5
6,Alvin Kamara,NO,6,RB5,5,,,5,,5.3
7,Derrick Henry,BAL,7,RB6,7,,,7,,7.3
8,Davante Adams,LAR,9,WR2,14,,,13,,11.3
9,Josh Jacobs,GB,5,RB7,9,,,12,,12
10,Joe Mixon,HOU,8,RB8,22,,,9,,12.8
11,Clyde Edwards-Helaire,NO,6,RB9,8,,,8,,14
12,Miles Sanders,DAL,10,RB10,12,,,10,,14
13,Austin Ekeler,WAS,8,RB11,21,,,11,,14.3
14,Tyreek Hill,MIA,7,WR3,13,,,17,,14.8
15,Nick Chubb,,,RB12,10,,,18,,15
16,Kenyan Drake,,,RB13,16,,,14,,15
17,Julio Jones,,,WR4,15,,,20,,15.3
18,DeAndre Hopkins,BAL,7,WR5,19,,,15,,15.5
19,Aaron Jones Sr.,MIN,7,RB14,18,,,16,,18.3
20,Travis Kelce,KC,10,TE1,20,,,19,,18.8
21,Patrick Mahomes II,KC,10,QB1,11,,,22,,20
22,Chris Godwin,TB,13,WR6,24,,,23,,20.8
23,Lamar Jackson,BAL,7,QB2,17,,,21,,21
24,George Kittle,SF,11,TE2,23,,,25,,23.3
25,Kenny Golladay,,,WR7,27,,,27,,26
26,Mike Evans,TB,13,WR8,25,,,31,,27
27,Chris Carson,,,RB15,31,,,24,,30.3
28,DJ Moore,CHI,11,WR9,29,,,30,,30.3
29,Todd Gurley,II,,RB16,32,,,28,,30.8
30,Allen Robinson,II,,WR10,34,,,35,,32
31,dell Beckham Jr.,O,,WR11,33,,,34,,32
32,Adam Thielen,CAR,13,WR12,26,,,36,,32.3
33,JuJu Smith-Schuster,KC,10,WR13,30,,,40,,33.8
34,James Conner,ARI,8,RB17,41,,,26,,34.8
35,Amari Cooper,,,WR14,28,,,43,,35.3
36,David Johnson,,,RB18,37,,,29,,35.3
37,Le'Veon Bell,,,RB19,46,,,32,,37.8
38,Cooper Kupp,SEA,6,WR15,43,,,33,,38
39,Melvin Gordon,III,,RB20,48,,,37,,40.5
40,Zach Ertz,WAS,8,TE3,38,,,45,,42
41,Mark Andrews,BAL,7,TE4,36,,,46,,42.3
42,A.J. Brown,PHI,9,WR16,44,,,42,,42.3
43,Jonathan Taylor,IND,7,RB21,51,,,38,,42.8
