player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_accuracy_percent,blitz_aimed_passes,blitz_attempts,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_bats,blitz_big_time_throws,blitz_btt_rate,blitz_completion_percent,blitz_completions,blitz_def_gen_pressures,blitz_drop_rate,blitz_dropbacks,blitz_dropbacks_percent,blitz_drops,blitz_first_downs,blitz_grades_coverage_defense,blitz_grades_defense,blitz_grades_defense_penalty,blitz_grades_hands_drop,blitz_grades_hands_fumble,blitz_grades_offense,blitz_grades_offense_penalty,blitz_grades_overall_tackle,blitz_grades_pass,blitz_grades_pass_route,blitz_grades_run,blitz_grades_tackle,blitz_hit_as_threw,blitz_interceptions,blitz_passing_snaps,blitz_pressure_to_sack_rate,blitz_qb_rating,blitz_sack_percent,blitz_sacks,blitz_scrambles,blitz_spikes,blitz_thrown_aways,blitz_touchdowns,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_yards,blitz_ypa,declined_penalties,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,no_blitz_accuracy_percent,no_blitz_aimed_passes,no_blitz_attempts,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_bats,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_completion_percent,no_blitz_completions,no_blitz_def_gen_pressures,no_blitz_drop_rate,no_blitz_dropbacks,no_blitz_dropbacks_percent,no_blitz_drops,no_blitz_first_downs,no_blitz_grades_coverage_defense,no_blitz_grades_defense,no_blitz_grades_defense_penalty,no_blitz_grades_hands_drop,no_blitz_grades_hands_fumble,no_blitz_grades_offense,no_blitz_grades_offense_penalty,no_blitz_grades_overall_tackle,no_blitz_grades_pass,no_blitz_grades_pass_route,no_blitz_grades_run,no_blitz_grades_tackle,no_blitz_hit_as_threw,no_blitz_interceptions,no_blitz_passing_snaps,no_blitz_pressure_to_sack_rate,no_blitz_qb_rating,no_blitz_sack_percent,no_blitz_sacks,no_blitz_scrambles,no_blitz_spikes,no_blitz_thrown_aways,no_blitz_touchdowns,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_yards,no_blitz_ypa,no_pressure_accuracy_percent,no_pressure_aimed_passes,no_pressure_attempts,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_bats,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_completion_percent,no_pressure_completions,no_pressure_def_gen_pressures,no_pressure_drop_rate,no_pressure_dropbacks,no_pressure_dropbacks_percent,no_pressure_drops,no_pressure_first_downs,no_pressure_grades_coverage_defense,no_pressure_grades_defense,no_pressure_grades_defense_penalty,no_pressure_grades_hands_drop,no_pressure_grades_hands_fumble,no_pressure_grades_offense,no_pressure_grades_offense_penalty,no_pressure_grades_overall_tackle,no_pressure_grades_pass,no_pressure_grades_pass_route,no_pressure_grades_run,no_pressure_grades_tackle,no_pressure_hit_as_threw,no_pressure_interceptions,no_pressure_passing_snaps,no_pressure_pressure_to_sack_rate,no_pressure_qb_rating,no_pressure_sack_percent,no_pressure_sacks,no_pressure_scrambles,no_pressure_spikes,no_pressure_thrown_aways,no_pressure_touchdowns,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_yards,no_pressure_ypa,penalties,pressure_accuracy_percent,pressure_aimed_passes,pressure_attempts,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_bats,pressure_big_time_throws,pressure_btt_rate,pressure_completion_percent,pressure_completions,pressure_def_gen_pressures,pressure_drop_rate,pressure_dropbacks,pressure_dropbacks_percent,pressure_drops,pressure_first_downs,pressure_grades_coverage_defense,pressure_grades_defense,pressure_grades_defense_penalty,pressure_grades_hands_drop,pressure_grades_hands_fumble,pressure_grades_offense,pressure_grades_offense_penalty,pressure_grades_overall_tackle,pressure_grades_pass,pressure_grades_pass_route,pressure_grades_run,pressure_grades_tackle,pressure_hit_as_threw,pressure_interceptions,pressure_passing_snaps,pressure_pressure_to_sack_rate,pressure_qb_rating,pressure_sack_percent,pressure_sacks,pressure_scrambles,pressure_spikes,pressure_thrown_aways,pressure_touchdowns,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_yards,pressure_ypa
Matt Ryan,4317,QB,ATL,16,683,76.5,183,199,8.5,2.47,5,6,2.9,68.3,136,88,2.9,219,32.1,4,88,,,,,74.5,74.7,83.8,,73.2,55.8,67.2,,1,4,231,19.3,93.2,7.8,17,3,0,10,6,6,2.6,1550,7.8,0,2,76.4,83.1,82.1,53.3,76.5,391,427,9.7,2.89,6,25,5.6,63.5,271,145,9.4,464,67.9,28,161,,,,,82.1,83.4,65.5,,82.3,,57.8,,5,7,490,16.6,93.3,5.2,24,13,1,24,20,15,3.1,3031,7.1,80.5,425,441,8.5,2.5,5,18,3.9,71.7,316,0,7.6,450,65.9,26,187,,,,,91.5,93,86.5,,92.1,58.8,58.4,,0,5,466,,103.8,0,0,9,1,10,19,8,1.7,3421,7.8,2,65.1,149,185,11.7,3.24,6,13,6.4,49.2,91,233,6.2,233,34.1,6,62,,,,,50.4,49.8,47.6,,50.2,57.5,63.4,,6,6,255,17.6,68.3,17.6,41,7,0,24,7,13,5.1,1160,6.3
Russell Wilson,7077,QB,SEA,16,660,77.6,205,225,8.6,2.7,3,17,7.2,66.2,149,113,6.3,264,40,10,89,,,,,64.5,82.7,47.9,,80,,74.7,,3,6,277,20.4,99.4,8.7,23,15,0,14,16,7,2.5,1594,7.1,0,29,81.7,90.3,88.6,75.9,80.6,319,333,9.1,3.22,2,26,7.4,70.6,235,138,8.6,396,60,22,146,,,,,91.3,90.5,60.3,,87.6,,79.4,,0,7,418,16.7,108.9,5.8,23,39,1,11,24,8,1.9,2618,7.9,82.9,374,380,7.3,2.5,5,24,6,76.8,292,0,5.8,409,62,18,162,,,,,91.3,93.2,86.2,,92,,74.7,,0,7,426,,113.6,0,0,27,1,0,26,7,1.6,2948,7.8,8,70.7,150,178,12.7,3.84,0,19,9.9,51.7,92,251,13.2,251,38,14,73,,,,,63.5,70.9,9.7,,67.1,,80,,3,6,269,18.3,86.9,18.3,46,27,0,25,14,8,3,1264,7.1
Deshaun Watson,11767,QB,HST,16,656,73.2,164,174,9.8,2.7,3,15,8.2,63.8,111,88,7.5,208,31.7,9,75,,,,,90.1,86,83.5,,83.6,,69.9,,0,2,219,12.5,104.7,5.3,11,23,0,7,11,3,1.4,1387,8,0,13,68.9,92.4,91.1,81.4,80.9,351,370,9.2,3.12,4,27,7,73.2,271,148,4.6,448,68.3,13,171,,,,,61.2,92.5,86.6,,90.4,,89.3,,1,5,468,25.7,116,8.5,38,39,2,12,22,11,2.4,3436,9.3,83.1,390,403,8.2,2.39,7,25,6,76.7,309,0,4.6,420,64,15,173,,,,,86.5,95.2,86.3,,94.1,,65.8,,0,2,435,,121,0.2,1,15,2,4,23,4,0.9,3685,9.1,3,64,125,141,13.2,4.03,0,17,11.1,51.8,73,236,8.8,236,36,7,73,,,,,50,73,84.1,,63.3,,89.6,,1,5,252,20.3,87.7,20.3,48,47,0,15,10,10,4,1138,8.1
Justin Herbert,28237,QB,LAC,15,653,73.7,167,186,8.2,2.35,8,7,3.6,61.3,114,95,7.3,201,30.8,9,72,,,,,90.1,76.9,83.4,,75.1,,65.3,,7,5,213,11.6,86,5.5,11,3,0,4,8,3,1.4,1325,7.1,0,27,74.2,79.9,78.4,63.8,76.7,386,409,7.6,2.73,4,24,5.6,68.9,282,144,4.7,452,69.2,14,156,,,,,68.8,78.6,86.6,,76.2,,71.2,,5,5,476,14.6,103.9,4.6,21,22,4,10,23,13,2.7,3011,7.4,77.7,385,402,6.5,2.29,8,15,3.6,71.1,286,0,4.3,414,63.4,13,156,,,,,86.2,78.5,86.2,,75.9,,73.5,,0,8,427,,97.7,0.2,1,11,4,5,18,10,2.3,2868,7.1,2,71.4,168,193,10.7,3.16,4,16,7.5,57,110,239,8.3,239,36.6,10,72,,,,,62.4,77.1,84.2,,75.4,,65.4,,12,2,262,13,99.4,13,31,14,0,9,13,6,2.3,1468,7.6
Patrick Mahomes,11765,QB,KC,15,653,76.4,157,163,8.8,2.49,2,12,7.2,70.6,115,63,4.2,176,27,5,88,,,,,70,90.6,82.8,,87.1,60,83.3,,1,2,181,9.5,129.9,3.4,6,7,0,3,17,6,3.3,1539,9.4,0,16,67,91.4,90.4,72,76.8,393,425,8.9,3.05,5,34,7.5,64.7,275,159,8.9,477,73,27,170,,,,,80.3,90.1,86.9,,86.9,57.2,75.9,,4,4,512,10.1,99.9,3.4,16,35,1,22,21,16,3.1,3201,7.5,81.1,402,410,7.5,2.43,6,27,6.3,74.4,305,0,6.4,431,66,21,195,,,,,91.4,93.7,86.4,,91.9,55,88.5,,0,3,452,,121.1,0,0,20,1,1,30,9,2,3514,8.6,0,64.9,148,178,12.4,3.81,1,19,9.8,47.8,85,222,11.5,222,34,11,63,,,,,44,73.6,83.9,,72.1,,65.8,,5,3,241,9.9,78.5,9.9,22,22,0,24,8,13,5.4,1226,6.9
Kyler Murray,38334,QB,ARZ,16,638,76,146,168,7.1,2.72,7,8,4.4,64.3,108,73,2.7,194,30.4,3,79,,,,,54.9,77.8,83.4,,73.4,,83,,0,5,210,19.2,92.3,7.2,14,12,0,15,9,5,2.4,1256,7.5,0,1,83.1,82.8,77.2,86.5,76.7,361,390,8.8,2.87,4,19,4.6,68.5,267,99,3.6,444,69.6,10,148,,,,,87.6,79.8,64.3,,75.6,,82,,1,7,464,13.1,95.2,2.9,13,39,8,16,17,12,2.6,2715,7,79.9,413,437,7.6,2.41,9,17,3.7,73.5,321,0,2.7,466,73,9,178,,,,,91.6,86.6,86.7,,82.8,,79.6,,0,8,489,,102.5,0.2,1,26,8,7,21,10,2,3229,7.4,7,61.7,94,121,11.1,3.93,2,10,7.5,44.6,54,172,6.9,172,27,4,49,,,,,30.7,63.3,34.7,,56.8,,83.8,,1,4,185,15.1,64.8,15.1,26,25,0,24,5,7,3.8,742,6.1
Tom Brady,698,QB,TB,16,636,70.2,181,188,9.7,2.14,2,15,7.4,62.2,117,59,7.9,199,31.3,10,76,,,,,90.1,83.6,83.4,,81.8,,58.3,,1,5,214,15.3,88.8,4.5,9,1,0,4,9,4,1.9,1353,7.2,1,30,91,92.4,91.5,63.1,77.3,397,422,9.6,2.53,5,30,6.7,67.3,284,96,7.5,437,68.7,23,157,,,,,88,92.2,86.5,,91.3,,48.7,,3,7,466,12.5,108.1,2.7,12,3,4,13,31,8,1.7,3280,7.8,79.3,464,480,8.7,2.27,6,35,6.8,71.7,344,0,6.5,481,75.6,24,201,,,,,91.7,94.9,86.9,,93.6,,,,0,7,514,,115.1,0,0,0,4,6,36,6,1.2,3958,8.2,4,57.9,114,130,13.3,2.84,1,10,7.2,43.8,57,155,13.6,155,24.4,9,32,,,,,67.9,61.5,82.5,,62.5,,47.3,,4,5,166,13.5,54.5,13.5,21,4,0,11,4,6,3.6,675,5.2
Josh Allen,46601,QB,BUF,16,628,76.8,228,245,9.4,2.86,4,12,4.5,66.5,163,108,6.9,268,42.7,12,110,,,,,79.4,88.3,84.7,,82.6,,90.7,,1,3,294,8.3,108.6,3.4,9,14,0,12,18,10,3.4,1866,7.6,0,4,56,90.9,89.8,74.3,80.9,304,327,8.9,3.1,4,24,6.9,71.3,233,125,5.3,360,57.3,13,131,,,,64.7,61.5,90.1,85.8,,87.8,90.3,64.3,,3,7,383,12.8,106,4.4,16,17,0,16,19,13,3.4,2678,8.2,85.8,373,382,7.5,2.53,3,20,4.9,79.1,302,0,5.6,395,62.9,18,164,,,,64.7,91.3,95.1,86.2,,93.7,90.3,71.2,,0,4,422,,120,0,0,13,0,6,25,7,1.7,3288,8.6,4,63.5,159,190,13,3.78,5,16,7.6,49.5,94,233,6.9,233,37.1,7,77,,,,,30.2,67.1,84.1,,62.7,,83.9,,4,6,255,10.7,78.8,10.7,25,18,0,22,12,16,6.3,1256,6.6
Ben Roethlisberger,1732,QB,PIT,15,626,77.9,181,192,7.2,2.09,8,11,5.4,66.1,127,52,9.9,197,31.5,14,71,,,,,72.5,77.3,83.4,,75.7,,,,2,2,209,7.7,96.4,2,4,0,0,1,9,4,1.9,1287,6.7,0,25,80,69,68.2,52.6,74.4,398,416,7.5,2.21,10,15,3.3,65.4,272,79,8.1,429,68.5,24,123,,,,,87.6,62.9,64.2,,62.4,,67.3,,3,8,463,11.4,93,2.1,9,3,0,5,24,14,3,2516,6,78.4,477,494,6.6,2.01,15,18,3.4,69.2,342,0,8.6,495,79.1,32,165,,,,,91.7,76.1,87.1,,74.3,,63.9,,0,6,532,,101.9,0,0,1,0,2,30,10,1.9,3191,6.5,2,61.8,102,114,11.4,2.78,3,8,6.6,50,57,131,9.5,131,20.9,6,29,,,,,38.9,46.4,21.2,,47.5,,62.1,,5,4,140,9.9,60.3,9.9,13,2,0,4,3,8,5.7,612,5.4
Jared Goff,10635,QB,LA,15,597,78.8,189,211,6.2,2.45,8,5,2.3,65.4,138,72,7.4,221,37,11,79,,,,,57.8,70.6,43.5,,70.4,,57.8,,3,3,230,8.3,93.3,2.7,6,4,0,11,9,7,3,1441,6.8,0,26,70.6,71.4,71.9,54.5,78.4,310,341,7,2.77,4,8,2.3,68,232,104,4.5,376,63,11,119,,,,,73.4,68.4,85.8,,70,,43,,4,10,387,16.3,88,4.5,17,18,2,21,11,11,2.8,2511,7.4,83.3,383,408,6.2,2.45,10,10,2.4,75,306,0,4.1,421,70.5,13,167,,,,,91.3,87.5,86.2,,86.5,,52.9,,0,6,432,,105.6,0,0,13,2,13,16,7,1.6,3339,8.2,7,62.9,116,144,8.3,3.14,2,3,2,44.4,64,176,12.3,176,29.5,9,31,,,,,26.7,33.1,34.7,,37.2,,41.5,,7,7,185,13.1,45.9,13.1,23,9,0,19,4,11,5.9,613,4.3
