Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Knile Davis,2TM,2,7,0,,0,0,0,,0,0,0,,All Knile Davis red zone rushing plays,DaviKn00
Mike Davis,SFO,2,11,1,3.2%,2,11,1,6.1%,1,4,1,5.6%,All Mike Davis red zone rushing plays,DaviMi01
Kenyan Drake,MIA,2,15,1,3.6%,2,15,1,6.3%,0,0,0,.0%,All Kenyan Drake red zone rushing plays,DrakKe00
Corey Grant,JAX,2,8,0,6.5%,1,0,0,5.6%,0,0,0,.0%,All Corey Grant red zone rushing plays,GranCo00
Robert Griffin,CLE,2,19,2,4.3%,1,1,1,3.4%,1,1,1,7.7%,All Robert Griffin red zone rushing plays,GrifRo01
Andy Janovich,DEN,2,3,0,3.1%,2,3,0,6.1%,2,3,0,11.1%,All Andy Janovich red zone rushing plays,JanoAn00
Case Keenum,LAR,2,6,1,4.7%,1,1,1,3.8%,1,1,1,7.1%,All Case Keenum red zone rushing plays,KeenCa00
Josh McCown,CLE,2,10,0,4.3%,0,0,0,.0%,0,0,0,.0%,All Josh McCown red zone rushing plays,McCoJo01
Darren McFadden,DAL,2,3,0,3.3%,2,3,0,5.1%,0,0,0,.0%,All Darren McFadden red zone rushing plays,McFaDa00
Braxton Miller,HOU,2,-1,0,3.3%,1,1,0,3.1%,0,0,0,.0%,All Braxton Miller red zone rushing plays,MillBr03
Troymaine Pope,SEA,2,-5,0,3.3%,1,-3,0,2.9%,0,0,0,.0%,All Troymaine Pope red zone rushing plays,PopeTr00
Khiry Robinson,NYJ,2,0,0,3.3%,1,-1,0,3.1%,0,0,0,.0%,All Khiry Robinson red zone rushing plays,RobiKh00
Mark Sanchez,DAL,2,-2,0,3.3%,0,0,0,.0%,0,0,0,.0%,All Mark Sanchez red zone rushing plays,SancMa00
Juwan Thompson,DEN,2,0,1,3.1%,2,0,1,6.1%,2,0,1,11.1%,All Juwan Thompson red zone rushing plays,ThomJu01
Scott Tolzien,IND,2,1,0,3.1%,2,1,0,5.4%,2,1,0,12.5%,All Scott Tolzien red zone rushing plays,TolzSc00
Brandon Wilds,NYJ,2,7,0,3.3%,1,5,0,3.1%,0,0,0,.0%,All Brandon Wilds red zone rushing plays,WildBr01
,BUF,1,0,0,1.2%,1,0,0,1.7%,1,0,0,3.4%,All red zone rushing plays,-9999
Javorius Allen,BAL,1,5,0,2.3%,0,0,0,.0%,0,0,0,.0%,All Javorius Allen red zone rushing plays,AlleJa01
Josh Bellamy,CHI,1,-4,0,2.2%,0,0,0,.0%,0,0,0,.0%,All Josh Bellamy red zone rushing plays,BellJo02
Sam Bradford,MIN,1,-1,0,1.5%,0,0,0,.0%,0,0,0,.0%,All Sam Bradford red zone rushing plays,BradSa00
Jacoby Brissett,NWE,1,8,0,1.0%,0,0,0,.0%,0,0,0,.0%,All Jacoby Brissett red zone rushing plays,BrisJa00
Donald Butler,ARI,1,0,0,1.4%,0,0,0,.0%,0,0,0,.0%,All Donald Butler red zone rushing plays,ButlDo99
Travaris Cadet,NOR,1,3,0,1.2%,1,3,0,1.9%,0,0,0,.0%,All Travaris Cadet red zone rushing plays,CadeTr00
Sammie Coates,PIT,1,-6,0,2.2%,0,0,0,.0%,0,0,0,.0%,All Sammie Coates red zone rushing plays,CoatSa00
