Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Jonathan Taylor,IND,85,251,14,80.2%,41,64,13,78.8%,26,27,11,83.9%,All Jonathan Taylor red zone rushing plays,TaylJo02
Austin Ekeler,LAC,46,156,12,46.0%,25,55,10,48.1%,12,13,7,52.2%,All Austin Ekeler red zone rushing plays,EkelAu00
Dalvin Cook,MIN,45,112,5,54.2%,26,35,4,54.2%,12,2,3,70.6%,All Dalvin Cook red zone rushing plays,CookDa01
Sony Michel,LAR,45,97,4,54.9%,24,42,4,60.0%,6,3,3,42.9%,All Sony Michel red zone rushing plays,MichSo00
Damien Harris,NWE,44,149,13,47.3%,30,78,11,60.0%,14,19,9,58.3%,All Damien Harris red zone rushing plays,HarrDa06
Antonio Gibson,WAS,43,72,7,58.1%,25,31,6,56.8%,12,5,5,54.5%,All Antonio Gibson red zone rushing plays,GibsAn00
David Montgomery,CHI,43,76,7,51.8%,24,33,7,51.1%,12,18,6,57.1%,All David Montgomery red zone rushing plays,MontDa01
James Conner,ARI,41,122,15,41.4%,28,58,12,50.0%,16,10,10,57.1%,All James Conner red zone rushing plays,ConnJa00
Leonard Fournette,TAM,40,103,6,55.6%,25,51,6,49.0%,11,11,5,55.0%,All Leonard Fournette red zone rushing plays,FourLe00
Alvin Kamara,NOR,40,87,3,52.6%,17,11,2,54.8%,9,-1,2,60.0%,All Alvin Kamara red zone rushing plays,KamaAl00
Nick Chubb,CLE,39,124,5,44.3%,22,46,4,51.2%,10,15,4,52.6%,All Nick Chubb red zone rushing plays,ChubNi00
AJ Dillon,GNB,39,103,5,45.3%,21,33,5,48.8%,10,13,4,50.0%,All AJ Dillon red zone rushing plays,DillAJ00
Joe Mixon,CIN,39,115,11,67.2%,26,51,9,72.2%,14,11,7,70.0%,All Joe Mixon red zone rushing plays,MixoJo00
Devin Singletary,BUF,38,103,6,36.9%,18,30,5,32.1%,7,10,4,35.0%,All Devin Singletary red zone rushing plays,SingDe00
Melvin Gordon,DEN,37,91,6,45.7%,21,34,5,44.7%,9,9,4,45.0%,All Melvin Gordon red zone rushing plays,GordMe00
Josh Jacobs,LVR,37,118,9,50.0%,21,41,8,56.8%,12,9,7,60.0%,All Josh Jacobs red zone rushing plays,JacoJo01
Ezekiel Elliott,DAL,35,122,10,48.6%,17,25,7,53.1%,12,10,6,60.0%,All Ezekiel Elliott red zone rushing plays,ElliEz00
Derrick Henry,TEN,32,97,8,39.5%,17,47,7,39.5%,8,5,4,36.4%,All Derrick Henry red zone rushing plays,HenrDe00
Aaron Jones,GNB,32,89,4,37.2%,15,30,4,34.9%,6,9,4,30.0%,All Aaron Jones red zone rushing plays,JoneAa00
Myles Gaskin,MIA,31,73,3,45.6%,20,49,3,46.5%,6,8,2,27.3%,All Myles Gaskin red zone rushing plays,GaskMy00
Jalen Hurts,PHI,31,101,9,29.8%,22,36,9,31.4%,13,16,7,36.1%,All Jalen Hurts red zone rushing plays,HurtJa00
