Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Josh Jacobs,LVR,64,166,11,65.3%,35,64,9,72.9%,18,14,5,78.3%,All Josh Jacobs red zone rushing plays,JacoJo01
Derrick Henry,TEN,59,173,13,67.0%,35,72,11,67.3%,17,17,8,70.8%,All Derrick Henry red zone rushing plays,HenrDe00
Dalvin Cook,MIN,58,222,13,58.0%,35,68,12,53.8%,22,20,8,64.7%,All Dalvin Cook red zone rushing plays,CookDa01
Kenyan Drake,ARI,56,121,9,60.2%,35,60,9,67.3%,21,17,9,72.4%,All Kenyan Drake red zone rushing plays,DrakKe00
Todd Gurley,ATL,52,98,8,65.8%,24,57,8,75.0%,14,19,5,73.7%,All Todd Gurley red zone rushing plays,GurlTo01
Jonathan Taylor,IND,47,116,9,54.0%,25,43,9,53.2%,12,8,6,50.0%,All Jonathan Taylor red zone rushing plays,TaylJo02
Ezekiel Elliott,DAL,45,100,6,65.2%,32,39,5,76.2%,22,7,5,73.3%,All Ezekiel Elliott red zone rushing plays,ElliEz00
David Montgomery,CHI,44,137,7,66.7%,23,28,5,63.9%,10,10,4,62.5%,All David Montgomery red zone rushing plays,MontDa01
Alvin Kamara,NOR,42,137,15,40.4%,28,79,14,45.2%,12,20,9,44.4%,All Alvin Kamara red zone rushing plays,KamaAl00
Cam Newton,NWE,42,93,12,43.3%,31,59,11,51.7%,19,21,9,73.1%,All Cam Newton red zone rushing plays,NewtCa00
Mike Davis,CAR,39,97,6,41.1%,22,43,6,45.8%,9,6,5,45.0%,All Mike Davis red zone rushing plays,DaviMi01
Kareem Hunt,CLE,39,115,6,43.3%,17,23,5,34.7%,9,7,3,39.1%,All Kareem Hunt red zone rushing plays,HuntKa00
Aaron Jones,GNB,38,117,7,50.7%,20,51,6,51.3%,9,12,4,60.0%,All Aaron Jones red zone rushing plays,JoneAa00
Nick Chubb,CLE,35,132,10,38.9%,21,39,7,42.9%,11,7,5,47.8%,All Nick Chubb red zone rushing plays,ChubNi00
Myles Gaskin,MIA,34,91,3,34.0%,21,37,3,35.6%,9,6,3,31.0%,All Myles Gaskin red zone rushing plays,GaskMy00
Adrian Peterson,DET,33,80,7,49.3%,19,33,7,46.3%,12,8,5,52.2%,All Adrian Peterson red zone rushing plays,PeteAd01
Cam Akers,LAR,31,79,2,32.6%,21,50,2,32.3%,8,3,1,25.0%,All Cam Akers red zone rushing plays,AkerCa00
Darrell Henderson,LAR,31,84,4,32.6%,21,41,4,32.3%,9,8,4,28.1%,All Darrell Henderson red zone rushing plays,HendDa00
Lamar Jackson,BAL,30,115,4,31.9%,16,44,3,29.6%,1,0,0,4.8%,All Lamar Jackson red zone rushing plays,JackLa00
Ronald Jones,TAM,30,82,6,47.6%,21,43,6,51.2%,8,9,5,42.1%,All Ronald Jones red zone rushing plays,JoneRo01
James Robinson,JAX,30,121,7,76.9%,13,34,5,81.3%,5,11,5,83.3%,All James Robinson red zone rushing plays,RobiJa00
Antonio Gibson,WAS,29,92,9,42.0%,17,33,7,42.5%,10,9,5,40.0%,All Antonio Gibson red zone rushing plays,GibsAn00
Clyde Edwards-Helaire,KAN,28,85,3,44.4%,15,13,1,44.1%,9,3,1,52.9%,All Clyde Edwards-Helaire red zone rushing plays,EdwaCl00
Taysom Hill,NOR,28,110,8,26.9%,18,61,8,29.0%,9,12,6,33.3%,All Taysom Hill red zone rushing plays,HillTa00
Zack Moss,BUF,28,67,4,35.4%,15,36,4,35.7%,8,5,2,33.3%,All Zack Moss red zone rushing plays,MossZa00
James Conner,PIT,27,68,6,42.2%,14,20,5,32.6%,9,12,5,34.6%,All James Conner red zone rushing plays,ConnJa00
Melvin Gordon,DEN,27,91,7,56.3%,18,62,7,66.7%,7,5,4,53.8%,All Melvin Gordon red zone rushing plays,GordMe00
Nyheim Hines,IND,26,76,3,29.9%,15,19,2,31.9%,5,6,1,20.8%,All Nyheim Hines red zone rushing plays,HineNy00
J.K. Dobbins,BAL,25,91,8,26.6%,13,32,8,24.1%,8,16,7,38.1%,All J.K. Dobbins red zone rushing plays,DobbJK00
Gus Edwards,BAL,25,75,6,26.6%,17,33,4,31.5%,9,2,3,42.9%,All Gus Edwards red zone rushing plays,EdwaGu00
Latavius Murray,NOR,25,91,3,24.0%,12,40,3,19.4%,3,4,1,11.1%,All Latavius Murray red zone rushing plays,MurrLa00
Jeff Wilson,SFO,25,94,7,35.7%,14,44,6,35.0%,8,8,4,34.8%,All Jeff Wilson red zone rushing plays,WilsJe01
Josh Allen,BUF,24,49,7,30.4%,15,21,7,35.7%,9,8,7,37.5%,All Josh Allen red zone rushing plays,AlleJo02
Kyler Murray,ARI,24,108,9,25.8%,14,22,6,26.9%,7,4,4,24.1%,All Kyler Murray red zone rushing plays,MurrKy00
Miles Sanders,PHI,24,91,4,40.0%,16,35,4,42.1%,7,9,3,58.3%,All Miles Sanders red zone rushing plays,SandMi01
Jamaal Williams,GNB,23,68,2,30.7%,12,23,1,30.8%,5,-1,1,33.3%,All Jamaal Williams red zone rushing plays,WillJa06
Kalen Ballage,LAC,22,56,3,26.2%,13,16,3,25.5%,6,4,2,30.0%,All Kalen Ballage red zone rushing plays,BallKa00
Alexander Mattison,MIN,22,71,2,22.0%,14,35,2,21.5%,6,8,2,17.6%,All Alexander Mattison red zone rushing plays,MattAl01
Frank Gore,NYJ,21,45,2,44.7%,10,14,2,47.6%,5,0,2,35.7%,All Frank Gore red zone rushing plays,GoreFr00
Benny Snell,PIT,21,20,4,32.8%,19,11,4,44.2%,13,7,4,50.0%,All Benny Snell red zone rushing plays,SnelBe00
Justin Herbert,LAC,20,32,5,23.8%,14,15,5,27.5%,7,8,4,35.0%,All Justin Herbert red zone rushing plays,HerbJu00
Devin Singletary,BUF,20,54,1,25.3%,8,4,1,19.0%,5,0,1,20.8%,All Devin Singletary red zone rushing plays,SingDe00
Giovani Bernard,CIN,19,57,3,31.7%,10,23,2,34.5%,5,10,2,31.3%,All Giovani Bernard red zone rushing plays,BernGi00
Malcolm Brown,LAR,19,55,5,20.0%,13,27,5,20.0%,7,6,4,21.9%,All Malcolm Brown red zone rushing plays,BrowMa03
Leonard Fournette,TAM,19,42,5,30.2%,12,20,5,29.3%,8,11,5,42.1%,All Leonard Fournette red zone rushing plays,FourLe00
Wayne Gallman,NYG,19,40,6,38.8%,12,22,6,50.0%,10,13,6,55.6%,All Wayne Gallman red zone rushing plays,GallWa00
Damien Harris,NWE,19,70,1,19.6%,11,38,1,18.3%,3,1,0,11.5%,All Damien Harris red zone rushing plays,HarrDa06
Joshua Kelley,LAC,19,28,2,22.6%,13,9,2,25.5%,5,-2,1,25.0%,All Joshua Kelley red zone rushing plays,KellJo01
D'Andre Swift,DET,19,45,8,28.4%,17,45,8,41.5%,9,13,6,39.1%,All D'Andre Swift red zone rushing plays,SwifDA00
Salvon Ahmed,MIA,18,56,3,18.0%,9,16,2,15.3%,5,4,2,17.2%,All Salvon Ahmed red zone rushing plays,AhmeSa01
Teddy Bridgewater,CAR,18,100,5,18.9%,9,26,3,18.8%,4,4,2,20.0%,All Teddy Bridgewater red zone rushing plays,BridTe00
Chris Carson,SEA,18,74,4,29.5%,9,18,3,26.5%,6,4,2,33.3%,All Chris Carson red zone rushing plays,CarsCh00
David Johnson,HOU,18,50,6,40.0%,14,17,5,51.9%,12,10,4,60.0%,All David Johnson red zone rushing plays,JohnDa08
Deshaun Watson,HOU,18,104,3,40.0%,8,15,2,29.6%,6,5,2,30.0%,All Deshaun Watson red zone rushing plays,WatsDe00
Devontae Booker,LVR,17,43,1,17.3%,5,14,1,10.4%,0,0,0,.0%,All Devontae Booker red zone rushing plays,BookDe00
Austin Ekeler,LAC,17,70,1,20.2%,10,23,0,19.6%,2,3,0,10.0%,All Austin Ekeler red zone rushing plays,EkelAu00
Jerick McKinnon,SFO,17,71,5,24.3%,8,22,4,20.0%,4,1,3,17.4%,All Jerick McKinnon red zone rushing plays,McKiJe00
Joe Mixon,CIN,17,34,1,28.3%,7,15,1,24.1%,4,-2,0,25.0%,All Joe Mixon red zone rushing plays,MixoJo00
Peyton Barber,WAS,16,28,4,23.2%,12,21,4,30.0%,8,6,4,32.0%,All Peyton Barber red zone rushing plays,BarbPe01
Christian McCaffrey,CAR,14,52,5,14.7%,9,30,5,18.8%,4,5,3,20.0%,All Christian McCaffrey red zone rushing plays,McCaCh01
J.D. McKissic,WAS,14,29,1,20.3%,4,3,1,10.0%,2,2,1,8.0%,All J.D. McKissic red zone rushing plays,McKiJ.00
Chase Edmonds,ARI,13,36,0,14.0%,3,5,0,5.8%,1,-1,0,3.4%,All Chase Edmonds red zone rushing plays,EdmoCh00
Tony Pollard,DAL,13,32,2,18.8%,4,8,2,9.5%,3,6,2,10.0%,All Tony Pollard red zone rushing plays,PollTo00
Boston Scott,PHI,13,39,0,21.7%,7,19,0,18.4%,1,-1,0,8.3%,All Boston Scott red zone rushing plays,ScotBo02
Le'Veon Bell,2TM,12,38,1,,6,15,1,,2,3,0,,All Le'Veon Bell red zone rushing plays,BellLe00
Rex Burkhead,NWE,12,44,3,12.4%,9,19,3,15.0%,2,3,2,7.7%,All Rex Burkhead red zone rushing plays,BurkRe00
DeeJay Dallas,SEA,12,20,2,19.7%,8,7,2,23.5%,4,4,2,22.2%,All DeeJay Dallas red zone rushing plays,DallDe00
Carlos Hyde,SEA,12,41,2,19.7%,8,13,2,23.5%,4,5,2,22.2%,All Carlos Hyde red zone rushing plays,HydeCa00
Sony Michel,NWE,12,47,1,12.4%,4,9,1,6.7%,1,1,1,3.8%,All Sony Michel red zone rushing plays,MichSo00
Samaje Perine,CIN,12,29,2,20.0%,5,8,2,17.2%,2,4,2,12.5%,All Samaje Perine red zone rushing plays,PeriSa00
Curtis Samuel,CAR,12,43,2,12.6%,3,10,1,6.3%,0,0,0,.0%,All Curtis Samuel red zone rushing plays,SamuCu00
Jordan Howard,2TM,11,11,4,,9,6,4,,9,6,4,,All Jordan Howard red zone rushing plays,HowaJo00
Baker Mayfield,CLE,11,20,1,12.2%,9,18,1,18.4%,2,-2,0,8.7%,All Baker Mayfield red zone rushing plays,MayfBa00
Raheem Mostert,SFO,11,32,1,15.7%,7,6,1,17.5%,6,-2,0,26.1%,All Raheem Mostert red zone rushing plays,MostRa00
Carson Wentz,PHI,11,41,5,18.3%,7,20,4,18.4%,3,3,3,25.0%,All Carson Wentz red zone rushing plays,WentCa00
Tom Brady,TAM,10,4,3,15.9%,6,4,3,14.6%,3,4,3,15.8%,All Tom Brady red zone rushing plays,BradTo00
Derek Carr,LVR,10,31,3,10.2%,5,5,3,10.4%,4,0,2,17.4%,All Derek Carr red zone rushing plays,CarrDe02
Mark Ingram,BAL,10,31,1,10.6%,5,9,1,9.3%,1,1,1,4.8%,All Mark Ingram red zone rushing plays,IngrMa01
Patrick Mahomes,KAN,10,26,2,15.9%,6,18,2,17.6%,2,6,2,11.8%,All Patrick Mahomes red zone rushing plays,MahoPa00
Ryan Tannehill,TEN,10,54,6,11.4%,8,34,5,15.4%,3,7,2,12.5%,All Ryan Tannehill red zone rushing plays,TannRy00
Joe Burrow,CIN,9,12,2,15.0%,7,2,2,24.1%,5,-2,2,31.3%,All Joe Burrow red zone rushing plays,BurrJo01
Ryan Fitzpatrick,MIA,9,27,2,9.0%,7,16,2,11.9%,2,1,1,6.9%,All Ryan Fitzpatrick red zone rushing plays,FitzRy00
Kerryon Johnson,DET,9,26,2,13.4%,5,10,2,12.2%,2,3,2,8.7%,All Kerryon Johnson red zone rushing plays,JohnKe06
Ty Johnson,NYJ,9,21,1,19.1%,4,4,1,19.0%,4,4,1,28.6%,All Ty Johnson red zone rushing plays,JohnTy02
Drew Lock,DEN,9,34,3,18.8%,5,21,3,18.5%,2,3,2,15.4%,All Drew Lock red zone rushing plays,LockDr00
Tua Tagovailoa,MIA,9,20,3,9.0%,8,19,3,13.6%,3,5,3,10.3%,All Tua Tagovailoa red zone rushing plays,TagoTu00
Mitchell Trubisky,CHI,9,40,1,13.6%,4,15,1,11.1%,2,2,0,12.5%,All Mitchell Trubisky red zone rushing plays,TrubMi00
DeAndre Washington,2TM,9,17,0,,5,10,0,,2,2,0,,All DeAndre Washington red zone rushing plays,WashDe00
Matt Breida,MIA,8,43,0,8.0%,1,5,0,1.7%,0,0,0,.0%,All Matt Breida red zone rushing plays,BreiMa00
Kirk Cousins,MIN,8,7,1,8.0%,7,8,1,10.8%,2,1,1,5.9%,All Kirk Cousins red zone rushing plays,CousKi00
Brian Hill,ATL,8,19,0,10.1%,3,9,0,9.4%,2,3,0,10.5%,All Brian Hill red zone rushing plays,HillBr02
Jordan Wilkins,IND,8,15,1,9.2%,2,1,1,4.3%,2,1,1,8.3%,All Jordan Wilkins red zone rushing plays,WilkJo01
Alex Collins,SEA,7,39,2,11.5%,2,14,1,5.9%,0,0,0,.0%,All Alex Collins red zone rushing plays,CollAl00
Jared Goff,LAR,7,12,4,7.4%,6,8,4,9.2%,5,5,4,15.6%,All Jared Goff red zone rushing plays,GoffJa00
Dwayne Haskins,WAS,7,2,1,10.1%,5,0,1,12.5%,4,-1,1,16.0%,All Dwayne Haskins red zone rushing plays,HaskDw00
Phillip Lindsay,DEN,7,15,0,14.6%,3,0,0,11.1%,3,0,0,23.1%,All Phillip Lindsay red zone rushing plays,LindPh00
Jeremy McNichols,TEN,7,14,1,8.0%,3,-2,1,5.8%,1,1,1,4.2%,All Jeremy McNichols red zone rushing plays,McNiJe00
Cordarrelle Patterson,CHI,7,20,1,10.6%,5,14,1,13.9%,1,1,0,6.3%,All Cordarrelle Patterson red zone rushing plays,PattCo00
La'Mical Perine,NYJ,7,18,2,14.9%,2,10,2,9.5%,0,0,0,.0%,All La'Mical Perine red zone rushing plays,PeriLa00
Matt Ryan,ATL,7,27,2,8.9%,2,1,1,6.3%,2,1,1,10.5%,All Matt Ryan red zone rushing plays,RyanMa00
Ito Smith,ATL,7,22,1,8.9%,3,12,1,9.4%,1,-2,0,5.3%,All Ito Smith red zone rushing plays,SmitIt00
Rodney Smith,CAR,7,25,1,7.4%,2,2,1,4.2%,1,1,1,5.0%,All Rodney Smith red zone rushing plays,SmitRo08
