Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
LeSean McCoy,PHI,56,145,4,64.4%,26,40,3,57.8%,9,6,3,52.9%,All LeSean McCoy red zone rushing plays,McCoLe01
DeMarco Murray,DAL,56,148,12,94.9%,29,40,10,100.0%,12,15,9,100.0%,All DeMarco Murray red zone rushing plays,MurrDe00
Marshawn Lynch,SEA,52,132,12,64.2%,29,71,11,67.4%,14,23,6,87.5%,All Marshawn Lynch red zone rushing plays,LyncMa00
Alfred Morris,WAS,45,110,6,64.3%,21,26,5,56.8%,10,7,4,52.6%,All Alfred Morris red zone rushing plays,MorrAl00
Lamar Miller,MIA,44,133,7,50.0%,27,60,7,58.7%,13,17,5,65.0%,All Lamar Miller red zone rushing plays,MillLa01
Mark Ingram,NOR,43,120,8,58.9%,26,33,7,63.4%,20,15,7,74.1%,All Mark Ingram red zone rushing plays,IngrMa01
Joique Bell,DET,41,103,7,66.1%,21,38,6,70.0%,11,12,6,91.7%,All Joique Bell red zone rushing plays,BellJo01
Le'Veon Bell,PIT,40,127,6,67.8%,17,27,4,65.4%,7,1,3,70.0%,All Le'Veon Bell red zone rushing plays,BellLe00
Matt Forte,CHI,40,99,6,90.9%,27,57,5,90.0%,10,2,3,90.9%,All Matt Forte red zone rushing plays,FortMa00
Justin Forsett,BAL,39,112,7,43.8%,18,27,2,39.1%,10,4,1,32.3%,All Justin Forsett red zone rushing plays,ForsJu00
Andre Williams,NYG,38,98,6,50.7%,20,45,6,50.0%,10,17,6,43.5%,All Andre Williams red zone rushing plays,WillAn00
Eddie Lacy,GNB,37,81,8,48.1%,20,46,7,54.1%,10,9,5,66.7%,All Eddie Lacy red zone rushing plays,LacyEd00
Jeremy Hill,CIN,33,113,7,41.8%,20,40,6,45.5%,11,16,6,50.0%,All Jeremy Hill red zone rushing plays,HillJe01
Chris Ivory,NYJ,33,69,5,47.8%,19,15,5,54.3%,13,10,5,56.5%,All Chris Ivory red zone rushing plays,IvorCh00
Steven Jackson,ATL,32,102,6,68.1%,21,44,6,77.8%,12,7,5,85.7%,All Steven Jackson red zone rushing plays,JackSt00
Matt Asiata,MIN,30,80,9,58.8%,23,58,9,69.7%,12,15,6,92.3%,All Matt Asiata red zone rushing plays,AsiaMa00
Giovani Bernard,CIN,30,55,4,38.0%,16,30,4,36.4%,8,11,4,36.4%,All Giovani Bernard red zone rushing plays,BernGi00
