player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Matt Skura,11102,C,BLT,16,0,3,59,100,306,57,306,56.4,1,100,537,537,58.4,100,158,29.4,158
Duane Brown,4340,T,SEA,16,0,29,72.7,100,151,29,151,73.5,1,100,521,521,69.3,100,326,62.6,326
Marshal Yanda,3702,G,BLT,16,0,3,67.2,100,301,58.3,301,80,1,100,516,516,88.7,100,144,27.9,144
Ronnie Stanley,10640,T,BLT,15,0,3,63,100,293,57.8,293,65.4,1,100,507,507,62.8,100,145,28.6,145
Joe Thuney,10712,G,NE,16,0,19,68.4,100,259,52.7,259,67.9,2,100,491,491,62.5,100,148,30.1,148
Russell Wilson,7077,QB,SEA,16,0,29,60,98.7,149,30.7,151,60,0,92.9,485,522,60,94.8,310,63.9,327
Germain Ifedi,10665,T,SEA,15,0,29,50.6,100,140,29,140,50.7,3,100,483,483,52.1,100,304,62.9,304
Trent Brown,9677,T,NE,16,2,19,71.9,100,255,52.9,255,65.9,6,100,482,482,55.4,100,146,30.3,146
Justin Britt,8699,C,SEA,15,0,29,68.7,100,141,29.3,141,64,1,100,482,482,59.4,100,300,62.2,300
David Andrews,9948,C,NE,16,0,19,65.9,100,254,53.4,254,69.9,3,100,476,476,74,100,146,30.7,146
J.R. Sweezy,7209,G,SEA,15,0,29,57.4,100,135,29.2,135,49.3,4,100,463,463,53.5,100,291,62.9,291
Max Unger,4972,C,NO,16,0,20,63.2,100,175,38.7,175,58.4,0,100,452,452,55.3,100,214,47.3,214
Tom Brady,698,QB,NE,16,0,19,60.1,100,252,56.4,252,60.1,0,95.9,447,466,60.1,100,143,32,143
Ryan Ramczyk,11787,T,NO,15,0,20,81.4,100,170,38.1,170,79.4,3,100,446,446,76.7,100,213,47.8,213
Rob Havenstein,9490,T,LA,16,0,26,81.7,100,106,23.9,106,88.4,1,100,444,444,81.2,100,276,62.2,276
Austin Blythe,10882,G,LA,16,0,26,58.2,100,106,23.9,106,71.8,0,100,444,444,72.5,100,276,62.2,276
