Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Darwin Thompson,KAN,9,12,1,13.4%,3,6,1,8.6%,1,4,1,5.9%,All Darwin Thompson red zone rushing plays,ThomDa06
Nyheim Hines,IND,8,26,2,11.1%,5,15,2,12.8%,2,4,1,10.5%,All Nyheim Hines red zone rushing plays,HineNy00
Rashaad Penny,SEA,8,29,1,11.6%,4,10,1,11.1%,2,4,1,11.8%,All Rashaad Penny red zone rushing plays,PennRa00
Jonathan Williams,IND,8,25,1,11.1%,2,7,0,5.1%,1,1,0,5.3%,All Jonathan Williams red zone rushing plays,WillJo07
Jameis Winston,TAM,8,5,1,14.3%,5,1,1,13.9%,2,1,1,10.0%,All Jameis Winston red zone rushing plays,WinsJa00
Ryquell Armstead,JAX,7,7,0,11.3%,3,8,0,10.0%,0,0,0,.0%,All Ryquell Armstead red zone rushing plays,ArmsRy00
Andy Dalton,CIN,7,19,4,12.5%,5,11,4,15.2%,4,6,3,19.0%,All Andy Dalton red zone rushing plays,DaltAn00
Derrius Guice,WAS,7,11,2,15.9%,3,2,2,14.3%,3,2,2,21.4%,All Derrius Guice red zone rushing plays,GuicDe00
Ty Johnson,DET,7,16,0,13.7%,5,11,0,14.3%,1,1,0,7.1%,All Ty Johnson red zone rushing plays,JohnTy02
Patrick Mahomes,KAN,7,45,2,10.4%,3,11,0,8.6%,0,0,0,.0%,All Patrick Mahomes red zone rushing plays,MahoPa00
Baker Mayfield,CLE,7,31,3,10.4%,6,20,3,14.0%,1,1,1,5.3%,All Baker Mayfield red zone rushing plays,MayfBa00
Dare Ogunbowale,TAM,7,2,2,12.5%,7,2,2,19.4%,7,2,2,35.0%,All Dare Ogunbowale red zone rushing plays,OgunDa00
Tarik Cohen,CHI,6,16,0,11.8%,4,9,0,12.1%,1,0,0,6.3%,All Tarik Cohen red zone rushing plays,CoheTa00
Sam Darnold,NYJ,6,19,2,18.8%,3,9,2,23.1%,2,6,2,28.6%,All Sam Darnold red zone rushing plays,DarnSa00
Wayne Gallman,NYG,6,10,2,12.8%,4,4,2,13.3%,4,4,2,30.8%,All Wayne Gallman red zone rushing plays,GallWa00
Robert Griffin,BAL,6,4,0,5.8%,4,5,0,7.0%,0,0,0,.0%,All Robert Griffin red zone rushing plays,GrifRo01
Taysom Hill,NOR,6,1,0,8.7%,2,-2,0,5.6%,0,0,0,.0%,All Taysom Hill red zone rushing plays,HillTa00
Devlin Hodges,PIT,6,-3,0,10.2%,5,-9,0,15.2%,2,-10,0,15.4%,All Devlin Hodges red zone rushing plays,HodgDe00
Bo Scarbrough,DET,6,23,1,11.8%,4,17,1,11.4%,0,0,0,.0%,All Bo Scarbrough red zone rushing plays,ScarBo01
Chris Thompson,WAS,6,13,0,13.6%,4,10,0,19.0%,2,2,0,14.3%,All Chris Thompson red zone rushing plays,ThomCh03
Mitchell Trubisky,CHI,6,15,1,11.8%,3,11,1,9.1%,1,2,1,6.3%,All Mitchell Trubisky red zone rushing plays,TrubMi00
Brandon Bolden,NWE,5,18,3,6.3%,5,18,3,9.3%,3,6,2,11.5%,All Brandon Bolden red zone rushing plays,BoldBr00
Chase Edmonds,ARI,5,5,0,8.6%,1,2,0,3.7%,0,0,0,.0%,All Chase Edmonds red zone rushing plays,EdmoCh00
Myles Gaskin,MIA,5,4,1,8.5%,2,-2,1,6.1%,1,2,1,6.7%,All Myles Gaskin red zone rushing plays,GaskMy00
Dontrell Hilliard,CLE,5,22,2,7.5%,3,7,2,7.0%,2,5,2,10.5%,All Dontrell Hilliard red zone rushing plays,HillDo00
Justin Jackson,LAC,5,9,0,8.6%,1,0,0,2.8%,0,0,0,.0%,All Justin Jackson red zone rushing plays,JackJu01
Daniel Jones,NYG,5,37,2,10.6%,3,16,2,10.0%,1,2,0,7.7%,All Daniel Jones red zone rushing plays,JoneDa05
J.D. McKissic,DET,5,19,0,9.8%,3,-1,0,8.6%,0,0,0,.0%,All J.D. McKissic red zone rushing plays,McKiJ.00
Bilal Powell,NYJ,5,4,0,15.6%,1,0,0,7.7%,0,0,0,.0%,All Bilal Powell red zone rushing plays,PoweBi00
Kyle Allen,CAR,4,19,2,6.0%,3,2,1,7.5%,2,1,1,9.5%,All Kyle Allen red zone rushing plays,AlleKy00
Matt Breida,SFO,4,3,0,5.2%,2,-2,0,5.0%,1,-2,0,4.5%,All Matt Breida red zone rushing plays,BreiMa00
Derek Carr,OAK,4,10,2,6.3%,3,7,2,8.8%,3,7,2,15.8%,All Derek Carr red zone rushing plays,CarrDe02
Jeff Driskel,DET,4,4,1,7.8%,3,2,1,8.6%,1,2,1,7.1%,All Jeff Driskel red zone rushing plays,DrisJe00
Trey Edmunds,PIT,4,2,0,6.8%,1,-2,0,3.0%,1,-2,0,7.7%,All Trey Edmunds red zone rushing plays,EdmuTr00
Kareem Hunt,CLE,4,18,2,6.0%,2,9,2,4.7%,1,3,1,5.3%,All Kareem Hunt red zone rushing plays,HuntKa00
Marcus Mariota,TEN,4,21,0,7.3%,2,13,0,6.9%,0,0,0,.0%,All Marcus Mariota red zone rushing plays,MariMa01
C.J. Prosise,SEA,4,14,1,5.8%,3,9,1,8.3%,1,1,0,5.9%,All C.J. Prosise red zone rushing plays,ProsC.00
Curtis Samuel,CAR,4,28,1,6.0%,2,12,1,5.0%,0,0,0,.0%,All Curtis Samuel red zone rushing plays,SamuCu00
Ryan Tannehill,TEN,4,20,3,7.3%,3,14,3,10.3%,2,4,2,16.7%,All Ryan Tannehill red zone rushing plays,TannRy00
Derek Watt,LAC,4,8,1,6.9%,3,5,1,8.3%,1,1,1,4.8%,All Derek Watt red zone rushing plays,WattDe00
Kirk Cousins,MIN,3,4,1,3.3%,3,4,1,4.9%,2,0,1,8.3%,All Kirk Cousins red zone rushing plays,CousKi00
Jon Hilliman,NYG,3,9,0,6.4%,2,7,0,6.7%,0,0,0,.0%,All Jon Hilliman red zone rushing plays,HillJo03
Wes Hills,DET,3,5,2,5.9%,3,5,2,8.6%,3,5,2,21.4%,All Wes Hills red zone rushing plays,HillWe00
