player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Jahri Evans,3053,G,GB,14,0,12,56.5,100,112,37,112,63,0,100,303,303,69.7,100,165,54.5,165
Nelson Agholor,9453,WR,PHI,16,0,24,66.8,100,131,43.4,131,64,0,99.7,302,303,67.8,100,150,49.7,150
Virgil Green,6356,TE,DEN,16,0,10,51.1,100,139,46.2,139,56.1,1,100,301,301,65.9,100,135,44.9,135
Travis Kelce,7844,TE,KC,15,0,16,54.4,98.2,110,36.5,112,62.5,2,99.3,301,303,62.3,100,168,55.8,168
Stefen Wisniewski,6200,G,PHI,12,0,24,62.6,100,127,42.5,127,68.8,0,100,299,299,70.5,100,142,47.5,142
Jarvis Landry,8698,WR,MIA,16,0,17,59.5,100,111,37.1,111,69.2,0,99.7,299,300,71.6,100,170,56.9,170
Donald Penn,3459,T,OAK,14,0,23,74,100,99,33.2,99,78.9,1,100,298,298,73.8,100,169,56.7,169
Zach Fulton,8828,C,KC,13,0,16,63.4,100,110,36.9,110,55.8,2,100,298,298,55.7,100,165,55.4,165
Zach Ertz,7816,TE,PHI,14,0,24,52.3,100,123,41.3,123,50.1,2,100,298,298,48.5,100,136,45.6,136
Tyrell Williams,10154,WR,LAC,16,0,27,53.6,100,140,47.1,140,54.4,0,100,297,297,69.2,100,106,35.7,106
Sammy Watkins,8639,WR,LA,15,0,26,78.9,100,94,31.8,94,79.6,0,100,296,296,66.4,100,186,62.8,186
Tyler Larsen,9304,C,CAR,12,0,5,63,100,155,52.5,155,63.2,0,100,295,295,62.6,100,83,28.1,83
Devin Funchess,9474,WR,CAR,16,0,5,59.9,100,146,49.5,146,52,0,100,295,295,62.4,100,100,33.9,100
T.J. Lang,5032,G,DET,13,0,11,50.1,100,111,38,111,57.6,4,100,292,292,67.9,100,154,52.7,154
Kenny Stills,7926,WR,MIA,16,0,17,57.8,100,97,33.4,97,36.6,2,100,290,290,66,100,180,62.1,180
Mitch Trubisky,11757,QB,CHI,12,0,6,60.3,97.2,70,24.1,72,60.7,0,94.5,290,307,60.7,97.2,206,71,212
Marqise Lee,8674,WR,JAX,14,0,15,75.3,100,91,31.5,91,76.2,1,99.7,289,290,67.6,100,186,64.4,186
Stefon Diggs,9579,WR,MIN,14,1,18,66.3,100,92,31.8,92,64.1,2,97.3,289,297,66.9,100,170,58.8,170
Robbie Chosen,11254,WR,NYJ,16,0,22,59.6,100,82,28.5,82,50.9,0,99.7,288,289,60.7,100,180,62.5,180
Andy Levitre,4974,G,ATL,13,0,2,59.5,100,61,21.3,61,71.9,1,100,287,287,74.6,100,203,70.7,203
Dan Feeney,11826,G,LAC,12,0,27,72.7,100,144,50.5,144,62.5,0,100,285,285,47.1,100,94,33,94
Eric Decker,5611,WR,TEN,16,0,31,90.3,100,159,55.8,159,84.4,1,100,285,285,83.3,100,108,37.9,108
Cooper Kupp,11824,WR,LA,15,0,26,54.3,100,90,31.8,90,66.6,1,100,283,283,79,100,178,62.9,178
Senio Kelemete,7144,G,NO,15,0,20,63.4,100,124,44,124,50.7,3,100,282,282,42.4,100,109,38.7,109
Rick Wagner,7950,T,DET,13,0,11,51.5,100,102,36.2,102,64.9,1,100,282,282,68.7,100,151,53.5,151
Josh Doctson,10656,WR,WAS,16,0,32,61,100,132,47,132,60.3,0,99.6,281,282,60.4,100,119,42.3,119
Mohamed Sanu,7084,WR,ATL,15,0,2,73.9,100,55,19.6,55,65.6,1,98.6,281,285,72.3,98.1,206,73.3,210
Jeff Allen,7642,G,HST,12,0,13,56.4,100,67,23.8,67,53.4,1,100,281,281,54.4,100,193,68.7,193
Nick O'Leary,9627,TE,BUF,15,0,4,51.4,100,100,36,100,52.4,0,100,278,278,53.1,100,144,51.8,144
O.J. Howard,11774,TE,TB,14,0,30,58.6,100,114,41,114,54.7,1,100,278,278,52,100,148,53.2,148
Julio Jones,6158,WR,ATL,16,0,2,65,100,53,19.3,53,64.2,0,99.6,274,275,60,100,198,72.3,198
Ben Koyack,9662,TE,JAX,16,0,15,61,100,108,39.6,108,61.6,1,100,273,273,62.9,100,140,51.3,140
Jay Cutler,2956,QB,MIA,14,0,17,60.3,100,101,37.1,101,60.2,0,95.4,272,285,60,98.8,160,58.8,162
Brandon Coleman,9086,WR,NO,16,0,20,84.3,100,141,52,141,80.5,0,100,271,271,77.8,100,92,33.9,92
Trey Hopkins,9276,G,CIN,13,1,7,59.2,100,111,41.1,111,50.8,2,100,270,270,51,100,123,45.6,123
Rashod Hill,11369,T,MIN,9,0,18,49,100,101,37.7,101,56,3,100,268,268,57.7,100,134,50,134
Rhett Ellison,7128,TE,NYG,16,0,21,68.4,100,143,53.4,143,70.6,0,100,268,268,68.4,100,111,41.4,111
David Bakhtiari,7891,T,GB,12,0,12,71.1,100,98,36.7,98,68.6,0,100,267,267,66.5,100,145,54.3,145
Jordy Nelson,4350,WR,GB,15,0,12,72.1,100,100,37.6,100,68.6,0,100,266,266,57.9,100,147,55.3,147
Brandon Shell,10792,T,NYJ,12,0,22,60.1,100,96,36.2,96,61.3,0,100,265,265,61.2,100,143,54,143
Hunter Henry,10669,TE,LAC,14,0,27,66.4,100,129,48.7,129,69.5,0,100,265,265,66.3,100,101,38.1,101
Jared Cook,5012,TE,OAK,16,0,23,51.1,100,92,34.7,92,52.1,3,100,265,265,59.6,100,138,52.1,138
Darren Fells,8549,TE,DET,16,0,11,58.7,100,105,39.8,105,62,1,100,264,264,66.4,100,145,54.9,145
David Morgan,10822,TE,MIN,14,0,18,76.3,100,105,39.8,105,78.5,1,100,264,264,70.3,100,126,47.7,126
Rishard Matthews,7211,WR,TEN,14,0,31,65.5,100,138,52.3,138,70.8,0,99.6,264,265,71.8,100,98,37.1,98
Torrey Smith,6210,WR,PHI,16,0,24,64.9,100,113,43,113,50.3,0,100,263,263,63.7,100,132,50.2,132
Robert Woods,7822,WR,LA,12,0,26,89.9,100,88,33.5,88,89.5,2,99.2,263,265,68.1,100,159,60.5,159
Kevin Pamphile,8784,G,TB,16,0,30,55.4,100,105,40.2,105,59.4,0,100,261,261,56.5,100,138,52.9,138
Ron Leary,7338,G,DEN,11,0,10,77.7,100,124,47.7,124,68.9,4,100,260,260,53.6,100,109,41.9,109
Garrett Celek,7274,TE,SF,16,0,28,62.2,100,52,20.1,52,68.9,2,100,259,259,69.5,100,189,73,189
Dwayne Allen,7066,TE,NE,16,0,19,77.5,100,131,50.8,131,75.4,0,100,258,258,65.5,100,94,36.4,94
Cedric Ogbuehi,9454,T,CIN,14,0,7,53.9,100,111,43,111,49.2,0,100,258,258,46.4,100,116,45,116
Marquise Goodwin,7859,WR,SF,16,0,28,64.1,100,44,17.2,44,73.2,2,98.5,256,260,72.8,100,198,77.3,198
Joe Barksdale,6244,T,LAC,11,0,27,50.4,100,127,49.8,127,43.7,0,100,255,255,46.9,100,89,34.9,89
Travis Swanson,8711,C,DET,11,0,11,53.6,100,84,32.9,84,53.2,1,100,255,255,59.3,100,145,56.9,145
Keelan Cole Sr.,51593,WR,JAX,16,0,15,60.9,100,86,33.9,86,81.6,1,100,254,254,71.7,100,161,63.4,161
Jameis Winston,9434,QB,TB,13,1,30,60,97.9,95,37.5,97,60,1,96.9,253,261,60,99.3,142,56.1,143
Mike Evans,8642,WR,TB,15,0,30,72.1,100,84,33.2,84,77,0,100,253,253,66.9,100,151,59.7,151
Michael Hoomanawanui,5655,TE,NO,14,0,20,54.8,100,135,53.4,135,58.1,0,100,253,253,61.8,100,80,31.6,80
Doug Baldwin,6615,WR,SEA,16,1,29,83.6,100,44,17.5,44,74.5,1,100,252,252,65.4,100,191,75.8,191
DeShone Kizer,11807,QB,CLV,15,0,8,60,93.4,85,33.9,91,60,0,89.3,251,281,60,95.6,152,60.6,159
JuJu Smith-Schuster,11817,WR,PIT,14,0,25,69.8,100,121,48.4,121,67,2,100,250,250,61.2,100,95,38,95
Jaron Brown,8128,WR,ARZ,16,0,1,69.7,100,118,47.4,118,66.2,2,100,249,249,67.5,100,98,39.4,98
Anthony Fasano,2998,TE,MIA,16,0,17,64.9,100,102,41,102,62.9,0,100,249,249,59.6,100,127,51,127
Luke Joeckel,7784,G,SEA,11,0,29,56.9,100,53,21.4,53,58,0,100,248,248,55.4,100,169,68.1,169
Eric Tomlinson,9786,TE,NYJ,14,0,22,63.7,100,78,31.7,78,58.6,1,100,246,246,59.4,100,136,55.3,136
Brent Celek,3778,TE,PHI,16,0,24,48.7,100,112,45.7,112,54.3,2,100,245,245,62.9,100,104,42.4,104
Deonte Thompson,7513,WR,BUF,16,0,4,91.4,100,91,37.6,91,84.5,1,99.2,242,244,75.5,99.3,135,55.8,136
Benjamin Watson,1753,TE,BLT,16,0,3,54,100,97,40.1,97,50.8,0,100,242,242,55.6,100,106,43.8,106
Delanie Walker,3120,TE,TEN,16,0,31,70.8,100,132,54.5,132,70.7,0,99.2,242,244,66.7,100,89,36.8,89
Terron Armstead,7856,T,NO,10,0,20,65.2,100,110,45.6,110,65.6,0,100,241,241,59,100,95,39.4,95
Levine Toilolo,7915,TE,ATL,15,0,2,67.7,100,46,19.1,46,70.7,1,100,241,241,70.1,100,178,73.9,178
Trent Brown,9677,T,SF,10,0,28,85.3,100,52,21.7,52,70.9,1,100,240,240,62.2,100,171,71.3,171
Ali Marpet,9494,C,TB,11,0,30,74.5,100,98,40.8,98,86.3,1,100,240,240,85.9,100,124,51.7,124
Davante Adams,8688,WR,GB,14,0,12,85.4,100,82,34.3,82,67.9,0,100,239,239,76.7,100,140,58.6,140
