Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Kyren Williams,LAR,65,184,14,73.9%,33,63,13,78.6%,19,31,12,82.6%,All Kyren Williams red zone rushing plays,WillKy02
Bijan Robinson,ATL,59,142,13,67.0%,34,72,12,65.4%,14,20,9,70.0%,All Bijan Robinson red zone rushing plays,RobiBi01
Jonathan Taylor,IND,57,117,7,57.6%,31,44,7,55.4%,15,7,5,50.0%,All Jonathan Taylor red zone rushing plays,TaylJo02
Josh Jacobs,GNB,56,141,14,57.7%,40,88,14,69.0%,19,22,11,73.1%,All Josh Jacobs red zone rushing plays,JacoJo01
Joe Mixon,HOU,56,125,9,66.7%,29,47,8,74.4%,12,8,6,80.0%,All Joe Mixon red zone rushing plays,MixoJo00
Saquon Barkley,PHI,55,202,6,42.3%,28,50,4,42.4%,13,18,4,37.1%,All Saquon Barkley red zone rushing plays,BarkSa00
Derrick Henry,BAL,55,158,13,64.7%,32,57,13,72.7%,18,21,9,94.7%,All Derrick Henry red zone rushing plays,HenrDe00
Jahmyr Gibbs,DET,50,158,12,44.2%,26,53,10,40.0%,15,16,8,42.9%,All Jahmyr Gibbs red zone rushing plays,GibbJa01
Najee Harris,PIT,50,133,5,53.2%,26,42,5,49.1%,7,6,3,41.2%,All Najee Harris red zone rushing plays,HarrNa00
Jalen Hurts,PHI,49,127,14,37.7%,28,45,13,42.4%,18,12,11,51.4%,All Jalen Hurts red zone rushing plays,HurtJa00
David Montgomery,DET,49,161,12,43.4%,33,76,11,50.8%,17,25,8,48.6%,All David Montgomery red zone rushing plays,MontDa01
James Cook,BUF,48,142,12,43.6%,29,66,11,48.3%,13,12,6,48.1%,All James Cook red zone rushing plays,CookJa01
Chase Brown,CIN,44,82,6,62.9%,28,45,6,63.6%,12,6,5,57.1%,All Chase Brown red zone rushing plays,BrowCh10
James Conner,ARI,44,138,8,62.0%,21,48,8,72.4%,11,8,5,64.7%,All James Conner red zone rushing plays,ConnJa00
Kareem Hunt,KAN,42,91,7,50.6%,24,36,7,60.0%,14,19,5,56.0%,All Kareem Hunt red zone rushing plays,HuntKa00
Aaron Jones,MIN,42,74,4,62.7%,24,8,3,66.7%,12,-4,3,70.6%,All Aaron Jones red zone rushing plays,JoneAa00
Chuba Hubbard,CAR,41,94,8,63.1%,27,34,7,65.9%,17,16,7,77.3%,All Chuba Hubbard red zone rushing plays,HubbCh01
Brian Robinson,WAS,41,119,7,33.3%,24,43,7,35.3%,11,7,4,36.7%,All Brian Robinson red zone rushing plays,RobiBr01
Rhamondre Stevenson,NWE,40,97,6,60.6%,18,31,5,62.1%,11,15,5,64.7%,All Rhamondre Stevenson red zone rushing plays,StevRh00
De'Von Achane,MIA,38,51,5,55.1%,23,13,4,59.0%,12,-1,3,66.7%,All De'Von Achane red zone rushing plays,AchaDe00
Jayden Daniels,WAS,37,107,6,30.1%,16,30,5,23.5%,10,7,4,33.3%,All Jayden Daniels red zone rushing plays,DaniJa02
Bucky Irving,TAM,37,149,8,48.1%,22,56,6,51.2%,12,8,4,60.0%,All Bucky Irving red zone rushing plays,IrviBu00
