player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Orlando Brown Jr.,46227,T,BLT,16,0,3,69.8,100,378,73.7,378,73,0,100,513,513,76.9,100,95,18.5,95
Nate Davis,46808,G,TEN,16,0,31,65.2,100,150,29.2,150,72.6,3,100,513,513,75.1,100,335,65.3,335
Bradley Bozeman,27934,G,BLT,16,0,3,61.8,100,372,73.8,372,63.3,0,100,504,504,62,100,94,18.7,94
Dennis Kelly,7146,T,TEN,16,0,31,65.7,100,145,29.5,145,66.6,1,100,491,491,67.6,100,325,66.2,325
Ben Jones,7099,C,TEN,16,1,31,66.1,100,143,29.4,143,78.8,3,100,487,487,85.7,100,324,66.5,324
Mark Glowinski,9567,G,IND,16,1,14,57.2,100,160,33.5,160,64,2,100,478,478,69.5,100,260,54.4,260
Joel Bitonio,8670,G,CLV,16,0,8,77.3,100,218,45.6,218,80.9,0,100,478,478,74.8,100,218,45.6,218
J.C. Tretter,7904,C,CLV,16,0,8,63.3,100,218,45.6,218,71.6,2,100,478,478,70.9,100,218,45.6,218
Erik McCoy,37347,C,NO,16,0,20,70.9,100,184,38.7,184,70.4,1,100,476,476,65,100,224,47.1,224
Ryan Tannehill,7014,QB,TEN,16,0,31,61.2,100,147,31.2,147,60.8,0,95.3,471,494,60.2,97.5,318,67.5,326
Quenton Nelson,12954,G,IND,16,0,14,66.6,100,159,33.8,159,85,2,100,470,470,86.2,100,257,54.7,257
Garrett Bradbury,46013,C,MIN,16,0,18,66.6,100,100,21.3,100,69.4,1,100,469,469,74.6,100,319,68,319
Dakota Dozier,8772,G,MIN,16,0,18,56,100,100,21.3,100,52.3,1,100,469,469,55.2,100,319,68,319
Joe Thuney,10712,G,NE,16,0,19,75.7,100,272,58,272,70.2,1,100,469,469,63.8,100,117,24.9,117
Brian O'Neill,46854,T,MIN,16,0,18,70.8,100,100,21.5,100,83.7,2,100,465,465,85.3,100,317,68.2,317
Austin Blythe,10882,C,LA,16,0,26,53.5,100,161,35.1,161,73.2,1,100,459,459,76.4,100,241,52.5,241
Rob Havenstein,9490,T,LA,16,1,26,58.9,100,161,35.1,161,82.1,2,100,459,459,92,100,241,52.5,241
Austin Corbett,46290,G,LA,16,0,26,63.8,100,161,35.1,161,73.4,1,100,459,459,74.2,100,241,52.5,241
Kirk Cousins,7102,QB,MIN,16,0,18,60.1,99,99,21.9,100,60,0,96.6,453,469,60,99.4,317,70,319
Jedrick Wills Jr.,58467,T,CLV,15,0,8,52.6,100,207,46,207,50.3,2,100,450,450,53.3,100,206,45.8,206
Ryan Ramczyk,11787,T,NO,16,0,20,51.7,100,176,39.2,176,81.9,1,100,449,449,92.1,100,213,47.4,213
Ryan Kelly,10652,C,IND,15,0,14,62,100,155,34.5,155,67.4,1,100,449,449,70.7,100,244,54.3,244
Laken Tomlinson,9461,G,SF,16,0,28,70.2,100,135,30.2,135,80.9,0,100,447,447,86.6,100,264,59.1,264
Baker Mayfield,46518,QB,CLV,16,0,8,60,99.5,214,48.1,215,60,0,94.1,445,473,60,98.6,213,47.9,216
Forrest Lamp,11793,G,LAC,16,0,27,52.8,100,145,32.6,145,42.8,0,100,445,445,40.2,100,236,53,236
Dan Feeney,11826,C,LAC,16,0,27,53,100,145,32.6,145,47.2,0,100,445,445,43.7,100,236,53,236
Mike McGlinchey,46275,T,SF,16,0,28,71.5,100,135,30.4,135,91.3,3,100,444,444,92.6,100,264,59.5,264
Jack Conklin,10642,T,CLV,15,0,8,71.8,100,199,44.9,199,78.7,1,100,443,443,79.7,100,206,46.5,206
Mike Onwenu,27357,T,NE,16,0,19,86.4,100,255,57.8,255,84.9,1,100,441,441,68,100,108,24.5,108
Daniel Brunskill,34807,C,SF,16,0,28,48.2,100,135,30.6,135,65.6,2,100,441,441,70.5,100,260,59,260
