player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
Penei Sewell,81788,T,DET,17,1,11,91,100,214,42.5,214,93.1,1,100,503,503,90,100,244,48.5,244
Matthew Bergeron,99658,G,ATL,17,0,2,45.2,100,151,30.5,151,59.6,0,100,495,495,71,100,315,63.6,315
Darnell Wright,98480,T,CHI,17,0,6,62.1,100,169,35.1,169,66,3,100,481,481,67.6,100,256,53.2,256
Wyatt Teller,46131,G,CLV,16,0,8,76.2,100,258,54,258,73.7,0,100,478,478,71.4,100,168,35.1,168
Erik McCoy,37347,C,NO,17,1,20,79.5,100,182,38.2,182,89.4,1,100,477,477,85.1,100,231,48.4,231
Jared Goff,10635,QB,DET,17,0,11,60.3,99.5,213,44.9,214,60.3,0,94.8,474,500,60.2,99.6,242,51.1,243
John Simpson,41715,G,BLT,17,0,3,54.7,100,232,48.9,232,56.9,3,100,474,474,65.8,100,194,40.9,194
O'Cyrus Torrence,102821,G,BUF,17,0,4,60.8,100,261,55.8,261,59.6,1,100,468,468,55.9,100,139,29.7,139
Jordan Mailata,66916,T,PHI,17,1,24,54,100,128,27.4,128,83,2,100,468,468,92.5,100,254,54.3,254
Colton McKivitz,29314,T,SF,17,1,28,55.4,100,129,27.6,129,68.1,1,100,467,467,69.3,100,273,58.5,273
Spencer Brown,42296,T,BUF,17,0,4,59.4,100,260,55.8,260,71.9,0,100,466,466,79.3,100,138,29.6,138
Mason Cole,45547,C,PIT,17,0,25,56.3,100,155,33.3,155,65.7,2,100,465,465,70.6,100,225,48.4,225
Jake Matthews,8641,T,ATL,17,0,2,62.9,100,146,31.4,146,60.2,1,100,465,465,60.9,100,292,62.8,292
Steve Avila,77319,G,LA,17,0,26,59.3,100,274,59.3,274,55.8,0,100,462,462,51.3,100,155,33.5,155
Chris Lindstrom,46692,G,ATL,16,0,2,72.2,100,139,30.2,139,87.5,2,100,460,460,90.4,100,295,64.1,295
Quenton Nelson,12954,G,IND,17,0,14,63.8,100,147,32.3,147,63.4,1,100,455,455,66.1,100,286,62.9,286
Jason Kelce,6343,C,PHI,17,0,24,72.3,100,124,27.3,124,86,0,100,454,454,86,100,244,53.7,244
Jake Brendel,11117,C,SF,17,0,28,57.1,100,124,27.4,124,70.5,0,100,453,453,68.3,100,267,58.9,267
Isaac Seumalo,10713,G,PIT,17,0,25,57.4,100,155,34.3,155,70.9,0,100,452,452,79,100,215,47.6,215
