Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Devonta Freeman,ATL,47,114,9,61.8%,25,49,8,62.5%,11,6,4,55.0%,All Devonta Freeman red zone rushing plays,FreeDe00
Jonathan Stewart,CAR,46,126,6,43.8%,21,26,5,42.0%,9,6,4,34.6%,All Jonathan Stewart red zone rushing plays,StewJo00
DeAngelo Williams,PIT,46,135,11,66.7%,30,63,11,66.7%,16,19,10,66.7%,All DeAngelo Williams red zone rushing plays,WillDe02
Adrian Peterson,MIN,45,95,7,62.5%,26,25,7,66.7%,14,3,4,73.7%,All Adrian Peterson red zone rushing plays,PeteAd01
Doug Martin,TAM,41,86,6,63.1%,21,32,5,65.6%,8,9,4,53.3%,All Doug Martin red zone rushing plays,MartDo00
Chris Ivory,NYJ,38,93,6,62.3%,23,33,6,74.2%,17,10,5,85.0%,All Chris Ivory red zone rushing plays,IvorCh00
Jeremy Hill,CIN,36,78,10,43.4%,24,49,10,50.0%,13,14,8,76.5%,All Jeremy Hill red zone rushing plays,HillJe01
Frank Gore,IND,35,61,5,58.3%,15,15,4,62.5%,8,1,2,66.7%,All Frank Gore red zone rushing plays,GoreFr00
Latavius Murray,OAK,33,66,5,70.2%,22,28,5,81.5%,8,7,4,80.0%,All Latavius Murray red zone rushing plays,MurrLa00
LeGarrette Blount,NWE,32,67,5,49.2%,16,24,5,45.7%,9,5,4,45.0%,All LeGarrette Blount red zone rushing plays,BlouLe00
Mark Ingram,NOR,31,92,6,43.1%,15,43,5,36.6%,9,7,3,36.0%,All Mark Ingram red zone rushing plays,IngrMa01
Giovani Bernard,CIN,30,142,2,36.1%,14,31,0,29.2%,3,-1,0,17.6%,All Giovani Bernard red zone rushing plays,BernGi00
Matt Forte,CHI,30,101,4,50.8%,21,41,4,58.3%,10,7,2,52.6%,All Matt Forte red zone rushing plays,FortMa00
Chris Johnson,ARI,30,45,2,49.2%,15,19,2,44.1%,8,-3,1,42.1%,All Chris Johnson red zone rushing plays,JohnCh04
