Player,Tm,ins_20_att,ins_20_yds,ins_20_tds,ins_20_%rush,ins_10_att,ins_10_yds,ins_10_tds,ins_10_%rush,ins_5_att,ins_5_yds,ins_5_tds,ins_5_%rush,link,-9999
Matthew Stafford,LAR,1,1,1,2.0%,1,1,1,3.8%,1,1,1,7.1%,All Matthew Stafford red zone rushing plays,StafMa00
J.J. Taylor,NWE,1,-1,0,1.6%,1,-1,0,3.1%,1,-1,0,8.3%,All J.J. Taylor red zone rushing plays,TaylJJ01
Patrick Taylor,GNB,1,2,0,1.5%,1,2,0,3.1%,0,0,0,.0%,All Patrick Taylor red zone rushing plays,TaylPa01
DJ Turner,LVR,1,6,0,1.9%,0,0,0,.0%,0,0,0,.0%,All DJ Turner red zone rushing plays,TurnDJ00
KaVontae Turpin,DAL,1,3,0,1.4%,0,0,0,.0%,0,0,0,.0%,All KaVontae Turpin red zone rushing plays,TurpKa00
Dwayne Washington,NOR,1,3,0,1.8%,0,0,0,.0%,0,0,0,.0%,All Dwayne Washington red zone rushing plays,WashDw00
Montrell Washington,DEN,1,1,0,2.6%,1,1,0,3.6%,0,0,0,.0%,All Montrell Washington red zone rushing plays,WashMo00
Quez Watkins,PHI,1,4,0,.8%,0,0,0,.0%,0,0,0,.0%,All Quez Watkins red zone rushing plays,WatkQu00
Christian Watson,GNB,1,15,1,1.5%,0,0,0,.0%,0,0,0,.0%,All Christian Watson red zone rushing plays,WatsCh00
Davis Webb,NYG,1,14,1,1.4%,0,0,0,.0%,0,0,0,.0%,All Davis Webb red zone rushing plays,WebbDa00
Garrett Wilson,NYJ,1,7,0,1.6%,0,0,0,.0%,0,0,0,.0%,All Garrett Wilson red zone rushing plays,WilsGa00
Bailey Zappe,NWE,1,5,0,1.6%,0,0,0,.0%,0,0,0,.0%,All Bailey Zappe red zone rushing plays,ZappBa00
