player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Julio Jones,6158,WR,ATL,16,193,0,2,0,-2.9,5,100,,0,0,0,0,3,0,92.8,94.1,0,13,0,0,34,15,88.2,30,108.6,15,50,1,71,115,7.7,4.7,2.37,7.6,5,74.1,,0,0,9.1,4,23,2,87.5,91.8,1,70,0,0,186,40,92.5,172,119.7,54,31.4,4,504,262,6.6,12.6,2.93
Antonio Brown,5718,WR,PIT,16,190,0,25,0,-2.1,3,94.1,,0,0,0,0,1,0,92.7,66,0,17,0,0,70,16,97.1,68,82.1,17,25,0,63,98,6.1,3.9,0.93,11.3,2,58.3,,0,0,4.5,1,10,0,91.1,91.7,3,48,0,0,127,21,90.6,115,62.6,36,31.3,2,243,91,4.3,11.6,2.11
DeAndre Hopkins,7808,WR,HST,16,187,0,13,0,,0,,,0,0,,0,0,0,,39.7,0,0,0,0,36,0,91.7,33,0,0,0,0,0,0,,,0,16.8,0,52.6,,0,0,9.1,1,5,0,84.7,90.5,0,28,0.9,1,107,10,94.4,101,74.7,19,18.8,0,131,34,3.4,13.1,1.3
Demaryius Thomas,5547,WR,DEN,16,169,0,10,0,0,5,90,,0,0,0,0,6,1,92.9,78.6,0,17,0,0,44,18,97.7,43,93.1,20,46.5,0,127,126,7,7.1,2.95,8.7,6,55.3,,0,0,22.2,6,13,0,44.5,79.7,4,30,0,0,146,21,93.2,136,51.2,38,27.9,2,229,74,3.5,10.9,1.68
Brandon Marshall,3064,WR,NYJ,16,167,0,22,0,-1.3,0,100,,0,0,0,0,1,1,88.7,37.5,0,10,0,0,64,3,98.4,63,79.2,3,4.8,0,8,12,4,2.7,0.13,12.5,2,63.2,,0,0,14.3,4,13,2,34.5,84.9,2,33,0,0,151,24,96,145,96.8,38,26.2,4,264,60,2.5,11,1.82
Jarvis Landry,8698,WR,MIA,16,155,0,17,0,-3.5,4,86.4,,0,0,9.5,2,3,0,51.4,84.7,0,16,0,0,47,19,97.9,46,79.9,22,47.8,0,70,139,7.3,3.7,1.52,8.2,19,69.6,,0,0,5.3,4,40,0,88.4,89.3,2,50,0,0,414,71,96.4,399,90.5,102,25.6,2,784,347,4.9,11,1.96
Odell Beckham Jr.,8647,WR,NYG,15,153,0,21,0,-3,0,100,,0,0,0,0,1,0,88.7,49.9,0,5,0,0,42,3,88.1,37,118.8,3,8.1,1,5,14,4.7,1.7,0.14,8.9,6,76.2,,0,0,3,1,20,0,89.8,91.5,1,72,0,0,167,32,92.2,154,117.9,42,27.3,2,467,232,7.3,14.6,3.03
Mike Evans,8642,WR,TB,15,146,0,30,0,,0,,,0,0,,0,0,0,,38.6,0,0,0,0,53,0,94.3,50,0,0,0,0,0,0,,,0,16,0,52.2,,0,0,20,3,12,0,27.6,78.4,0,26,0,0,109,12,89.9,98,98.1,23,23.5,1,210,38,3.2,17.5,2.14
Michael Crabtree,4933,WR,OAK,16,143,0,23,0,-1.6,3,100,,0,0,0,0,1,1,91.1,66.8,0,25,0,0,42,7,100,42,131.8,7,16.7,1,43,54,7.7,6.1,1.02,7.4,8,66.7,,0,0,14.3,5,17,0,72.8,77.3,2,38,0,0,168,30,96.4,162,73.1,45,27.8,1,287,97,3.2,9.6,1.77
Calvin Johnson,3618,WR,DET,16,142,0,11,0,,0,,,0,0,,0,0,0,,35.6,0,0,0,0,87,0,98.9,86,0,0,0,0,0,0,,,0,14.9,0,65,0,0,1,7.1,1,8,0,79.7,85.3,0,46,0,0,88,13,92,81,97.9,20,24.7,0,200,68,5.2,15.4,2.47
Allen Robinson II,8696,WR,JAX,16,142,0,15,0,-1.8,1,100,,0,0,0,0,2,0,90.2,48.2,0,11,0,0,56,4,98.2,55,84.4,4,7.3,0,17,24,6,4.3,0.31,15.3,1,64,,0,0,0,0,13,0,60.7,78.2,0,46,0,0,103,16,95.1,98,134,25,25.5,6,234,48,3,14.6,2.39
Larry Fitzgerald,1724,WR,ARZ,16,139,0,1,0,-1.3,4,95.7,,0,0,4.3,1,9,0,90.5,93.1,0,44,1.8,1,56,22,98.2,55,116.1,23,41.8,1,193,221,10,8.8,3.51,9.2,1,81.3,,0,0,3.7,2,31,2,90.2,86.7,1,29,0.9,3,350,52,90.3,316,115.2,64,20.3,3,606,179,3.4,11.7,1.92
Emmanuel Sanders,5606,WR,DEN,15,131,0,10,0,-1.6,1,100,,0,0,0,0,0,0,90.6,54.4,0,8,0,0,42,5,95.2,40,80.8,5,12.5,0,17,25,5,3.4,0.43,10.8,0,61.1,,0,0,0,0,6,0,68.5,79.9,0,16,0,0,117,11,96.6,113,73.8,18,15.9,0,90,45,4.1,8.2,0.8
