player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
DeAndre Hopkins,7808,WR,HST,15,164,0,13,0,-1.9,1,100,,0,0,0,0,4,1,91.6,57.3,0,72,0,0,37,9,97.3,36,155.8,9,25,1,121,138,15.3,13.4,3.36,17.3,0,23.5,0,0,6,0,0,4,0,75.6,81.3,1,24,0,0,99,4,91.9,91,16.8,17,18.7,0,58,5,1.3,14.5,0.64
Jarvis Landry,8698,WR,MIA,16,156,0,17,0,-2.4,4,100,,0,0,0,0,7,1,93.7,87.2,0,18,0,0,65,25,96.9,63,89.2,25,39.7,0,135,195,7.8,5.4,2.14,5.1,9,78.2,43.8,7,16,1.4,1,36,2,90,80.3,3,49,0,0,410,68,94.9,389,101,87,22.4,5,617,350,5.1,9.1,1.59
Antonio Brown,5718,WR,PIT,14,155,0,25,0,2.7,1,88.2,0,0,1,0,0,5,1,92.5,68.2,0,32,0,0,72,15,93.1,67,95.3,17,25.4,0,117,94,6.3,7.8,1.75,11,4,71.4,60,3,5,6.3,1,8,1,82,92.4,1,51,0,0,77,15,92.2,71,121.7,21,29.6,2,243,121,8.1,16.2,3.42
Larry Fitzgerald,1724,WR,ARZ,16,153,0,1,0,-1.3,4,92.9,,0,0,0,0,5,0,93.7,78.3,0,16,1.9,1,53,26,96.2,51,83.2,28,54.9,0,111,163,6.3,4.3,2.18,9.6,6,69.9,44.4,12,27,5.8,4,43,0,91.1,76.6,0,33,0,0,434,65,92.9,403,106,93,23.1,3,779,243,3.7,12,1.93
Keenan Allen,7857,WR,LAC,16,147,0,27,0,-1.8,0,100,,0,0,0,0,2,1,91.4,51.6,0,13,0,0,32,8,96.9,31,121.9,8,25.8,1,30,44,5.5,3.8,0.97,9.6,7,76.8,62.5,5,8,4.4,2,30,1,57.7,91.6,1,42,0.7,2,287,43,94.8,272,125.2,56,20.6,4,575,232,5.4,13.4,2.11
Julio Jones,6158,WR,ATL,16,143,0,2,0,-1.2,1,100,,0,0,0,0,2,0,91.1,69.6,0,18,0,0,40,6,95,38,100,6,15.8,0,48,55,9.2,8,1.26,14.7,1,45.2,30,3,10,12.5,2,10,0,48.2,89.5,0,51,0,0,112,14,99.1,111,77.9,31,27.9,1,204,83,5.9,14.6,1.84
Michael Thomas,10681,WR,NO,16,139,0,20,0,-2.8,4,90.9,,0,0,0,0,3,0,92,54.1,0,12,0,0,92,10,93.5,86,85.2,11,12.8,0,49,78,7.8,4.9,0.57,7.8,4,76.6,66.7,6,9,0,0,25,0,91.5,92.4,0,35,0,0,124,36,92.7,115,117.4,47,40.9,2,421,221,6.1,11.7,3.66
Demaryius Thomas,5547,WR,DEN,16,136,0,10,0,-0.4,2,77.8,,0,0,12.5,1,3,1,39.4,61.2,0,11,0,0,27,7,96.3,26,116.2,9,34.6,1,26,31,4.4,3.7,1,5.9,2,65.4,42.9,3,7,10.5,2,9,0,32.4,69.6,1,19,0,0,106,17,92.5,98,88,26,26.5,2,136,58,3.4,8,1.39
Adam Thielen,8288,WR,MIN,16,135,0,18,0,-2.4,1,100,,0,0,0,0,1,0,90.6,55,0,9,0,0,57,5,94.7,54,80.8,5,9.3,0,17,29,5.8,3.4,0.31,8.6,7,65.7,40,6,15,6.1,3,25,2,78.1,78.3,0,52,0.6,2,308,46,90.9,280,96.8,70,25,1,592,254,5.5,12.9,2.11
A.J. Green,6156,WR,CIN,16,134,0,7,0,-2.8,0,75,0,0,1,0,0,0,0,88.7,48.7,0,5,0,0,66,3,100,66,77.1,4,6.1,0,9,17,5.7,3,0.14,14.1,0,50,33.3,1,3,12.5,1,5,1,63.1,74.3,2,20,0,0,74,7,97.3,72,68.8,14,19.4,2,84,18,2.6,12,1.17
