player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Julio Jones,6158,WR,ATL,16,166,0,2,0,0,1,83.3,,0,0,16.7,1,4,0,29.2,74.1,0,35,0,0,36,5,100,36,152.1,6,16.7,2,66,65,13,13.2,1.83,13,0,64.3,33.3,1,3,10,2,13,0,84.6,90.1,2,33,0,0,126,18,96,121,65.8,28,23.1,0,268,50,2.8,14.9,2.21
Antonio Brown,5718,WR,PIT,15,164,0,25,0,0.6,7,92.6,100,1,1,0,0,7,0,93.7,79,0,31,0,0,98,25,93.9,92,128.5,27,29.3,4,144,139,5.6,5.8,1.57,7.3,4,75,33.3,2,6,0,0,20,0,92.4,82.6,3,43,0,0,147,33,94.6,139,103.9,44,31.7,5,315,149,4.5,9.5,2.27
Davante Adams,8688,WR,GB,15,162,0,12,0,-0.1,4,100,,0,0,0,0,2,0,93.4,70.4,0,25,0,0,76,23,98.7,75,104.2,23,30.7,1,127,130,5.7,5.5,1.69,10,1,75,25,1,4,3.6,1,17,0,89.2,91.2,0,38,0,0,144,27,91,131,129.1,36,27.5,3,317,149,5.5,11.7,2.42
JuJu Smith-Schuster,11817,WR,PIT,16,161,0,25,0,-0.7,2,85,0,0,1,0,0,8,0,93,76.9,1,12,0,0,103,17,94.2,97,96.3,20,20.6,2,82,93,5.5,4.8,0.85,8.4,2,67.4,54.2,13,24,4.6,3,38,0,80,79.9,4,75,0,0,444,62,94.8,421,91.5,92,21.9,4,814,384,6.2,13.1,1.93
DeAndre Hopkins,7808,WR,HST,16,159,0,13,0,-2.5,1,91.7,,0,0,0,0,2,0,92.5,71.9,0,16,0,0,53,11,90.6,48,84.7,12,25,0,52,79,7.2,4.7,1.08,9.5,3,88.9,75,6,8,0,0,20,0,93.2,93.6,0,49,0,0,135,32,97.8,132,151.3,36,27.3,4,411,112,3.5,12.8,3.11
Zach Ertz,7816,TE,PHI,16,154,0,24,0,-2.8,0,75,0,0,1,0,0,1,0,88.7,35.2,0,6,20,15,75,3,77.3,58,77.1,4,6.9,0,8,15,5,2.7,0.14,7.7,1,72.7,46.2,6,13,3.4,2,28,0,78.7,76.8,4,34,1.2,4,324,56,92.6,300,74,77,25.7,0,609,170,3,10.9,2.03
Adam Thielen,8288,WR,MIN,16,149,0,18,0,-1.6,0,100,,0,0,0,0,2,1,91.1,45.3,0,35,0,0,51,7,98,50,107.7,7,14,0,69,80,11.4,9.9,1.38,8.4,4,79.1,40,4,10,5.6,4,38,1,90.4,90,2,45,0.3,1,393,68,95.2,374,118.6,86,23,7,712,269,4,10.5,1.9
Michael Thomas,10681,WR,NO,16,146,0,20,0,-2,2,77.8,0,0,1,12.5,1,2,0,39.4,48.9,0,9,0,0,59,7,96.6,57,116.2,9,15.8,1,16,31,4.4,2.3,0.28,8.8,8,88.5,77.8,7,9,2.1,1,25,0,91.1,92.4,0,72,0.6,1,175,46,90.9,159,132.1,52,32.7,3,577,204,4.4,12.5,3.63
Stefon Diggs,9579,WR,MIN,15,141,0,18,0,-1.6,3,94.4,,0,0,0,0,6,0,92.8,91.6,1,34,0,0,46,17,97.8,45,69,18,40,0,110,137,8.1,6.5,2.44,5.1,1,87.1,75,3,4,0,0,12,0,92.2,84,1,34,0,0,140,27,95.7,134,111.7,31,23.1,2,275,170,6.3,10.2,2.05
Travis Kelce,7844,TE,KC,16,139,0,16,0,-1.2,0,81.8,,0,0,10,1,5,0,52.2,63.6,0,43,15.3,13,85,9,80,68,131.8,11,16.2,1,92,113,12.6,10.2,1.35,9.7,4,77.9,63.6,7,11,3.6,2,34,2,79.2,92.3,2,43,0,0,286,53,92,263,120.3,68,25.9,4,755,306,5.8,14.2,2.87
Jarvis Landry,8698,WR,CLV,16,137,0,8,0,-1.1,0,90.9,100,1,1,9.1,1,1,0,56.2,42.7,0,7,0,0,81,10,93.8,76,79.2,11,14.5,0,33,47,4.7,3.3,0.43,11,3,56,41.2,7,17,9.6,5,23,0,73.3,67.4,2,51,0.2,1,456,47,91.7,418,77.7,84,20.1,3,545,144,3.1,11.6,1.3
Mike Evans,8642,WR,TB,16,135,0,30,0,0,0,100,,0,0,0,0,1,0,78.7,48.7,0,33,0,0,37,1,91.9,34,118.8,1,2.9,0,33,33,33,33,0.97,13.2,1,52.9,50,1,2,10,1,5,0,46.5,80,4,25,0,0,120,9,92.5,111,40.2,17,15.3,0,137,29,3.2,15.2,1.23
Tyreek Hill,10799,WR,KC,16,129,0,16,0,-3.7,1,90,,0,0,0,0,2,0,91.6,56.8,0,21,0,0,84,9,95.2,80,88.3,10,12.5,0,52,88,9.8,5.8,0.65,15.1,7,73.4,76.9,10,13,7.8,4,31,0,72.2,91.3,3,75,0,0,271,47,96.3,261,135.4,64,24.5,9,857,298,6.3,18.2,3.28
George Kittle,11901,TE,SF,16,128,0,28,0,-3.3,2,93.3,,0,0,6.7,1,5,0,75.2,92.4,0,45,8.2,4,49,14,87.8,43,106.9,15,34.9,0,145,190,13.6,10.4,3.37,9.2,4,60,50,4,8,7.7,2,16,0,48.8,72,2,43,0,0,179,24,91.6,164,81.4,40,24.4,2,321,149,6.2,13.4,1.96
Robert Woods,7822,WR,LA,16,127,0,26,0,-2.6,2,100,,0,0,0,0,4,0,92,59.6,0,20,1.4,1,70,10,90,63,102.5,10,15.9,0,86,112,11.2,8.6,1.37,11.8,1,65.6,50,6,12,0,0,27,0,91.8,88.6,1,36,1.1,4,353,40,93.5,330,102.2,61,18.5,3,526,183,4.6,13.2,1.59
Keenan Allen,7857,WR,LAC,16,125,0,27,0,-1,1,100,,0,0,0,0,3,0,91.4,77.4,0,16,0,0,37,8,100,37,95.3,8,21.6,0,55,63,7.9,6.9,1.49,8.5,3,81,71.4,5,7,4.1,2,32,0,89,90.9,1,27,0,0,277,47,96,266,108.9,58,21.8,2,528,205,4.4,11.2,1.98
Christian McCaffrey,11763,HB,CAR,16,122,0,5,0,-5.4,6,96,,0,0,0,0,5,1,93.7,93.4,0,32,11.5,7,61,24,85.2,52,90.2,25,48.1,0,141,269,11.2,5.9,2.71,4.6,1,70.6,,0,0,0,0,3,0,92.9,90.6,0,34,0,0,58,12,96.6,56,80.5,17,30.4,0,80,39,3.3,6.7,1.43
Odell Beckham Jr.,8647,WR,NYG,12,119,0,21,0,-0.8,3,100,,0,0,0,0,0,0,90.9,63.8,0,12,0,0,37,4,94.6,35,93.8,4,11.4,0,26,29,7.3,6.5,0.74,8.6,4,74.1,33.3,2,6,0,0,13,0,87.2,88.5,1,30,0,0,144,20,93.8,135,105.8,27,20,2,212,92,4.6,10.6,1.57
T.Y. Hilton,7092,WR,IND,14,116,0,14,0,-2.1,1,90.9,,0,0,0,0,4,0,92,80.7,0,43,0,0,49,10,95.9,47,118.8,11,23.4,0,141,161,16.1,14.1,3,13.5,0,51.4,30,3,10,5,1,17,0,87.4,84.4,1,60,0,0,153,19,91.5,140,84.2,37,26.4,1,369,107,5.6,19.4,2.64
James White,8765,HB,NE,16,116,0,19,0,-3.7,3,100,,0,0,0,0,11,0,93.7,99.9,0,37,0,0,51,26,100,51,117.3,26,51,1,236,332,12.8,9.1,4.63,0.8,0,77.8,,0,0,0,0,3,0,83.3,82.3,0,12,0,0,35,7,97.1,34,122.7,9,26.5,1,41,41,5.9,5.9,1.21
Kenny Golladay,11851,WR,DET,15,115,0,11,0,0,0,50,,0,0,0,0,0,0,84.5,38.3,0,3,0,0,62,1,95.2,59,56.3,2,3.4,0,3,3,3,3,0.05,13.4,1,55.6,40,4,10,0,0,13,0,78.3,78.8,0,60,0,0,182,15,94,171,105.5,27,15.8,1,290,89,5.9,19.3,1.7
Saquon Barkley,45791,HB,NYG,16,114,0,21,0,-5.3,8,95.7,,0,0,0,0,6,0,93.4,99.9,0,55,7.5,3,40,22,85,34,113.6,23,67.6,1,179,297,13.5,8.1,5.26,,0,,,0,0,,0,0,0,78.1,87.8,0,0,0,0,8,0,100,8,0,0,0,0,0,0,,,0
Brandin Cooks,8655,WR,LA,16,110,0,26,0,-2.8,4,94.4,,0,0,0,0,6,1,92.9,74.2,0,21,0,0,68,17,91.2,62,121.5,18,29,1,157,207,12.2,9.2,2.53,8.1,3,66.7,0,0,4,5.3,1,11,0,91.2,78.4,1,26,0,0,176,18,93.2,164,86.5,27,16.5,1,207,98,5.4,11.5,1.26
Corey Davis,11760,WR,TEN,16,108,0,31,0,-2.2,3,76.9,,0,0,16.7,2,3,1,28,50.8,0,18,0,0,80,10,95,76,86.4,13,17.1,0,63,87,8.7,6.3,0.83,8,3,69.2,66.7,2,3,6.9,2,18,1,57.3,76.3,0,27,0,0,154,27,95.5,147,117.6,39,26.5,3,301,120,4.4,11.1,2.05
Eric Ebron,8645,TE,IND,16,108,0,14,0,-4,0,100,,0,0,0,0,0,0,78.7,38.5,0,5,5.7,2,35,1,91.4,32,87.5,1,3.1,0,5,9,9,5,0.16,10.6,2,58,47.6,10,21,9.1,4,19,0,61.9,73.3,2,20,0.3,1,287,40,93,267,96.7,69,25.8,7,407,105,2.6,10.2,1.52
