player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Stefon Diggs,9579,WR,BUF,16,162,0,4,0,-2.2,5,81.8,,0,0,10,1,2,0,56.2,60.5,0,21,0,0,77,9,94.8,73,92.4,11,15.1,0,68,88,9.8,7.6,0.93,7.8,5,75,60,3,5,13.2,5,13,0,74.6,85.2,0,25,0,0,210,33,93.8,197,120.6,44,22.3,3,352,145,4.4,10.7,1.79
DeAndre Hopkins,7808,WR,ARZ,16,154,0,1,0,-1.9,5,100,,0,0,0,0,4,0,93.2,73.1,0,12,0,0,77,20,96.1,74,81.7,20,27,0,72,110,5.5,3.6,0.97,5.8,1,93.3,100,2,2,0,0,8,0,92.7,88.2,0,33,0,0,68,14,95.6,65,129.7,15,23.1,1,147,72,5.1,10.5,2.26
Allen Robinson II,8696,WR,CHI,16,150,0,6,0,-2.6,1,100,,0,0,0,0,0,0,90.9,46.7,0,7,0,0,44,5,97.7,43,79.2,5,11.6,0,14,27,5.4,2.8,0.33,7.9,6,72,27.3,3,11,0,0,23,0,91.9,87.1,1,35,0.6,1,181,36,96.7,175,103.3,50,28.6,3,354,138,3.8,9.8,2.02
Davante Adams,8688,WR,GB,14,146,0,12,0,-1.1,1,100,,0,0,0,0,5,0,93,82.2,0,27,0,0,60,19,98.3,59,112.3,19,32.2,1,128,149,7.8,6.7,2.17,7.4,0,84.2,50,4,8,2,1,27,0,91.7,92.4,0,45,0,0,153,48,96.1,147,139,57,38.8,7,448,211,4.4,9.3,3.05
Darren Waller,9637,TE,LV,16,140,0,23,0,-2,2,100,,0,0,0,0,4,0,92.5,88.1,0,22,4.4,2,45,15,93.3,42,95.3,15,35.7,0,103,133,8.9,6.9,2.45,10.3,1,60.6,57.1,4,7,0,0,11,2,91.4,90.1,1,29,0.8,1,128,20,93,119,89.6,33,27.7,2,233,110,5.5,11.7,1.96
Diontae Johnson,33441,WR,PIT,15,139,0,25,0,-2.4,2,91.7,,0,0,8.3,1,3,0,60.6,64.3,0,13,0,0,62,11,100,62,89.2,12,19.4,0,65,93,8.5,5.9,1.05,3.8,0,71.4,,0,0,9.1,1,4,1,29.7,68,0,10,0,0,78,10,93.6,73,75.9,14,19.2,0,48,34,3.4,4.8,0.66
Travis Kelce,7844,TE,KC,15,139,0,16,0,-1.2,0,90,,0,0,0,0,4,0,92,92,1,15,10.3,6,58,9,82.8,48,87.1,10,20.8,2,49,60,6.7,5.4,1.02,9.8,5,81,50,3,6,0,0,30,0,91.8,94.3,1,45,0.6,1,163,34,90.2,147,146.6,42,28.6,6,507,204,6,14.9,3.45
Keenan Allen,7857,WR,LAC,14,138,0,27,0,-2.3,1,94.4,,0,0,5.6,1,7,0,81.2,72.6,0,15,0,0,64,17,95.3,61,88.2,18,29.5,0,93,133,7.8,5.5,1.52,7.4,5,71.7,50,8,16,2.3,1,25,1,90.2,88.2,3,27,0.3,1,287,43,94.1,270,104.9,60,22.2,6,441,184,4.3,10.3,1.63
Calvin Ridley,48262,WR,ATL,15,137,0,2,0,-0.5,0,100,,0,0,0,0,0,0,84.5,45.6,0,2,0,0,26,2,92.3,24,79.2,2,8.3,0,2,3,1.5,1,0.08,13.6,0,78.6,0,0,1,0,0,9,0,71.4,77.9,0,39,0,0,68,11,95.6,65,158.3,14,21.5,2,200,39,3.5,18.2,3.08
Robbie Chosen,11254,WR,CAR,16,134,0,5,0,-2.5,0,100,,0,0,0,0,2,0,92,69.6,0,24,0,0,55,11,98.2,54,85.6,11,20.4,0,50,78,7.1,4.5,0.93,7.4,1,79.6,66.7,4,6,4.4,2,25,0,80.4,77,1,26,0,0,190,43,93.7,178,97.9,54,30.3,1,425,228,5.3,9.9,2.39
Tyler Lockett,9502,WR,SEA,16,133,0,29,0,-1.7,0,100,,0,0,0,0,2,1,91.4,48.2,0,17,0,0,48,7,97.9,47,94,7,14.9,0,46,58,8.3,6.6,0.98,8.2,3,73.2,40,2,5,8.8,5,26,1,68.9,73.2,1,43,0,0,396,52,94.2,373,99.3,71,19,2,556,207,4,10.7,1.49
Tyreek Hill,10799,WR,KC,15,131,0,16,0,-2.5,5,84.6,,0,0,8.3,1,5,0,64.7,72.5,0,15,0,0,58,11,94.8,55,116.7,13,23.6,1,76,107,9.7,6.9,1.38,13.4,10,64.8,50,3,6,9.8,5,31,0,53.9,80.7,1,54,0,0,364,46,94,342,117.8,71,20.8,7,591,225,4.9,12.8,1.73
Amari Cooper,9437,WR,DAL,16,128,0,9,0,-2.7,0,100,,0,0,0,0,0,0,90.2,40.2,0,7,0,0,61,3,93.4,57,83.3,3,5.3,0,12,20,6.7,4,0.21,9.4,0,67.6,60,3,5,4.2,1,13,0,90.1,74.8,1,35,0,0,172,23,96.5,166,79.9,34,20.5,0,275,71,3.1,12,1.66
Terry McLaurin,48229,WR,WAS,15,128,0,32,0,-2.1,2,100,,0,0,0,0,2,0,92.5,61.4,0,20,0,0,65,15,98.5,64,86.7,15,23.4,0,72,103,6.9,4.8,1.13,10.4,7,72.1,53.8,7,13,3.1,1,16,1,90.1,78.8,0,68,0,0,200,31,95,190,127.2,43,22.6,3,431,165,5.3,13.9,2.27
JuJu Smith-Schuster,11817,WR,PIT,16,125,0,25,0,-0.9,1,100,,0,0,0,0,5,1,93,58.3,0,20,0,0,84,19,100,84,86,19,22.6,0,88,105,5.5,4.6,1.05,6.2,3,78.6,48,12,25,3.6,3,41,2,91.9,68.7,4,31,0,0,582,81,93.6,545,109.3,103,18.9,9,735,345,4.3,9.1,1.35
D.K. Metcalf,47864,WR,SEA,16,124,0,29,0,-1.4,6,100,,0,0,0,0,1,0,91.8,89.9,0,32,0,0,43,10,97.7,42,96.3,10,23.8,0,71,85,8.5,7.1,1.69,14.3,0,60,75,3,4,18.2,2,7,0,42.5,82.1,1,54,2.8,3,109,9,93.6,102,104.2,15,14.7,2,145,28,3.1,16.1,1.42
