player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Justin Jefferson,61398,WR,MIN,17,176,0,18,0,-1.4,0,100,,0,0,0,0,4,0,92.4,74.3,0,17,0,0,71,14,94.4,67,90.8,14,20.9,0,81,101,7.2,5.8,1.21,10.9,5,81.5,75,9,12,4.3,2,27,0,89.5,91.3,1,64,0,0,218,44,92.7,202,117.2,54,26.7,1,710,295,6.7,16.1,3.51
Davante Adams,8688,WR,LV,17,168,0,23,0,-1.4,5,100,,0,0,0,0,2,0,90.9,71.7,0,16,2.1,1,47,5,85.1,40,136.3,5,12.5,1,36,43,8.6,7.2,0.9,9.2,8,81,50,2,4,2.9,1,22,0,85.4,91.8,3,60,0.5,1,197,34,92.9,183,116.7,42,23,4,484,212,6.2,14.2,2.64
Tyreek Hill,10799,WR,MIA,17,167,0,17,0,-1.8,3,88.2,100,1,1,6.3,1,2,0,86.6,91.9,0,18,0,0,37,15,89.2,33,86.5,17,51.5,0,81,109,7.3,5.4,2.45,10.9,4,72.7,55.6,5,9,4,2,29,1,90.8,92.9,1,39,0,0,239,48,95.4,228,99.4,66,28.9,1,601,231,4.8,12.5,2.64
Travis Kelce,7844,TE,KC,17,150,0,16,0,-2.1,5,92.9,,0,0,7.1,1,4,0,69.2,71.9,0,18,9.2,6,65,13,86.2,56,108.3,14,25,1,60,89,6.8,4.6,1.07,8,13,77.9,50,5,10,5.4,3,37,1,80.1,90.5,0,52,0.7,2,294,53,93.5,275,121.6,68,24.7,3,657,275,5.2,12.4,2.39
Stefon Diggs,9579,WR,BUF,16,149,0,4,0,-1.8,4,100,,0,0,0,0,4,0,92.3,79.6,0,13,0,0,36,13,97.2,35,82.4,13,37.1,0,49,73,5.6,3.8,1.4,8.8,3,75,66.7,4,6,5.7,2,17,0,52.5,90.1,0,53,0,0,207,33,96.1,199,105.6,44,22.1,0,433,192,5.8,13.1,2.18
CeeDee Lamb,61570,WR,DAL,17,148,0,9,0,-3,4,92.9,,0,0,0,0,1,0,92.3,60.6,0,13,0,0,39,13,97.4,38,83,14,36.8,0,55,94,7.2,4.2,1.45,10.8,6,77.8,60,9,15,1.6,1,41,0,87.8,84.7,3,39,0,0,376,63,94.9,357,108.2,81,22.7,3,867,276,4.4,13.8,2.43
Diontae Johnson,33441,WR,PIT,17,141,0,25,0,-3.4,0,100,,0,0,0,0,2,0,45.7,52.9,0,14,0,0,44,8,88.6,39,85.4,8,20.5,0,36,63,7.9,4.5,0.92,5.3,4,69.2,50,1,2,14.3,3,9,0,56.7,72.2,2,14,0,0,86,18,93,80,50.5,26,32.5,0,142,58,3.2,7.9,1.78
Garrett Wilson,97405,WR,NYJ,17,139,0,22,0,-1.8,3,84.6,,0,0,0,0,3,0,92.1,74.4,0,23,0,0,48,11,93.8,45,87.8,13,28.9,0,66,87,7.9,6,1.47,10.1,7,63,33.3,3,9,3.3,1,21,0,90.1,85.2,1,54,0,0,222,29,95.9,213,85.9,46,21.6,0,445,159,5.5,15.3,2.09
D.K. Metcalf,47864,WR,SEA,17,139,0,29,0,-1,1,75,,0,0,25,1,0,1,27.1,26.9,0,4,0,0,35,3,94.3,33,77.1,4,12.1,0,-3,3,1,-1,-0.09,13.9,0,57.1,50,3,6,7.7,1,7,1,74,79.2,0,23,0,0,103,12,97.1,100,108.4,21,21,2,136,21,1.8,11.3,1.36
Amon-Ra St. Brown,84470,WR,DET,16,139,0,11,0,-2.9,0,93.3,,0,0,0,0,7,0,92.7,91.3,0,13,0,0,57,14,94.7,54,96.7,15,27.8,0,108,148,10.6,7.7,2,5.3,4,77.2,25,2,8,6.2,4,35,0,90.3,91.4,0,29,0.3,1,306,61,94.1,288,102.1,79,27.4,1,596,297,4.9,9.8,2.07
