player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
CeeDee Lamb,61570,WR,DAL,17,179,0,9,0,-2.4,1,100,,0,0,0,0,3,0,91.8,69.8,0,10,0,0,52,10,100,52,83.3,10,19.2,0,40,64,6.4,4,0.77,9.3,11,70.4,42.9,6,14,5.5,4,45,0,90.9,92.7,1,49,0,0,385,69,93.8,361,122.3,98,27.1,8,907,358,5.2,13.1,2.51
Davante Adams,8688,WR,LV,17,171,0,23,0,-0.3,3,100,,0,0,0,0,1,0,91.1,52.6,0,16,0,0,57,7,98.2,56,128.3,7,12.5,1,37,39,5.6,5.3,0.66,9.2,2,63.6,50,3,6,6.7,1,7,0,69.1,76.7,0,24,0,0,102,14,96.1,98,97.5,22,22.4,1,144,52,3.7,10.3,1.47
Tyreek Hill,10799,WR,MIA,16,167,0,17,0,-3.4,3,93.1,,0,0,3.6,1,9,1,91.6,90.6,0,64,0,0,62,27,98.4,61,90.5,29,47.5,0,166,256,9.5,6.1,2.72,9.5,7,67.2,22.2,2,9,10.4,5,23,1,67.8,94.5,3,78,0,0,182,43,94.5,172,81.5,64,37.2,1,580,295,6.9,13.5,3.37
Garrett Wilson,97405,WR,NYJ,17,163,0,22,0,-1.4,1,77.8,,0,0,22.2,2,0,0,26.3,42,0,9,0,0,77,7,96.1,74,80.1,9,12.2,0,29,40,5.7,4.1,0.39,6,12,70.7,50,4,8,8.9,4,14,1,57.7,67.3,1,31,0,0,222,41,93.7,208,76.8,58,27.9,0,320,108,2.6,7.8,1.54
Stefon Diggs,9579,WR,BUF,17,159,0,4,0,-2.5,11,89.5,,0,0,5.6,1,5,1,81.2,80,0,34,0,0,47,17,95.7,45,88.2,19,42.2,0,98,140,8.2,5.8,2.18,7.1,10,67.3,75,3,4,7.9,3,13,0,86.9,81.3,2,34,0,0,221,35,95,210,75.5,52,24.8,2,256,149,4.3,7.3,1.22
Amon-Ra St. Brown,84470,WR,DET,16,158,0,11,0,-3.4,3,94.7,,0,0,5.3,1,8,0,84,85.3,0,20,0,0,66,18,95.5,63,110.5,19,30.2,1,120,182,10.1,6.7,1.9,6.6,10,76.4,53.3,8,15,1.4,1,40,0,90.3,91.5,0,46,0.9,3,335,68,96.1,322,115.7,89,27.6,4,747,351,5.2,11,2.32
Puka Nacua,100632,WR,LA,17,153,0,26,0,-1.1,2,87.5,0,0,1,6.7,1,3,1,71.9,48.9,0,13,3.4,2,59,14,93.2,55,85.4,16,29.1,0,72,87,6.2,5.1,1.31,12.7,0,60,50,3,6,19.2,5,15,1,44.5,84.7,1,70,0.5,1,192,21,88.5,170,101.7,35,20.6,2,357,128,6.1,17,2.1
A.J. Brown,48327,WR,PHI,17,152,0,24,0,-2.5,1,100,,0,0,0,0,1,0,90.9,47.3,0,8,0,0,60,4,95,57,85.4,4,7,0,18,28,7,4.5,0.32,9.3,3,75,40,2,5,11.8,2,10,0,91,91.6,0,59,0,0,145,15,94.5,137,128.1,20,14.6,1,225,103,6.9,15,1.64
Michael Pittman Jr.,29049,WR,IND,16,150,0,14,0,-1.8,0,95.2,0,0,1,0,0,5,0,93.1,85.9,0,39,0,0,62,20,96.8,60,110.9,21,35,1,143,179,9,7.2,2.38,6.2,0,72.7,50,1,2,11.1,2,7,1,91.5,77.7,1,13,0.6,1,155,16,93.5,145,79.4,22,15.2,1,108,61,3.8,6.8,0.74
Keenan Allen,7857,WR,LAC,13,145,0,27,0,-2.7,0,100,,0,0,0,0,1,0,92.1,58.5,0,9,0,0,53,12,100,53,83.3,12,22.6,0,48,80,6.7,4,0.91,8.4,5,76.8,25,2,8,7,4,31,2,89,90.7,1,36,0.6,2,331,53,93.7,310,103.2,69,22.3,2,554,207,3.9,10.5,1.79
