player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Michael Thomas,10681,WR,NO,16,180,0,20,0,-2.3,0,100,,0,0,0,0,2,0,91.6,52.1,0,9,0,0,72,9,94.4,68,122.7,9,13.2,1,41,62,6.9,4.6,0.6,7.7,5,81.3,44.4,4,9,1.9,1,35,0,91.7,92,0,49,0,0,200,52,89.5,179,121.4,64,35.8,3,601,236,4.5,11.6,3.36
Allen Robinson II,8696,WR,CHI,16,153,0,6,0,-2.3,0,100,,0,0,0,0,1,0,91.4,48.2,0,9,0,0,84,8,96.4,81,84.4,8,9.9,0,34,52,6.5,4.3,0.42,10,2,74.6,62.5,10,16,0,0,32,0,90.4,85.6,2,49,0.7,2,277,47,93.5,259,109.2,63,24.3,4,560,161,3.4,11.9,2.16
Julio Jones,6158,WR,ATL,15,149,0,2,0,-0.3,1,90,0,0,1,0,0,2,0,91.8,61.6,0,54,0,0,44,9,88.6,39,130.4,10,25.6,1,73,81,9,8.1,1.87,11,1,66.7,37.5,3,8,8.3,2,14,0,90.3,90.5,1,48,0,0,135,22,94.1,127,81.6,33,26,0,290,76,3.5,13.2,2.28
Keenan Allen,7857,WR,LAC,16,147,0,27,0,-2.4,0,100,,0,0,0,0,1,0,91.4,56.9,0,10,0,0,50,7,94,47,82.1,7,14.9,0,26,43,6.1,3.7,0.55,9,3,76.1,50,6,12,5.3,3,32,0,90.2,84.2,2,45,0.6,2,337,54,91.4,308,102.3,71,23.1,3,587,178,3.3,10.9,1.91
Julian Edelman,5156,WR,NE,16,147,0,19,0,-2.1,1,70,,0,0,22.2,2,2,0,40.5,50.1,0,14,0,0,59,7,96.6,57,72.9,10,17.5,0,19,33,4.7,2.7,0.33,8.7,6,68.3,66.7,10,15,11.5,9,34,2,50.9,72,0,44,0,0,440,69,93.9,413,102.7,101,24.5,4,739,239,3.5,10.7,1.79
DeAndre Hopkins,7808,WR,HST,15,146,0,13,0,-3.7,4,100,,0,0,0,0,2,0,91.8,78.6,0,13,0,0,37,9,97.3,36,79.2,9,25,0,27,60,6.7,3,0.75,9.4,5,75.4,37.5,3,8,4.4,2,27,0,80.2,91,0,34,0,0,227,43,93,211,103.4,57,27,1,446,187,4.3,10.4,2.11
Tyler Boyd,10689,WR,CIN,16,142,0,7,0,-3,3,100,,0,0,0,0,3,1,91.1,59.5,0,15,0,0,47,7,95.7,45,91.1,7,15.6,0,41,62,8.9,5.9,0.91,10.2,5,64.8,42.1,8,19,9.5,6,37,1,60,73.2,3,47,0.2,1,435,57,94.7,412,86.2,88,21.4,2,776,268,4.7,13.6,1.88
Christian McCaffrey,11763,HB,CAR,16,135,0,5,0,-3.9,0,86.7,,0,0,13.3,2,3,0,29.8,49.6,0,15,15.9,7,44,13,84.1,37,90.3,15,40.5,0,85,138,10.6,6.5,2.3,3,2,94.1,100,3,3,5.9,1,10,0,86.7,93.8,0,18,0,0,60,16,96.7,58,118.1,17,29.3,1,130,85,5.3,8.1,2.24
Cooper Kupp,11824,WR,LA,16,132,0,26,0,-2.6,0,100,,0,0,0,0,2,2,92,40.5,0,12,4.2,3,71,11,90.1,64,82.2,11,17.2,0,41,70,6.4,3.7,0.64,7.5,6,69.7,22.2,2,9,2.8,2,33,2,91.3,82.2,2,66,3.4,14,416,69,90.1,375,104.5,99,26.4,5,853,411,6,12.4,2.27
Jarvis Landry,8698,WR,CLV,16,130,0,8,0,-1.6,3,83.3,0,0,1,0,0,2,0,92.1,58.7,1,34,0,0,88,10,92,81,59,12,14.8,0,78,95,9.5,7.8,0.96,10.1,12,59,36.8,7,19,9.8,5,27,0,75.3,78.6,4,65,0,0,387,46,91.7,355,70.2,78,22,1,675,317,6.9,14.7,1.9
