player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Antonio Brown,5718,WR,PIT,16,178,0,25,0,-2.2,3,83.3,,0,0,11.8,2,3,1,36.9,44.3,0,41,0,0,66,15,97,64,96.1,18,28.1,0,127,160,10.7,8.5,1.98,7.5,2,73.3,,0,0,4.3,1,15,1,91,91.5,0,41,0,0,111,22,95.5,106,127.1,30,28.3,2,300,130,5.9,13.6,2.83
Demaryius Thomas,5547,WR,DEN,16,178,0,10,0,0.2,2,80,,0,0,9.1,2,6,0,60.9,84.5,0,26,0,0,71,20,94.4,67,94.8,25,37.3,0,169,166,8.3,8.5,2.52,10.4,2,62.9,,0,0,4.3,1,14,0,66,90.2,2,32,0,0,121,22,95.9,116,101.1,35,30.2,5,259,104,4.7,11.8,2.23
Julio Jones,6158,WR,ATL,15,156,0,2,0,-1.1,4,78.9,,0,0,11.8,2,4,1,36.2,61.4,0,22,0,0,54,15,96.3,52,97.1,19,36.5,0,139,154,10.3,9.3,2.67,11.2,2,61.9,,0,0,7.1,1,11,0,59,90.3,1,27,0,0,79,13,96.2,76,85.6,21,27.6,1,181,74,5.7,13.9,2.38
Jordy Nelson,4350,WR,GB,16,146,0,12,0,0,0,90.9,,0,0,0,0,1,0,91.8,58.1,0,10,0,0,37,10,97.3,36,84.5,11,30.6,0,47,48,4.8,4.7,1.31,7.8,7,73.3,,0,0,4.3,1,15,0,45.2,86.8,0,24,0,0,125,22,95.2,119,108.1,30,25.2,1,243,84,3.8,11,2.04
Kelvin Benjamin,8663,WR,CAR,16,142,0,5,0,-3,1,100,,0,0,0,0,1,0,78.7,48.8,0,3,0,0,43,1,100,43,79.2,1,2.3,0,3,6,6,3,0.07,15.1,3,31.3,,0,0,37.5,3,2,1,33.2,74.8,0,18,0,0,72,5,97.2,70,40.6,16,22.9,0,46,13,2.6,9.2,0.66
Andre Johnson,1319,WR,HST,15,141,0,13,0,-3.4,4,100,,0,0,0,0,5,0,93,92.7,0,23,0,0,47,18,97.9,46,102.1,18,39.1,0,153,214,11.9,8.5,3.33,6.7,3,64,,0,0,0,0,7,1,63,73.7,0,25,0,0,95,16,93.7,89,79.1,25,28.1,0,142,66,4.1,8.9,1.6
Emmanuel Sanders,5606,WR,DEN,16,140,0,10,0,-0.9,1,88.2,,0,0,6.3,1,4,0,81.2,70.7,0,13,0,0,67,15,94,63,107.8,17,27,1,88,101,6.7,5.9,1.4,9.7,5,85.7,,0,0,5.3,2,23,0,90.2,89.4,0,42,0,0,227,36,93.4,212,130.7,42,19.8,2,485,137,3.8,13.5,2.29
Jeremy Maclin,4942,WR,PHI,16,140,0,24,0,-2.5,4,81,,0,0,5.6,1,6,0,84,80.1,0,50,0,0,60,17,96.7,58,131.7,21,36.2,2,168,213,12.5,9.9,2.9,12.4,4,67.9,,0,0,5,1,15,0,91,80.1,0,68,0,0,138,19,96.4,133,146,28,21.1,6,321,133,7,16.9,2.41
Vincent Jackson,2278,WR,TB,16,138,0,30,0,-2,0,50,,0,0,50,1,1,0,24.2,42.5,0,8,0,0,41,1,95.1,39,60.4,2,5.1,0,8,10,10,8,0.21,15.1,4,41.4,,0,0,7.7,1,7,0,64.3,73.3,2,50,0,0,150,12,93.3,140,33.7,29,20.7,0,180,38,3.2,15,1.29
Golden Tate,5585,WR,DET,16,136,0,11,0,-2.6,7,95.5,,0,0,0,0,10,0,93.3,86.9,0,24,0,0,72,21,94.4,68,109.5,22,32.4,1,146,200,9.5,7,2.15,8.4,13,72.3,,0,0,6,3,31,0,76.6,79.1,2,73,0,0,390,47,94.1,367,103.2,65,17.7,2,678,378,8,14.4,1.85
