player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kyle McCord,145053,QB,SYRACUSE,13,75.2,552,593,8.8,2.4,11,36,5.7,65.8,390,0,171,6,640,25,246,304,58.6,90.5,87.5,77.4,10,12,679,1,17,101,4.5,29,15,2,18,34,24,3.5,4760,8
Garrett Nussmeier,146757,QB,LSU,13,71.4,503,525,9.5,2.67,3,26,4.7,64,336,0,153,6.4,553,23,208,211,64,84.5,81.3,70,3,12,586,4,9.8,96.4,2.7,15,12,0,16,29,18,3.1,4043,7.7
Chandler Morris,122938,QB,N TEXAS,12,73.3,495,514,8.4,2.44,5,27,4.9,62.8,323,0,130,11,562,40,190,251,76.1,78.9,75.8,69.4,4,12,600,0,11.5,95.6,2.7,15,31,3,7,31,23,3.8,3792,7.4
Cade Klubnik,156253,QB,CLEMSON,14,73.7,457,492,9.4,2.64,5,28,5.4,62.6,308,1,167,8.6,547,29,180,140,52.2,89.2,87.7,67.1,4,6,571,2,15,104.4,4.6,25,27,6,20,36,13,2.3,3642,7.4
Shedeur Sanders,131396,QB,COLORADO,13,81.8,451,481,8.1,3,8,26,5,73.4,353,1,204,4.3,563,16,198,143,65.4,91,90.5,67.4,2,10,605,7,20.1,116,7.3,41,39,1,19,37,8,1.3,4133,8.6
Seth Henigan,144267,QB,MEMPHIS,13,73.7,449,478,9.1,2.84,1,30,5.9,64.9,310,0,142,6.3,527,21,163,218,71.5,81.5,79.1,66.6,6,6,558,0,13.4,98.9,3.6,19,27,0,22,25,11,2,3505,7.3
Josh Hoover,127148,QB,TCU,13,76.7,450,474,8.3,2.45,6,17,3.4,66.2,314,0,127,9,508,31,181,305,57.7,83.4,84.3,53.8,4,11,532,3,11.8,101.3,3,15,17,1,13,27,18,3.4,3952,8.3
Owen McCown,157688,QB,UTSA,13,72.9,446,468,8.4,2.63,4,19,3.8,62.6,293,1,154,9.8,542,32,170,331,75.9,81.4,77.3,73.9,5,10,575,4,16.9,93.7,4.8,26,43,1,12,25,11,1.9,3425,7.3
Behren Morton,144747,QB,TEXAS TECH,12,74.2,434,467,8.4,2.72,12,20,4.1,63.2,295,0,133,8.4,509,27,159,315,74.9,79.7,78.6,60.2,2,8,537,1,16.5,96.6,4.3,22,19,0,19,27,15,2.8,3335,7.1
Rocco Becht,157567,QB,IOWA STATE,14,69.3,410,461,9.8,2.67,17,22,4.5,59,272,0,156,4.2,515,12,183,193,72.5,76.7,69.7,80.8,0,9,549,3,10.3,92.9,3.1,16,35,4,30,25,20,3.6,3510,7.6
