player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Michael Penix Jr.,82134,QB,WASHINGTON,15,74.5,517,556,10.7,2.68,6,43,7.3,65.5,364,1,158,5.5,577,21,226,340,68.1,91.1,90.5,67.9,2,11,614,3,7.6,106.7,2.1,12,8,0,31,36,11,1.8,4906,8.8
Davis Brin,77642,QB,GA SOUTHRN,13,75,525,556,8.4,2.52,6,20,3.4,64.7,360,0,159,8.6,610,34,183,174,52.6,71.5,70.5,60.5,5,19,637,2,18.9,84.6,4.9,30,21,5,15,24,31,4.9,3786,6.8
Brayden Schager,146078,QB,HAWAII,13,72.9,495,526,10.3,2.8,7,28,5.1,62.9,331,0,212,8.3,598,30,173,180,63.6,77.7,76.1,64.3,5,14,626,3,18.9,87.8,6.7,40,32,2,17,26,14,2.2,3525,6.7
Alan Bowman,77679,QB,OKLA STATE,14,71.8,457,502,8.6,2.46,3,20,3.8,60.6,304,0,100,7.3,515,24,174,262,71.8,74.8,74.4,53.9,0,14,538,1,6,79.6,1.2,6,5,0,42,15,22,4.1,3460,6.9
Cam Ward,133244,QB,WASH STATE,12,78.6,444,486,7.7,2.8,10,24,4.8,66.7,324,0,173,7.2,567,25,185,341,27.9,80.2,77.5,69.7,5,7,589,1,24.9,100.7,7.6,43,36,0,27,25,21,3.6,3723,7.7
Seth Henigan,144267,QB,MEMPHIS,13,74.3,456,475,9.1,2.63,3,25,5,66.7,317,0,145,6.5,527,22,190,218,55.6,81.4,82.2,57.9,0,9,552,1,13.1,106.3,3.6,19,32,0,16,32,15,2.7,3878,8.2
Austin Reed,111760,QB,W KENTUCKY,12,70.2,449,471,8,2.43,9,21,4.2,61.6,290,0,122,7.9,491,25,157,346,64.1,70.3,67.1,71.3,3,11,518,1,5.7,95.1,1.4,7,11,0,10,31,18,3.5,3338,7.1
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,12,69.7,445,469,9.1,2.66,7,24,4.9,62,291,0,127,6.1,494,19,163,144,37.7,57.5,60.2,31.7,1,16,520,4,9.4,85.8,2.4,12,12,1,15,22,26,5,3446,7.3
Bo Nix,97790,QB,OREGON,14,85.5,454,467,6.8,2.44,3,20,4.1,77.3,361,0,79,7,499,27,211,264,76.1,93,92.7,70,2,3,524,2,7.6,135.7,1.2,6,21,0,8,45,5,1,4454,9.5
Joey Aguilar,174978,QB,APP STATE,14,71,441,464,10.8,2.51,4,24,5,62.9,292,1,143,6.7,516,21,199,108,26,77.2,76.1,61.7,6,10,536,5,12.6,102.8,3.5,18,33,1,12,33,26,4.9,3737,8.1
Cade Klubnik,156253,QB,CLEMSON,13,74.8,424,462,7,2.69,10,11,2.3,62.8,290,0,171,8.5,525,27,161,140,48.5,64.5,63.7,60.4,5,9,547,6,15.8,85.6,5.1,27,31,3,20,19,18,3.3,2835,6.1
E.J. Warner,156185,QB,TEMPLE,10,67.6,413,445,8.7,2.4,10,13,2.7,57.5,256,0,147,8.2,465,23,150,306,69.1,63.6,63.7,54.4,4,12,495,2,5.4,84.7,1.7,8,12,0,18,23,23,4.6,3061,6.9
Gunnar Watson,83570,QB,TROY,14,69.1,418,444,10.7,2.56,6,23,4.9,60.6,269,0,148,6.9,478,20,164,318,32.4,84.4,84,59.4,6,6,500,7,17.6,100.4,5.4,26,7,2,12,27,18,3.6,3539,8
