player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Will Rogers,124184,QB,MISS STATE,13,78.2,565,614,6,2.52,21,14,2.2,67.1,412,1,133,6.8,655,30,211,227,55.1,72.8,72.5,47.7,1,8,687,4,18,98.4,3.7,24,14,6,21,35,19,2.8,3955,6.4
Kyle Vantrease,55029,QB,GA SOUTHRN,13,69.4,572,605,8.8,2.31,7,24,3.8,61.7,373,0,136,6,620,24,200,174,66.4,71.2,70.4,55.4,1,16,650,0,4.4,86.7,1,6,8,1,24,27,25,3.8,4270,7.1
Austin Reed,111760,QB,W KENTUCKY,14,73,574,605,8.6,2.3,15,35,5.5,64.6,391,0,109,6.7,643,28,216,346,56.3,79.7,78.4,64.7,5,11,671,2,11.9,103.1,2,13,19,2,9,40,24,3.6,4744,7.8
Michael Penix Jr.,82134,QB,WASHINGTON,13,74.1,533,558,10.1,2.58,4,27,4.6,64.9,362,0,125,8.4,576,33,224,340,81.7,87.9,88.1,54,1,8,608,5,3.2,103.3,0.7,4,14,3,17,31,8,1.3,4641,8.3
Drake Maye,143969,QB,N CAROLINA,14,75.4,476,516,10.4,2.88,5,45,8.4,65.7,339,0,235,5.6,639,20,234,245,62,91.5,90.8,74.8,7,7,664,3,18.3,109.7,6.7,43,76,2,26,37,15,2.3,4293,8.3
Caleb Williams,144622,QB,USC,14,76,475,502,9.7,3.24,6,32,6,66.5,334,0,187,7.5,568,27,225,326,58.7,91.8,90.1,82.8,4,5,605,4,16,118.9,5.3,30,36,1,16,42,11,1.8,4539,9
Cam Ward,133244,QB,WASH STATE,13,75.3,462,501,7,2.97,6,10,1.9,64.1,321,0,213,7.8,591,27,178,341,45.4,59.9,58,64.4,1,9,616,4,21.6,90.1,7.8,46,39,0,32,23,21,3.4,3228,6.4
Aidan O'Connell,60516,QB,PURDUE,12,73,466,499,8.3,2.5,5,21,4,63.7,318,0,135,6.5,533,22,170,273,63.8,67.2,67.4,52,6,13,566,6,16.3,88.1,4.1,22,11,0,22,22,25,4.4,3483,7
Clayton Tune,77652,QB,HOUSTON,13,79.5,458,496,9.7,3.2,7,30,5.8,67.1,333,0,156,8.5,579,31,222,182,58.2,92,91.3,72.9,2,10,609,2,16.7,110.7,4.5,26,55,1,28,40,18,3,4065,8.2
John Paddock,77689,QB,BALL ST,12,67.3,453,483,7.4,2.19,13,10,2,59.8,289,0,124,5.2,501,16,144,117,74.5,63.1,62.1,53,4,14,530,1,10.5,76,2.6,13,5,0,13,18,20,3.8,2743,5.7
Frank Harris,60586,QB,UTSA,14,77.3,449,476,8.7,2.61,9,21,4.2,69.1,329,0,159,5.2,551,18,224,331,53.3,90,85,76,1,9,577,3,14.5,109.8,4.2,23,51,2,15,32,13,2.3,4066,8.5
Holton Ahlers,77651,QB,E CAROLINA,13,74.1,451,473,8.6,2.45,10,21,4.2,66.8,316,0,159,5.4,509,18,173,156,76.7,85.4,82.4,67.8,4,5,542,1,10.1,105.7,3.1,16,20,2,6,28,11,2,3699,7.8
Chase Cunningham,78533,QB,MIDDLE TN,12,77,427,463,5.9,2.43,4,18,3.6,66.3,307,0,178,6.7,505,22,148,224,58.4,64,65.6,53.2,2,10,540,3,16.3,91.8,5.7,29,12,1,29,21,19,3.5,3151,6.8
