player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Luke Falk,46586,QB,WASH STATE,12,78.6,621,649,6.4,2.54,2,32,4.8,68.9,447,0,146,8.4,714,41,234,341,54.6,78,79.8,45,9,8,734,5,25.3,103.3,5.2,37,28,3,14,38,32,4.4,4580,7.1
Patrick Mahomes,11765,QB,TEXAS TECH,13,74.1,541,577,8.3,2.85,4,30,5,63.1,364,0,222,9.2,648,37,220,315,52.3,79.3,75.8,70.7,3,15,678,5,11.7,98.1,4,26,45,2,27,36,25,3.7,4633,8
Matt Johnson,11111,QB,BOWL GREEN,14,75.9,527,566,10.2,2.56,9,41,6.9,67,379,0,162,5.3,626,21,228,122,64.8,91.6,91.6,63.3,0,8,661,4,23.5,115.4,6.1,38,22,0,30,46,19,2.9,4931,8.7
Brandon Doughty,10857,QB,W KENTUCKY,14,81.8,521,545,8,2.42,6,24,4.3,71.2,388,0,156,8.9,567,38,232,346,54.7,91.5,91.1,47,4,9,589,1,9.6,122.4,2.6,15,7,1,13,48,14,2.4,5043,9.3
Mike Bercovici,10986,QB,ARIZONA ST,13,72.1,499,535,8.6,2.49,7,21,3.8,59.8,320,0,166,11.1,586,40,189,110,45.7,75.8,77.7,51.6,6,9,604,3,22.9,94.5,6.5,38,13,0,23,31,24,4,3884,7.3
Jared Goff,10635,QB,CAL,13,74,503,531,10.4,2.49,5,36,6.4,63.8,339,0,172,8.9,580,33,220,130,64.9,92.4,91.4,74.8,3,13,618,5,15.1,109.2,4.5,26,23,2,18,43,24,3.9,4726,8.9
Nick Mullens,12282,QB,SO MISS,14,77.6,469,523,9.2,2.48,18,33,6,63.3,331,0,185,9.1,553,33,196,296,60.9,91.1,90.9,59,12,12,582,5,11.9,105.1,4,22,8,0,24,38,16,2.8,4474,8.6
Cooper Rush,12324,QB,C MICHIGAN,13,73.5,464,496,8.3,2.64,9,31,5.9,65.1,323,0,198,5.3,545,18,191,134,64.7,85.2,84.6,59.8,4,11,574,3,13.1,96.2,4.8,26,23,2,17,25,26,4.5,3840,7.7
Deshaun Watson,11767,QB,CLEMSON,15,77.3,467,494,8.7,2.4,12,35,6.7,67.6,334,0,132,7.5,563,27,217,140,85.4,85.7,85,68.1,2,13,594,2,11.4,105.5,2.7,15,54,2,11,35,16,2.7,4086,8.3
Josh Rosen,35460,QB,UCLA,13,70,450,490,9.5,2.65,11,30,5.8,59.6,292,0,175,7.3,516,23,171,324,59.2,82.6,79,75.4,1,11,545,3,8,89.3,2.7,14,12,1,27,23,29,5.3,3671,7.5
