player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Shane Carden,10001,QB,E CAROLINA,13,73,581,624,8.9,2.78,7,19,2.9,63,393,0,228,7.3,683,31,3,156,60.5,80.6,81.3,53.6,2,10,723,5,14.5,95.5,4.8,33,26,4,30,30,16,2.2,4727,7.6
Brandon Doughty,10857,QB,W KENTUCKY,13,76.7,533,554,8.6,2.48,8,27,4.7,67.7,375,0,135,8.3,588,34,2,346,60.9,87.5,88.2,45.4,4,10,606,2,14.8,116.8,3.4,20,14,0,9,49,14,2.3,4835,8.7
Anu Solomon,46599,QB,ARIZONA,14,67.1,523,552,9.7,2.53,3,23,3.9,56.9,314,0,139,10.5,629,37,3,109,62.7,68.6,70,53.7,0,9,667,4,25.9,88.1,5.7,36,41,3,23,28,15,2.2,3777,6.8
Connor Halliday,9724,QB,WASH STATE,9,75.6,504,525,7.4,2.23,4,29,5.3,66.7,350,0,99,8.1,551,31,2,341,62.8,83.5,82.8,49.1,2,11,580,2,20.2,99.7,3.6,20,6,0,15,32,21,3.6,3840,7.3
Jared Goff,10635,QB,CAL,12,71.8,471,508,10.2,2.45,9,30,5.6,61.6,313,0,174,7.4,555,25,2,130,41.5,85.9,85.6,52.1,10,7,589,3,14.4,103.1,4.5,25,22,1,17,35,15,2.5,3954,7.8
Pete Thomas,12587,QB,LA MONROE,12,71.9,455,504,7.2,2.58,10,14,2.7,59.9,302,0,263,7.6,590,25,1,209,61.5,60.7,64.7,41.3,7,6,615,1,17.5,82.7,7.8,46,40,2,30,14,10,1.6,3187,6.3
Sefo Liufau,12064,QB,COLORADO,12,75.1,461,498,6.9,2.7,4,18,3.4,65.1,324,0,146,6.4,539,22,3,143,46,69.2,69.5,50.1,5,15,571,0,12.3,89.1,3.3,18,23,0,28,28,20,3.5,3182,6.4
Trevone Boykin,11279,QB,TCU,13,68.7,469,493,11.3,2.59,8,25,4.8,61.1,301,0,119,6.5,559,21,0,305,71.2,79.6,75.9,71.5,2,10,587,5,17.6,99.8,3.8,21,45,0,14,33,25,4.3,3903,7.9
James Knapke,46506,QB,BOWL GREEN,13,68.4,449,488,9.9,2.45,12,27,5.2,58,283,0,118,7.8,532,24,2,122,59.7,60.1,62.4,46.4,0,12,564,7,14.4,78.4,3.2,17,27,0,27,16,22,3.9,3200,6.6
Christian Hackenberg,10685,QB,PENN STATE,13,65.7,455,486,8.7,2.67,8,24,4.7,55.6,270,0,183,9.7,562,29,1,266,48.5,47.2,52.5,32.9,3,15,588,3,24.6,69.2,8,45,31,1,19,12,22,3.7,2966,6.1
Jameis Winston,9434,QB,FLORIDA ST,13,72.7,450,467,8.8,2.74,4,20,4.2,65.3,305,0,148,6.7,508,22,2,167,71.2,83,80.9,66.8,2,18,530,2,12.2,93.1,3.5,18,23,0,11,25,18,3.4,3898,8.3
Dane Evans,46560,QB,TULSA,12,66.9,444,466,10.2,2.45,6,21,4.3,55.2,257,0,148,13.5,516,40,6,320,71.8,59.8,60.2,51.4,1,17,544,2,16.2,77,4.7,24,26,2,13,23,30,5.5,3098,6.6
Andrew Hendrix,14711,QB,MIAMI OH,12,55.9,424,460,14.1,2.74,3,31,6.4,48,221,0,193,6.8,537,16,0,221,39.7,58.1,59.9,54.5,3,9,564,5,22.3,80.3,8,43,34,0,30,23,25,4.4,3270,7.1
Taylor Heinicke,9896,QB,DOMINION,12,73.6,428,458,10.3,2.85,5,36,7.3,63.1,289,0,167,8.3,527,26,2,263,69.6,87.9,88,57.2,2,16,562,0,18.6,93.5,5.9,31,38,0,23,30,16,2.9,3464,7.6
Anthony Boone,9751,QB,DUKE,13,66.7,424,456,8.6,2.22,15,17,3.6,55.7,254,0,103,10.2,475,29,4,154,66,60.3,58.4,63.5,4,8,490,5,9.7,79.7,2.1,10,9,0,13,19,21,4.3,2691,5.9
Sean Mannion,9522,QB,OREGON ST,12,71.3,436,456,8.9,2.76,3,27,5.6,61.8,282,0,147,9.3,499,29,1,265,56.7,77.6,78.9,46.3,3,8,527,6,24.5,86.2,7.2,36,7,0,14,15,16,3,3169,6.9
Sam Richardson,18467,QB,IOWA STATE,11,67.6,423,455,7.7,2.77,14,17,3.6,55.8,254,0,145,11.2,522,32,2,193,67.5,65.4,60.6,70.8,2,9,546,3,17.9,77.9,5,26,41,2,14,18,22,4,2662,5.9
Cody Kessler,10727,QB,USC,13,80.3,431,453,8.2,2.77,5,23,4.9,69.3,314,0,176,9.2,495,32,3,326,62.1,92.5,92.3,58.6,1,5,517,3,17,119,6.1,30,12,0,16,39,8,1.6,3811,8.4
Dylan Thompson,9696,QB,S CAROLINA,13,68.5,429,453,10.5,2.74,4,21,4.4,59.6,270,0,153,8.2,488,24,2,289,54.6,73.3,75.6,46.7,1,11,511,3,15,93.6,4.7,23,12,1,18,26,20,3.9,3565,7.9
Rakeem Cato,14642,QB,MARSHALL,14,65.7,437,452,14.3,2.7,2,54,11.3,59.1,267,0,89,7,509,20,4,214,47.5,88.7,85.9,69.9,3,13,541,3,23.6,104.7,4.1,21,36,1,9,40,17,3.1,3897,8.6
Cody Sokol,14536,QB,LA TECH,14,68.1,420,451,9.8,2.38,12,28,5.9,57.4,259,0,142,9.4,481,27,1,208,43.4,68.8,70.2,48.2,5,13,509,3,13.4,91.6,4,19,11,3,11,30,25,4.9,3406,7.6
Marcus Mariota,9435,QB,OREGON,15,76.7,434,444,9.8,2.83,2,26,5.5,68.2,303,0,134,9,513,30,4,264,60.7,93,91.7,81,0,4,540,4,23.9,128.5,6.2,32,37,0,8,42,14,2.6,4449,10
