player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Bailey Zappe,60396,QB,W KENTUCKY,14,77.3,649,691,8.6,2.47,11,48,6.5,68.7,475,0,94,5.4,730,27,287,346,73.2,87.8,87.4,53.3,3,11,774,7,16,118.5,2.1,15,24,1,27,62,23,3,5940,8.6
Will Rogers,124184,QB,MISS STATE,13,81.4,652,682,6.3,2.68,9,27,3.8,73.3,500,0,128,5.8,740,31,252,227,77.4,88.4,90,40.4,2,9,778,4,25,103.9,4.3,32,25,2,17,36,14,1.8,4687,6.9
Bryce Young,123943,QB,ALABAMA,15,78.1,506,550,9,2.79,7,36,6.3,66.4,365,0,226,7.6,624,30,233,103,45,92.1,92,64.5,7,7,648,10,15.5,117.4,5.6,35,34,0,30,47,13,2,4860,8.8
Carson Strong,83524,QB,NEVADA,12,77.8,490,527,8.6,2.5,3,31,5.6,69.6,367,0,159,3.7,580,14,193,239,74.9,89.1,89.1,46.1,6,8,611,5,24.5,109.7,6.7,39,11,2,26,36,12,2,4192,8
Sam Hartman,77618,QB,WAKE,14,68,472,508,12.7,3.1,15,33,6.1,58.9,299,1,203,6.9,601,22,225,339,77.5,91.8,90.5,76.8,12,14,637,1,18.2,99.9,6.2,37,56,0,9,39,16,2.5,4231,8.3
Brennan Armstrong,77696,QB,VIRGINIA,11,74.1,482,502,11.1,2.86,3,35,6.7,64.7,325,0,150,9,571,32,226,335,59.5,91.8,90.3,79.9,6,10,600,0,24,105.1,6.3,36,32,3,8,31,21,3.5,4429,8.8
Kenny Pickett,60515,QB,PITTSBURGH,13,78.8,467,499,9.7,3.19,2,27,5.2,66.9,334,0,161,9.2,581,34,215,268,60.8,92.2,92.1,63.1,2,7,612,1,19.3,116,5.3,31,50,2,26,42,17,2.8,4308,8.6
Jake Haener,60596,QB,FRESNO ST,13,74.7,471,490,9.2,2.78,4,22,4.3,67.3,330,0,144,6.3,550,22,196,169,60.6,78.9,80.2,52.8,1,9,575,2,17.4,107.8,4.5,25,33,2,12,33,14,2.4,4098,8.4
Taulia Tagovailoa,97271,QB,MARYLAND,13,80.2,454,478,7.6,2.76,4,27,5.4,68.4,327,0,116,10.2,519,37,171,215,49.4,90.8,88.6,77.5,1,11,544,5,19.8,101.1,4.4,23,15,0,19,26,16,2.9,3842,8
Tanner Mordecai,77656,QB,SMU,12,76.8,431,453,8.2,2.68,1,23,4.9,67.5,306,0,137,7.6,502,25,182,287,53.5,87.2,85.2,66.6,4,11,524,0,13.9,110.3,3.8,19,28,2,15,39,14,2.7,3623,8
Grant Wells,97784,QB,MARSHALL,13,74.4,434,446,8.9,2.53,3,27,5.8,66.1,295,0,91,8.7,475,28,149,214,51.5,74.9,75.9,53.2,1,13,497,3,17.6,89.9,3.4,16,11,0,8,16,18,3.6,3515,7.9
C.J. Stroud,129759,QB,OHIO STATE,12,79,428,443,10,2.68,2,27,5.9,71.6,317,0,111,6.2,466,21,207,260,59.9,92.2,91.5,67.3,1,6,486,2,10.8,130.8,2.6,12,11,1,11,44,12,2.5,4424,10
Jonah Johnson,138484,QB,NEW MEX ST,11,69.1,414,439,9.2,2.75,4,6,1.3,58.8,258,0,252,9.8,519,28,142,242,49.9,63.6,63.1,60.5,8,8,550,5,14.3,76.8,6.9,36,43,1,12,10,19,3.5,2710,6.2
Aidan O'Connell,60516,QB,PURDUE,12,77.1,423,438,8.6,2.38,1,36,7.8,71.7,314,0,93,3.7,464,12,188,273,66.9,90.6,90,61,1,11,489,0,20.4,108,4.1,19,7,0,13,28,17,3.5,3709,8.5
Logan Bonner,39990,QB,UTAH ST,14,68.6,414,432,12.8,2.51,7,31,6.6,61.3,265,0,135,6.7,473,19,176,329,52,80.7,79.4,60.5,4,12,508,0,17,104.6,4.9,23,15,1,6,36,23,4.5,3651,8.5
Sean Clifford,51708,QB,PENN STATE,13,71.5,389,431,8.8,2.92,11,21,4.6,60.6,261,0,164,6.1,492,17,160,266,60.7,70.5,68.6,66.1,4,8,515,4,19.5,91.1,6.5,32,29,0,27,21,13,2.5,3107,7.2
