player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Tyler Rogers,46638,QB,NEW MEX ST,12,70.8,544,568,8.9,2.64,6,25,4.3,60.9,346,2,216,10.1,616,39,182,242,67.6,73.7,73.4,58.7,1,18,637,4,13,85.1,4.5,28,19,2,15,27,34,5.3,4037,7.1
Mike White,46453,QB,W KENTUCKY,13,75.9,540,560,9.2,2.51,6,28,4.8,65.7,368,0,196,10.2,613,42,196,346,49.9,80.6,78,71,4,8,639,2,23,97.5,7.3,45,4,0,10,26,19,3,4178,7.5
Luke Falk,46586,QB,WASH STATE,12,75.2,516,535,7,2.71,3,18,3.2,66.7,357,0,156,8,601,31,179,341,64.3,67.3,68.9,42.7,6,13,620,2,25.6,94.2,6.7,40,26,0,10,30,28,4.5,3586,6.7
Mason Fine,46629,QB,N TEXAS,14,73.1,476,512,10.2,2.78,6,32,5.9,63.1,323,0,215,7.2,570,25,192,251,42.8,77.8,78.4,55.9,6,15,600,1,18.1,95.5,6.8,39,18,2,22,31,25,4.2,4036,7.9
Kurt Benkert,46540,QB,VIRGINIA,13,71,482,511,8.8,2.55,8,24,4.5,58.3,298,0,144,12.9,572,44,150,335,26.4,56.8,58.7,43,1,9,599,1,22.2,85.1,5.6,32,20,1,19,24,30,5,3200,6.3
Nic Shimonek,46594,QB,TEXAS TECH,13,77.3,454,492,7.7,2.58,4,28,5.4,66.5,327,0,160,6.8,537,24,182,315,58.9,81.4,81.3,53.2,1,10,566,1,17.5,104.9,5.2,28,15,0,33,33,19,3.4,3956,8
Mason Rudolph,46569,QB,OKLA STATE,13,73.7,472,490,12.1,2.57,3,29,5.5,65.1,319,0,123,8.3,529,29,220,262,54.5,88.3,86.9,64.3,1,9,563,3,19.5,115.6,4.5,24,13,0,14,37,20,3.6,4908,10
Justice Hansen,46349,QB,ARK STATE,12,70.5,471,486,9.8,2.45,4,17,3.3,62.3,303,1,164,8.7,549,29,203,113,44.6,76.1,71.3,72.2,2,16,578,2,20.1,99.6,6,33,27,1,8,37,25,4.3,3958,8.1
Sam Darnold,29048,QB,USC,14,70.3,455,483,10.9,2.59,4,35,7,62.7,303,0,169,5.3,541,17,206,326,32.2,83.3,82.1,61.1,2,13,559,2,16.6,96.8,5.2,28,27,2,20,26,30,5.4,4135,8.6
Ryan Finley,46426,QB,NC STATE,13,73.5,460,477,8.8,2.3,5,21,4.2,65,310,0,91,8.3,504,28,167,248,57.9,89.3,89.9,58.7,3,6,531,1,15.4,93.6,2.8,14,9,0,9,17,12,2.3,3513,7.4
Ben Hicks,46595,QB,SMU,13,66.3,445,476,10.3,2.48,10,21,4.2,58,276,0,134,6.4,512,19,166,287,69.1,63.9,62.7,62.1,7,12,535,4,14.2,94.2,3.7,19,15,2,12,33,23,4.3,3567,7.5
Riley Ferguson,27125,QB,MEMPHIS,13,74.7,451,475,9.6,2.56,2,19,3.8,62.9,299,0,130,11.3,506,38,195,218,65,76.3,77.3,58.8,0,9,536,8,14.6,110.6,3.8,19,11,0,22,38,22,4.1,4254,9
Ross Bowers,38380,QB,CAL,12,69.3,423,464,9.2,2.54,8,21,4.3,58.6,272,0,171,7.2,513,21,146,130,58.7,69.9,69.7,53.2,7,12,539,2,19.3,80.4,6.4,33,14,3,23,18,17,3.2,3037,6.5
Nick Stevens,46468,QB,COLO STATE,13,71.2,434,460,9.8,2.31,9,31,6.3,61.7,284,0,155,8.1,488,25,189,144,75.6,87.7,85.1,68.2,8,10,519,4,7.7,99.8,2.5,12,15,0,9,29,17,3.3,3789,8.2
Daniel Jones,39395,QB,DUKE,13,68.9,412,456,8.6,2.54,14,19,4,56.4,257,0,149,9.5,509,27,143,154,26.9,61.8,57.8,67,10,11,536,3,20.1,73.8,5.9,30,23,1,19,14,30,5.6,2691,5.9
Josh Rosen,35460,QB,UCLA,11,74.8,425,453,8.8,2.6,9,27,5.7,62.5,283,1,143,11,489,35,170,324,50.8,82.1,83.1,50.5,3,10,508,7,18.2,98.6,5.3,26,10,0,16,26,22,4.3,3755,8.3
Shane Morris,46516,QB,C MICHIGAN,13,68.5,429,451,9.4,2.26,11,29,6.1,56.3,254,0,144,13.6,491,40,139,134,55.5,62.7,62.8,54.8,2,17,515,2,17.4,83.4,5.1,25,13,0,9,27,29,5.6,3259,7.2
Brandon Silvers,46483,QB,TROY,13,73.9,425,445,7.6,2.14,3,23,4.8,63.6,283,0,95,9.9,468,31,153,318,69.8,80.1,80.9,50.9,3,7,499,0,16.8,92,3.4,16,5,2,12,17,11,2.2,3278,7.4
Chase Litton,34874,QB,MARSHALL,13,68.1,420,443,10.1,2.58,4,29,6.2,60,266,0,142,7,472,20,154,214,68.4,72.9,72.8,52.1,0,14,497,3,9.2,87,2.8,13,14,0,19,25,19,3.8,3111,7
Clayton Thorson,46501,QB,NWESTERN,13,72.1,412,435,8.6,2.78,11,12,2.6,60.2,262,1,150,11.8,485,35,152,256,76.6,66.9,63.1,69.2,2,12,507,2,20.7,79.5,6.4,31,18,1,9,15,25,4.9,2839,6.5
Lamar Jackson,46416,QB,LOUISVILLE,13,71.7,403,430,11.4,3.05,9,18,4,59.1,254,0,184,12.1,514,35,189,210,38,87.1,75.3,86.8,4,10,536,3,17.9,97.9,6.4,33,51,0,14,27,20,3.7,3647,8.5
Trace McSorley,32819,QB,PENN STATE,13,75.6,402,429,8.5,2.8,10,19,4.3,66,283,0,143,6.9,481,21,180,266,67.7,87.4,85.4,70.8,1,10,493,4,17.5,103.8,5.2,25,24,0,16,28,8,1.6,3569,8.3
Tanner Lee,38321,QB,NEBRASKA,12,67,406,428,10.6,2.53,5,18,4.1,57.2,245,0,172,9.9,456,27,141,238,72.8,63.2,61.5,60.9,11,16,472,0,11.6,82.7,4.4,20,6,0,6,23,27,5.7,3138,7.3
Hayden Moore,46410,QB,CINCINNATI,12,67.3,395,423,9.1,2.33,5,19,4.2,56.5,239,0,123,10.2,458,27,132,138,48.4,69.7,65.4,71.6,3,9,485,4,12.2,81.3,3.3,15,19,0,20,20,24,4.9,2562,6.1
Drew Lock,39517,QB,MISSOURI,13,71.5,393,421,12.2,2.38,7,31,7,57.5,242,0,114,13.9,439,39,158,229,60.3,81.8,81.4,56.1,2,13,464,1,8.8,111.1,2.3,10,8,1,18,44,15,3.2,3958,9.4
Brian Lewerke,34412,QB,MICH STATE,13,68.4,399,420,9.4,2.81,5,11,2.4,59,248,1,147,9.2,481,25,164,223,36.9,68.9,65.9,67.1,2,7,512,1,13.6,88,4.2,20,41,1,13,20,23,4.5,2802,6.7
Malik Rosier,46550,QB,MIAMI FL,13,64.9,393,417,10.6,2.51,13,18,4.1,53.7,224,0,127,12.2,482,31,141,220,62.6,67.9,65.1,64.8,2,14,505,1,22.8,84.8,6,29,36,2,7,26,20,4,3119,7.5
Manny Wilkins,46604,QB,ARIZONA ST,13,72.4,387,414,9.8,2.7,6,23,5.3,63.5,263,0,173,6.1,506,17,151,110,67.6,81,82.1,61.3,3,8,530,2,23.7,96,8.1,41,48,0,18,20,9,1.7,3267,7.9
Logan Woodside,46517,QB,TOLEDO,14,75.6,393,413,11.1,2.48,8,24,5.5,64.2,265,0,136,10.8,456,32,176,316,49.4,82.5,83.4,49.9,4,8,485,3,17.6,109.3,5.3,24,19,0,8,28,18,3.7,3884,9.4
