player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Gardner Minshew,41401,QB,WASH STATE,13,80.7,618,664,6.3,2.8,10,23,3.3,70.5,468,0,170,6.2,708,31,256,341,78.2,88.1,88.4,52.9,6,9,734,4,7.1,104.2,1.7,12,32,0,30,38,13,1.8,4770,7.2
Dwayne Haskins,41897,QB,OHIO STATE,14,77.1,519,535,8.6,2.54,5,24,4.2,69.9,374,2,141,6.5,587,26,241,260,67.9,85,84.9,58.1,6,8,623,3,15.6,122.9,3.7,22,30,0,5,50,18,2.9,4837,9
Clayton Thorson,46501,QB,NWESTERN,14,72.1,451,493,8.6,2.76,10,16,3.1,60.6,299,0,170,8,547,26,159,256,66.1,73.8,71,67.1,6,15,579,0,21.8,78.4,6.8,37,16,3,23,17,15,2.6,3186,6.5
Cole McDonald,38584,QB,HAWAII,13,67.2,472,487,11.6,2.49,5,25,4.9,58.5,285,0,116,10.1,559,32,186,180,53.3,77.2,77.6,60.8,3,10,587,3,31,100.1,6.4,36,36,2,5,36,26,4.4,3875,8
Taylor Cornelius,46535,QB,OKLA STATE,13,68.8,462,486,12.4,2.75,6,23,4.4,59.3,288,0,161,9.4,544,30,199,262,66.2,77,69.6,78.6,6,13,581,1,18.6,96.4,5.5,30,20,0,12,32,23,4,3980,8.2
Ryan Finley,46426,QB,NC STATE,13,74.6,465,484,10.2,2.49,3,29,5.8,67.4,326,0,114,6.1,506,21,193,248,64.2,89.9,89.2,60.6,2,11,527,3,11.4,99.7,2.6,13,8,0,14,25,16,3,3924,8.1
Mason Fine,46629,QB,N TEXAS,13,79.7,423,468,8.7,2.75,10,31,6.3,64.3,301,0,156,10.7,511,36,186,251,44.8,90.7,91.2,51.7,2,5,538,2,14.7,104.1,4.5,23,18,0,33,27,15,2.8,3783,8.1
J'mar Smith,27005,QB,LA TECH,13,70.3,431,466,9.6,2.62,7,16,3.3,56.9,265,0,176,12.5,525,38,151,208,54.4,71,72.6,51.6,3,10,548,1,18.2,79.5,6.1,32,26,2,23,15,17,3.1,3163,6.8
Brent Stockstill,29288,QB,MIDDLE TN,14,77.8,442,462,6.1,2.37,5,28,5.8,70.3,325,0,149,5.5,534,19,170,224,46.3,76,77.5,56.9,2,10,554,3,26.2,103.8,7.3,39,32,1,12,28,15,2.7,3535,7.7
David Blough,46508,QB,PURDUE,13,73.5,438,461,8,2.56,9,21,4.2,65.9,304,0,148,5.6,512,18,156,273,58.8,73,73.9,52.3,1,10,546,1,19.6,99.2,5.7,29,22,0,13,25,15,2.7,3670,8
Brett Rypien,46487,QB,BOISE ST,13,74.9,434,449,11,2.54,6,34,7.4,67,301,0,151,7.4,509,24,179,120,44.8,88.7,88.5,62.3,1,7,522,3,21.9,108.1,6.5,33,26,0,8,30,21,4,3705,8.3
Peyton Ramsey,40186,QB,INDIANA,12,73.7,418,448,8.5,2.78,5,15,3.1,66.1,296,0,165,3.9,508,12,155,190,72.6,69.7,67.2,65.7,5,13,550,3,17.6,85.9,5.7,29,29,0,20,19,16,2.9,2876,6.4
Ty Gangi,27234,QB,NEVADA,12,67.6,426,442,9.8,2.24,5,22,4.8,60.4,267,1,125,7.3,467,21,146,239,55.4,66.8,66.3,58.1,3,13,486,3,10.4,89.6,2.8,13,10,0,8,24,25,5.1,3329,7.5
Stephen Calvert,46556,QB,LIBERTY,12,64.7,414,439,11.8,2.45,8,29,6.3,54.7,240,0,117,10.4,464,28,155,206,46.9,69.7,69.8,39.3,5,18,486,1,17.1,75.6,4.3,20,4,0,12,21,28,5.8,3062,7
Drew Lock,39517,QB,MISSOURI,13,73.5,411,438,9.3,2.49,8,33,7,62.8,275,0,103,8.9,463,27,167,229,44.1,88.1,84.7,71.7,4,8,496,3,11.7,101.3,2.6,12,13,0,15,28,10,2,3494,8
Justice Hansen,46349,QB,ARK STATE,13,75.8,414,438,7.8,2.43,10,18,3.9,65.3,286,0,122,8.9,485,28,161,113,64,79.2,79.3,60.4,1,9,507,4,19.7,101.2,4.9,24,21,3,10,27,13,2.6,3438,7.8
Marcus McMaryion,29810,QB,FRESNO ST,14,78.2,404,430,7.8,2.47,3,18,4,68.4,294,0,126,7,469,22,170,169,76.4,88.2,83,79.3,5,5,484,3,9.5,108.6,2.6,12,20,0,18,25,11,2.3,3617,8.4
Sam Ehlinger,60555,QB,TEXAS,14,74.3,397,426,9.4,2.93,5,23,5.2,64.8,276,0,161,6.4,499,19,169,311,75.8,85.7,81.2,74.7,5,5,521,6,19.3,102.9,6.2,31,40,0,19,25,10,1.9,3286,7.7
Kellen Mond,60556,QB,TEXAS A&M,13,66.3,395,425,10.3,2.89,5,28,6.1,56.5,240,0,184,8.4,481,22,162,312,64.9,78,74.5,72.1,6,9,520,8,16.3,89.7,6.2,30,25,4,15,24,18,3.5,3113,7.3
Jordan Ta'amu,60453,QB,OLE MISS,12,72.4,395,420,11,2.69,8,25,5.6,63.3,266,1,125,7,473,20,164,226,61,80.2,82.1,56.7,3,8,503,3,22.4,100.8,5.9,28,24,1,13,19,15,3,3912,9.3
