player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Luke Falk,46586,QB,WASH STATE,13,78,609,636,7.5,2.72,3,30,4.4,69.7,443,0,137,6.7,697,32,234,341,72.3,82.6,82.9,50.3,8,11,741,3,22.6,102.1,4.4,31,30,1,15,38,17,2.3,4468,7
Davis Webb,11842,QB,CAL,12,69.8,592,620,8.9,2.32,5,34,5.1,61.6,382,0,136,7.5,642,31,203,130,67,70.3,70.8,43,6,12,687,5,11.8,94.1,2.5,16,4,0,17,37,28,4.1,4291,6.9
Patrick Mahomes,11765,QB,TEXAS TECH,12,75.5,555,595,9.3,2.77,3,42,6.6,65.4,389,0,245,7.2,669,30,251,315,75.7,89.7,87,70.5,2,10,709,2,10.2,107.9,3.7,25,49,1,34,41,28,3.9,5056,8.5
Deshaun Watson,11767,QB,CLEMSON,15,76.1,552,580,9.2,2.27,13,31,5.1,66.9,388,0,162,7.6,628,32,240,140,78.9,87.3,87.2,63.8,6,17,665,0,11.1,102.1,2.9,18,30,1,8,41,20,3,4585,7.9
David Blough,46508,QB,PURDUE,12,68.1,479,519,9.2,2.59,6,24,4.4,56.8,295,0,177,9.5,575,31,160,273,71.3,56,56.5,55.2,3,21,611,5,15.8,75.5,4.9,28,28,1,30,25,27,4.4,3350,6.5
Ryan Higgins,22948,QB,LA TECH,13,74.6,469,497,9.3,2.47,12,20,3.9,66.2,329,0,134,6,555,21,213,208,65.8,66.3,66.8,54.4,4,8,572,3,15.7,116.8,3.8,21,36,1,11,41,20,3.5,4621,9.3
Clayton Thorson,46501,QB,NWESTERN,13,69.7,435,479,8.8,2.73,7,20,4,58.7,281,0,207,7.3,536,22,163,256,51.3,64.8,65.6,51.6,6,9,561,0,18.4,86.1,7.1,38,17,1,30,22,23,4.1,3179,6.6
Greg Ward,12258,QB,HOUSTON,12,73.9,449,473,8.9,2.74,5,18,3.7,67.7,320,0,166,3.6,565,12,197,182,63.7,78.5,77.2,66.6,2,13,586,2,19.9,93.7,5.8,33,52,2,15,22,19,3.2,3535,7.5
Cooper Rush,12324,QB,C MICHIGAN,13,70.8,431,465,9.8,2.65,12,28,5.7,59.8,278,0,179,8.9,524,27,160,134,40.5,78.2,76.2,64.7,6,16,552,0,21.2,85.7,7.3,38,20,1,15,23,19,3.4,3533,7.6
Brandon Silvers,46483,QB,TROY,13,71.5,438,460,7.6,2.11,7,18,3.7,63.7,293,0,86,6.4,473,20,150,318,66.1,72.9,73.3,51.8,6,12,504,2,9.3,89.7,1.7,8,5,2,7,23,12,2.4,3177,6.9
Mitch Trubisky,11757,QB,N CAROLINA,13,74.5,435,449,9.9,2.66,4,26,5.5,68.2,306,0,124,5.6,486,18,183,245,49.8,88.5,86.3,68.2,1,6,514,0,14.5,110.5,3.7,18,19,1,8,30,19,3.7,3767,8.4
Mason Rudolph,46569,QB,OKLA STATE,13,71.7,424,449,11.1,2.56,1,33,7.1,63.3,284,0,144,6.6,512,20,181,262,58.7,91.6,91.8,55.3,5,4,530,2,21.5,109.8,6.1,31,28,0,19,28,14,2.7,4085,9.1
Kenny Hill,46637,QB,TCU,13,71.7,431,448,9.8,2.75,6,18,3.9,60.5,271,0,126,12.3,517,38,158,305,45.1,69.2,63.7,75,2,13,538,7,20.6,83,5,26,42,4,5,17,24,4.5,3218,7.2
Riley Ferguson,27125,QB,MEMPHIS,13,74.2,422,444,9.4,2.62,4,25,5.4,63.1,280,0,161,10.5,493,33,171,218,51.7,77,80.6,37.3,1,10,515,1,21.1,103.9,6.9,34,13,0,17,32,18,3.5,3691,8.3
Dane Evans,46560,QB,TULSA,13,68.8,423,439,11.4,2.18,7,21,4.5,59.2,260,0,81,10.7,471,31,170,320,57.9,71.3,70.1,56.1,0,12,497,2,29.6,96.1,5.1,24,8,1,8,32,15,3,3350,7.6
Richard Lagow,45173,QB,INDIANA,13,66.2,408,437,10.9,2.55,8,21,4.6,57.4,251,0,121,7,471,19,150,190,50.4,63.5,63.2,50.8,6,17,491,4,22.3,80.2,5.7,27,5,0,15,19,36,7.3,3351,7.7
Drew Lock,39517,QB,MISSOURI,12,64.3,415,436,12,2.27,7,31,6.7,54.6,238,0,78,10.9,462,29,134,229,34.7,67.8,71,38.1,3,10,487,1,15.4,87.8,2.6,12,13,0,11,23,23,4.7,3374,7.7
Daniel Jones,39395,QB,DUKE,12,72.6,402,429,7.7,2.42,9,13,2.9,62.7,269,0,157,7.9,488,23,154,154,54.9,65.7,66.5,57.8,6,9,509,4,19.1,85.6,6.1,30,26,0,12,16,16,3.1,2839,6.6
Jerod Evans,12356,QB,VA TECH,14,71.4,409,427,10.6,2.39,3,25,5.6,63,269,0,114,7.9,499,23,191,337,44.5,77.5,75.3,67.7,1,8,517,2,31.6,104,7.2,36,35,3,11,29,17,3.3,3548,8.3
Ben Hicks,46595,QB,SMU,12,67.6,386,425,10.2,2.32,9,16,3.5,55.5,236,0,139,9.6,457,25,140,287,73.8,58.6,57.4,59.1,8,15,488,2,15.8,77.3,4.8,22,7,0,22,19,27,5.5,2937,6.9
Brad Kaaya,11970,QB,MIAMI FL,13,71,400,422,9.5,2.48,2,20,4.6,61.8,261,0,103,8.1,452,23,157,220,67.6,76.5,76.5,51.4,5,7,469,3,23.3,102.9,5.3,24,5,1,14,27,12,2.6,3532,8.4
Logan Woodside,46517,QB,TOLEDO,13,76.9,403,418,9.5,2.42,4,29,6.5,69.1,289,0,116,6.8,447,21,176,316,69.4,84.6,86.6,37.9,5,9,476,3,12.1,127.8,3.1,14,12,0,6,45,14,2.9,4128,9.9
Mike White,46453,QB,W KENTUCKY,14,78.2,399,416,10.6,2.42,7,35,8.1,67.3,280,0,104,10.3,446,32,184,346,52.9,92.1,91.8,51.8,5,7,462,0,18.3,124.5,4.3,19,8,0,5,37,16,3.5,4362,10.5
Matt Linehan,46436,QB,IDAHO,13,72.9,399,415,9.9,2.77,4,25,5.6,61.9,257,0,167,11.7,481,34,172,185,63.1,80.8,84.4,47.8,2,10,512,1,16.8,91,5.8,28,38,0,10,19,18,3.5,3192,7.7
Brent Stockstill,29288,QB,MIDDLE TN,10,74.1,386,414,7.2,2.34,7,31,7,63.3,262,0,99,8.4,439,24,159,224,80.7,91.8,91.4,64.4,5,7,468,2,9.1,105.3,2.1,9,16,0,16,31,10,2.1,3233,7.8
Kurt Benkert,46540,QB,VIRGINIA,11,66.1,386,413,10.5,2.57,4,22,5,55.4,229,0,129,10.2,466,26,127,335,67.8,61.8,62.7,49.4,4,11,490,2,22.5,79.9,6.2,29,18,3,16,21,18,3.7,2558,6.2
Lamar Jackson,46416,QB,LOUISVILLE,13,69.5,377,410,12,3.1,10,20,4.7,55.9,229,0,185,12.6,506,33,170,210,51.7,82.9,73.7,79.7,2,9,526,3,24.9,99.8,9.1,46,49,0,21,30,18,3.4,3532,8.6
Skyler Howard,12262,QB,W VIRGINIA,13,71.8,383,407,10.7,2.7,4,26,6.1,60.7,247,0,120,10.2,457,28,161,343,69.4,65.2,65.8,58.5,1,10,480,4,19.2,97.8,5,23,25,0,19,26,26,5.4,3327,8.2
Austin Allen,46542,QB,ARKANSAS,13,68.8,375,404,10,2.9,7,25,5.8,60.9,246,0,215,4.7,453,12,165,111,50.4,75.8,76,51.3,9,15,481,4,15.3,93.4,7.3,33,15,0,13,25,23,4.8,3438,8.5
