player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Kyle Trask,39987,QB,FLORIDA,12,76.6,423,438,10.1,2.69,1,41,8.9,68.7,301,0,124,7.1,470,23,203,163,45.8,92.2,92.4,55,5,8,496,5,16.9,125.2,4.5,21,11,0,9,43,13,2.6,4278,9.8
Brady White,25506,QB,MEMPHIS,11,68.2,409,421,10.4,2.56,4,24,5.3,60.3,254,0,86,9,467,25,166,218,44.5,73.3,72.5,61.3,0,10,500,3,22.1,100.5,4.1,19,27,0,8,31,19,3.8,3380,8
Dillon Gabriel,86272,QB,UCF,10,74.2,387,413,11.6,2.77,6,26,5.9,60,248,0,117,13.6,451,39,159,323,63.5,90.9,90.4,66.9,2,4,483,1,17.9,109.9,4.7,21,17,0,18,32,11,2.3,3569,8.6
Mac Jones,60323,QB,ALABAMA,13,84.2,385,406,8.8,2.51,6,32,7.4,76.6,311,0,81,4,428,13,215,103,66.6,95.8,94.8,82.2,1,4,453,3,12.3,141.6,2.3,10,9,1,13,41,11,2.4,4494,11.1
Jarret Doege,60353,QB,W VIRGINIA,10,74.2,357,375,8.3,2.49,5,14,3.6,63.5,238,0,125,10.2,402,27,124,343,58.3,77.1,74.7,72.3,0,4,419,6,15.2,91.6,4.7,19,7,0,13,14,12,2.9,2577,6.9
Shane Buechele,12659,QB,SMU,10,75.8,359,370,8.3,2.51,1,19,4.8,65.1,241,0,99,11.4,414,31,143,287,73.4,88.1,84.4,74.9,3,6,440,3,19.2,105.2,4.6,19,21,0,7,23,12,2.7,3093,8.4
Brock Purdy,77672,QB,IOWA STATE,12,74.4,347,365,8.9,2.85,5,13,3.4,66.3,242,0,141,6.2,410,16,153,193,61.7,78.9,74.2,72.6,1,9,436,1,9.9,95.8,3.4,14,31,0,12,19,17,3.9,2751,7.5
Bo Nix,97790,QB,AUBURN,11,68.5,340,361,8.6,2.87,3,18,4.7,59.3,214,0,117,8.2,411,19,123,115,76.9,73.4,66.4,75.4,2,7,434,5,14.5,82.3,4.1,17,32,1,15,12,12,2.8,2412,6.7
Ian Book,40216,QB,NOTRE DAME,12,75.5,327,358,8.5,3.22,2,12,3.2,63.7,228,0,149,7.7,439,19,158,258,69.5,78.5,74.7,70.7,2,3,462,1,18.1,98.5,6.2,27,53,3,24,15,11,2.4,2827,7.9
Carson Strong,83524,QB,NEVADA,9,80.2,333,355,10.1,2.62,3,23,6.1,70.1,249,0,102,6.7,388,18,123,239,57,85.2,85.8,49.5,4,4,414,2,19.6,114.7,5.2,20,12,0,15,27,7,1.7,2855,8
Chase Brice,60363,QB,DUKE,11,66,326,352,8.7,2.4,2,10,2.7,54.3,191,0,136,11.2,412,24,113,154,39.6,49.7,46.4,62.1,10,15,435,1,24.3,64.7,8,33,21,1,13,10,22,5.1,2169,6.2
Will Rogers,124184,QB,MISS STATE,9,78.6,323,348,6,2.61,8,11,3.1,69,240,0,90,5.5,378,14,103,227,70.7,65.5,63.6,70.2,1,7,392,3,22.2,85.4,5.3,20,10,1,15,11,15,3.8,1979,5.7
Sam Howell,97599,QB,N CAROLINA,12,77.2,329,347,10.9,2.79,5,33,8.8,68,236,0,144,7.1,419,18,165,245,61.2,92.3,91.5,71.8,1,7,447,1,22.9,121.9,7.9,33,35,0,12,30,10,2.2,3555,10.2
Trevor Lawrence,77632,QB,CLEMSON,10,77.3,317,340,9,2.35,5,25,7.1,67.9,231,0,89,5.7,364,14,141,140,46.8,91.1,90.2,74,6,5,379,2,15.7,114.7,3.8,14,10,4,8,24,13,3.4,3153,9.3
Zach Wilson,82096,QB,BYU,12,80.3,320,337,10.9,2.81,1,31,8.6,72.7,245,0,79,4.7,365,12,169,128,46.7,95.4,95.5,63.6,2,3,389,1,13.9,136.3,3,11,16,2,12,32,4,1,3694,11
Phil Jurkovec,83533,QB,BOSTON COL,10,68.3,322,337,10.6,2.95,2,24,6.6,60.8,205,0,157,6.8,386,15,130,121,39.4,71.8,66.7,74.1,4,5,411,2,15.3,95,6.2,24,22,0,9,17,18,4.4,2558,7.6
