Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Pass_Att,Pass_Yds,Pass_TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Solo,Int,Sk,College/Univ,,-9999
1,22,TEN,Caleb Farley,DB,22,2024,0,0,0,2,1,21,0,0,0,0,0,0,0,0,0,0,0,24,,,Virginia Tech,College Stats,FarlCa00
1,23,MIN,Christian Darrisaw,OL,22,2024,0,0,3,22,22,48,0,0,0,0,0,0,0,0,0,0,0,1,,,Virginia Tech,College Stats,DarrCh00
1,24,PIT,Najee Harris,RB,23,2024,0,1,4,29,29,68,1,1,4,0,0,1097,4312,28,180,1149,6,4,,,Alabama,College Stats,HarrNa00
1,25,JAX,Travis Etienne,RB,22,2024,0,0,3,24,24,49,0,0,0,0,0,637,2691,18,132,1046,1,,,,Clemson,College Stats,EtieTr00
1,26,CLE,Greg Newsome II,DB,21,2024,0,0,3,14,14,54,0,0,0,0,0,0,0,0,0,0,0,122,3,1.0,Northwestern,College Stats,NewsGr00
1,27,BAL,Rashod Bateman,WR,21,2024,0,0,2,18,18,51,0,0,0,0,0,1,18,0,138,1923,13,,,,Minnesota,College Stats,BateRa00
1,28,NOR,Payton Turner,DE,22,2024,0,0,0,3,3,31,0,0,0,0,0,0,0,0,0,0,0,30,,5.0,Houston,College Stats,TurnPa02
1,29,GNB,Eric Stokes,DB,22,2024,0,0,3,10,10,45,0,0,0,0,0,0,0,0,0,0,0,98,1,,Georgia,College Stats,StokEr00
1,30,BUF,Gregory Rousseau,DL,21,2024,0,0,4,32,32,62,0,0,0,0,0,0,0,0,0,0,0,135,1,25.0,Miami (FL),College Stats,RousGr00
1,31,BAL,Odafe Oweh,DE,22,2024,0,0,1,14,14,62,0,0,0,0,0,0,0,0,0,0,0,98,,23.0,Penn St.,College Stats,OwehJa00
1,32,TAM,Joe Tryon-Shoyinka,OLB,22,2024,0,0,3,22,22,66,0,0,0,0,0,0,0,0,0,0,0,87,,15.0,Washington,College Stats,TryoJo00
2,33,JAX,Tyson Campbell,DB,21,2024,0,0,4,19,19,55,0,0,0,0,0,0,0,0,0,0,0,187,6,,Georgia,College Stats,CampTy01
2,34,NYJ,Elijah Moore,WR,21,2024,0,0,3,14,7,61,0,0,0,0,0,20,71,1,200,2162,9,4,,,Mississippi,College Stats,MoorEl00
2,35,DEN,Javonte Williams,RB,21,2024,0,0,2,20,20,54,0,0,0,0,0,606,2394,11,158,966,5,1,,,North Carolina,College Stats,WillJa10
2,36,MIA,Jevon Holland,S,21,2024,0,0,4,21,21,60,0,0,0,0,0,0,0,0,0,0,0,219,5,5.0,Oregon,College Stats,HollJe02
2,37,PHI,Landon Dickerson,OL,22,2024,0,3,4,31,31,63,0,0,0,0,0,0,0,0,0,0,0,1,,,Alabama,College Stats,DickLa00
2,38,NWE,Christian Barmore,DL,22,2024,0,0,0,10,10,48,0,0,0,0,0,0,0,0,0,0,0,80,,13.5,Alabama,College Stats,BarmCh00
2,39,CHI,Teven Jenkins,OL,23,2024,0,0,3,15,15,45,0,0,0,0,0,0,0,0,0,0,0,2,,,Oklahoma St.,College Stats,JenkTe00
2,40,ATL,Richie Grant,DB,23,2024,0,0,2,13,13,67,0,0,0,0,0,0,0,0,0,0,0,177,3,3.0,Central Florida,College Stats,GranRi00
2,41,DET,Levi Onwuzurike,DL,23,2024,0,0,1,7,7,42,0,0,0,0,0,0,0,0,0,0,0,35,,3.5,Washington,College Stats,OnwuLe00
2,42,MIA,Liam Eichenberg,OL,23,2024,0,0,4,23,23,60,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats,EichLi00
2,43,LVR,Tre'von Moehrig,S,22,2024,0,0,4,21,21,66,0,0,0,0,0,0,0,0,0,0,0,202,6,3.0,TCU,College Stats,MoehTr00
2,44,DAL,Kelvin Joseph,DB,21,2024,0,0,0,2,2,33,0,0,0,0,0,0,0,0,0,0,0,34,,,Kentucky,College Stats,JoseKe02
2,45,JAX,Walker Little,T,22,2024,0,0,1,11,11,55,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats,LittWa00
2,46,CIN,Jackson Carman,T,21,2024,0,0,0,5,4,30,0,0,0,0,0,0,0,0,0,0,0,,,,Clemson,College Stats,CarmJa00
2,47,LAC,Asante Samuel Jr.,DB,21,2024,0,0,3,14,14,50,0,0,0,0,0,0,0,0,0,0,0,148,6,,Florida St.,College Stats,SamuAs00
2,48,SFO,Aaron Banks,OL,24,2024,0,0,3,20,20,53,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats,BankAa00
2,49,ARI,Rondale Moore,WR,21,2023,0,0,0,12,12,39,0,0,0,0,0,52,249,1,135,1201,3,1,,,Purdue,College Stats,MoorRo02
2,50,NYG,Azeez Ojulari,OLB,21,2024,0,0,1,16,16,46,0,0,0,0,0,0,0,0,0,0,0,59,,22.0,Georgia,College Stats,OjulAz00
2,51,WAS,Samuel Cosmi,OL,22,2024,0,0,2,23,23,57,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,College Stats,CosmSa00
2,52,CLE,Jeremiah Owusu-Koramoah,LB,21,2024,0,1,3,22,22,49,0,0,0,0,0,0,0,0,0,0,0,205,3,8.0,Notre Dame,College Stats,OwusJe00
