player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Ashton Jeanty,157196,HB,BOISE ST,14,375,152,36,52.6,1366,0,2595,3,12,152,1970,216.5,63,120,120,4,193,73.3,94.9,90.3,,49,54.7,96.6,58.1,77,1,138,23,255,416,0,0,33,398,29,2595,1970,5.25,6.9,0.54,181
Bryson Daily,147303,QB,ARMY,13,319,48,23,31.7,525,0,1621,0,0,45,820,37.7,43,131,114,6,112,68.9,91.5,62.8,67.8,,54.7,91.1,60.1,42,3,0,0,1,650,33,6,1,313,32,1654,852,2.67,5.2,0,133
Cam Skattebo,147787,HB,ARIZONA ST,13,294,103,21,34.9,598,1,1712,2,13,103,1202,140.3,45,103,110,4,165,71.2,93.3,39.9,75.5,38,79.8,94.6,48.8,53,2,543,44,279,364,0,0,52,338,21,1712,1202,4.09,5.8,1.95,129
Marquez Cooper,130489,HB,S DIEGO ST,12,292,68,13,28.7,364,0,1269,0,4,68,833,65.8,31,68,284,0,67,92.3,78.6,63.6,,63.4,64.5,79.9,50.4,47,1,131,20,269,326,0,0,24,312,12,1269,833,2.85,4.3,0.49,221
Tahj Brooks,123133,HB,TEXAS TECH,11,287,58,26,38.9,588,0,1512,1,12,58,872,67.5,41,88,315,2,115,84,83.3,87.1,,65.6,59.1,85.3,69.3,40,0,199,28,279,317,0,0,34,315,17,1512,872,3.04,5.3,0.71,171
Omarion Hampton,162750,HB,N CAROLINA,12,281,73,26,43.9,728,0,1660,2,21,73,1222,128.1,45,81,245,1,104,90.1,88.4,88.4,,54.8,65.4,90.5,54.2,75,0,373,38,267,309,0,0,43,319,15,1660,1222,4.35,5.9,1.4,171
Tre Stewart,160817,HB,JVILLE ST,14,280,74,26,43.4,722,1,1662,1,8,74,1082,106.7,51,91,196,4,54,70.2,88,64.1,,76.8,58.4,89.8,64.5,75,1,220,17,201,470,0,0,23,297,25,1662,1082,3.86,5.9,1.09,225
Makhi Hughes,158417,HB,TULANE,14,263,61,19,36.4,511,0,1403,4,2,61,1018,86.2,36,69,319,0,141,91.9,90.1,89.6,,45.5,52.3,90.9,90.2,51,0,180,20,178,314,0,0,26,283,15,1403,1018,3.87,5.3,1.01,119
Dylan Sampson,163772,HB,TENNESSEE,13,258,70,17,30.4,453,0,1488,2,13,70,929,107.5,38,78,307,4,163,67.4,90.5,57.2,,64.4,66.7,90.9,58.9,56,1,143,20,170,287,0,0,25,278,22,1488,929,3.6,5.8,0.84,91
Kyle Monangai,129891,HB,RUTGERS,11,256,66,18,36.9,472,0,1279,0,2,66,862,84.8,33,78,278,0,53,91.8,77.3,55.5,,51.2,58.4,78.2,71,62,1,75,14,172,292,0,0,17,270,13,1279,862,3.37,5,0.44,202
Kaleb Johnson,156419,HB,IOWA,12,240,66,28,56.1,861,0,1535,2,12,66,1060,131.5,43,71,192,0,48,91.6,86.5,87.3,,38.5,65.3,86.7,56.8,75,0,190,22,147,262,0,0,25,262,21,1535,1060,4.42,6.4,1.29,191
Ahmad Hardy,190013,HB,LA MONROE,12,238,93,15,39.1,526,0,1346,2,9,93,1012,176.3,34,63,209,3,44,71.8,89,49.8,,58.4,56,89,48.3,80,1,72,8,102,258,0,0,10,246,13,1346,1012,4.25,5.7,0.71,189
Anthony Tyus III,145037,HB,OHIO,13,238,68,15,31.2,373,0,1194,1,5,68,774,93.5,37,69,259,6,152,50.3,79.4,88.7,,63.1,66.9,80.9,49.7,46,2,137,16,207,340,0,0,17,254,9,1194,774,3.25,5,0.66,84
Mario Anderson Jr.,169699,HB,MEMPHIS,13,236,58,19,35.7,486,1,1362,2,15,58,883,94.8,43,79,218,0,43,91.6,83.3,40,,61,73.7,85.5,45.1,53,1,312,52,270,267,0,0,59,288,18,1362,883,3.74,5.8,1.16,192
Jordan James,163295,HB,OREGON,14,233,58,12,18.4,233,0,1268,5,8,58,740,80.9,39,85,264,0,113,87.6,86.4,86.9,,43.9,53.6,90.9,50.9,41,0,207,26,229,268,0,0,33,259,15,1268,740,3.18,5.4,0.9,114
Anthony Hankerson,157691,HB,OREGON ST,12,231,57,11,26.4,285,1,1063,1,5,57,706,73.4,24,63,265,3,100,72.3,77.4,30.4,,51.6,57.1,81.7,60.7,83,2,151,27,258,270,0,0,35,258,15,1078,706,3.06,4.7,0.59,131
Brashard Smith,143951,HB,SMU,14,232,52,21,43.1,571,0,1326,2,11,52,775,77.1,35,74,287,3,85,81.2,90.2,55.4,,67.2,90.8,86.9,47.4,71,1,337,41,200,268,0,0,51,273,14,1326,775,3.34,5.7,1.69,142
RJ Harvey,99622,HB,UCF,12,231,69,32,52.4,827,0,1578,2,10,69,897,122.2,54,81,323,2,74,80.2,85.1,58.5,74.3,21.8,62.2,89.5,58,80,1,267,20,192,305,0,0,29,251,22,1578,897,3.88,6.8,1.39,148
Demond Claiborne,157523,HB,WAKE,12,229,45,11,28.4,299,0,1047,2,10,44,735,69.6,25,57,339,0,116,65,75.3,56.2,,66.2,73.4,73.9,55.3,60,2,250,22,162,250,6,1,29,250,11,1053,742,3.24,4.6,1.54,108
LeQuint Allen,158290,HB,SYRACUSE,13,228,44,11,23.2,237,1,1023,4,11,44,683,56.4,28,59,304,1,117,88.2,81.5,27.5,,80.7,79.9,80,73.6,30,5,529,64,409,285,0,0,78,292,16,1023,683,3,4.5,1.29,107
Quintrevion Wisner,176190,HB,TEXAS,15,226,45,15,30.8,326,0,1060,4,14,45,695,67.2,27,55,311,2,108,80.3,80.8,87.6,,39.8,63.6,85,60,43,0,311,44,281,266,0,0,57,270,5,1060,695,3.08,4.7,1.11,117
Kaytron Allen,164158,HB,PENN STATE,16,219,47,13,27.4,302,0,1101,2,4,47,710,69.8,31,59,266,1,100,86.3,81.8,87.6,,49,53.5,86.3,52.2,32,0,153,18,177,285,0,0,25,237,8,1101,710,3.24,5,0.86,118
Devin Neal,144558,HB,KANSAS,12,218,47,17,37.1,468,0,1262,2,9,47,814,85.7,35,73,198,1,96,86.4,87.9,88.8,,44.8,65.8,90.5,58.9,54,0,266,26,204,303,0,0,31,244,16,1262,814,3.73,5.8,1.3,122
Tyler Huff,142567,QB,JVILLE ST,14,217,52,19,35.2,511,1,1273,0,0,36,643,62.8,54,79,196,10,93,55.6,88.7,66.3,75.9,,,85.4,60,51,4,0,0,0,540,179,25,0,192,15,1452,763,3.52,6.7,,75
Phil Mafah,144123,HB,CLEMSON,14,215,35,14,37.4,420,2,1122,2,1,35,697,49.5,27,66,140,1,101,86,72.8,61.1,,59.6,44.4,80.6,51.4,83,2,103,21,331,270,0,0,29,236,8,1122,697,3.24,5.2,0.31,105
Star Thomas,156926,HB,DUKE,12,212,47,12,32,280,0,876,1,13,47,612,74.3,22,43,154,2,46,78.4,70.1,85.9,,30.8,58.9,73.8,42.8,44,0,148,21,209,238,0,0,23,233,7,876,612,2.89,4.1,0.71,164
DJ Giddens,144595,HB,KANSAS ST,12,206,55,25,54.9,737,0,1343,5,9,55,857,117.8,36,59,199,2,112,69.2,75.7,87,,43.9,33.6,85,52.6,66,0,258,20,233,279,0,0,32,226,7,1343,857,4.16,6.5,1.11,94
Rahjai Harris,123814,HB,E CAROLINA,13,206,40,17,46.9,552,0,1177,0,4,40,770,74.4,24,52,156,2,84,76.9,78.5,85.9,,59.3,63.6,79.7,58,86,0,91,15,192,241,0,0,19,221,11,1177,770,3.74,5.7,0.47,122
Darius Taylor,173422,HB,MINNESOTA,12,204,46,15,40.2,397,0,987,3,11,46,798,86.4,27,58,225,1,67,86,82.5,87.5,72.6,60,78.1,83,50.3,80,0,349,54,245,238,0,0,62,258,10,987,798,3.91,4.8,1.42,136
Quinton Cooley,123380,HB,LIBERTY,11,204,40,15,27,338,0,1252,0,0,40,713,68.2,38,78,206,2,115,75.9,85.1,48.8,,58.7,49.9,86.5,47.8,44,1,9,1,88,266,0,0,4,205,13,1252,713,3.5,6.1,0.1,88
Corey Kiner,86392,HB,CINCINNATI,12,204,82,21,45.9,526,0,1147,0,5,82,841,163.8,39,60,138,3,38,84.9,84.9,55.6,,47.4,62.7,88.3,56.4,46,1,103,15,173,246,0,0,16,219,4,1147,841,4.12,5.6,0.6,165
Al-Jay Henderson,145676,HB,BUFFALO,13,203,39,14,37.2,390,0,1047,2,5,39,716,69.9,31,55,126,1,47,85.3,76.1,86.3,,60,64.8,77.4,55.6,68,0,235,19,171,306,0,0,28,222,9,1047,716,3.53,5.2,1.37,155
Elijah Young,124223,HB,W KENTUCKY,14,200,38,7,15.4,137,0,891,2,21,38,577,68.9,21,42,346,1,124,85.5,79,60.1,47.3,58.9,79.6,80,51.8,30,1,373,47,272,267,0,0,56,247,3,891,577,2.89,4.5,1.37,68
Woody Marks,124179,HB,USC,12,198,34,19,37.6,426,0,1133,1,7,34,601,50.8,36,57,326,1,143,83.6,82.8,58.9,,50.3,73,85.6,63.9,65,2,321,47,293,221,0,0,54,245,9,1133,601,3.04,5.7,1.1,53
Micah Bernard,100583,HB,UTAH,12,198,55,12,32.2,326,1,1012,3,4,55,733,95.8,29,45,328,3,99,68.8,72.6,87.5,,25.6,54.7,78.2,61.9,64,1,150,30,245,231,0,0,43,228,4,1012,733,3.7,5.1,0.61,99
Rahsul Faison,176482,HB,UTAH ST,12,197,69,21,41,454,0,1107,1,3,69,761,127,30,52,329,0,131,91.1,80.2,8.6,,56.7,49,89.4,54.1,37,3,99,22,268,239,0,0,25,219,8,1107,761,3.86,5.6,0.37,65
Diego Pavia,156927,QB,VANDERBILT,13,194,49,8,23.3,209,0,622,0,0,30,433,52,32,51,333,7,105,66.6,88,71.7,85,86.8,56.7,73.9,60.3,36,4,0,0,1,409,276,36,0,158,8,898,683,3.52,4.6,0,13
Quinshon Judkins,157128,HB,OHIO STATE,16,193,43,17,41.2,437,1,1060,1,6,43,587,69.3,28,58,260,1,111,84.5,88.8,48.2,,29.9,72.3,90,58.8,86,1,161,22,142,265,0,0,26,215,14,1060,587,3.04,5.5,1.13,82
Jonah Coleman,158717,HB,WASHINGTON,13,192,67,13,35.4,375,0,1060,0,9,67,833,153.4,38,60,340,0,44,90.9,86.3,87.4,,76.9,67.6,87.2,56.9,64,0,177,23,184,222,0,0,25,215,10,1060,833,4.34,5.5,0.96,147
Jevon Jackson,149110,HB,UTEP,12,191,44,9,25.1,190,0,758,1,5,44,626,78,20,42,330,0,71,90.9,76,86.6,,86,55.1,78.7,51.7,42,0,86,15,197,259,0,0,20,206,4,758,626,3.28,4,0.44,117
Tawee Walker,158097,HB,WISCONSIN,11,190,45,9,25.9,224,0,864,0,2,45,560,68.9,19,53,349,1,82,84.1,75,18,,69.6,54,77.7,47.6,55,2,31,11,159,208,0,0,14,201,10,864,560,2.95,4.5,0.19,104
Ollie Gordon II,157792,HB,OKLA STATE,12,189,41,8,29.3,250,0,854,0,9,41,614,74.2,20,50,262,2,101,75.8,75.8,58.5,74.5,57.9,73.2,76.9,50.2,68,2,198,30,256,232,0,0,38,219,12,854,614,3.25,4.5,0.77,86
Jarquez Hunter,146662,HB,AUBURN,12,186,59,23,48,576,0,1201,2,13,59,762,142.5,42,68,115,3,98,66.3,81.5,86.7,27.6,51.1,65.7,86.6,50.6,50,0,155,21,212,232,0,0,27,207,8,1201,762,4.1,6.5,0.73,88
