Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Tyler Lockett,SEA,23,17,73.91%,144,7,28.40%,7,6,85.71%,28,3,21.90%,All Tyler Lockett red zone receiving plays
Michael Thomas,NOR,22,16,72.73%,145,8,28.60%,9,4,44.44%,15,4,25.70%,All Michael Thomas red zone receiving plays
Julian Edelman,NWE,20,14,70.00%,93,4,23.50%,9,5,55.56%,26,3,22.00%,All Julian Edelman red zone receiving plays
Jarvis Landry,CLE,20,11,55.00%,74,5,29.00%,11,6,54.55%,30,4,29.70%,All Jarvis Landry red zone receiving plays
Allen Robinson,CHI,20,11,55.00%,82,6,30.30%,11,5,45.45%,34,5,33.30%,All Allen Robinson red zone receiving plays
Keenan Allen,LAC,19,14,73.68%,113,4,25.70%,9,5,55.56%,20,2,25.70%,All Keenan Allen red zone receiving plays
Tyler Higbee,LAR,19,14,73.68%,77,3,28.40%,9,6,66.67%,29,3,25.70%,All Tyler Higbee red zone receiving plays
Travis Kelce,KAN,19,7,36.84%,41,2,30.20%,12,3,25.00%,6,2,41.40%,All Travis Kelce red zone receiving plays
Courtland Sutton,DEN,19,9,47.37%,69,3,27.90%,9,5,55.56%,37,3,31.00%,All Courtland Sutton red zone receiving plays
James White,NWE,19,16,84.21%,75,4,22.40%,5,4,80.00%,14,1,12.20%,All James White red zone receiving plays
Davante Adams,GNB,18,12,66.67%,75,3,24.70%,5,4,80.00%,14,2,15.20%,All Davante Adams red zone receiving plays
Austin Hooper,ATL,18,10,55.56%,57,6,23.10%,9,6,66.67%,32,5,28.10%,All Austin Hooper red zone receiving plays
Cooper Kupp,LAR,18,13,72.22%,81,7,26.90%,10,8,80.00%,55,6,28.60%,All Cooper Kupp red zone receiving plays
D.K. Metcalf,SEA,17,5,29.41%,47,4,21.00%,5,3,60.00%,14,2,15.60%,All D.K. Metcalf red zone receiving plays
Deebo Samuel,SFO,17,9,52.94%,46,1,23.90%,8,3,37.50%,10,1,20.50%,All Deebo Samuel red zone receiving plays
Zach Ertz,PHI,16,8,50.00%,37,5,23.20%,5,4,80.00%,8,4,17.20%,All Zach Ertz red zone receiving plays
Mike Evans,TAM,16,7,43.75%,50,4,25.00%,10,4,40.00%,19,4,26.30%,All Mike Evans red zone receiving plays
Julio Jones,ATL,16,12,75.00%,63,5,20.50%,8,7,87.50%,38,5,25.00%,All Julio Jones red zone receiving plays
George Kittle,SFO,16,10,62.50%,57,2,22.50%,9,5,55.56%,29,2,23.10%,All George Kittle red zone receiving plays
Jamison Crowder,NYJ,15,8,53.33%,69,4,30.60%,6,2,33.33%,5,2,33.30%,All Jamison Crowder red zone receiving plays
Kenny Golladay,DET,15,8,53.33%,58,6,25.00%,13,7,53.85%,52,6,34.20%,All Kenny Golladay red zone receiving plays
Mike Williams,LAC,15,3,20.00%,18,1,20.30%,7,2,28.57%,9,1,20.00%,All Mike Williams red zone receiving plays
Mark Andrews,BAL,14,7,50.00%,63,7,22.20%,6,4,66.67%,14,4,20.00%,All Mark Andrews red zone receiving plays
Larry Fitzgerald,ARI,14,7,50.00%,27,3,20.30%,10,4,40.00%,10,3,31.30%,All Larry Fitzgerald red zone receiving plays
Marvin Jones,DET,14,10,71.43%,76,8,23.30%,9,6,66.67%,31,5,23.70%,All Marvin Jones red zone receiving plays
Christian McCaffrey,CAR,14,10,71.43%,66,3,23.00%,6,4,66.67%,20,2,20.00%,All Christian McCaffrey red zone receiving plays
DeVante Parker,MIA,14,6,42.86%,72,5,19.70%,3,1,33.33%,7,1,14.30%,All DeVante Parker red zone receiving plays
Curtis Samuel,CAR,14,9,64.29%,68,6,23.00%,8,5,62.50%,18,4,26.70%,All Curtis Samuel red zone receiving plays
Emmanuel Sanders,2TM,14,8,57.14%,26,4,,8,5,62.50%,15,4,,All Emmanuel Sanders red zone receiving plays
Auden Tate,CIN,14,5,35.71%,35,1,18.90%,7,1,14.29%,2,1,19.40%,All Auden Tate red zone receiving plays
Jack Doyle,IND,13,6,46.15%,42,3,19.70%,5,2,40.00%,6,2,16.70%,All Jack Doyle red zone receiving plays
Austin Ekeler,LAC,13,10,76.92%,69,4,17.60%,6,4,66.67%,9,2,17.10%,All Austin Ekeler red zone receiving plays
DeAndre Hopkins,HOU,13,7,53.85%,40,4,21.00%,5,4,80.00%,9,3,20.80%,All DeAndre Hopkins red zone receiving plays
Terry McLaurin,WAS,13,8,61.54%,61,3,21.00%,7,3,42.86%,11,1,21.90%,All Terry McLaurin red zone receiving plays
Marquise Brown,BAL,12,8,66.67%,56,3,19.00%,6,2,33.33%,9,1,20.00%,All Marquise Brown red zone receiving plays
Darren Fells,HOU,12,10,83.33%,99,7,19.40%,4,4,100.00%,22,4,16.70%,All Darren Fells red zone receiving plays
Russell Gage,ATL,12,6,50.00%,40,1,15.40%,1,0,0.00%,0,0,3.10%,All Russell Gage red zone receiving plays
Chris Godwin,TAM,12,8,66.67%,47,4,18.80%,9,6,66.67%,26,4,23.70%,All Chris Godwin red zone receiving plays
Josh Hill,NOR,12,8,66.67%,25,3,15.60%,6,4,66.67%,16,3,17.10%,All Josh Hill red zone receiving plays
Aaron Jones,GNB,12,10,83.33%,42,1,16.40%,4,4,100.00%,17,1,12.10%,All Aaron Jones red zone receiving plays
Christian Kirk,ARI,12,11,91.67%,64,1,17.40%,6,6,100.00%,12,0,18.80%,All Christian Kirk red zone receiving plays
D.J. Moore,CAR,12,6,50.00%,41,2,19.70%,2,1,50.00%,2,1,6.70%,All D.J. Moore red zone receiving plays
Greg Olsen,CAR,12,5,41.67%,18,2,19.70%,9,4,44.44%,14,2,30.00%,All Greg Olsen red zone receiving plays
Odell Beckham,CLE,11,4,36.36%,25,1,15.90%,5,1,20.00%,3,1,13.50%,All Odell Beckham red zone receiving plays
Tyler Boyd,CIN,11,7,63.64%,68,3,14.90%,4,1,25.00%,3,1,11.10%,All Tyler Boyd red zone receiving plays
Ezekiel Elliott,DAL,11,6,54.55%,47,2,19.00%,3,2,66.67%,7,0,15.00%,All Ezekiel Elliott red zone receiving plays
Mike Gesicki,MIA,11,5,45.45%,57,4,15.50%,6,1,16.67%,5,1,28.60%,All Mike Gesicki red zone receiving plays
Dallas Goedert,PHI,11,8,72.73%,43,4,15.90%,5,4,80.00%,19,4,17.20%,All Dallas Goedert red zone receiving plays
Jacob Hollister,SEA,11,6,54.55%,22,3,13.60%,6,4,66.67%,18,3,18.80%,All Jacob Hollister red zone receiving plays
Alvin Kamara,NOR,11,7,63.64%,30,0,14.30%,7,5,71.43%,28,0,20.00%,All Alvin Kamara red zone receiving plays
Zach Pascal,IND,11,5,45.45%,58,5,16.70%,3,1,33.33%,3,1,10.00%,All Zach Pascal red zone receiving plays
Kyle Rudolph,MIN,11,8,72.73%,51,5,22.40%,4,4,100.00%,8,4,19.00%,All Kyle Rudolph red zone receiving plays
C.J. Uzomah,CIN,11,7,63.64%,37,2,14.90%,5,3,60.00%,17,1,13.90%,All C.J. Uzomah red zone receiving plays
Darren Waller,OAK,11,7,63.64%,60,3,18.30%,4,2,50.00%,15,2,14.30%,All Darren Waller red zone receiving plays
Dede Westbrook,JAX,11,5,45.45%,33,3,18.60%,6,2,33.33%,2,1,18.20%,All Dede Westbrook red zone receiving plays
