player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Julio Jones,6158,WR,ATL,16,166,0,2,12.6,2,59.6,50.0,9,18,13.9,5,22,0,42.3,79.6,1,37,0.0,0,183,31,91.8,168,99.0,52,31.0,3,450,149,4.8,14.5,2.68,0,14.8,8,73.6,47.1,8,17,3.7,3,54,2,83.9,91.3,2,58,0.0,0,382,78,96.9,370,113.2,106,28.6,4,1148,286,3.7,14.7,3.1
Antonio Brown,5718,WR,PIT,15,164,0,25,12.4,5,56.1,22.2,2,9,0.0,0,25,0,89.0,79.8,0,48,0.0,0,236,32,92.4,218,121.9,57,26.1,9,458,224,7.0,14.3,2.1,0,11.1,8,69.5,23.1,3,13,1.5,1,36,0,90.2,74.8,8,78,0.0,0,411,66,96.1,395,69.3,95,24.1,3,773,256,3.9,11.7,1.96
Davante Adams,8688,WR,GB,15,162,0,12,12.7,4,64.6,57.1,4,7,3.1,1,22,0,79.6,90.9,0,57,0.0,0,230,31,90.4,208,134.5,48,23.1,5,505,167,5.4,16.3,2.43,0,11.0,5,69.9,20.0,2,10,5.3,4,36,0,75.3,76.1,0,41,0.0,0,421,72,96.4,406,106.4,103,25.4,4,818,299,4.2,11.4,2.01
JuJu Smith-Schuster,11817,WR,PIT,16,161,0,25,11.9,2,65.6,55.0,11,20,0.0,0,30,0,90.1,85.3,2,97,0.0,0,250,40,93.2,233,98.0,61,26.2,3,564,232,5.8,14.1,2.42,0,7.9,5,71.7,47.4,9,19,8.3,6,35,1,61.9,74.0,2,75,0.0,0,411,66,96.1,395,98.3,92,23.3,2,845,420,6.4,12.8,2.14
DeAndre Hopkins,7808,WR,HST,16,159,0,13,11.0,5,70.2,61.1,11,18,0.0,0,28,1,90.2,91.5,1,49,0.0,0,196,40,91.3,179,112.8,57,31.8,4,494,155,3.9,12.4,2.76,0,13.3,6,76.4,60.0,12,20,0.0,0,47,1,91.1,91.2,2,49,0.0,0,416,68,94.2,392,118.8,89,22.7,4,1012,222,3.3,14.9,2.58
Zach Ertz,7816,TE,PHI,16,154,0,24,6.5,1,71.2,54.5,6,11,7.5,3,23,1,63.7,71.2,1,27,5.7,12,209,37,86.6,181,100.1,52,28.7,3,343,121,3.3,9.3,1.9,0,7.9,1,78.9,27.3,3,11,4.1,3,39,0,80.8,77.4,4,34,7.8,32,409,71,88.3,361,91.2,90,24.9,2,769,245,3.5,10.8,2.13
Adam Thielen,8288,WR,MIN,16,149,0,18,11.7,2,72.2,40.0,2,5,7.1,3,30,1,66.5,90.4,1,68,0.9,2,213,39,88.7,189,120.2,54,28.6,4,531,141,3.6,13.6,2.81,0,9.7,2,77.8,45.5,5,11,3.1,2,38,0,90.1,80.6,2,45,0.2,1,423,63,97.2,411,108.8,81,19.7,3,780,251,4.0,12.4,1.9
Michael Thomas,10681,WR,NO,16,146,0,20,8.4,9,83.3,53.8,7,13,2.2,1,32,1,85.4,91.3,0,72,0.0,0,196,45,91.3,179,147.1,54,30.2,6,562,247,5.5,12.5,3.14,0,7.9,8,88.9,58.3,7,12,2.7,2,39,1,88.0,90.0,1,44,0.0,0,308,72,96.8,298,106.6,81,27.2,1,796,249,3.5,11.1,2.67
Stefon Diggs,9579,WR,MIN,15,141,0,18,9.0,5,72.1,88.9,8,9,0.0,0,14,0,88.3,74.5,1,75,0.5,1,187,31,89.3,167,121.7,43,25.7,5,314,89,2.9,10.1,1.88,0,9.5,7,73.0,46.7,7,15,1.5,1,31,0,90.1,79.4,1,48,0.0,0,388,65,97.4,378,93.5,89,23.5,1,672,336,5.2,10.3,1.78
Travis Kelce,7844,TE,KC,16,139,0,16,8.5,1,80.6,75.0,6,8,3.3,1,19,1,68.2,85.3,2,40,4.3,8,188,29,87.8,165,123.4,36,21.8,4,370,153,5.3,12.8,2.24,0,9.5,8,74.5,64.3,9,14,6.7,5,45,1,70.2,90.6,0,43,7.4,31,421,70,86.9,366,123.1,94,25.7,5,930,398,5.7,13.3,2.54
