Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Shane Vereen,NYG,2,1,50.00%,3,0,3.80%,0,0,,0,0,0.00%,All Shane Vereen red zone receiving plays
Dede Westbrook,JAX,2,1,50.00%,18,1,4.10%,1,0,0.00%,0,0,3.40%,All Dede Westbrook red zone receiving plays
Kasen Williams,CLE,2,1,50.00%,4,0,4.70%,1,1,100.00%,4,0,4.00%,All Kasen Williams red zone receiving plays
Jarius Wright,MIN,2,2,100.00%,9,2,3.40%,2,2,100.00%,9,2,6.90%,All Jarius Wright red zone receiving plays
Jared Abbrederis,DET,1,1,100.00%,12,0,1.40%,0,0,,0,0,0.00%,All Jared Abbrederis red zone receiving plays
Peyton Barber,TAM,1,1,100.00%,1,0,1.50%,0,0,,0,0,0.00%,All Peyton Barber red zone receiving plays
Kenjon Barner,PHI,1,0,0.00%,0,0,1.30%,1,0,0.00%,0,0,3.30%,All Kenjon Barner red zone receiving plays
Nick Bellore,DET,1,1,100.00%,1,1,1.40%,1,1,100.00%,1,1,3.10%,All Nick Bellore red zone receiving plays
Tommy Bohanon,JAX,1,1,100.00%,1,1,2.00%,1,1,100.00%,1,1,3.40%,All Tommy Bohanon red zone receiving plays
Malcolm Brown,LAR,1,1,100.00%,-4,0,1.30%,1,1,100.00%,-4,0,2.90%,All Malcolm Brown red zone receiving plays
Noah Brown,DAL,1,1,100.00%,-2,0,1.80%,1,1,100.00%,-2,0,3.80%,All Noah Brown red zone receiving plays
Marquis Bundy,NYG,1,0,0.00%,0,0,1.90%,0,0,,0,0,0.00%,All Marquis Bundy red zone receiving plays
Michael Burton,CHI,1,1,100.00%,0,0,2.00%,1,1,100.00%,0,0,3.60%,All Michael Burton red zone receiving plays
Travaris Cadet,BUF,1,1,100.00%,5,0,1.50%,0,0,,0,0,0.00%,All Travaris Cadet red zone receiving plays
Derek Carrier,LAR,1,1,100.00%,14,0,1.30%,0,0,,0,0,0.00%,All Derek Carrier red zone receiving plays
Leonte Carroo,MIA,1,0,0.00%,0,0,1.50%,0,0,,0,0,0.00%,All Leonte Carroo red zone receiving plays
Michael Clark,GNB,1,0,0.00%,0,0,1.60%,0,0,,0,0,0.00%,All Michael Clark red zone receiving plays
Derrick Coleman,ATL,1,0,0.00%,0,0,1.50%,1,0,0.00%,0,0,2.90%,All Derrick Coleman red zone receiving plays
Jeff Cumberland,LAC,1,1,100.00%,0,0,1.50%,0,0,,0,0,0.00%,All Jeff Cumberland red zone receiving plays
Amara Darboh,SEA,1,0,0.00%,0,0,1.50%,0,0,,0,0,0.00%,All Amara Darboh red zone receiving plays
Orleans Darkwa,NYG,1,0,0.00%,0,0,1.90%,0,0,,0,0,0.00%,All Orleans Darkwa red zone receiving plays
Phillip Dorsett,NWE,1,1,100.00%,7,0,1.20%,0,0,,0,0,0.00%,All Phillip Dorsett red zone receiving plays
Lance Dunbar,LAR,1,0,0.00%,0,0,1.30%,0,0,,0,0,0.00%,All Lance Dunbar red zone receiving plays
Tyler Eifert,CIN,1,0,0.00%,0,0,2.00%,0,0,,0,0,0.00%,All Tyler Eifert red zone receiving plays
Tyler Ervin,HOU,1,0,0.00%,0,0,1.90%,1,0,0.00%,0,0,3.30%,All Tyler Ervin red zone receiving plays
C.J. Fiedorowicz,HOU,1,0,0.00%,0,0,1.90%,1,0,0.00%,0,0,3.30%,All C.J. Fiedorowicz red zone receiving plays
D'Onta Foreman,HOU,1,0,0.00%,0,0,1.90%,0,0,,0,0,0.00%,All D'Onta Foreman red zone receiving plays
Leonard Fournette,JAX,1,1,100.00%,10,1,2.00%,1,1,100.00%,10,1,3.40%,All Leonard Fournette red zone receiving plays
Jimmy Garoppolo,SFO,1,1,100.00%,-6,0,1.20%,0,0,,0,0,0.00%,All Jimmy Garoppolo red zone receiving plays
Tanner Gentry,CHI,1,0,0.00%,0,0,2.00%,0,0,,0,0,0.00%,All Tanner Gentry red zone receiving plays
Jakeem Grant,MIA,1,0,0.00%,0,0,1.50%,0,0,,0,0,0.00%,All Jakeem Grant red zone receiving plays
James Hanna,DAL,1,0,0.00%,0,0,1.80%,0,0,,0,0,0.00%,All James Hanna red zone receiving plays
Chad Hansen,NYJ,1,1,100.00%,-4,0,2.10%,0,0,,0,0,0.00%,All Chad Hansen red zone receiving plays
Jeff Heuerman,DEN,1,1,100.00%,13,1,1.70%,0,0,,0,0,0.00%,All Jeff Heuerman red zone receiving plays
