Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
16.2,Patrick Ricard,BLT,0,0,0,2.4,0,1.3,5.1,0,0,0,0,0,,0,0,0,7.4,0
2.1,Tyrion Davis-Price,SF,,,,,2.1,,,,,,,,,,,,,
125.3,Samaje Perine,DEN,11.8,5.4,4.4,5.5,13.5,3.6,7.1,4.1,,7.3,13.7,13.6,2.6,9.4,5.8,6.9,4.6,6
182.5,Chuba Hubbard,CAR,8.9,10,2.4,7.3,4.5,16,,7.4,10.7,5.9,8.5,20.2,22.4,11.6,12.3,12.1,11.1,11.2
131.4,Antonio Gibson,WAS,2.9,8.3,5.4,3.6,10.4,8.6,5.1,9.2,12.6,16.5,,6.7,11.2,,8.5,10.2,5.6,6.6
44.7,Jordan Mason,SF,,,1.1,3.3,12.9,8.7,,,,0,0,,1,9.6,2,,0.3,5.8
24.9,Alec Ingold,MIA,5.4,0,0,3.3,0,0,0,1.5,1.1,,4.6,0,0.7,2.3,0,3.2,2.8,0
5.8,Khari Blasingame,CHI,0,0,0,0,2.6,1.1,1.4,0,0,,0,0,,0.7,0,0,0,0
278.4,Travis Etienne Jr.,JAX,21.4,6.2,17.8,10.2,34.4,23.3,22.7,23.9,,6.4,8.9,12.6,17.9,17.2,9.9,6.1,25.8,13.7
1.3,Reggie Gilliam,BUF,0,1.3,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0
7.3,Dare Ogunbowale,HST,,0.4,,,,,,,,,0,,2.5,2.1,1.7,0.6,0,0
269.7,Raheem Mostert,MIA,13,25.7,45.2,7.5,15.8,34.2,6.1,10.6,14.5,,10.3,21.4,12.1,23,18.3,12,,
1.7,Evan Hull,IND,1.7,,,,,,,,,,,,,,,,,
14.8,Emanuel Wilson,GB,,0.5,2.2,,0,,4.7,,4.3,0,3.1,,,,,,,
0,Ben Mason,BLT,,,,,,,,,,,,,,,,,,0
32.4,Ty Johnson,BUF,,,,,,,0,,,0.2,14.8,1.9,,4.1,6.8,,2.2,2.4
43.3,Kendre Miller,NO,,,4.4,1.8,13,2.2,0,2.9,4.1,,,,,,,,,14.9
193.7,De'Von Achane,MIA,,1.9,51.3,27,23.5,,,,,,1.5,,25.3,12.1,9.2,4.1,23.7,14.1
60.8,Jamaal Williams,NO,7.2,2.9,,,,,1.4,4.8,3.2,2,,3,2.6,4.3,3.6,2.3,11.1,12.4
3.1,Anthony McFarland Jr.,PIT,3.1,,,,,,,,,0,,,,,,,,
91.5,Rico Dowdle,DAL,2.4,5.3,13.6,2.7,1.5,1.2,,4.5,0.8,13.9,4,9.6,3.2,12.2,3.2,0.4,,13
198.9,Kenneth Walker III,SEA,10.7,18.4,30.6,13.9,,17.9,13.1,8,2.7,19.7,2.6,,,9.4,20.2,6.6,16,9.1
44.8,Pierre Strong Jr.,CLV,,6.1,2.7,4.9,,0,2.5,9.2,1.2,,1.5,0,2,0,3.1,2.2,2.9,6.5
1.9,Zach Evans,LA,,,,,,1,,,,,0,0.6,,,,,,0.3
118.5,Kareem Hunt,CLV,,,5.5,1.2,,16.1,15.1,13.7,9.8,9.2,6.7,2.2,5.8,10,3,9.6,9.1,1.5
176.5,Ezekiel Elliott,NE,9.3,1.3,9.7,4.2,7.8,11.9,9.1,3.6,6.2,10.8,,7.2,13.2,27,9.6,21,11.5,13.1
36.8,Cordarrelle Patterson,ATL,,,,0,1.7,1.6,5.6,0.7,1.3,4,,4.3,2.6,0.7,7,5.3,0,2
0,Dwayne Washington,DEN,,,,,,,,0,,,,,,,,,,
153.8,Tyjae Spears,TEN,3.8,7.5,4.9,8.8,16.9,7.3,,6.6,6.2,10,4.6,1.7,12.8,17.8,4.7,11.7,6.9,21.6
183.1,Josh Jacobs,LV,9.1,9.9,11,27.9,19.9,11.3,5.1,16.8,21.8,14.7,6.1,22.5,,7,,,,
2.3,Devine Ozigbo,DET,,,,,,2.3,,0,,,,,,,,,,
0,Khalen Saunders,NO,,,,,,,0,0,0,,,,0,,,,,
189,Gus Edwards,BLT,3.2,12.2,5.1,6.9,4.8,6.3,21.4,29.4,17.2,9.8,21,4.7,,1.5,13.9,14,12.8,4.8
8,Deon Jackson,NYG,7.8,,,,,,,,0.2,,,,,,,,,
225.2,Saquon Barkley,NYG,9.3,27.2,,,,13.8,20.8,15.8,14.3,7.1,30,6.2,,25.1,5.7,17.4,8.8,23.7
197.5,Najee Harris,PIT,5.3,5.3,6.5,11.3,5,,15.8,10.5,15.6,18.6,4.6,15.9,9.7,7.8,3.3,13.8,24.2,24.3
0,Julius Chestnut,TEN,0,0,,,,,,,,,,,,,,,,
0,JaMycal Hasty,NE,,,,0,0,,,,,,,,,,,,,
73.3,Emari Demercado,ARZ,0,2.5,0.2,5.4,12.7,2.7,11.5,8.9,,,,1.5,0,,14,12,1.9,0
106,Jaleel McLaughlin,DEN,0.3,6.5,1.5,19.4,17.9,6.2,5.6,5.9,,3.2,6.5,0.4,4.1,4.2,3.8,10.7,9.2,0.6
207.2,David Montgomery,DET,13.4,14.4,,34.1,20.9,4.3,,,,17.6,17.8,13.1,12.5,11.5,10.2,14.9,12.5,10
4.7,Michael Burton,DEN,1.3,0.3,0,0,0,0.2,-0.2,0,,0,0,0,0.4,1.3,0,1.4,0,0
26.8,Tank Bigsby,JAX,7.3,0,7,1,0.8,1.8,0.2,0.9,,0.5,2.1,0.6,0,0,-0.2,,3.2,1.6
46.7,Cam Akers,MIN,8.9,,,7.1,3.8,2.5,8.1,9.5,6.8,,,,,,,,,
201.5,James Conner,ARZ,12,16.6,19.6,6.6,4.6,,,,,7.3,8.3,7.2,22.5,,17.9,22.2,26.3,30.4
1.1,Jonathan Ward,TEN,,,,,,,,0,,,,,,0,,,1.1,0
11.7,J.K. Dobbins,BLT,11.7,,,,,,,,,,,,,,,,,
6.3,Keith Smith,ATL,0,0,0,0,3.8,0,0.9,0,,0,,1.6,0,0,0,,,
1.6,Malcolm Rodriguez,DET,,,,,,,0,0,,0,0,1.6,,,,,,
11.5,Nick Bawden,NYJ,0,0,6.1,0,0,0,,0,1.7,0,0,1.6,0,0.3,0,,1.8,0
96.7,Kenneth Gainwell,PHI,11.4,,5.8,4.1,3.4,2.7,7.6,7.6,9.3,,1.5,5.6,9.7,2.8,2.1,10.9,6,6.2
177.2,Javonte Williams,DEN,9.7,7.8,8.5,3.9,,5.2,12.6,18.8,,21,7.3,10.1,10,18.1,4,10.9,8.8,20.5
42.9,Salvon Ahmed,MIA,1.1,7.1,,0,,12.4,1.3,5.7,3.2,,12.1,,,,,,,
18.1,Tyler Goodson,IND,,,,,,,,,,,,,3.1,0.8,9.9,4,0.3,0
4.3,Alex Armah,WAS,,,,,,,,1,0,1.3,,,,,0,0,0,2
0,Malik Davis,DAL,,,,,,,,,,,,,,,0,,,
4.8,Rashaad Penny,PHI,,2.4,,,,,,,0.8,,,,,,,,,1.6
257,Kyren Williams,LA,17.4,28,8.5,27.7,7.7,21.8,,,,,,38.4,20.2,14.3,26.5,16.4,30.1,
200,Brian Robinson,WAS,13.6,26.9,7,13.1,8.3,13.6,8.3,9.9,13.7,27.7,20.1,8.4,5.3,,,,11.6,12.5
14,La'Mical Perine,KC,,,,,,,,,0.1,,,0,,,,0,0,13.9
