player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Zay Jones,11792,WR,E CAROLINA,12,8.5,24,73.1,,0,0,0,3.7,6,93,156,0,90.7,79.9,90.9,65.9,90.7,0.5,3,5,77,0.3,2,617,1,158,95.5,589,30.8,190,99.4,216,8,68.7,424,1744,790,5,11,2.96
Trent Taylor,11932,WR,LA TECH,14,7.1,17,80.1,,0,0,0,2.8,4,81,208,2,91.7,51.2,87.1,,87.5,0,0,2,76,0,0,573,2,137,97,556,95.1,545,129.4,171,12,4.5,26,1816,1055,7.7,13.3,3.27
Noel Thomas,12191,WR,UCONN,12,10.7,16,61.3,,0,0,0,6.5,7,56,146,2,72.4,51.5,79.9,,80.6,0,0,6,62,0,0,483,0,100,96.1,464,67.7,327,74.1,163,3,31.7,153,1179,544,5.4,11.8,2.54
Richie James,28991,WR,MIDDLE TN,13,9.6,24,65.2,,0,0,0,6.3,7,69,224,0,78.2,68.2,87.7,64.4,88.2,0.7,4,5,56,0.2,1,557,4,105,93.2,519,90.5,504,110.4,161,12,4.7,26,1625,875,8.3,15.5,3.13
Taywan Taylor,11827,WR,W KENTUCKY,14,14.4,12,67.1,,0,0,0,7.5,8,60,346,2,72.2,45.6,90.1,,90.3,0,0,4,80,0,0,459,3,98,96.3,442,16.6,76,134.8,146,17,81.3,373,1730,665,6.8,17.7,3.91
Chad Hansen,11896,WR,CAL,10,11.6,7,63.9,,0,0,0,4.2,4,53,130,0,81.4,76.8,85.8,60.5,85.5,0,0,2,70,0.2,1,427,1,92,93.4,399,2.6,11,111.1,144,11,97,414,1248,445,4.8,13.6,3.13
Amba Etta-Tawo,12034,WR,SYRACUSE,12,12.6,12,65.7,,0,0,0,6,6,57,304,0,74.9,76.7,76.9,,79.2,0,0,6,81,0,0,624,6,94,95.2,594,17.1,107,115.1,143,14,82.9,517,1480,646,6.9,15.7,2.49
Mike Williams,11762,WR,CLEMSON,15,12.7,22,69.5,,0,0,0,5.8,6,63,140,2,79.1,41.5,91.3,,91.2,0,0,5,50,0,0,431,2,98,94.2,406,5.6,24,111.3,141,11,94.4,407,1357,393,4,13.8,3.34
Kenny Golladay,11851,WR,N ILLINOIS,12,13.3,8,61.7,,0,0,0,4.4,4,52,254,1,83.3,66.1,87.2,,85.2,0,0,1,49,0,0,409,2,87,96.3,394,7.1,29,103.6,141,8,92.4,378,1156,301,3.5,13.3,2.93
K.D. Cannon,12241,WR,BAYLOR,12,13.4,12,62.6,,0,0,0,7.4,7,46,118,0,72.2,76.3,75.8,,75.9,0,0,6,68,0,0,472,1,87,94.9,448,15.3,72,103.9,139,13,84.7,400,1218,461,5.3,14,2.72
Linell Bonner,38628,WR,HOUSTON,12,8.2,6,72.5,,0,0,0,1,1,55,182,2,94.1,44.3,79.4,,80.6,0,0,6,55,0,0,500,1,100,95.8,479,96.6,483,85.4,138,3,1.6,8,1121,535,5.4,11.2,2.34
Keevan Lucas,47572,WR,TULSA,13,13.5,12,59.9,,0,0,0,12.8,12,51,320,1,53.2,58.7,74.1,,74.8,0.2,1,6,74,0,0,491,4,82,94.9,466,96.5,474,106.2,137,15,3.1,15,1184,360,4.4,14.4,2.54
Isaiah Ford,11991,WR,VA TECH,14,13.7,6,57.7,,0,0,0,8.1,7,57,337,0,70.3,77.3,79.5,,80.5,0,0,1,53,0,0,506,0,79,96,486,1.8,9,97.4,137,7,98.2,497,1094,325,4.1,13.8,2.25
Carlos Henderson,11837,WR,LA TECH,13,15.2,48,59.9,,0,0,0,4.7,4,64,208,0,80.4,80.3,90.7,,90.4,0,0,7,83,0,0,444,5,82,97.1,431,4.7,21,116.8,137,19,95,422,1530,785,9.6,18.7,3.55
Corey Davis,11760,WR,W MICHIGAN,14,11.2,16,72.1,,0,0,0,10.1,11,61,347,0,58.6,77.3,90.7,,90.3,0,0,2,70,0,0,442,1,98,95.9,424,28.3,125,141.9,136,19,71.7,317,1512,710,7.2,15.4,3.57
Anthony Miller,48160,WR,MEMPHIS,13,12.1,7,70.4,,0,0,0,8.7,9,59,218,1,67.7,60.2,82.3,54.4,83.8,0,0,1,84,0,0,466,1,95,95.5,445,29.8,139,136.5,135,14,69.3,323,1435,541,5.7,15.1,3.22
Courtland Sutton,48164,WR,SMU,12,15.3,13,58.5,,0,0,2,6.2,5,55,287,0,72.7,76.6,83.7,,85.5,0,0,5,88,0,0,469,5,76,93,436,19.4,91,100.2,130,10,80.6,378,1241,284,3.7,16.3,2.85
Gabe Marks,12245,WR,WASH STATE,13,10.7,4,68.5,,0,0,1,4.3,4,44,341,0,84.3,76.8,70,,69.8,0,0,1,53,0,0,567,2,89,94.4,535,12.3,70,117.9,130,13,86.9,493,894,319,3.6,10,1.67
Austin Carr,12215,WR,NWESTERN,13,10.7,9,69.8,,0,0,1,4.3,4,64,256,0,84.6,76.7,91.4,,91.5,0,0,4,58,0,0,458,1,90,95.6,438,97.8,448,118.6,129,12,2.2,10,1247,435,4.8,13.9,2.85
James Washington,47792,WR,OKLA STATE,13,14.5,11,55.9,,0,0,0,9,7,56,262,0,66.1,76.1,81.7,66.8,81.7,0.4,2,2,91,0.2,1,479,2,71,97.1,465,12.1,58,113.4,127,10,87.1,417,1372,513,7.2,19.3,2.95
Christian Kirk,47546,WR,TEXAS A&M,13,9,11,65.1,,0,0,0,6.8,6,35,312,1,74.2,63.1,70.1,,70.5,0,0,2,69,0,0,470,1,82,95.7,450,93.6,440,104.2,126,9,2.3,11,927,547,6.7,11.3,2.06
Ryan Switzer,11888,WR,N CAROLINA,13,8.1,9,77,,0,0,0,3,3,49,245,1,90,69.7,79.8,61.9,81.1,0,0,1,75,0.2,1,427,1,97,94.6,404,86.9,371,115.6,126,6,12.4,53,1114,556,5.7,11.5,2.76
KeVonn Mabon,12295,WR,BALL ST,12,8.5,18,68.5,,0,0,0,5.6,5,56,117,0,79.1,80.4,77.6,,78,0,0,4,44,0,0,477,1,85,94.5,451,17.2,82,86.5,124,3,81.1,387,972,503,5.9,11.4,2.16
John Ross,11764,WR,WASHINGTON,14,12.2,18,65.9,,0,0,0,4.7,4,50,340,3,82.2,31.2,86.8,,85.8,0.3,1,1,70,0,0,392,3,81,95.4,374,10.5,41,131.7,123,17,89.3,350,1139,385,4.8,14.1,3.05
Tanner Gentry,12170,WR,WYOMING,14,17.6,3,59,,0,0,0,7.7,6,56,351,2,71.9,37,86.6,,88.4,0,0,3,54,0,0,414,2,72,94,389,41.5,172,124.6,122,14,58.5,242,1326,217,3,18.4,3.41
Ervin Philips,47518,WR,SYRACUSE,12,6,7,73,,0,0,0,6.3,6,44,304,1,76.2,58.7,68.4,,67.8,0,0,2,58,0,0,541,2,89,95.6,517,97,525,100.3,122,6,3,16,815,400,4.5,9.2,1.58
Robert Davis,11964,WR,GA STATE,12,13,10,54.9,,0,0,0,4.3,3,41,175,1,82.1,51.8,74.5,,73.1,0,0,2,65,0,0,419,0,67,96.7,405,11.5,48,87.7,122,5,88.5,371,968,402,6,14.4,2.39
J'Mon Moore,48316,WR,MISSOURI,12,13.4,9,50.8,,0,0,1,13.9,10,31,229,3,48.8,22.7,65.6,,64,0,0,2,82,0,0,434,1,62,95.2,413,2.1,9,93.5,122,8,97.5,423,996,449,7.2,16.1,2.41
Steven Sims,48341,WR,KANSAS,12,10.5,12,59.5,,0,0,0,5.3,4,35,198,1,79.2,56.5,66.2,,65.4,0,0,8,74,0,0,501,2,72,95.8,480,5.8,29,72.8,121,7,94,471,853,440,6.1,11.8,1.78
Marcus Kemp,12137,WR,HAWAII,14,15.3,16,60.8,,0,0,0,5.2,4,45,180,0,78.3,75.6,77.6,,78.5,0.2,1,5,63,0,0,527,3,73,93,490,4.4,23,95.8,120,8,95.3,502,1100,287,3.9,15.1,2.24
Josh Atkinson,48293,WR,TULSA,13,11.7,8,65,,0,0,0,3.7,3,53,320,1,85.5,55.1,76,,77.2,0,0,3,64,0,0,486,1,78,94.7,460,1.4,7,104.8,120,8,98.6,479,1058,337,4.3,13.6,2.3
Thomas Sperbeck,47487,WR,BOISE ST,13,12.4,10,67.2,,0,0,0,12.1,11,60,120,2,54.2,41.4,83.1,,82.5,0,0,1,54,0,0,415,0,80,97.1,403,74.5,309,124.4,119,9,25.1,104,1272,527,6.6,15.9,3.16
Fred Ross,12091,WR,MISS STATE,13,10.7,4,61.5,,0,0,0,8.9,7,43,227,1,63.3,69.5,75.7,,75.2,0,0,3,60,0,0,421,0,72,93.6,394,52.5,221,109.5,117,12,47.3,199,917,348,4.8,12.7,2.33
Allen Lazard,48135,WR,IOWA STATE,12,13.9,5,59,,0,0,2,9.2,7,56,193,0,67.8,79.7,84.3,,83.9,0.2,1,3,67,0,0,419,7,69,93.6,392,31.5,132,96.7,117,7,68.3,286,1018,285,4.1,14.8,2.6
Scott Miller,47481,WR,BOWL GREEN,12,9.8,5,63.8,,0,0,0,6.3,5,41,122,0,76.4,79.9,74.7,62.1,75,0,0,5,72,0.2,1,445,1,74,93.7,417,97.1,432,100.8,116,10,2.9,13,968,529,7.1,13.1,2.32
Emanuel Thompson,47761,WR,TROY,13,7.4,18,70.2,,0,0,0,2.4,2,44,318,2,89.8,34.8,67.5,72,68.2,0,0,2,31,0.5,2,432,7,80,94.2,407,2.5,11,100.7,114,6,97.5,421,817,405,5.1,10.2,2.01
Calvin Ridley,48262,WR,ALABAMA,15,9.2,9,63.2,,0,0,0,11.1,9,39,103,0,59,78,72,70.5,70,1.1,5,2,52,0.4,2,452,2,72,95.8,433,23.7,107,96.2,114,7,74.3,336,776,418,5.8,10.8,1.79
Michael Gallup,26075,WR,COLO STATE,13,13.3,17,67.9,,0,0,0,5,4,54,144,2,80.9,36.5,91.3,,91.7,0.3,1,0,65,0,0,301,1,76,97.3,293,15,45,145.5,112,14,84.7,255,1272,587,7.7,16.7,4.34
Devin Ross,47687,WR,COLORADO,14,10,4,62.2,,0,0,0,13.8,11,35,143,0,53,54.1,65.6,76.2,66.1,0,0,2,61,0.4,2,500,1,69,95.6,478,97.6,488,90.9,111,5,1.6,8,787,337,4.9,11.4,1.65
KeeSean Johnson,39587,WR,FRESNO ST,12,11.2,17,60.6,,0,0,0,9.6,7,35,169,0,65.4,80.3,72.7,61.9,71.4,0,0,3,53,0.2,1,486,2,66,94.7,460,5.6,27,89,109,6,94,457,773,307,4.7,11.7,1.68
Sebastian Smith,48067,WR,OHIO,13,14.6,5,51.4,,0,0,0,6.7,4,40,259,0,74.5,74.7,75.6,,76.6,0,0,6,53,0,0,426,3,56,93.7,399,0.5,2,68.8,109,4,99.5,424,905,176,3.1,16.2,2.27
Drew Wolitarsky,47637,WR,MINNESOTA,13,9.4,3,61.1,,0,0,1,8.3,6,47,225,0,67.9,78,83,62.6,83.6,0.3,1,7,35,0.3,1,357,2,66,95.8,342,84.6,302,74.6,108,5,15.1,54,860,343,5.2,13,2.51
Nicholas Norris,47533,WR,W KENTUCKY,14,11.2,12,70.4,,0,0,1,11.6,10,54,346,2,57.2,41.6,83.3,,84.1,0,0,1,87,0,0,399,4,76,97.2,388,97.5,389,147.3,108,14,2.5,10,1317,593,7.8,17.3,3.39
Devin Gray,48301,WR,CINCINNATI,12,13.1,3,54.2,,0,0,0,12.1,8,38,138,0,54.8,76.1,67.6,64.4,67.7,0,0,4,82,0.2,1,444,1,58,96.8,430,9.7,43,80.7,107,5,90.1,400,860,308,5.3,14.8,2
