player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Tajae Sharpe,10774,WR,UMASS,12,11.4,9,63.3,,0,0,0,2.6,3,69,216,0,91.5,77.8,88.1,63.5,89.1,0.2,1,5,49,0.2,1,557,5,112,95.2,530,30.9,172,83.2,177,5,68.9,384,1307,330,2.9,11.7,2.47
Keyarris Garrett,11008,WR,TULSA,13,15.5,21,59.6,,0,0,0,3,3,62,320,2,86.7,42.4,79.9,,80.6,0,0,4,50,0,0,589,3,96,93.5,551,5.3,31,99,161,8,94.7,558,1583,436,4.5,16.5,2.87
Gabe Marks,12245,WR,WASH STATE,13,8.9,10,69.6,,0,0,0,5.5,6,65,341,2,80.9,60.4,74.3,,74.2,0,0,2,43,0,0,702,1,103,97,681,7.1,50,121.5,148,15,92.9,652,1183,500,4.9,11.5,1.74
Aaron Burbridge,10847,WR,MICH STATE,14,12.2,7,58.2,,0,0,0,10.5,10,61,223,2,60.3,41.8,85.4,,85.7,0.2,1,2,56,0,0,466,2,85,94.6,441,18.5,86,96.8,146,7,81.1,378,1258,300,3.5,14.8,2.85
Richie James,28991,WR,MIDDLE TN,13,5.8,18,74.6,,0,0,0,5.4,6,59,224,1,81.4,64.6,91,,91.5,0.2,1,3,69,0,0,405,3,106,97.3,394,88.9,360,113.2,142,8,6.2,25,1326,953,9,12.5,3.37
Jordan Williams-Lambert,11238,WR,BALL ST,12,14.2,4,53.3,,0,0,0,11,9,45,117,1,59.1,60.6,71.2,,71.7,0,0,3,51,0,0,502,4,73,95,477,1.4,7,84.9,137,8,98.6,495,924,230,3.2,12.7,1.94
Thomas Sperbeck,47487,WR,BOISE ST,13,14,11,63.5,,0,0,0,9.4,9,58,120,1,69.6,59.8,83.5,,81.9,0,0,5,85,0,0,561,1,87,95.7,537,34.2,192,102.1,137,8,65.4,367,1408,538,6.2,16.2,2.62
Corey Davis,11760,WR,W MICHIGAN,13,10.8,15,65.7,,0,0,1,8.2,8,57,347,1,74.8,59.6,91.3,,91.3,0,0,3,80,0,0,436,2,90,94.7,413,19.3,84,120.6,137,12,80.7,352,1436,742,8.2,16,3.48
Daniel Braverman,10864,WR,W MICHIGAN,13,7.7,24,78.5,,0,0,0,6.2,7,66,347,1,78.4,61.4,91.2,,91.4,0,0,3,68,0,0,459,0,106,95,436,96.3,442,131.8,135,13,3.7,17,1370,711,6.7,12.9,3.14
De'Marcus Ayers,10863,WR,HOUSTON,14,7.9,19,74.4,,0,0,1,2,2,53,182,2,92.2,52.4,88.5,65.5,88.9,0.2,1,3,67,0.2,1,460,2,99,96.5,444,96.5,444,108.6,133,6,2.2,10,1241,738,7.5,12.5,2.8
