player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
LaJohntay Wester,123616,WR,FAU,12,8.1,9,70.4,47.6,10,21,2,10.1,12,53,165,2,61.9,84.1,82.1,,86,6,27,8,76,0,0,447,2,107,97.8,437,71.4,319,88.3,152,8,20.4,91,1164,544,5.1,10.9,2.66
Brennan Presley,122982,WR,OKLA STATE,14,5.6,32,70.6,47.4,9,19,0,3.8,4,55,262,0,86.8,76.7,75.4,,76,0,0,2,29,0,0,534,1,101,95.3,509,92.3,493,98,143,6,5.1,27,991,664,6.6,9.8,1.95
Rome Odunze,73774,WR,WASHINGTON,15,15.5,15,65.7,75,21,28,0,3.2,3,74,340,2,88.5,46.5,89.8,,89.5,0.7,4,6,52,0,0,599,2,92,93.5,560,17.4,104,118.7,140,13,81.8,490,1639,514,5.6,17.8,2.93
Malik Washington,97108,WR,VIRGINIA,12,8.1,35,80.4,64.7,11,17,0,2.6,3,58,335,0,91.3,79.3,91.1,,92.4,5.2,24,5,64,0,0,462,1,111,95,439,87.9,406,115.1,138,9,6.7,31,1384,710,6.4,12.5,3.15
Ricky White,129639,WR,UNLV,14,12.4,10,65.2,47.4,9,19,0,5.4,5,54,325,0,79.7,76.5,90.5,,90.6,0,0,5,82,0,0,409,0,88,94.9,388,26.4,108,106.6,135,8,73.6,301,1487,577,6.6,16.9,3.83
Tory Horton,128232,WR,COLO STATE,12,10.2,21,71.6,57.1,8,14,1,4,4,57,144,1,86,68,87.9,,86.9,0,0,7,76,0,0,445,3,96,93.7,417,28.5,127,95.5,134,8,71.2,317,1144,575,6,11.9,2.74
Khaleb Hood,97159,WR,GA SOUTHRN,13,7.5,11,75.2,52.2,12,23,0,7.4,8,54,174,0,72.6,85.3,73.4,,75.3,1.3,7,3,43,0,0,554,3,100,95.7,530,85.9,476,97.6,133,5,12.6,70,949,352,3.5,9.5,1.79
Tetairoa McMillan,158735,WR,ARIZONA,13,12.9,13,69.2,50,17,34,0,2.2,2,63,109,1,91.3,59.8,87.4,,89.1,0.8,4,3,57,0,0,523,1,90,95.6,500,23.7,124,120.5,130,10,75.3,394,1396,537,6,15.5,2.79
Malik Nabers,146759,WR,LSU,13,12.2,30,69.5,45.5,10,22,0,5.3,5,70,211,0,80.8,76.7,92.9,,93.1,0.4,2,2,51,0,0,450,3,89,95.8,431,53.6,241,141,128,14,46,207,1568,589,6.6,17.6,3.64
Isaiah Williams,97156,WR,ILLINOIS,12,8.5,24,64.6,21.4,3,14,0,6.8,6,48,187,1,74.6,72.2,79.9,61.9,80.9,1.1,5,3,67,0.2,1,456,1,82,92.3,421,81.4,371,93.8,127,5,16.7,76,1055,553,6.7,12.9,2.51
