Ovr,Name,Team,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
162.7,Kirk Cousins,MIN,21.5,30.6,26.7,11.6,19.9,10.7,22,19.9,,,,,,,,,,
239.2,Justin Herbert,LAC,20.9,20.2,29.3,24.4,,18.1,12.9,24,7.1,29.4,25.7,16.4,8,2.8,,,,
15.9,Jeff Driskel,CLV,,,,,,,,,,,,,,,,,,15.9
286,C.J. Stroud,HST,11.7,23.5,20.6,21.8,14.2,15.2,,12.9,39.8,24,18.3,30.9,16.1,3.6,,,12.9,20.6
90.3,Tyrod Taylor,NYG,0.2,,0.2,0,4.8,10.4,21.7,3.6,,,,,,,0.5,10.4,19.8,18.7
76.6,Easton Stick,LAC,,,,,,,,,,,,,,7.2,22.4,17.1,11.9,18
0.8,A.J. McCarron,CIN,,,,,,,,,,,,,,0,,,,0.8
251.1,Derek Carr,NO,15.6,7.7,8.1,5.2,15.7,17.3,16.4,20.3,16.7,5.4,,11.9,11.9,11.8,20.3,24,15.6,27.2
14.9,Tim Boyle,NYJ,,,,,,,,,,,0.4,9.4,5.1,,,,,
4.6,Mike White,MIA,,,6.6,,,-1.4,,,,,,-0.2,0.1,,0,,-0.5,
37,Trevor Siemian,NYJ,,,,,,,,,,,,,3.4,,2.4,13.5,14.7,2.9
70,Taylor Heinicke,ATL,,,,,,,,12.4,15.7,9.6,,,,,,14.2,18.1,
