team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
GB,12,16,568,10,69,568,91.5,88,9
CLV,8,16,548,14,59,548,90.8,87,14
ARZ,1,16,648,10,96,648,90.3,116,10
PIT,25,16,676,32,91,676,89.6,132,9
KC,16,16,695,30,104,695,88.9,144,10
LA,26,16,637,36,79,637,88.8,129,14
TB,30,16,651,47,79,651,88.3,139,13
IND,14,16,573,24,88,573,88.1,124,12
NO,20,16,571,27,81,571,87.9,123,15
CAR,5,16,620,17,98,620,87.7,134,19
DET,11,16,637,24,93,637,87.5,138,21
DEN,10,16,612,27,109,612,87.4,145,9
MIA,17,16,625,26,98,625,87,143,19
SEA,29,16,665,22,119,665,86.8,158,17
TEN,31,16,531,41,73,531,86.8,127,13
CHI,6,16,671,25,112,671,86.8,157,20
LV,23,16,602,23,118,602,86.6,151,10
NE,19,16,500,12,77,500,86.5,112,23
BUF,4,16,652,22,134,652,86,169,13
JAX,15,16,686,22,124,686,86,169,23
WAS,32,16,669,36,98,669,85.9,161,27
ATL,2,16,685,45,111,685,85.7,176,20
BLT,3,16,487,13,92,487,85.7,122,17
SF,28,16,616,46,94,616,85.4,160,20
HST,13,16,656,16,136,656,85.2,173,21
DAL,9,16,711,23,133,711,85.1,184,28
CIN,7,16,651,45,113,651,84.3,181,23
LAC,27,16,685,42,142,685,84.1,201,17
PHI,24,16,710,34,128,710,83.1,201,39
MIN,18,16,569,41,104,569,82.9,170,25
NYG,21,16,592,28,141,592,81.3,195,26
NYJ,22,16,570,33,152,570,79.2,211,26
