player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Stefon Diggs,9579,WR,BUF,16,162,0,4,10.2,12,77.2,62.5,5,8,7.6,5,41,0,66.2,91.3,1,55,0.0,0,266,61,90.6,241,132.2,79,32.8,6,867,283,4.6,14.2,3.6,0,10.1,7,80.3,54.5,6,11,3.2,2,28,0,77.4,77.8,1,49,0.0,0,349,61,95.1,332,96.1,76,22.9,0,637,178,2.9,10.4,1.92
DeAndre Hopkins,7808,WR,ARZ,16,154,0,1,8.0,3,76.5,62.5,5,8,0.0,0,20,0,86.1,90.0,2,60,0.0,0,138,26,86.2,119,116.7,34,28.6,3,375,195,7.5,14.4,3.15,0,9.0,17,76.6,46.7,7,15,1.2,1,52,2,90.8,83.5,0,45,0.0,0,479,85,96.7,463,105.3,111,24.0,1,971,321,3.8,11.4,2.1
Allen Robinson II,8696,WR,CHI,16,150,0,6,9.7,6,61.2,33.3,9,27,2.4,1,28,0,82.8,90.0,2,35,0.0,0,204,41,96.1,196,92.6,67,34.2,4,515,150,3.7,12.6,2.63,0,10.3,6,76.0,57.9,11,19,0.0,0,36,0,90.7,81.5,3,42,0.3,1,366,57,97.8,358,91.0,75,20.9,1,681,174,3.1,11.9,1.9
Davante Adams,8688,WR,GB,14,146,0,12,8.3,3,82.8,50.0,6,12,0.0,0,39,0,90.4,94.9,1,56,0.0,0,154,48,94.2,145,143.9,58,40.0,10,624,297,6.2,13.0,4.3,0,10.5,1,74.4,41.7,5,12,1.6,1,30,1,83.5,79.2,2,49,0.0,0,311,61,94.2,293,106.4,82,28.0,4,712,267,4.4,11.7,2.43
Darren Waller,9637,TE,LV,16,140,0,23,8.8,6,67.3,75.0,9,12,0.0,0,28,1,89.7,93.4,1,38,12.1,24,199,35,80.9,161,104.8,52,32.3,2,522,259,7.4,14.9,3.24,0,7.5,3,82.3,66.7,8,12,3.0,2,35,1,84.6,78.4,2,35,10.3,39,379,65,85.0,322,97.9,79,24.5,2,632,326,5.0,9.7,1.96
Diontae Johnson,33441,WR,PIT,15,139,0,25,7.1,5,64.9,50.0,3,6,14.0,6,22,0,39.3,71.0,1,28,0.0,0,205,37,91.7,188,108.3,57,30.3,6,333,132,3.6,9.0,1.77,0,9.8,6,64.1,40.0,2,5,12.3,7,23,1,45.4,67.7,1,47,0.0,0,317,50,96.2,305,86.0,78,25.6,1,590,272,5.4,11.8,1.93
Travis Kelce,7844,TE,KC,15,139,0,16,9.3,4,69.0,28.6,2,7,0.0,0,22,0,87.6,90.9,0,45,7.6,16,210,29,85.2,179,125.7,42,23.5,3,426,201,6.9,14.7,2.38,0,9.3,10,78.7,28.6,2,7,2.8,2,52,1,87.0,93.0,3,32,6.8,26,384,70,88.5,340,111.9,89,26.2,4,946,385,5.5,13.5,2.78
Keenan Allen,7857,WR,LAC,14,138,0,27,7.7,3,67.3,69.2,9,13,2.9,1,24,1,70.8,82.2,2,26,0.0,0,193,33,93.3,180,83.6,49,27.2,2,339,128,3.9,10.3,1.88,0,7.0,8,75.6,43.8,7,16,1.6,1,32,1,90.0,80.8,3,27,0.6,2,324,62,96.0,311,96.2,82,26.4,4,593,291,4.7,9.6,1.91
Calvin Ridley,48262,WR,ATL,15,137,0,2,14.2,3,70.7,66.7,4,6,6.5,2,21,1,67.3,83.4,2,54,0.0,0,195,29,88.2,172,117.1,41,23.8,3,512,129,4.4,17.7,2.98,0,15.6,6,63.0,38.5,5,13,10.5,6,35,0,57.9,74.1,3,63,0.0,0,360,51,97.5,351,85.3,81,23.1,2,737,129,2.5,14.5,2.1
Robbie Chosen,11254,WR,CAR,16,134,0,5,10.4,3,67.4,40.0,4,10,6.1,2,18,0,59.7,83.5,1,75,0.0,0,158,31,88.6,140,95.8,46,32.9,1,435,219,7.1,14.0,3.11,0,9.4,1,73.5,25.0,2,8,3.2,2,30,1,83.9,69.1,1,41,0.0,0,392,61,96.9,380,98.0,83,21.8,2,630,278,4.6,10.3,1.66
