player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
CeeDee Lamb,61570,WR,DAL,17,179,0,9,11.0,10,74.6,55.6,5,9,4.1,2,35,0,77.3,94.1,0,92,0.0,0,194,47,91.8,178,153.4,63,35.4,7,791,348,7.4,16.8,4.44,0,9.9,9,74.5,37.5,6,16,3.9,3,38,1,81.9,82.9,1,32,0.0,0,376,73,94.1,354,104.8,98,27.7,3,815,287,3.9,11.2,2.3
Davante Adams,8688,WR,LV,17,171,0,23,10.5,1,46.4,41.2,7,17,13.3,4,17,0,53.8,76.0,1,33,0.0,0,163,26,93.3,152,87.9,56,36.8,6,253,75,2.9,9.7,1.66,0,11.8,6,67.0,22.2,2,9,7.8,5,32,0,63.8,78.1,4,46,0.0,0,328,59,98.2,322,75.7,88,27.3,1,694,212,3.6,11.8,2.16
Tyreek Hill,10799,WR,MIA,16,167,0,17,13.3,2,66.7,25.0,1,4,8.3,2,19,1,50.8,87.2,0,78,0.0,0,109,22,91.7,100,149.3,33,33.0,4,429,174,7.9,19.5,4.29,0,11.3,19,74.7,27.3,3,11,6.3,5,49,0,71.2,93.3,3,64,0.0,0,281,74,97.9,275,116.4,99,36.0,6,1055,356,4.8,14.3,3.84
Garrett Wilson,97405,WR,NYJ,17,163,0,22,9.7,2,57.8,63.6,7,11,7.1,2,16,0,44.2,69.5,3,30,0.0,0,191,26,92.7,177,53.8,45,25.4,1,258,59,2.3,9.9,1.46,0,10.1,10,61.5,15.0,3,20,5.1,3,24,2,74.4,70.5,3,68,0.0,0,368,56,94.8,349,70.5,91,26.1,1,595,202,3.6,10.6,1.7
Stefon Diggs,9579,WR,BUF,17,159,0,4,11.6,6,61.2,46.7,7,15,3.2,1,18,0,78.5,79.2,0,55,0.0,0,213,30,93.9,200,114.7,49,24.5,4,404,119,4.0,13.5,2.02,0,10.1,5,69.4,30.0,3,10,7.8,5,26,1,63.0,69.9,1,48,0.0,0,315,59,94.3,297,94.8,85,28.6,3,571,179,3.0,9.7,1.92
Amon-Ra St. Brown,84470,WR,DET,16,158,0,11,7.5,3,69.2,25.0,2,8,0.0,0,15,0,75.5,76.9,0,23,0.7,1,146,27,92.5,135,86.7,39,28.9,0,252,124,4.6,9.3,1.87,0,8.6,9,75.8,63.6,7,11,4.2,3,44,1,80.5,90.4,3,70,0.8,3,357,69,95.8,342,119.0,91,26.6,6,994,425,6.2,14.4,2.91
Puka Nacua,100632,WR,LA,17,153,0,26,9.3,4,57.5,25.0,3,12,14.8,4,20,0,43.3,74.9,0,80,1.6,3,184,23,89.1,164,114.6,40,24.4,2,460,278,12.1,20.0,2.8,0,9.7,6,77.9,75.0,6,8,8.6,7,42,1,60.0,87.4,2,70,1.7,6,349,74,93.7,327,110.0,95,29.1,3,949,339,4.6,12.8,2.9
A.J. Brown,48327,WR,PHI,17,152,0,24,10.9,7,67.9,45.5,5,11,5.0,2,25,2,74.8,90.4,2,38,0.6,1,169,38,89.9,152,105.5,56,36.8,4,510,205,5.4,13.4,3.36,0,13.4,12,70.9,47.4,9,19,3.2,2,42,0,83.5,88.3,1,59,0.3,1,362,61,97.5,353,109.8,86,24.4,3,864,268,4.4,14.2,2.45
Michael Pittman Jr.,29049,WR,IND,16,150,0,14,7.8,2,67.9,50.0,6,12,7.3,3,16,1,73.9,76.4,2,75,0.0,0,190,38,92.6,176,90.5,56,31.8,3,388,193,5.1,10.2,2.2,0,7.2,3,77.1,60.0,9,15,3.0,2,31,0,85.3,76.0,4,42,0.8,3,364,64,93.4,340,82.6,83,24.4,1,643,287,4.5,10.0,1.89
Keenan Allen,7857,WR,LAC,13,145,0,27,9.7,1,68.1,63.6,7,11,3.0,1,19,0,78.5,87.8,1,28,1.1,2,182,32,90.7,165,102.5,47,28.5,3,353,115,3.6,11.0,2.14,0,10.6,6,78.2,37.5,3,8,4.2,3,32,2,80.4,82.5,1,42,0.3,1,311,68,95.2,296,108.8,87,29.4,2,820,257,3.8,12.1,2.77
