,Player,Tm,Season,Age,PosRank,PPR/G_prev,avg_depth_of_target,caught_percent,grades_offense,grades_pass_route,route_rate,slot_rate,wide_rate,inline_rate,yprr,man_grades_pass_route,zone_grades_pass_route,grades_pass,pbe,PPR/G,Pass Plays/G,Receptions/G,Routes/G,Targets/G,TD/G,YDS/G,YAC/G,RZ Targets/G,P_Att/G,P_Cmp/G,P_TD/G,P_Yds/G
331,Eric Decker,NYJ,2016-17,29,114,16.846666666666668,12.4,63.5,78.0,79.7,96.4,68.4,30.3,1.4,1.81,77.9,76.5,60.8,83.9,13.466666666666667,39.2,5.333333333333333,37.8,8.4,0.8,68.46666666666667,14.8,1.8666666666666667,37.75,22.625,2.0625,253.5625
332,Andre Holmes,LV,2016-17,28,117,3.63125,16.5,48.3,57.8,57.0,96.6,49.5,48.6,1.9,1.0,55.4,57.3,77.3,88.2,2.7875,13.0,0.875,12.5625,1.8125,0.25,12.5625,3.25,0.25,37.8125,23.3125,2.125,242.4375
333,Rod Streater,SF,2016-17,28,115,1.8,7.0,100.0,68.0,66.5,87.5,12.5,87.5,0.0,1.14,58.0,68.8,61.7,82.5,3.06875,8.0,1.0,7.0,1.0,0.0,8.0,1.0,1.0,32.875,20.125,1.0,207.25
337,Jaron Brown,ARI,2016-17,26,122,1.9625,14.5,55.0,61.6,57.5,89.6,31.1,61.0,6.1,0.98,55.8,61.2,91.5,80.2,5.1000000000000005,10.933333333333334,0.7333333333333333,9.8,1.3333333333333333,0.06666666666666667,9.6,1.9333333333333333,0.4,35.125,22.0625,2.1875,288.5
339,Jeff Janis,GB,2016-17,25,120,0.61875,22.2,22.2,56.0,55.1,89.3,5.3,92.0,2.7,1.18,59.6,60.3,70.6,83.8,2.25625,7.5,0.2,6.7,0.9,0.0,7.9,2.8,0.4,35.8125,21.75,1.9375,218.9375
342,Charles Johnson,MIN,2016-17,27,125,1.9727272727272727,12.5,69.2,64.7,63.9,93.8,21.6,78.4,0.0,1.4,56.7,71.6,39.9,79.6,2.7,9.7,0.9,9.1,1.3,0.0,12.7,2.5,0.1,28.375,18.375,0.875,183.0
345,Marquess Wilson,CHI,2016-17,24,127,7.3090909090909095,13.7,59.6,63.5,62.6,94.1,33.2,66.8,0.0,1.26,60.6,66.1,74.5,84.2,10.333333333333334,35.63636363636363,2.5454545454545454,33.54545454545455,4.2727272727272725,0.09090909090909091,42.18181818181818,17.363636363636363,0.45454545454545453,32.6875,20.875,1.3125,228.75
346,Harry Douglas,TEN,2016-17,32,129,6.178571428571429,12.2,51.4,60.1,59.3,91.9,25.7,72.8,0.4,0.95,63.3,59.1,61.1,80.9,3.272727272727273,33.57142857142857,2.5714285714285716,30.857142857142858,5.0,0.14285714285714285,29.357142857142858,9.857142857142858,0.42857142857142855,34.4375,21.375,1.5625,218.9375
347,Andre Johnson,TEN,2016-17,35,130,7.20625,10.8,53.9,66.2,64.2,94.7,56.5,42.2,1.2,1.08,64.7,65.9,61.1,80.9,3.6875,30.625,2.5625,29.0,4.75,0.25,31.4375,10.3125,0.6875,34.4375,21.375,1.5625,218.9375
355,Vincent Jackson,TB,2016-17,33,138,10.73,13.7,57.9,79.8,77.6,91.1,25.9,72.8,1.3,1.91,74.2,77.8,67.2,83.7,6.459999999999999,31.3,3.3,28.5,5.7,0.3,54.3,11.6,1.3,33.4375,19.5,1.375,240.75
360,Cecil Shorts,TB,2016-17,29,142,9.990909090909092,7.9,62.7,62.8,63.5,94.2,85.5,13.7,0.5,1.35,60.7,63.3,67.2,83.7,2.911111111111111,34.54545454545455,3.8181818181818183,32.54545454545455,6.090909090909091,0.18181818181818182,44.0,20.272727272727273,0.6363636363636364,33.4375,19.5,1.375,240.75
364,Jaelen Strong,HOU,2016-17,22,146,4.8100000000000005,10.9,63.6,64.6,63.0,94.2,48.6,49.1,2.3,0.99,60.3,58.9,65.5,84.6,3.3875,17.3,1.4,16.3,2.2,0.3,16.1,7.0,0.3,38.6875,22.375,1.8125,239.5625
366,Markus Wheaton,PIT,2016-17,25,147,9.43125,14.5,57.9,69.9,70.3,92.4,71.5,28.3,0.0,1.62,72.2,68.0,90.4,84.1,5.7,31.3125,2.75,28.9375,4.75,0.3125,46.8125,10.5,0.9375,36.875,24.4375,1.625,287.6875
367,Jarius Wright,MIN,2016-17,27,148,4.94375,9.7,75.6,69.2,67.7,94.2,70.6,29.4,0.0,1.52,75.5,61.1,39.9,79.6,2.9625,19.3125,2.125,18.1875,2.8125,0.0,27.625,10.8125,0.125,28.375,18.375,0.875,183.0
381,Ryan Grant,WAS,2016-17,26,165,3.8625,9.8,60.5,62.7,61.0,93.0,23.0,75.5,0.8,1.12,63.3,60.3,73.7,85.1,1.0375,16.0625,1.4375,14.9375,2.375,0.125,16.75,5.875,0.375,34.6875,24.125,1.875,255.9375
386,Michael Campanaro,BAL,2016-17,25,168,4.05,3.3,83.3,69.6,61.8,91.4,68.6,31.4,0.0,1.09,65.4,59.5,64.3,85.1,2.4,8.75,1.25,8.0,1.5,0.0,8.75,6.75,0.5,42.25,26.625,1.3125,266.9375
391,Keenan Allen,LAC,2016-17,24,175,20.1875,8.0,77.9,79.2,78.8,93.3,17.8,81.9,0.3,2.16,69.1,80.7,70.6,77.0,12.3,44.875,8.375,41.875,10.75,0.5,90.625,31.125,0.75,41.6875,27.625,1.875,286.9375
394,Nick Williams,ATL,2016-17,26,176,3.207142857142857,5.8,68.0,65.0,66.8,92.8,73.6,26.4,0.0,1.37,83.2,55.7,80.3,86.6,5.45,9.615384615384615,1.3076923076923077,8.923076923076923,1.9230769230769231,0.15384615384615385,12.23076923076923,7.923076923076923,0.23076923076923078,38.8125,25.625,1.3125,273.6875
