player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Julio Jones,6158,WR,ATL,16,193,0,2,8.4,4,64.7,,0,0,2.9,1,27,0,70.3,90.8,0,46,0.0,0,189,33,93.7,177,111.8,51,28.8,3,443,182,5.5,13.4,2.5,0,11.5,16,73.5,,0,0,8.5,9,61,3,61.3,91.2,2,70,0.0,0,421,97,93.8,395,105.7,132,33.4,2,1383,463,4.8,14.3,3.5
Antonio Brown,5718,WR,PIT,16,190,0,25,10.6,14,71.8,,0,0,0.0,0,37,0,90.7,92.9,4,57,0.0,0,244,56,93.4,228,100.2,78,34.2,4,796,318,5.7,14.2,3.49,0,12.0,9,71.3,,0,0,6.5,5,41,1,76.7,90.0,5,59,0.0,0,384,72,91.9,353,83.3,101,28.6,1,949,261,3.6,13.2,2.69
DeAndre Hopkins,7808,WR,HST,16,187,0,13,13.7,1,59.7,,0,0,7.5,3,31,0,64.5,90.9,1,61,0.5,1,209,37,92.3,193,109.5,62,32.1,6,478,66,1.8,12.9,2.48,0,15.4,4,59.0,,0,0,4.0,3,50,1,81.2,86.3,4,44,0.0,0,456,72,95.8,437,83.1,122,27.9,4,1011,143,2.0,14.0,2.31
Demaryius Thomas,5547,WR,DEN,16,169,0,10,11.9,6,58.5,,0,0,9.5,4,26,2,49.9,74.2,2,72,0.0,0,207,38,93.7,194,81.2,65,33.5,2,514,189,5.0,13.5,2.65,0,9.9,12,65.2,,0,0,9.4,6,32,0,57.3,76.5,4,47,0.0,0,369,58,96.2,355,80.7,89,25.1,3,679,262,4.5,11.7,1.91
Brandon Marshall,3064,WR,NYJ,16,167,0,22,12.6,10,66.2,,0,0,7.8,4,37,1,62.7,91.5,4,47,0.4,1,229,47,94.8,217,107.7,71,32.7,7,700,202,4.3,14.9,3.23,0,13.2,4,67.9,,0,0,8.3,5,33,2,60.6,72.7,5,58,0.0,0,365,55,96.4,352,79.4,81,23.0,3,663,176,3.2,12.1,1.88
Jarvis Landry,8698,WR,MIA,16,155,0,17,8.2,8,69.0,,0,0,2.4,1,25,0,84.3,89.4,2,50,0.4,1,238,40,95.0,226,104.2,58,25.7,4,502,262,6.6,12.6,2.22,0,7.2,17,76.5,,0,0,8.5,6,35,0,60.6,81.5,1,40,0.0,0,318,65,95.6,304,92.8,85,28.0,0,651,307,4.7,10.0,2.14
Odell Beckham Jr.,8647,WR,NYG,15,153,0,21,12.2,4,57.6,0.0,0,1,0.0,0,30,1,90.0,90.2,2,87,0.0,0,233,38,91.8,214,95.6,66,30.8,5,521,179,4.7,13.7,2.43,0,12.3,9,65.8,,0,0,7.1,4,33,1,66.1,83.0,1,84,0.0,0,363,52,94.2,342,123.6,79,23.1,6,884,407,7.8,17.0,2.58
Mike Evans,8642,WR,TB,15,146,0,30,13.0,2,58.0,,0,0,12.1,4,25,0,40.8,90.1,1,25,0.0,0,162,29,88.9,144,79.7,50,34.7,0,451,103,3.6,15.6,3.13,0,17.2,2,48.9,,0,0,18.9,10,36,0,29.6,78.9,4,68,0.0,0,342,43,93.3,319,63.2,88,27.6,1,750,141,3.3,17.4,2.35
Michael Crabtree,4933,WR,OAK,16,143,0,23,9.9,7,50.0,,0,0,14.3,6,17,0,38.3,69.1,1,31,0.0,0,231,36,93.1,215,68.6,72,33.5,2,369,135,3.8,10.3,1.72,0,10.5,10,70.8,,0,0,4.2,2,26,1,77.3,77.2,1,38,0.0,0,328,46,96.3,316,114.7,65,20.6,5,537,146,3.2,11.7,1.7
Calvin Johnson,3618,WR,DET,16,142,0,11,12.3,0,67.2,,0,0,2.5,1,31,0,81.8,90.2,2,36,0.0,0,230,39,96.1,221,108.4,58,26.2,5,500,117,3.0,12.8,2.26,0,14.8,2,59.5,0.0,0,1,7.8,4,32,1,64.8,77.2,2,57,0.0,0,411,47,95.6,393,87.0,79,20.1,2,710,187,4.0,15.1,1.81
