,,Inside 20,,,,,,Inside 10,,,,,,
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link
Andre Roberts,WAS,4,1,25.00%,8,0,5.10%,1,0,0.00%,0,0,2.40%,All Andre Roberts red zone receiving plays
Bishop Sankey,TEN,4,2,50.00%,20,1,7.30%,0,0,,0,0,0.00%,All Bishop Sankey red zone receiving plays
Dion Sims,MIA,4,3,75.00%,10,1,5.90%,4,3,75.00%,10,1,9.30%,All Dion Sims red zone receiving plays
Damien Williams,MIA,4,4,100.00%,21,1,5.90%,2,2,100.00%,17,1,4.70%,All Damien Williams red zone receiving plays
Maxx Williams,BAL,4,2,50.00%,7,0,5.30%,3,1,33.33%,0,0,9.10%,All Maxx Williams red zone receiving plays
Tim Wright,DET,4,2,50.00%,17,2,5.70%,3,2,66.67%,17,2,8.10%,All Tim Wright red zone receiving plays
T.J. Yeldon,JAX,4,3,75.00%,16,1,4.50%,1,1,100.00%,4,1,2.00%,All T.J. Yeldon red zone receiving plays
C.J. Anderson,DEN,3,3,100.00%,12,0,4.30%,1,1,100.00%,3,0,3.40%,All C.J. Anderson red zone receiving plays
Miles Austin,PHI,3,0,0.00%,0,0,5.80%,1,0,0.00%,0,0,4.30%,All Miles Austin red zone receiving plays
Giovani Bernard,CIN,3,2,66.67%,15,0,4.60%,1,0,0.00%,0,0,3.00%,All Giovani Bernard red zone receiving plays
Ahmad Bradshaw,IND,3,3,100.00%,17,3,4.20%,3,3,100.00%,17,3,9.10%,All Ahmad Bradshaw red zone receiving plays
Kenny Britt,STL,3,0,0.00%,0,0,8.80%,1,0,0.00%,0,0,9.10%,All Kenny Britt red zone receiving plays
Daniel Brown,BAL,3,0,0.00%,0,0,4.00%,1,0,0.00%,0,0,3.00%,All Daniel Brown red zone receiving plays
Jeremy Butler,BAL,3,1,33.33%,2,0,4.00%,0,0,,0,0,0.00%,All Jeremy Butler red zone receiving plays
Charles Clay,BUF,3,1,33.33%,9,1,7.70%,2,1,50.00%,9,1,10.50%,All Charles Clay red zone receiving plays
Kellen Davis,NYJ,3,1,33.33%,1,1,3.90%,3,1,33.33%,1,1,7.90%,All Kellen Davis red zone receiving plays
Mike Davis,SFO,3,2,66.67%,4,0,4.60%,2,1,50.00%,1,0,7.70%,All Mike Davis red zone receiving plays
Rhett Ellison,MIN,3,2,66.67%,22,1,7.90%,0,0,,0,0,0.00%,All Rhett Ellison red zone receiving plays
Darren Fells,ARI,3,3,100.00%,49,3,3.80%,0,0,,0,0,0.00%,All Darren Fells red zone receiving plays
C.J. Fiedorowicz,HOU,3,2,66.67%,6,1,4.30%,3,2,66.67%,6,1,10.30%,All C.J. Fiedorowicz red zone receiving plays
Jake Fisher,CIN,3,0,0.00%,0,0,4.60%,3,0,0.00%,0,0,9.10%,All Jake Fisher red zone receiving plays
Bennie Fowler,DEN,3,1,33.33%,12,0,4.30%,0,0,,0,0,0.00%,All Bennie Fowler red zone receiving plays
Virgil Green,DEN,3,1,33.33%,1,1,4.30%,2,1,50.00%,1,1,6.90%,All Virgil Green red zone receiving plays
Ryan Griffin,HOU,3,2,66.67%,18,2,4.30%,2,2,100.00%,18,2,6.90%,All Ryan Griffin red zone receiving plays
Demetrius Harris,KAN,3,2,66.67%,16,1,5.20%,0,0,,0,0,0.00%,All Demetrius Harris red zone receiving plays
Percy Harvin,BUF,3,2,66.67%,9,0,7.70%,0,0,,0,0,0.00%,All Percy Harvin red zone receiving plays
Javontee Herndon,SDG,3,2,66.67%,9,0,4.30%,1,0,0.00%,0,0,3.80%,All Javontee Herndon red zone receiving plays
Austin Johnson,NOR,3,2,66.67%,5,0,4.30%,2,1,50.00%,3,0,6.70%,All Austin Johnson red zone receiving plays
Cody Latimer,DEN,3,2,66.67%,25,1,4.30%,2,1,50.00%,10,1,6.90%,All Cody Latimer red zone receiving plays
Marshawn Lynch,SEA,3,2,66.67%,4,0,5.80%,1,0,0.00%,0,0,4.20%,All Marshawn Lynch red zone receiving plays
Keshawn Martin,NWE,3,2,66.67%,15,2,3.60%,1,1,100.00%,2,1,2.50%,All Keshawn Martin red zone receiving plays
Chris Matthews,2TM,3,1,33.33%,8,1,,2,1,50.00%,8,1,,All Chris Matthews red zone receiving plays
LeSean McCoy,BUF,3,2,66.67%,20,2,7.70%,3,2,66.67%,20,2,15.80%,All LeSean McCoy red zone receiving plays
Marlon Moore,CLE,3,1,33.33%,10,1,3.50%,2,1,50.00%,10,1,5.00%,All Marlon Moore red zone receiving plays
DeMarco Murray,PHI,3,2,66.67%,9,1,5.80%,3,2,66.67%,9,1,13.00%,All DeMarco Murray red zone receiving plays
Preston Parker,NYG,3,2,66.67%,12,0,3.70%,0,0,,0,0,0.00%,All Preston Parker red zone receiving plays
Terrelle Pryor,CLE,3,0,0.00%,0,0,3.50%,0,0,,0,0,0.00%,All Terrelle Pryor red zone receiving plays
Khiry Robinson,NOR,3,3,100.00%,5,0,4.30%,1,1,100.00%,3,0,3.30%,All Khiry Robinson red zone receiving plays
Devin Smith,NYJ,3,2,66.67%,23,1,3.90%,0,0,,0,0,0.00%,All Devin Smith red zone receiving plays
Craig Stevens,TEN,3,2,66.67%,11,1,5.50%,2,1,50.00%,10,1,6.50%,All Craig Stevens red zone receiving plays
Jaelen Strong,HOU,3,3,100.00%,21,2,4.30%,2,2,100.00%,10,1,6.90%,All Jaelen Strong red zone receiving plays
Nick Williams,ATL,3,3,100.00%,12,2,4.20%,2,2,100.00%,6,2,5.60%,All Nick Williams red zone receiving plays
Jared Abbrederis,GNB,2,1,50.00%,5,0,2.20%,1,0,0.00%,0,0,2.00%,All Jared Abbrederis red zone receiving plays
LeGarrette Blount,NWE,2,2,100.00%,12,1,2.40%,0,0,,0,0,0.00%,All LeGarrette Blount red zone receiving plays
Dwayne Bowe,CLE,2,1,50.00%,4,0,2.30%,1,0,0.00%,0,0,2.50%,All Dwayne Bowe red zone receiving plays
Reggie Bush,SFO,2,0,0.00%,0,0,3.10%,1,0,0.00%,0,0,3.80%,All Reggie Bush red zone receiving plays
Michael Campanaro,BAL,2,2,100.00%,7,0,2.70%,1,1,100.00%,0,0,3.00%,All Michael Campanaro red zone receiving plays
Chase Coffman,2TM,2,2,100.00%,10,1,,1,1,100.00%,8,1,,All Chase Coffman red zone receiving plays
Tevin Coleman,ATL,2,0,0.00%,0,0,2.80%,1,0,0.00%,0,0,2.80%,All Tevin Coleman red zone receiving plays
Patrick DiMarco,ATL,2,2,100.00%,16,2,2.80%,1,1,100.00%,1,1,2.80%,All Patrick DiMarco red zone receiving plays
Toby Gerhart,JAX,2,1,50.00%,8,0,2.20%,0,0,,0,0,0.00%,All Toby Gerhart red zone receiving plays
Chris Givens,BAL,2,1,50.00%,14,1,2.70%,0,0,,0,0,0.00%,All Chris Givens red zone receiving plays
Melvin Gordon,SDG,2,2,100.00%,9,0,2.90%,0,0,,0,0,0.00%,All Melvin Gordon red zone receiving plays
Todd Gurley,STL,2,2,100.00%,6,0,5.90%,1,1,100.00%,-2,0,9.10%,All Todd Gurley red zone receiving plays
Cooper Helfet,SEA,2,0,0.00%,0,0,3.80%,2,0,0.00%,0,0,8.30%,All Cooper Helfet red zone receiving plays
Roy Helu,OAK,2,2,100.00%,16,1,3.60%,1,1,100.00%,4,1,4.50%,All Roy Helu red zone receiving plays
Ryan Hewitt,CIN,2,0,0.00%,0,0,3.10%,1,0,0.00%,0,0,3.00%,All Ryan Hewitt red zone receiving plays
Darrius Heyward-Bey,PIT,2,1,50.00%,9,1,2.60%,1,1,100.00%,9,1,2.40%,All Darrius Heyward-Bey red zone receiving plays
Darius Jennings,CLE,2,1,50.00%,8,0,2.30%,0,0,,0,0,0.00%,All Darius Jennings red zone receiving plays
Greg Jennings,MIA,2,1,50.00%,5,1,2.90%,2,1,50.00%,5,1,4.70%,All Greg Jennings red zone receiving plays
Chris Johnson,ARI,2,1,50.00%,6,0,2.60%,1,0,0.00%,0,0,2.50%,All Chris Johnson red zone receiving plays
Matt Jones,WAS,2,1,50.00%,6,0,2.50%,1,1,100.00%,6,0,2.40%,All Matt Jones red zone receiving plays
Lance Kendricks,STL,2,0,0.00%,0,0,5.90%,2,0,0.00%,0,0,18.20%,All Lance Kendricks red zone receiving plays
Jeremy Kerley,NYJ,2,2,100.00%,12,2,2.60%,2,2,100.00%,12,2,5.30%,All Jeremy Kerley red zone receiving plays
Eddie Lacy,GNB,2,1,50.00%,5,0,2.20%,1,1,100.00%,5,0,2.00%,All Eddie Lacy red zone receiving plays
Zach Line,MIN,2,2,100.00%,11,1,5.30%,1,1,100.00%,4,1,6.70%,All Zach Line red zone receiving plays
Ricardo Lockette,SEA,2,0,0.00%,0,0,3.80%,1,0,0.00%,0,0,4.20%,All Ricardo Lockette red zone receiving plays
Tyler Lockett,SEA,2,2,100.00%,19,2,3.80%,1,1,100.00%,8,1,4.20%,All Tyler Lockett red zone receiving plays
Dexter McCluster,TEN,2,1,50.00%,3,1,3.60%,1,1,100.00%,3,1,3.20%,All Dexter McCluster red zone receiving plays
Jerick McKinnon,MIN,2,2,100.00%,26,1,5.30%,0,0,,0,0,0.00%,All Jerick McKinnon red zone receiving plays
Cameron Meredith,CHI,2,0,0.00%,0,0,2.80%,1,0,0.00%,0,0,2.60%,All Cameron Meredith red zone receiving plays
Alfred Morris,WAS,2,2,100.00%,12,0,2.50%,0,0,,0,0,0.00%,All Alfred Morris red zone receiving plays
Troy Niklas,ARI,2,2,100.00%,12,2,2.60%,1,1,100.00%,1,1,2.50%,All Troy Niklas red zone receiving plays
Justin Perillo,GNB,2,1,50.00%,11,1,2.20%,1,0,0.00%,0,0,2.00%,All Justin Perillo red zone receiving plays
Adrian Peterson,MIN,2,1,50.00%,9,0,5.30%,0,0,,0,0,0.00%,All Adrian Peterson red zone receiving plays
John Phillips,SDG,2,2,100.00%,8,1,2.90%,1,1,100.00%,1,1,3.80%,All John Phillips red zone receiving plays
Chris Polk,HOU,2,1,50.00%,11,1,2.90%,1,0,0.00%,0,0,3.40%,All Chris Polk red zone receiving plays
MyCole Pruitt,MIN,2,2,100.00%,9,0,5.30%,0,0,,0,0,0.00%,All MyCole Pruitt red zone receiving plays
Brian Quick,STL,2,0,0.00%,0,0,5.90%,0,0,,0,0,0.00%,All Brian Quick red zone receiving plays
Russell Shepard,TAM,2,1,50.00%,4,1,2.80%,2,1,50.00%,4,1,4.80%,All Russell Shepard red zone receiving plays
Jonathan Stewart,CAR,2,2,100.00%,14,1,2.90%,0,0,,0,0,0.00%,All Jonathan Stewart red zone receiving plays
Luke Stocker,TAM,2,2,100.00%,7,1,2.80%,1,1,100.00%,3,1,2.40%,All Luke Stocker red zone receiving plays
Jake Stoneburner,MIA,2,2,100.00%,13,2,2.90%,2,2,100.00%,13,2,4.70%,All Jake Stoneburner red zone receiving plays
Lorenzo Taliaferro,BAL,2,2,100.00%,10,0,2.70%,0,0,,0,0,0.00%,All Lorenzo Taliaferro red zone receiving plays
Terron Ward,ATL,2,1,50.00%,8,0,2.80%,1,1,100.00%,8,0,2.80%,All Terron Ward red zone receiving plays
Wes Welker,STL,2,1,50.00%,6,0,5.90%,0,0,,0,0,0.00%,All Wes Welker red zone receiving plays
Karlos Williams,BUF,2,2,100.00%,3,0,5.10%,2,2,100.00%,3,0,10.50%,All Karlos Williams red zone receiving plays
Luke Willson,SEA,2,0,0.00%,0,0,3.80%,2,0,0.00%,0,0,8.30%,All Luke Willson red zone receiving plays
Jarius Wright,MIN,2,0,0.00%,0,0,5.30%,0,0,,0,0,0.00%,All Jarius Wright red zone receiving plays
Jay Ajayi,MIA,1,1,100.00%,11,0,1.50%,0,0,,0,0,0.00%,All Jay Ajayi red zone receiving plays
Matt Asiata,MIN,1,1,100.00%,0,0,2.60%,1,1,100.00%,0,0,6.70%,All Matt Asiata red zone receiving plays
Stedman Bailey,STL,1,1,100.00%,18,1,2.90%,0,0,,0,0,0.00%,All Stedman Bailey red zone receiving plays
Alfred Blue,HOU,1,1,100.00%,4,0,1.40%,0,0,,0,0,0.00%,All Alfred Blue red zone receiving plays
Tommy Bohanon,NYJ,1,1,100.00%,2,0,1.30%,0,0,,0,0,0.00%,All Tommy Bohanon red zone receiving plays
Brandon Bolden,NWE,1,1,100.00%,18,1,1.20%,0,0,,0,0,0.00%,All Brandon Bolden red zone receiving plays
Donald Brown,SDG,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,3.80%,All Donald Brown red zone receiving plays
Marlon Brown,BAL,1,0,0.00%,0,0,1.30%,0,0,,0,0,0.00%,All Marlon Brown red zone receiving plays
Rex Burkhead,CIN,1,1,100.00%,5,1,1.50%,1,1,100.00%,5,1,3.00%,All Rex Burkhead red zone receiving plays
Michael Burton,DET,1,1,100.00%,4,1,1.40%,1,1,100.00%,4,1,2.70%,All Michael Burton red zone receiving plays
Travaris Cadet,NOR,1,1,100.00%,9,0,1.40%,0,0,,0,0,0.00%,All Travaris Cadet red zone receiving plays
Ka'Deem Carey,CHI,1,1,100.00%,1,1,1.40%,1,1,100.00%,1,1,2.60%,All Ka'Deem Carey red zone receiving plays
Riley Cooper,PHI,1,0,0.00%,0,0,1.90%,0,0,,0,0,0.00%,All Riley Cooper red zone receiving plays
Isaiah Crowell,CLE,1,1,100.00%,0,0,1.20%,1,1,100.00%,0,0,2.50%,All Isaiah Crowell red zone receiving plays
Jeff Cumberland,NYJ,1,0,0.00%,0,0,1.30%,1,0,0.00%,0,0,2.60%,All Jeff Cumberland red zone receiving plays
Jerome Cunningham,NYG,1,1,100.00%,6,0,1.20%,1,1,100.00%,6,0,2.60%,All Jerome Cunningham red zone receiving plays
Anthony Dixon,BUF,1,0,0.00%,0,0,2.60%,0,0,,0,0,0.00%,All Anthony Dixon red zone receiving plays
Phillip Dorsett,IND,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Phillip Dorsett red zone receiving plays
Lance Dunbar,DAL,1,1,100.00%,7,0,1.40%,1,1,100.00%,7,0,2.60%,All Lance Dunbar red zone receiving plays
Marcus Easley,BUF,1,0,0.00%,0,0,2.60%,1,0,0.00%,0,0,5.30%,All Marcus Easley red zone receiving plays
Quincy Enunwa,NYJ,1,1,100.00%,7,0,1.30%,0,0,,0,0,0.00%,All Quincy Enunwa red zone receiving plays
Jalston Fowler,TEN,1,1,100.00%,1,1,1.80%,1,1,100.00%,1,1,3.20%,All Jalston Fowler red zone receiving plays
Kendall Gaskins,SFO,1,1,100.00%,16,0,1.50%,0,0,,0,0,0.00%,All Kendall Gaskins red zone receiving plays
Mike Gillislee,BUF,1,1,100.00%,14,0,2.60%,0,0,,0,0,0.00%,All Mike Gillislee red zone receiving plays
Corey Grant,JAX,1,0,0.00%,0,0,1.10%,0,0,,0,0,0.00%,All Corey Grant red zone receiving plays
James Hanna,DAL,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All James Hanna red zone receiving plays
DuJuan Harris,SFO,1,1,100.00%,3,0,1.50%,0,0,,0,0,0.00%,All DuJuan Harris red zone receiving plays
Matt Hazel,MIA,1,0,0.00%,0,0,1.50%,1,0,0.00%,0,0,2.30%,All Matt Hazel red zone receiving plays
Dan Herron,BUF,1,1,100.00%,3,0,2.60%,0,0,,0,0,0.00%,All Dan Herron red zone receiving plays
Rob Housler,CLE,1,0,0.00%,0,0,1.20%,0,0,,0,0,0.00%,All Rob Housler red zone receiving plays
Justin Hunter,TEN,1,1,100.00%,8,1,1.80%,1,1,100.00%,8,1,3.20%,All Justin Hunter red zone receiving plays
Carlos Hyde,SFO,1,1,100.00%,8,0,1.50%,0,0,,0,0,0.00%,All Carlos Hyde red zone receiving plays
Jesse James,PIT,1,1,100.00%,4,1,1.30%,1,1,100.00%,4,1,2.40%,All Jesse James red zone receiving plays
Rashad Jennings,NYG,1,1,100.00%,5,0,1.20%,1,1,100.00%,5,0,2.60%,All Rashad Jennings red zone receiving plays
Charles Johnson,MIN,1,0,0.00%,0,0,2.60%,0,0,,0,0,0.00%,All Charles Johnson red zone receiving plays
Malcolm Johnson,CLE,1,1,100.00%,0,0,1.20%,0,0,,0,0,0.00%,All Malcolm Johnson red zone receiving plays
Taiwan Jones,OAK,1,1,100.00%,1,0,1.80%,0,0,,0,0,0.00%,All Taiwan Jones red zone receiving plays
Bradley Marquez,STL,1,1,100.00%,5,0,2.90%,1,1,100.00%,5,0,9.10%,All Bradley Marquez red zone receiving plays
Ryan Mathews,PHI,1,1,100.00%,5,0,1.90%,0,0,,0,0,0.00%,All Ryan Mathews red zone receiving plays
Rishard Matthews,MIA,1,1,100.00%,3,1,1.50%,1,1,100.00%,3,1,2.30%,All Rishard Matthews red zone receiving plays
Tre McBride,TEN,1,1,100.00%,1,1,1.80%,1,1,100.00%,1,1,3.20%,All Tre McBride red zone receiving plays
Keith Mumphery,HOU,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Keith Mumphery red zone receiving plays
Louis Murphy,TAM,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,2.40%,All Louis Murphy red zone receiving plays
Brandon Myers,TAM,1,1,100.00%,9,0,1.40%,0,0,,0,0,0.00%,All Brandon Myers red zone receiving plays
Jamize Olawale,OAK,1,0,0.00%,0,0,1.80%,1,0,0.00%,0,0,4.50%,All Jamize Olawale red zone receiving plays
Nick O'Leary,BUF,1,0,0.00%,0,0,2.60%,0,0,,0,0,0.00%,All Nick O'Leary red zone receiving plays
Chris Owusu,NYJ,1,0,0.00%,0,0,1.30%,1,0,0.00%,0,0,2.60%,All Chris Owusu red zone receiving plays
Brian Parker,KAN,1,0,0.00%,0,0,1.70%,0,0,,0,0,0.00%,All Brian Parker red zone receiving plays
Brandon Pettigrew,DET,1,1,100.00%,2,1,1.40%,1,1,100.00%,2,1,2.70%,All Brandon Pettigrew red zone receiving plays
Bobby Rainey,TAM,1,1,100.00%,4,0,1.40%,1,1,100.00%,4,0,2.40%,All Bobby Rainey red zone receiving plays
Joe Reitz,IND,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Joe Reitz red zone receiving plays
Stevan Ridley,NYJ,1,1,100.00%,2,0,1.30%,0,0,,0,0,0.00%,All Stevan Ridley red zone receiving plays
Mitchell Schwartz,CLE,1,0,0.00%,0,0,1.20%,1,0,0.00%,0,0,2.50%,All Mitchell Schwartz red zone receiving plays
Anthony Sherman,KAN,1,0,0.00%,0,0,1.70%,0,0,,0,0,0.00%,All Anthony Sherman red zone receiving plays
Jerome Simpson,SFO,1,1,100.00%,6,1,1.50%,1,1,100.00%,6,1,3.80%,All Jerome Simpson red zone receiving plays
Alex Smith,WAS,1,0,0.00%,0,0,1.30%,0,0,,0,0,0.00%,All Alex Smith red zone receiving plays
Lee Smith,OAK,1,1,100.00%,5,1,1.80%,1,1,100.00%,5,1,4.50%,All Lee Smith red zone receiving plays
Matt Spaeth,PIT,1,1,100.00%,6,0,1.30%,0,0,,0,0,0.00%,All Matt Spaeth red zone receiving plays
C.J. Spiller,NOR,1,1,100.00%,9,1,1.40%,1,1,100.00%,9,1,3.30%,All C.J. Spiller red zone receiving plays
Zac Stacy,NYJ,1,1,100.00%,12,0,1.30%,0,0,,0,0,0.00%,All Zac Stacy red zone receiving plays
Devin Street,DAL,1,0,0.00%,0,0,1.40%,0,0,,0,0,0.00%,All Devin Street red zone receiving plays
Rod Streater,OAK,1,1,100.00%,8,0,1.80%,0,0,,0,0,0.00%,All Rod Streater red zone receiving plays
Phillip Supernaw,TEN,1,0,0.00%,0,0,1.80%,0,0,,0,0,0.00%,All Phillip Supernaw red zone receiving plays
Stepfan Taylor,ARI,1,1,100.00%,4,0,1.30%,1,1,100.00%,4,0,2.50%,All Stepfan Taylor red zone receiving plays
Tyrod Taylor,BUF,1,1,100.00%,4,0,2.60%,1,1,100.00%,4,0,5.30%,All Tyrod Taylor red zone receiving plays
Kenbrell Thompkins,NYJ,1,0,0.00%,0,0,1.30%,0,0,,0,0,0.00%,All Kenbrell Thompkins red zone receiving plays
Zurlon Tipton,IND,1,1,100.00%,7,0,1.40%,1,1,100.00%,7,0,3.00%,All Zurlon Tipton red zone receiving plays
Will Tukuafu,SEA,1,1,100.00%,7,1,1.90%,1,1,100.00%,7,1,4.20%,All Will Tukuafu red zone receiving plays
Darren Waller,BAL,1,0,0.00%,0,0,1.30%,0,0,,0,0,0.00%,All Darren Waller red zone receiving plays
J.J. Watt,HOU,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,3.40%,All J.J. Watt red zone receiving plays
Lucky Whitehead,DAL,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,2.60%,All Lucky Whitehead red zone receiving plays
Darrel Young,WAS,1,1,100.00%,2,0,1.30%,1,1,100.00%,2,0,2.40%,All Darrel Young red zone receiving plays
