,,Inside 20,,,,,,Inside 10,,,,,,
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link
Davante Adams,GNB,28,23,82.14%,135,14,37.30%,20,17,85.00%,81,13,44.40%,All Davante Adams red zone receiving plays
Darren Waller,LVR,22,18,81.82%,111,6,33.30%,11,9,81.82%,40,6,26.80%,All Darren Waller red zone receiving plays
Travis Kelce,KAN,20,13,65.00%,80,9,25.30%,13,8,61.54%,39,7,26.00%,All Travis Kelce red zone receiving plays
Calvin Ridley,ATL,20,11,55.00%,84,7,26.30%,11,5,45.45%,26,5,28.20%,All Calvin Ridley red zone receiving plays
Jimmy Graham,CHI,19,13,68.42%,85,7,22.40%,12,9,75.00%,33,6,27.30%,All Jimmy Graham red zone receiving plays
Adam Thielen,MIN,19,16,84.21%,115,13,33.90%,13,11,84.62%,46,10,37.10%,All Adam Thielen red zone receiving plays
Mike Evans,TAM,18,11,61.11%,56,9,23.10%,14,9,64.29%,39,9,28.60%,All Mike Evans red zone receiving plays
Allen Robinson,CHI,18,7,38.89%,58,4,21.20%,9,4,44.44%,15,3,20.50%,All Allen Robinson red zone receiving plays
Tyreek Hill,KAN,17,12,70.59%,58,6,21.50%,12,10,83.33%,35,6,24.00%,All Tyreek Hill red zone receiving plays
Jonnu Smith,TEN,17,10,58.82%,60,8,26.60%,9,6,66.67%,19,6,29.00%,All Jonnu Smith red zone receiving plays
JuJu Smith-Schuster,PIT,17,14,82.35%,97,6,22.40%,8,7,87.50%,31,6,21.60%,All JuJu Smith-Schuster red zone receiving plays
Logan Thomas,WAS,17,15,88.24%,117,6,32.10%,7,6,85.71%,29,3,35.00%,All Logan Thomas red zone receiving plays
Keenan Allen,LAC,16,12,75.00%,112,7,21.90%,6,4,66.67%,20,3,17.10%,All Keenan Allen red zone receiving plays
Mark Andrews,BAL,16,10,62.50%,67,4,28.60%,9,5,55.56%,26,4,27.30%,All Mark Andrews red zone receiving plays
Stefon Diggs,BUF,16,12,75.00%,96,5,20.80%,7,5,71.43%,25,3,17.10%,All Stefon Diggs red zone receiving plays
Eric Ebron,PIT,16,9,56.25%,70,4,21.10%,8,5,62.50%,28,3,21.60%,All Eric Ebron red zone receiving plays
Tyler Lockett,SEA,16,12,75.00%,63,8,20.00%,9,8,88.89%,26,7,20.90%,All Tyler Lockett red zone receiving plays
D.K. Metcalf,SEA,16,8,50.00%,51,5,20.00%,10,4,40.00%,20,4,23.30%,All D.K. Metcalf red zone receiving plays
T.J. Hockenson,DET,15,8,53.33%,43,6,21.70%,9,5,55.56%,9,5,30.00%,All T.J. Hockenson red zone receiving plays
