,,Inside 20,,,,,,Inside 10,,,,,,
Hayden Hurst,ATL,15,6,40.00%,31,4,19.70%,9,5,55.56%,23,4,23.10%,All Hayden Hurst red zone receiving plays
Jarvis Landry,CLE,15,10,66.67%,60,3,22.70%,8,5,62.50%,23,3,20.50%,All Jarvis Landry red zone receiving plays
Brandon Aiyuk,SFO,14,9,64.29%,45,5,18.70%,10,6,60.00%,22,5,25.60%,All Brandon Aiyuk red zone receiving plays
Amari Cooper,DAL,14,4,28.57%,19,3,18.20%,10,3,30.00%,8,2,31.30%,All Amari Cooper red zone receiving plays
Russell Gage,ATL,14,7,50.00%,60,4,18.40%,8,3,37.50%,23,3,20.50%,All Russell Gage red zone receiving plays
Mike Gesicki,MIA,14,5,35.71%,48,5,21.90%,9,3,33.33%,20,3,20.90%,All Mike Gesicki red zone receiving plays
Rob Gronkowski,TAM,14,6,42.86%,35,5,17.90%,10,5,50.00%,23,4,20.40%,All Rob Gronkowski red zone receiving plays
Hunter Henry,LAC,14,6,42.86%,27,4,19.20%,8,5,62.50%,22,4,22.90%,All Hunter Henry red zone receiving plays
Marvin Jones,DET,14,9,64.29%,54,4,20.30%,5,4,80.00%,15,3,16.70%,All Marvin Jones red zone receiving plays
Alvin Kamara,NOR,14,10,71.43%,80,4,18.70%,3,3,100.00%,2,1,11.10%,All Alvin Kamara red zone receiving plays
Dalton Schultz,DAL,14,9,64.29%,68,3,18.20%,4,3,75.00%,17,2,12.50%,All Dalton Schultz red zone receiving plays
Tyler Boyd,CIN,13,7,53.85%,59,3,18.80%,7,3,42.86%,21,2,21.20%,All Tyler Boyd red zone receiving plays
Chase Claypool,PIT,13,7,53.85%,51,4,17.10%,9,3,33.33%,18,3,24.30%,All Chase Claypool red zone receiving plays
Evan Engram,NYG,13,5,38.46%,39,1,20.60%,3,1,33.33%,0,0,13.00%,All Evan Engram red zone receiving plays
DeAndre Hopkins,ARI,13,6,46.15%,21,2,21.00%,10,5,50.00%,11,2,27.80%,All DeAndre Hopkins red zone receiving plays
DeVante Parker,MIA,13,4,30.77%,14,3,20.30%,8,3,37.50%,8,3,18.60%,All DeVante Parker red zone receiving plays
Zach Pascal,IND,13,6,46.15%,44,4,18.30%,6,3,50.00%,10,2,25.00%,All Zach Pascal red zone receiving plays
Robbie Chosen,CAR,12,6,50.00%,37,1,21.80%,4,2,50.00%,7,0,16.00%,All Robbie Chosen red zone receiving plays
A.J. Brown,TEN,12,9,75.00%,90,7,18.80%,8,5,62.50%,28,5,25.80%,All A.J. Brown red zone receiving plays
Jared Cook,NOR,12,7,58.33%,72,5,16.00%,4,3,75.00%,16,2,14.80%,All Jared Cook red zone receiving plays
Michael Gallup,DAL,12,7,58.33%,37,3,15.60%,5,2,40.00%,10,2,15.60%,All Michael Gallup red zone receiving plays
Nyheim Hines,IND,12,9,75.00%,66,2,16.90%,4,3,75.00%,16,1,16.70%,All Nyheim Hines red zone receiving plays
Christian Kirk,ARI,12,6,50.00%,28,4,19.40%,10,5,50.00%,29,4,27.80%,All Christian Kirk red zone receiving plays
Cooper Kupp,LAR,12,7,58.33%,51,2,22.60%,5,2,40.00%,5,1,20.80%,All Cooper Kupp red zone receiving plays
Terry McLaurin,WAS,12,5,41.67%,26,1,22.60%,4,2,50.00%,6,1,20.00%,All Terry McLaurin red zone receiving plays
David Moore,SEA,12,9,75.00%,40,4,15.00%,7,6,85.71%,14,3,16.30%,All David Moore red zone receiving plays
Curtis Samuel,CAR,12,10,83.33%,76,2,21.80%,4,2,50.00%,5,0,16.00%,All Curtis Samuel red zone receiving plays
Emmanuel Sanders,NOR,12,9,75.00%,64,4,16.00%,7,6,85.71%,35,3,25.90%,All Emmanuel Sanders red zone receiving plays
DJ Chark,JAX,11,4,36.36%,23,3,17.50%,3,2,66.67%,8,2,12.50%,All DJ Chark red zone receiving plays
Keke Coutee,HOU,11,8,72.73%,49,3,14.10%,5,5,100.00%,26,3,11.90%,All Keke Coutee red zone receiving plays
Mike Davis,CAR,11,8,72.73%,29,2,20.00%,5,3,60.00%,7,1,20.00%,All Mike Davis red zone receiving plays
Chase Edmonds,ARI,11,10,90.91%,78,4,17.70%,4,4,100.00%,21,4,11.10%,All Chase Edmonds red zone receiving plays
David Johnson,HOU,11,7,63.64%,24,2,14.10%,5,3,60.00%,5,2,11.90%,All David Johnson red zone receiving plays
Drew Sample,CIN,11,4,36.36%,35,1,15.90%,5,1,20.00%,8,1,15.20%,All Drew Sample red zone receiving plays
Robert Tonyan,GNB,11,10,90.91%,67,7,14.70%,7,7,100.00%,30,5,15.60%,All Robert Tonyan red zone receiving plays
Robert Woods,LAR,11,10,90.91%,68,4,20.80%,3,2,66.67%,14,2,12.50%,All Robert Woods red zone receiving plays
Nelson Agholor,LVR,10,5,50.00%,44,2,15.20%,8,3,37.50%,16,1,19.50%,All Nelson Agholor red zone receiving plays
Kendrick Bourne,SFO,10,7,70.00%,63,1,13.30%,5,3,60.00%,11,0,12.80%,All Kendrick Bourne red zone receiving plays
Marquise Brown,BAL,10,7,70.00%,44,5,17.90%,6,4,66.67%,20,4,18.20%,All Marquise Brown red zone receiving plays
Keelan Cole,JAX,10,5,50.00%,37,4,15.90%,4,2,50.00%,7,2,16.70%,All Keelan Cole red zone receiving plays
Brandin Cooks,HOU,10,6,60.00%,43,1,12.80%,5,2,40.00%,1,1,11.90%,All Brandin Cooks red zone receiving plays
Gabriel Davis,BUF,10,5,50.00%,39,3,13.00%,6,3,50.00%,17,2,14.60%,All Gabriel Davis red zone receiving plays
Noah Fant,DEN,10,5,50.00%,40,2,17.50%,4,2,50.00%,15,2,14.30%,All Noah Fant red zone receiving plays
Travis Fulgham,PHI,10,3,30.00%,31,3,17.90%,3,2,66.67%,13,2,13.60%,All Travis Fulgham red zone receiving plays
N'Keal Harry,NWE,10,6,60.00%,40,2,25.00%,5,4,80.00%,21,2,29.40%,All N'Keal Harry red zone receiving plays
Tee Higgins,CIN,10,8,80.00%,52,5,14.50%,5,4,80.00%,8,4,15.20%,All Tee Higgins red zone receiving plays
T.Y. Hilton,IND,10,6,60.00%,45,3,14.10%,3,3,100.00%,18,3,12.50%,All T.Y. Hilton red zone receiving plays
Jacob Hollister,SEA,10,6,60.00%,42,3,12.50%,4,2,50.00%,11,2,9.30%,All Jacob Hollister red zone receiving plays
Justin Jefferson,MIN,10,4,40.00%,38,3,17.90%,8,2,25.00%,15,1,22.90%,All Justin Jefferson red zone receiving plays
Diontae Johnson,PIT,10,7,70.00%,49,4,13.20%,5,3,60.00%,12,2,13.50%,All Diontae Johnson red zone receiving plays
Aaron Jones,GNB,10,5,50.00%,21,2,13.30%,5,3,60.00%,14,2,11.10%,All Aaron Jones red zone receiving plays
CeeDee Lamb,DAL,10,4,40.00%,8,2,13.00%,6,2,33.33%,9,2,18.80%,All CeeDee Lamb red zone receiving plays
Anthony Miller,CHI,10,2,20.00%,6,0,11.80%,4,0,0.00%,0,0,9.10%,All Anthony Miller red zone receiving plays
David Montgomery,CHI,10,6,60.00%,42,1,11.80%,4,3,75.00%,14,1,9.10%,All David Montgomery red zone receiving plays
Darnell Mooney,CHI,10,7,70.00%,54,4,11.80%,5,3,60.00%,14,2,11.40%,All Darnell Mooney red zone receiving plays
Tim Patrick,DEN,10,9,90.00%,55,6,17.50%,8,7,87.50%,45,6,28.60%,All Tim Patrick red zone receiving plays
Laviska Shenault,JAX,10,6,60.00%,45,3,15.90%,3,3,100.00%,14,2,12.50%,All Laviska Shenault red zone receiving plays
Sterling Shepard,NYG,10,9,90.00%,33,3,15.90%,4,4,100.00%,20,3,17.40%,All Sterling Shepard red zone receiving plays
Darius Slayton,NYG,10,4,40.00%,26,1,15.90%,6,1,16.67%,7,1,26.10%,All Darius Slayton red zone receiving plays
Irv Smith,MIN,10,7,70.00%,49,5,17.90%,7,4,57.14%,16,4,20.00%,All Irv Smith red zone receiving plays
Michael Thomas,NOR,10,6,60.00%,30,0,13.30%,6,2,33.33%,5,0,22.20%,All Michael Thomas red zone receiving plays
Mike Williams,LAC,10,1,10.00%,4,1,13.70%,6,1,16.67%,4,1,17.10%,All Mike Williams red zone receiving plays
Cole Beasley,BUF,9,6,66.67%,32,3,11.70%,6,4,66.67%,18,2,14.60%,All Cole Beasley red zone receiving plays
Giovani Bernard,CIN,9,7,77.78%,51,3,13.00%,4,3,75.00%,13,2,12.10%,All Giovani Bernard red zone receiving plays
Tyler Eifert,JAX,9,4,44.44%,27,2,14.30%,3,2,66.67%,3,1,12.50%,All Tyler Eifert red zone receiving plays
Chris Godwin,TAM,9,8,88.89%,51,6,11.50%,7,6,85.71%,29,5,14.30%,All Chris Godwin red zone receiving plays
A.J. Green,CIN,9,3,33.33%,20,2,13.00%,7,2,28.57%,10,2,21.20%,All A.J. Green red zone receiving plays
Austin Hooper,CLE,9,5,55.56%,20,4,13.60%,7,4,57.14%,14,4,17.90%,All Austin Hooper red zone receiving plays
Kareem Hunt,CLE,9,7,77.78%,45,4,13.60%,5,4,80.00%,25,4,12.80%,All Kareem Hunt red zone receiving plays
Dawson Knox,BUF,9,5,55.56%,27,3,11.70%,6,4,66.67%,18,3,14.60%,All Dawson Knox red zone receiving plays
D.J. Moore,CAR,9,2,22.22%,7,1,16.40%,6,1,16.67%,7,1,24.00%,All D.J. Moore red zone receiving plays
D'Andre Swift,DET,9,6,66.67%,39,2,13.00%,3,2,66.67%,12,1,10.00%,All D'Andre Swift red zone receiving plays
Sammy Watkins,KAN,9,5,55.56%,36,2,11.40%,8,4,50.00%,25,2,16.00%,All Sammy Watkins red zone receiving plays
Jordan Akins,HOU,8,4,50.00%,42,1,10.30%,5,2,40.00%,9,0,11.90%,All Jordan Akins red zone receiving plays
Trey Burton,IND,8,5,62.50%,42,3,11.30%,3,3,100.00%,14,1,12.50%,All Trey Burton red zone receiving plays
Jamison Crowder,NYJ,8,5,62.50%,35,3,22.90%,3,2,66.67%,9,2,18.80%,All Jamison Crowder red zone receiving plays
Jack Doyle,IND,8,6,75.00%,54,3,11.30%,3,2,66.67%,13,2,12.50%,All Jack Doyle red zone receiving plays
Austin Ekeler,LAC,8,7,87.50%,41,2,11.00%,5,4,80.00%,28,2,14.30%,All Austin Ekeler red zone receiving plays
Leonard Fournette,TAM,8,8,100.00%,45,0,10.30%,3,3,100.00%,7,0,6.10%,All Leonard Fournette red zone receiving plays
Rashard Higgins,CLE,8,6,75.00%,63,3,12.10%,3,2,66.67%,9,0,7.70%,All Rashard Higgins red zone receiving plays
Duke Johnson,HOU,8,7,87.50%,2,0,10.30%,3,2,66.67%,-1,0,7.10%,All Duke Johnson red zone receiving plays
Julio Jones,ATL,8,4,50.00%,29,0,10.50%,1,0,0.00%,0,0,2.60%,All Julio Jones red zone receiving plays
J.D. McKissic,WAS,8,5,62.50%,37,1,15.10%,2,1,50.00%,6,1,10.00%,All J.D. McKissic red zone receiving plays
Greg Olsen,SEA,8,4,50.00%,35,1,10.00%,5,2,40.00%,11,1,11.60%,All Greg Olsen red zone receiving plays
Michael Pittman,IND,8,5,62.50%,41,0,11.30%,2,1,50.00%,6,0,8.30%,All Michael Pittman red zone receiving plays
Tony Pollard,DAL,8,5,62.50%,34,1,10.40%,2,2,100.00%,11,1,6.30%,All Tony Pollard red zone receiving plays
Jordan Reed,SFO,8,5,62.50%,45,4,10.70%,4,3,75.00%,14,3,10.30%,All Jordan Reed red zone receiving plays
Willie Snead,BAL,8,6,75.00%,68,3,14.30%,4,2,50.00%,6,1,12.10%,All Willie Snead red zone receiving plays
John Brown,BUF,7,5,71.43%,45,1,9.10%,4,2,50.00%,3,0,9.80%,All John Brown red zone receiving plays
Randall Cobb,HOU,7,3,42.86%,9,2,9.00%,6,2,33.33%,7,2,14.30%,All Randall Cobb red zone receiving plays
James Conner,PIT,7,4,57.14%,18,0,9.20%,1,0,0.00%,0,0,2.70%,All James Conner red zone receiving plays
Corey Davis,TEN,7,5,71.43%,52,4,10.90%,3,2,66.67%,13,2,9.70%,All Corey Davis red zone receiving plays
Ezekiel Elliott,DAL,7,6,85.71%,37,2,9.10%,1,1,100.00%,6,1,3.10%,All Ezekiel Elliott red zone receiving plays
Zach Ertz,PHI,7,4,57.14%,22,1,12.50%,5,3,60.00%,11,1,22.70%,All Zach Ertz red zone receiving plays
Anthony Firkser,TEN,7,4,57.14%,26,1,10.90%,3,2,66.67%,12,1,9.70%,All Anthony Firkser red zone receiving plays
Larry Fitzgerald,ARI,7,4,57.14%,26,1,11.30%,2,0,0.00%,0,0,5.60%,All Larry Fitzgerald red zone receiving plays
Will Fuller,HOU,7,4,57.14%,48,3,9.00%,4,1,25.00%,6,1,9.50%,All Will Fuller red zone receiving plays
DaeSean Hamilton,DEN,7,4,57.14%,39,1,12.30%,1,1,100.00%,7,1,3.60%,All DaeSean Hamilton red zone receiving plays
Jesse James,DET,7,5,71.43%,28,2,10.10%,3,2,66.67%,14,2,10.00%,All Jesse James red zone receiving plays
Kyle Juszczyk,SFO,7,5,71.43%,31,4,9.30%,5,4,80.00%,22,4,12.80%,All Kyle Juszczyk red zone receiving plays
Donald Parham,LAC,7,2,28.57%,27,2,9.60%,4,1,25.00%,8,1,11.40%,All Donald Parham red zone receiving plays
Devin Singletary,BUF,7,5,71.43%,22,0,9.10%,0,0,,0,0,0.00%,All Devin Singletary red zone receiving plays
Ito Smith,ATL,7,5,71.43%,4,0,9.20%,3,2,66.67%,-4,0,7.70%,All Ito Smith red zone receiving plays
Trent Taylor,SFO,7,1,14.29%,2,0,9.30%,3,1,33.33%,2,0,7.70%,All Trent Taylor red zone receiving plays
Greg Ward,PHI,7,7,100.00%,42,4,12.50%,4,4,100.00%,20,4,18.20%,All Greg Ward red zone receiving plays
James Washington,PIT,7,3,42.86%,49,3,9.20%,2,0,0.00%,0,0,5.40%,All James Washington red zone receiving plays
Dan Arnold,ARI,6,5,83.33%,18,3,9.70%,3,3,100.00%,13,3,8.30%,All Dan Arnold red zone receiving plays
Odell Beckham,CLE,6,3,50.00%,14,1,9.10%,5,2,40.00%,7,1,12.80%,All Odell Beckham red zone receiving plays
Rex Burkhead,NWE,6,3,50.00%,30,2,15.00%,2,1,50.00%,7,1,11.80%,All Rex Burkhead red zone receiving plays
Chris Conley,JAX,6,2,33.33%,12,1,9.50%,3,0,0.00%,0,0,12.50%,All Chris Conley red zone receiving plays
Clyde Edwards-Helaire,KAN,6,3,50.00%,20,1,7.60%,3,2,66.67%,9,1,6.00%,All Clyde Edwards-Helaire red zone receiving plays
Myles Gaskin,MIA,6,5,83.33%,30,1,9.40%,4,3,75.00%,18,1,9.30%,All Myles Gaskin red zone receiving plays
Dallas Goedert,PHI,6,5,83.33%,32,2,10.70%,3,3,100.00%,10,2,13.60%,All Dallas Goedert red zone receiving plays
Tyler Higbee,LAR,6,6,100.00%,29,4,11.30%,4,4,100.00%,11,4,16.70%,All Tyler Higbee red zone receiving plays
Adam Humphries,TEN,6,4,66.67%,42,1,9.40%,0,0,,0,0,0.00%,All Adam Humphries red zone receiving plays
Cole Kmet,CHI,6,3,50.00%,28,2,7.10%,5,2,40.00%,17,1,11.40%,All Cole Kmet red zone receiving plays
Allen Lazard,GNB,6,6,100.00%,37,3,8.00%,3,3,100.00%,11,3,6.70%,All Allen Lazard red zone receiving plays
Isaiah McKenzie,BUF,6,5,83.33%,42,3,7.80%,2,2,100.00%,10,2,4.90%,All Isaiah McKenzie red zone receiving plays
Jerick McKinnon,SFO,6,6,100.00%,38,1,8.00%,2,2,100.00%,12,1,5.10%,All Jerick McKinnon red zone receiving plays
Jeremy McNichols,TEN,6,4,66.67%,22,0,9.40%,1,1,100.00%,2,0,3.20%,All Jeremy McNichols red zone receiving plays
David Njoku,CLE,6,3,50.00%,16,2,9.10%,4,1,25.00%,1,1,10.30%,All David Njoku red zone receiving plays
Breshad Perriman,NYJ,6,1,16.67%,15,1,17.10%,1,0,0.00%,0,0,6.30%,All Breshad Perriman red zone receiving plays
Hunter Renfrow,LVR,6,4,66.67%,31,2,9.10%,3,2,66.67%,7,1,7.30%,All Hunter Renfrow red zone receiving plays
Adam Shaheen,MIA,6,3,50.00%,14,3,9.40%,6,3,50.00%,14,3,14.00%,All Adam Shaheen red zone receiving plays
Tre'Quan Smith,NOR,6,3,50.00%,31,3,8.00%,1,1,100.00%,2,1,3.70%,All Tre'Quan Smith red zone receiving plays
Durham Smythe,MIA,6,4,66.67%,13,2,9.40%,4,3,75.00%,7,2,9.30%,All Durham Smythe red zone receiving plays
Marquez Valdes-Scantling,GNB,6,2,33.33%,15,2,8.00%,1,1,100.00%,1,1,2.20%,All Marquez Valdes-Scantling red zone receiving plays
James White,NWE,6,5,83.33%,13,1,15.00%,3,3,100.00%,6,1,17.60%,All James White red zone receiving plays
Preston Williams,MIA,6,3,50.00%,15,3,9.40%,5,3,60.00%,15,3,11.60%,All Preston Williams red zone receiving plays
Cedrick Wilson,DAL,6,4,66.67%,18,0,7.80%,3,2,66.67%,8,0,9.40%,All Cedrick Wilson red zone receiving plays
Jeff Wilson,SFO,6,3,50.00%,38,2,8.00%,2,1,50.00%,3,1,5.10%,All Jeff Wilson red zone receiving plays
Jason Witten,LVR,6,4,66.67%,16,2,9.10%,4,3,75.00%,6,2,9.80%,All Jason Witten red zone receiving plays
Mo Alie-Cox,IND,5,3,60.00%,16,2,7.00%,2,1,50.00%,1,1,8.30%,All Mo Alie-Cox red zone receiving plays
Danny Amendola,DET,5,3,60.00%,34,0,7.20%,2,0,0.00%,0,0,6.70%,All Danny Amendola red zone receiving plays
Le'Veon Bell,KAN,5,3,60.00%,-2,0,6.30%,2,0,0.00%,0,0,4.00%,All Le'Veon Bell red zone receiving plays
Miles Boykin,BAL,5,2,40.00%,10,2,8.90%,4,2,50.00%,10,2,12.10%,All Miles Boykin red zone receiving plays
Antonio Brown,TAM,5,4,80.00%,36,1,6.40%,3,2,66.67%,10,0,6.10%,All Antonio Brown red zone receiving plays
Harrison Bryant,CLE,5,4,80.00%,21,3,7.60%,4,3,75.00%,12,3,10.30%,All Harrison Bryant red zone receiving plays
Chris Carson,SEA,5,4,80.00%,45,3,6.30%,3,2,66.67%,8,1,7.00%,All Chris Carson red zone receiving plays
Gerald Everett,LAR,5,2,40.00%,28,1,9.40%,3,0,0.00%,0,0,12.50%,All Gerald Everett red zone receiving plays
Troy Fumagalli,DEN,5,3,60.00%,13,1,8.80%,3,2,66.67%,5,1,10.70%,All Troy Fumagalli red zone receiving plays
Kenny Golladay,DET,5,4,80.00%,36,2,7.20%,2,2,100.00%,6,0,6.70%,All Kenny Golladay red zone receiving plays
Jalen Guyton,LAC,5,2,40.00%,19,1,6.80%,2,0,0.00%,0,0,5.70%,All Jalen Guyton red zone receiving plays
Jerry Jeudy,DEN,5,0,0.00%,0,0,8.80%,2,0,0.00%,0,0,7.10%,All Jerry Jeudy red zone receiving plays
Collin Johnson,JAX,5,1,20.00%,4,1,7.90%,4,1,25.00%,4,1,16.70%,All Collin Johnson red zone receiving plays
Tyler Kroft,BUF,5,5,100.00%,25,3,6.50%,3,3,100.00%,7,3,7.30%,All Tyler Kroft red zone receiving plays
Dion Lewis,NYG,5,4,80.00%,12,1,7.90%,1,1,100.00%,7,1,4.30%,All Dion Lewis red zone receiving plays
Jakobi Meyers,NWE,5,3,60.00%,19,0,12.50%,2,0,0.00%,0,0,11.80%,All Jakobi Meyers red zone receiving plays
Jalen Reagor,PHI,5,4,80.00%,14,1,8.90%,1,1,100.00%,2,1,4.50%,All Jalen Reagor red zone receiving plays
Josh Reynolds,LAR,5,3,60.00%,28,1,9.40%,3,1,33.33%,4,1,12.50%,All Josh Reynolds red zone receiving plays
Demarcus Robinson,KAN,5,2,40.00%,10,1,6.30%,2,1,50.00%,1,1,4.00%,All Demarcus Robinson red zone receiving plays
James Robinson,JAX,5,5,100.00%,47,3,7.90%,3,3,100.00%,16,1,12.50%,All James Robinson red zone receiving plays
Kyle Rudolph,MIN,5,2,40.00%,9,1,8.90%,3,1,33.33%,3,1,8.60%,All Kyle Rudolph red zone receiving plays
Boston Scott,PHI,5,3,60.00%,25,1,8.90%,2,1,50.00%,6,0,9.10%,All Boston Scott red zone receiving plays
Golden Tate,NYG,5,4,80.00%,24,1,7.90%,2,1,50.00%,4,0,8.70%,All Golden Tate red zone receiving plays
Kalen Ballage,LAC,4,2,50.00%,12,0,5.50%,0,0,,0,0,0.00%,All Kalen Ballage red zone receiving plays
Chad Beebe,MIN,4,3,75.00%,21,1,7.10%,1,1,100.00%,10,1,2.90%,All Chad Beebe red zone receiving plays
Braxton Berrios,NYJ,4,4,100.00%,26,1,11.40%,3,3,100.00%,10,0,18.80%,All Braxton Berrios red zone receiving plays
Cameron Brate,TAM,4,3,75.00%,11,2,5.10%,3,2,66.67%,8,2,6.10%,All Cameron Brate red zone receiving plays
Malcolm Brown,LAR,4,2,50.00%,1,0,7.50%,1,0,0.00%,0,0,4.20%,All Malcolm Brown red zone receiving plays
Pharaoh Brown,HOU,4,4,100.00%,36,2,5.10%,2,2,100.00%,13,1,4.80%,All Pharaoh Brown red zone receiving plays
Will Dissly,SEA,4,2,50.00%,29,2,5.00%,2,1,50.00%,10,1,4.70%,All Will Dissly red zone receiving plays
Julian Edelman,NWE,4,1,25.00%,6,0,10.00%,2,0,0.00%,0,0,11.80%,All Julian Edelman red zone receiving plays
Darren Fells,HOU,4,2,50.00%,11,2,5.10%,2,2,100.00%,11,2,4.80%,All Darren Fells red zone receiving plays
Isaiah Ford,MIA,4,3,75.00%,18,0,6.30%,2,2,100.00%,10,0,4.70%,All Isaiah Ford red zone receiving plays
Wayne Gallman,NYG,4,4,100.00%,1,0,6.30%,0,0,,0,0,0.00%,All Wayne Gallman red zone receiving plays
Melvin Gordon,DEN,4,1,25.00%,16,1,7.00%,2,0,0.00%,0,0,7.10%,All Melvin Gordon red zone receiving plays
Jakeem Grant,MIA,4,3,75.00%,7,1,6.30%,2,1,50.00%,3,1,4.70%,All Jakeem Grant red zone receiving plays
KJ Hamler,DEN,4,2,50.00%,2,1,7.00%,2,1,50.00%,1,1,7.10%,All KJ Hamler red zone receiving plays
Darrell Henderson,LAR,4,3,75.00%,20,1,7.50%,1,1,100.00%,2,0,4.20%,All Darrell Henderson red zone receiving plays
Chris Herndon,NYJ,4,2,50.00%,17,2,11.40%,3,1,33.33%,6,1,18.80%,All Chris Herndon red zone receiving plays
Tyler Johnson,TAM,4,2,50.00%,8,2,5.10%,4,2,50.00%,8,2,8.20%,All Tyler Johnson red zone receiving plays
Ronald Jones,TAM,4,1,25.00%,9,0,5.10%,2,0,0.00%,0,0,4.10%,All Ronald Jones red zone receiving plays
Zay Jones,LVR,4,2,50.00%,21,1,6.10%,3,1,33.33%,6,0,7.30%,All Zay Jones red zone receiving plays
Marcedes Lewis,GNB,4,3,75.00%,24,3,5.30%,3,2,66.67%,6,2,6.70%,All Marcedes Lewis red zone receiving plays
Latavius Murray,NOR,4,3,75.00%,14,0,5.30%,0,0,,0,0,0.00%,All Latavius Murray red zone receiving plays
Albert Okwuegbunam,DEN,4,2,50.00%,20,1,7.00%,3,1,33.33%,9,1,10.70%,All Albert Okwuegbunam red zone receiving plays
Samaje Perine,CIN,4,4,100.00%,16,0,5.80%,0,0,,0,0,0.00%,All Samaje Perine red zone receiving plays
Damion Ratley,NYG,4,0,0.00%,0,0,6.30%,1,0,0.00%,0,0,4.30%,All Damion Ratley red zone receiving plays
Jalen Richard,LVR,4,3,75.00%,13,0,6.10%,1,1,100.00%,2,0,2.40%,All Jalen Richard red zone receiving plays
Freddie Swain,SEA,4,3,75.00%,24,1,5.00%,1,0,0.00%,0,0,2.30%,All Freddie Swain red zone receiving plays
Auden Tate,CIN,4,0,0.00%,0,0,5.80%,0,0,,0,0,0.00%,All Auden Tate red zone receiving plays
Jonathan Taylor,IND,4,3,75.00%,4,0,5.60%,0,0,,0,0,0.00%,All Jonathan Taylor red zone receiving plays
Isaiah Wright,WAS,4,3,75.00%,22,0,7.50%,2,1,50.00%,8,0,10.00%,All Isaiah Wright red zone receiving plays
Ameer Abdullah,MIN,3,2,66.67%,10,1,5.40%,2,1,50.00%,4,1,5.70%,All Ameer Abdullah red zone receiving plays
Jamal Agnew,DET,3,2,66.67%,10,0,4.30%,0,0,,0,0,0.00%,All Jamal Agnew red zone receiving plays
Alex Armah,CAR,3,2,66.67%,14,0,5.50%,2,1,50.00%,0,0,8.00%,All Alex Armah red zone receiving plays
Blake Bell,DAL,3,2,66.67%,12,0,3.90%,1,0,0.00%,0,0,3.10%,All Blake Bell red zone receiving plays
Devontae Booker,LVR,3,3,100.00%,6,0,4.50%,2,2,100.00%,2,0,4.90%,All Devontae Booker red zone receiving plays
Nick Boyle,BAL,3,3,100.00%,23,2,5.40%,2,2,100.00%,12,2,6.10%,All Nick Boyle red zone receiving plays
Marquez Callaway,NOR,3,2,66.67%,16,0,4.00%,0,0,,0,0,0.00%,All Marquez Callaway red zone receiving plays
Quintez Cephus,DET,3,0,0.00%,0,0,4.30%,3,0,0.00%,0,0,10.00%,All Quintez Cephus red zone receiving plays
