,,Inside 20,,,,,,Inside 10,,,,,,
Player,Tm,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Tgt,Rec,Ctch%,Yds,TD,%Tgt,Link
Cooper Kupp,LAR,37,26,70.27%,205,13,33.30%,18,11,61.11%,61,9,34.60%,All Cooper Kupp red zone receiving plays
Stefon Diggs,BUF,34,19,55.88%,146,10,29.80%,14,8,57.14%,46,5,28.00%,All Stefon Diggs red zone receiving plays
Davante Adams,GNB,27,18,66.67%,110,10,23.70%,14,10,71.43%,31,7,28.00%,All Davante Adams red zone receiving plays
Chris Godwin,TAM,25,20,80.00%,130,5,21.60%,8,5,62.50%,23,2,13.80%,All Chris Godwin red zone receiving plays
Keenan Allen,LAC,23,15,65.22%,92,6,23.50%,12,8,66.67%,44,6,24.50%,All Keenan Allen red zone receiving plays
Tyreek Hill,KAN,23,14,60.87%,80,7,24.20%,9,6,66.67%,24,6,19.10%,All Tyreek Hill red zone receiving plays
Hunter Renfrow,LVR,23,18,78.26%,114,9,31.10%,13,8,61.54%,42,6,38.20%,All Hunter Renfrow red zone receiving plays
Diontae Johnson,PIT,21,12,57.14%,77,5,22.10%,10,6,60.00%,31,4,22.70%,All Diontae Johnson red zone receiving plays
Mark Andrews,BAL,20,12,60.00%,96,9,27.40%,11,8,72.73%,52,7,32.40%,All Mark Andrews red zone receiving plays
Cameron Brate,TAM,20,11,55.00%,87,4,17.20%,9,4,44.44%,17,4,15.50%,All Cameron Brate red zone receiving plays
Zach Ertz,2TM,20,8,40.00%,35,4,,9,5,55.56%,14,4,,All Zach Ertz red zone receiving plays
Pat Freiermuth,PIT,20,13,65.00%,92,7,21.10%,9,7,77.78%,31,5,20.50%,All Pat Freiermuth red zone receiving plays
Justin Jefferson,MIN,20,11,55.00%,101,7,28.60%,9,3,33.33%,15,3,28.10%,All Justin Jefferson red zone receiving plays
D.K. Metcalf,SEA,19,12,63.16%,119,9,36.50%,5,3,60.00%,16,3,26.30%,All D.K. Metcalf red zone receiving plays
Mike Williams,LAC,19,7,36.84%,47,4,19.40%,12,3,25.00%,12,2,24.50%,All Mike Williams red zone receiving plays
Mike Evans,TAM,18,12,66.67%,64,9,15.50%,12,9,75.00%,35,8,20.70%,All Mike Evans red zone receiving plays
Tyler Higbee,LAR,18,12,66.67%,100,5,16.20%,9,5,55.56%,26,3,17.30%,All Tyler Higbee red zone receiving plays
Marvin Jones,JAX,18,7,38.89%,38,2,34.00%,11,4,36.36%,16,2,37.90%,All Marvin Jones red zone receiving plays
Dawson Knox,BUF,18,11,61.11%,67,6,15.80%,10,7,70.00%,28,4,20.00%,All Dawson Knox red zone receiving plays
Amari Cooper,DAL,17,13,76.47%,81,5,17.20%,6,5,83.33%,26,4,17.10%,All Amari Cooper red zone receiving plays
Gabriel Davis,BUF,17,8,47.06%,54,5,14.90%,8,4,50.00%,13,3,16.00%,All Gabriel Davis red zone receiving plays
A.J. Green,ARI,17,5,29.41%,36,2,21.50%,11,3,27.27%,14,1,28.90%,All A.J. Green red zone receiving plays
Hunter Henry,NWE,17,8,47.06%,57,8,24.30%,9,5,55.56%,21,5,31.00%,All Hunter Henry red zone receiving plays
Marquise Brown,BAL,16,8,50.00%,43,2,21.90%,8,3,37.50%,18,2,23.50%,All Marquise Brown red zone receiving plays
Tyler Conklin,MIN,16,10,62.50%,65,3,22.90%,5,3,60.00%,13,3,15.60%,All Tyler Conklin red zone receiving plays
Austin Ekeler,LAC,16,14,87.50%,135,8,16.30%,3,2,66.67%,12,2,6.10%,All Austin Ekeler red zone receiving plays
Travis Kelce,KAN,16,14,87.50%,79,7,16.80%,9,9,100.00%,32,6,19.10%,All Travis Kelce red zone receiving plays
Michael Pittman,IND,16,8,50.00%,68,4,25.40%,9,4,44.44%,24,2,25.00%,All Michael Pittman red zone receiving plays
Robert Woods,LAR,16,9,56.25%,66,4,14.40%,7,3,42.86%,9,2,13.50%,All Robert Woods red zone receiving plays
Leonard Fournette,TAM,15,10,66.67%,39,2,12.90%,5,3,60.00%,12,2,8.60%,All Leonard Fournette red zone receiving plays
Mecole Hardman,KAN,15,8,53.33%,56,2,15.80%,7,3,42.86%,20,2,14.90%,All Mecole Hardman red zone receiving plays
Van Jefferson,LAR,15,4,26.67%,42,3,13.50%,7,1,14.29%,2,1,13.50%,All Van Jefferson red zone receiving plays
Aaron Jones,GNB,15,12,80.00%,63,5,13.20%,4,4,100.00%,17,3,8.00%,All Aaron Jones red zone receiving plays
Jaylen Waddle,MIA,15,12,80.00%,51,6,20.30%,8,7,87.50%,28,6,21.10%,All Jaylen Waddle red zone receiving plays
Ezekiel Elliott,DAL,14,10,71.43%,41,2,14.10%,5,5,100.00%,22,2,14.30%,All Ezekiel Elliott red zone receiving plays
Najee Harris,PIT,14,8,57.14%,29,2,14.70%,6,4,66.67%,19,2,13.60%,All Najee Harris red zone receiving plays
DeAndre Hopkins,ARI,14,7,50.00%,69,7,17.70%,8,4,50.00%,24,4,21.10%,All DeAndre Hopkins red zone receiving plays
Allen Lazard,GNB,14,6,42.86%,33,5,12.30%,5,4,80.00%,14,4,10.00%,All Allen Lazard red zone receiving plays
