Player,Tm,Tgt20,Rec20,Ctch%20,Yds20,TD20,%Tgt20,Tgt10,Rec10,Ctch%10,Yds10,TD10,%Tgt10,Link
Trishton Jackson,MIN,2,0,0.00%,0,0,2.50%,0,0,,0,0,0.00%,All Trishton Jackson red zone receiving plays
Jauan Jennings,SFO,2,1,50.00%,18,1,2.90%,1,0,0.00%,0,0,3.80%,All Jauan Jennings red zone receiving plays
Ty Johnson,BUF,2,2,100.00%,8,0,3.20%,0,0,,0,0,0.00%,All Ty Johnson red zone receiving plays
Marvin Jones,DET,2,1,50.00%,3,0,3.10%,0,0,,0,0,0.00%,All Marvin Jones red zone receiving plays
Brevin Jordan,HOU,2,2,100.00%,16,2,2.90%,1,1,100.00%,4,1,2.80%,All Brevin Jordan red zone receiving plays
Ko Kieft,TAM,2,1,50.00%,2,1,3.40%,1,1,100.00%,2,1,3.40%,All Ko Kieft red zone receiving plays
Charlie Kolar,BAL,2,2,100.00%,34,1,3.10%,0,0,,0,0,0.00%,All Charlie Kolar red zone receiving plays
Lucas Krull,DEN,2,1,50.00%,3,1,3.10%,2,1,50.00%,3,1,5.70%,All Lucas Krull red zone receiving plays
Allen Lazard,NYJ,2,1,50.00%,10,1,4.10%,2,1,50.00%,10,1,6.50%,All Allen Lazard red zone receiving plays
Marcedes Lewis,CHI,2,2,100.00%,17,1,3.60%,1,1,100.00%,1,1,3.80%,All Marcedes Lewis red zone receiving plays
Terrace Marshall,CAR,2,1,50.00%,9,0,5.60%,1,0,0.00%,0,0,4.50%,All Terrace Marshall red zone receiving plays
Anthony McFarland,PIT,2,2,100.00%,11,0,4.80%,0,0,,0,0,0.00%,All Anthony McFarland red zone receiving plays
D.J. Montgomery,IND,2,1,50.00%,14,1,3.40%,1,0,0.00%,0,0,4.00%,All D.J. Montgomery red zone receiving plays
Quintin Morris,BUF,2,1,50.00%,15,1,3.20%,0,0,,0,0,0.00%,All Quintin Morris red zone receiving plays
Andrew Ogletree,IND,2,1,50.00%,5,1,3.40%,2,1,50.00%,5,1,8.00%,All Andrew Ogletree red zone receiving plays
Cordarrelle Patterson,ATL,2,1,50.00%,2,1,3.70%,1,1,100.00%,2,1,3.60%,All Cordarrelle Patterson red zone receiving plays
Samaje Perine,DEN,2,2,100.00%,12,0,3.10%,1,1,100.00%,5,0,2.90%,All Samaje Perine red zone receiving plays
Wan'Dale Robinson,NYG,2,2,100.00%,11,1,6.10%,1,1,100.00%,9,1,8.30%,All Wan'Dale Robinson red zone receiving plays
Miles Sanders,CAR,2,2,100.00%,4,0,5.60%,0,0,,0,0,0.00%,All Miles Sanders red zone receiving plays
Khalil Shakir,BUF,2,2,100.00%,12,1,3.20%,1,1,100.00%,1,0,3.70%,All Khalil Shakir red zone receiving plays
Trent Sherfield,BUF,2,1,50.00%,6,1,3.20%,1,1,100.00%,6,1,3.70%,All Trent Sherfield red zone receiving plays
Ben Sims,GNB,2,2,100.00%,7,1,2.20%,1,1,100.00%,1,1,2.70%,All Ben Sims red zone receiving plays
Stone Smartt,LAC,2,0,0.00%,0,0,2.70%,2,0,0.00%,0,0,4.50%,All Stone Smartt red zone receiving plays
JuJu Smith-Schuster,NWE,2,2,100.00%,14,1,5.60%,1,1,100.00%,3,1,7.70%,All JuJu Smith-Schuster red zone receiving plays
Jack Stoll,PHI,2,1,50.00%,14,0,4.10%,0,0,,0,0,0.00%,All Jack Stoll red zone receiving plays
Geoff Swaim,ARI,2,2,100.00%,18,0,3.40%,0,0,,0,0,0.00%,All Geoff Swaim red zone receiving plays
Robert Tonyan,CHI,2,1,50.00%,10,0,3.60%,0,0,,0,0,0.00%,All Robert Tonyan red zone receiving plays
Samori Toure,GNB,2,1,50.00%,-6,0,2.20%,0,0,,0,0,0.00%,All Samori Toure red zone receiving plays
Mitchell Wilcox,CIN,2,1,50.00%,10,0,2.70%,1,0,0.00%,0,0,2.70%,All Mitchell Wilcox red zone receiving plays
Jameson Williams,DET,2,2,100.00%,21,0,3.10%,0,0,,0,0,0.00%,All Jameson Williams red zone receiving plays
Mike Williams,LAC,2,0,0.00%,0,0,2.70%,2,0,0.00%,0,0,4.50%,All Mike Williams red zone receiving plays
Blake Bell,KAN,1,1,100.00%,4,1,1.10%,1,1,100.00%,4,1,2.10%,All Blake Bell red zone receiving plays
Braxton Berrios,MIA,1,1,100.00%,11,1,1.50%,0,0,,0,0,0.00%,All Braxton Berrios red zone receiving plays
Khari Blasingame,CHI,1,1,100.00%,4,0,1.80%,0,0,,0,0,0.00%,All Khari Blasingame red zone receiving plays
Kayshon Boutte,NWE,1,0,0.00%,0,0,2.80%,0,0,,0,0,0.00%,All Kayshon Boutte red zone receiving plays
Chase Brown,CIN,1,1,100.00%,8,0,1.40%,0,0,,0,0,0.00%,All Chase Brown red zone receiving plays
Treylon Burks,TEN,1,1,100.00%,1,0,2.10%,0,0,,0,0,0.00%,All Treylon Burks red zone receiving plays
Michael Burton,DEN,1,1,100.00%,4,0,1.50%,1,1,100.00%,4,0,2.90%,All Michael Burton red zone receiving plays
Grant Calcaterra,PHI,1,1,100.00%,9,0,2.00%,0,0,,0,0,0.00%,All Grant Calcaterra red zone receiving plays
DeAndre Carter,LVR,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,2.90%,All DeAndre Carter red zone receiving plays
Zach Charbonnet,SEA,1,0,0.00%,0,0,1.50%,0,0,,0,0,0.00%,All Zach Charbonnet red zone receiving plays
Chase Claypool,CHI,1,0,0.00%,0,0,1.80%,0,0,,0,0,0.00%,All Chase Claypool red zone receiving plays
Chris Conley,SFO,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,3.80%,All Chris Conley red zone receiving plays
Elijah Cooks,JAX,1,0,0.00%,0,0,1.60%,0,0,,0,0,0.00%,All Elijah Cooks red zone receiving plays
Britain Covey,PHI,1,0,0.00%,0,0,2.00%,0,0,,0,0,0.00%,All Britain Covey red zone receiving plays
Jamison Crowder,WAS,1,0,0.00%,0,0,1.60%,0,0,,0,0,0.00%,All Jamison Crowder red zone receiving plays
Derius Davis,LAC,1,1,100.00%,-3,0,1.40%,1,1,100.00%,-3,0,2.30%,All Derius Davis red zone receiving plays
Emari Demercado,ARI,1,0,0.00%,0,0,1.70%,1,0,0.00%,0,0,3.80%,All Emari Demercado red zone receiving plays
AJ Dillon,GNB,1,1,100.00%,1,0,1.10%,0,0,,0,0,0.00%,All AJ Dillon red zone receiving plays
J.K. Dobbins,BAL,1,1,100.00%,5,0,1.60%,1,1,100.00%,5,0,3.20%,All J.K. Dobbins red zone receiving plays
Payne Durham,TAM,1,1,100.00%,12,0,1.70%,0,0,,0,0,0.00%,All Payne Durham red zone receiving plays
Devin Duvernay,BAL,1,1,100.00%,3,0,1.60%,0,0,,0,0,0.00%,All Devin Duvernay red zone receiving plays
Ross Dwelley,SFO,1,1,100.00%,12,0,1.40%,0,0,,0,0,0.00%,All Ross Dwelley red zone receiving plays
Luke Farrell,JAX,1,0,0.00%,0,0,1.60%,1,0,0.00%,0,0,3.30%,All Luke Farrell red zone receiving plays
Simi Fehoko,LAC,1,1,100.00%,9,1,1.40%,1,1,100.00%,9,1,2.30%,All Simi Fehoko red zone receiving plays
Kevin Harris,NWE,1,1,100.00%,4,0,2.80%,0,0,,0,0,0.00%,All Kevin Harris red zone receiving plays
Justice Hill,BAL,1,1,100.00%,2,0,1.60%,0,0,,0,0,0.00%,All Justice Hill red zone receiving plays
Julian Hill,MIA,1,0,0.00%,0,0,1.50%,1,0,0.00%,0,0,2.30%,All Julian Hill red zone receiving plays
Brycen Hopkins,LAR,1,1,100.00%,5,0,1.40%,0,0,,0,0,0.00%,All Brycen Hopkins red zone receiving plays
Sam Howell,WAS,1,1,100.00%,4,0,1.60%,1,1,100.00%,4,0,2.90%,All Sam Howell red zone receiving plays
Chuba Hubbard,CAR,1,0,0.00%,0,0,2.80%,0,0,,0,0,0.00%,All Chuba Hubbard red zone receiving plays
Kareem Hunt,CLE,1,1,100.00%,3,0,1.60%,0,0,,0,0,0.00%,All Kareem Hunt red zone receiving plays
Xavier Hutchinson,HOU,1,1,100.00%,0,0,1.50%,1,1,100.00%,0,0,2.80%,All Xavier Hutchinson red zone receiving plays
Richie James,KAN,1,1,100.00%,4,0,1.10%,0,0,,0,0,0.00%,All Richie James red zone receiving plays
Van Jefferson,ATL,1,1,100.00%,6,0,1.90%,0,0,,0,0,0.00%,All Van Jefferson red zone receiving plays
Tyler Johnson,LAR,1,1,100.00%,8,1,1.40%,1,1,100.00%,8,1,2.40%,All Tyler Johnson red zone receiving plays
Tony Jones,NOR,1,0,0.00%,0,0,1.50%,1,0,0.00%,0,0,3.00%,All Tony Jones red zone receiving plays
Joshua Kelley,LAC,1,1,100.00%,0,0,1.40%,0,0,,0,0,0.00%,All Joshua Kelley red zone receiving plays
Will Mallory,IND,1,0,0.00%,0,0,1.70%,0,0,,0,0,0.00%,All Will Mallory red zone receiving plays
Chris Manhertz,DEN,1,0,0.00%,0,0,1.50%,0,0,,0,0,0.00%,All Chris Manhertz red zone receiving plays
Ray-Ray McCloud,SFO,1,1,100.00%,8,0,1.40%,0,0,,0,0,0.00%,All Ray-Ray McCloud red zone receiving plays
Sean McKeon,DAL,1,0,0.00%,0,0,1.00%,1,0,0.00%,0,0,2.00%,All Sean McKeon red zone receiving plays
Jordan Mims,NOR,1,0,0.00%,0,0,1.50%,1,0,0.00%,0,0,3.00%,All Jordan Mims red zone receiving plays
Marvin Mims,DEN,1,1,100.00%,4,0,1.50%,1,1,100.00%,4,0,2.90%,All Marvin Mims red zone receiving plays
Elijah Mitchell,SFO,1,0,0.00%,0,0,1.40%,1,0,0.00%,0,0,3.80%,All Elijah Mitchell red zone receiving plays
Keaton Mitchell,BAL,1,0,0.00%,0,0,1.60%,0,0,,0,0,0.00%,All Keaton Mitchell red zone receiving plays
Ty Montgomery,NWE,1,1,100.00%,9,0,2.80%,0,0,,0,0,0.00%,All Ty Montgomery red zone receiving plays
Chris Moore,TEN,1,1,100.00%,6,0,2.10%,0,0,,0,0,0.00%,All Chris Moore red zone receiving plays
Donovan Peoples-Jones,DET,1,0,0.00%,0,0,1.50%,1,0,0.00%,0,0,2.90%,All Donovan Peoples-Jones red zone receiving plays
Kyle Philips,TEN,1,0,0.00%,0,0,2.10%,1,0,0.00%,0,0,4.30%,All Kyle Philips red zone receiving plays
Dameon Pierce,HOU,1,1,100.00%,9,0,1.50%,0,0,,0,0,0.00%,All Dameon Pierce red zone receiving plays
Kevin Rader,TEN,1,1,100.00%,6,0,2.10%,1,1,100.00%,6,0,4.30%,All Kevin Rader red zone receiving plays
Jalen Reagor,NWE,1,0,0.00%,0,0,2.80%,1,0,0.00%,0,0,7.70%,All Jalen Reagor red zone receiving plays
Justyn Ross,KAN,1,0,0.00%,0,0,1.10%,1,0,0.00%,0,0,2.10%,All Justyn Ross red zone receiving plays
Jeffery Simmons,TEN,1,1,100.00%,2,1,2.10%,1,1,100.00%,2,1,4.30%,All Jeffery Simmons red zone receiving plays
