player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Sam Howell,97599,QB,WAS,17,75,555,612,7.7,2.84,17,30,4.7,63.4,388,0,277,6.7,712,28,193,32,81.3,60.3,57.6,72,6,21,750,3,23.5,78.9,9.1,65,33,0,34,21,31,4.1,3945,6.4
Jared Goff,10635,QB,DET,17,78.3,557,605,7.3,2.57,9,20,3.1,67.3,407,0,227,6.7,642,29,228,11,61.2,84.4,84.3,49.1,7,12,673,10,13.2,97.9,4.7,30,7,4,28,30,17,2.5,4574,7.6
Patrick Mahomes,11765,QB,KC,16,78.3,549,597,6.8,3.03,4,25,4,67.2,401,1,241,6.7,677,29,232,16,74.9,85.1,81.1,79.9,13,14,718,5,11.2,92.6,4,27,51,2,29,27,21,2.9,4183,7
Dak Prescott,10769,QB,DAL,17,77.6,567,591,8.4,2.69,10,38,6,69.5,411,0,212,6.6,661,29,234,9,81.8,90.8,89.8,75.8,6,9,710,5,17.9,105.9,5.7,38,28,0,8,36,14,2,4519,7.6
Jordan Love,40306,QB,GB,17,72.9,543,579,9,2.72,8,34,5.6,64.2,372,0,191,6.1,633,24,216,12,53.5,83,82.7,59.7,7,11,663,11,15.2,96.1,4.6,29,22,2,19,32,17,2.6,4158,7.2
Josh Allen,46601,QB,BUF,17,76.6,539,579,8.9,2.9,4,37,6,66.5,385,0,232,6.8,653,28,224,4,61.2,91.2,86.4,90.9,4,18,695,8,10.3,92.2,3.7,24,50,2,30,29,21,3,4307,7.4
Baker Mayfield,46518,QB,TB,17,73.7,524,566,9,2.76,16,25,4.1,64.3,364,1,219,5.7,639,22,199,30,73.9,74.6,72.8,66,10,10,684,3,18.3,94.6,6.3,40,29,0,16,28,24,3.5,4045,7.1
Trevor Lawrence,77632,QB,JAX,16,74.7,530,564,8.6,2.54,14,35,5.8,65.6,370,0,190,6.6,645,26,194,15,36.5,79.7,78.6,69.9,7,14,681,8,18.4,88.5,5.4,35,41,0,13,21,26,3.8,4017,7.1
Tua Tagovailoa,60326,QB,MIA,17,77,531,561,8.2,2.32,9,35,6,69.3,389,0,150,4.9,609,20,227,17,53.5,88.4,90.2,28.5,3,14,636,5,19.3,101.5,4.8,29,16,2,16,29,22,3.5,4679,8.3
Derek Carr,8671,QB,NO,17,76.8,514,548,8.2,2.57,3,18,3.2,68.4,375,0,181,5.1,588,20,187,20,61.9,77.2,77,46.6,6,8,609,4,17.1,97.7,5.3,31,9,0,25,25,14,2.3,3878,7.1
Jalen Hurts,40291,QB,PHI,17,75.5,489,538,8.9,3.13,8,28,5,65.4,352,0,248,4.6,622,17,202,24,64.3,86.4,83.6,76.5,6,15,649,6,14.5,89.1,5.8,36,46,0,35,23,15,2.3,3858,7.2
Bryce Young,123943,QB,CAR,16,71.9,463,527,7.8,2.9,7,18,3.2,59.8,315,1,253,5.4,622,18,150,5,27.7,56,52.6,78.1,5,10,663,6,24.5,73.7,10,62,31,1,51,11,22,3.3,2877,5.5
Matthew Stafford,4924,QB,LA,15,74,480,521,8.2,2.59,7,33,6,62.6,326,0,190,8.2,567,29,189,26,92,85.9,83.8,61.3,4,11,602,7,15.8,92.5,5.3,30,14,3,27,24,12,2,3965,7.6
C.J. Stroud,129759,QB,HST,15,73.9,464,499,9.4,2.93,7,23,4.3,63.9,319,0,194,7,562,24,197,13,47.4,82.8,79.4,76.3,3,5,593,2,19.6,100.8,6.8,38,23,6,19,23,17,2.9,4108,8.2
Geno Smith,7820,QB,SEA,15,77.4,446,499,8.2,2.73,13,32,6,64.7,323,0,223,6.4,553,22,177,29,68.8,82.9,82.1,62.8,8,9,591,6,13.9,92.1,5.6,31,20,4,28,20,21,3.6,3624,7.3
Gardner Minshew,41401,QB,IND,16,74.2,446,490,7.8,2.67,14,14,2.7,62.2,305,0,190,7.9,546,26,153,14,42.5,62,60.6,59.6,4,9,580,4,17.9,84.6,6.2,34,21,0,26,15,22,3.8,3305,6.7
