team_name,franchise_id,player_game_count,attempts,hits_allowed,hurries_allowed,pass_snaps,pbe,pressures_allowed,sacks_allowed
MIA,17,17,615,13,81,615,89.1,114,20
ATL,2,17,600,25,84,600,87.4,130,21
JAX,15,17,710,24,117,710,87.1,162,21
DAL,9,17,688,31,112,688,86.6,164,21
BUF,4,17,651,22,130,651,86.5,164,12
IND,14,17,644,18,127,644,86.4,160,15
LV,23,17,607,26,92,607,86.3,142,24
DEN,10,17,603,22,116,603,85.9,154,16
GB,12,17,633,21,124,633,85.7,163,18
NO,20,17,653,22,120,653,85.3,167,25
BLT,3,17,605,19,119,605,85.3,158,20
HST,13,17,659,24,130,659,85.1,175,21
DET,11,17,640,41,118,640,84.9,176,17
PHI,24,17,652,16,158,652,84.5,188,14
KC,16,17,717,40,149,717,84.3,207,18
TB,30,17,641,23,134,641,84.2,180,23
MIN,18,17,708,57,120,708,84,202,25
CLV,8,17,694,32,142,694,84,198,24
LA,26,17,638,39,127,638,84,185,19
LAC,27,17,719,39,138,719,83.9,204,27
CIN,7,17,695,33,134,695,83.7,197,30
ARZ,1,17,634,31,123,634,83.4,182,28
SF,28,17,550,21,135,550,82.7,173,17
PIT,25,17,567,28,138,567,82.2,184,18
WAS,32,17,738,35,166,738,81.9,234,33
CHI,6,17,618,28,163,618,81.1,212,21
SEA,29,17,635,32,169,635,79.8,229,28
NE,19,17,626,27,156,626,79.8,218,35
CAR,5,17,684,29,174,684,79.8,240,37
NYG,21,17,665,20,184,665,78.6,244,40
NYJ,22,17,692,41,171,692,77.9,259,47
TEN,31,17,577,55,141,577,74.5,245,49
